[00:00] 欢迎收听赵华业股破载第1139集
[04:24] 那虽然融资我觉得退的不如预期啦
[04:27] 上市加上柜大概200亿而已
[04:29] 真的是也没有到很多
[04:31] 可是韦泰觉得环境上是不是有比较止稳的现象
[04:35] 好我们在上次来到这个节目的时候
[04:40] 跟大家提到我个人的做法会相对比较中性
[04:43] 没错
[04:44] 那么主要原因就是因为呢
[04:47] 当时我觉得有一些热门股
[04:50] 他们的本益比相对比较高
[04:52] 在市场上面人气很旺的时候
[04:57] 这些所谓的一个本益比相对偏高的个股
[05:01] 都不是问题
[05:02] 本益比都不是问题
[05:03] 可是随着这个成交量
[05:06] 从这个1.5兆不到
[05:09] 然后掉到1.3兆 1.2
[05:12] 然后最近甚至在这个这两天
[05:15] 看到就是连五日均量都回到一兆左右的一个水准
[05:20] 那么成交量在萎缩情况之下
[05:23] 这时候呢
[05:24] 这个市场上面的一个投资的朋友
[05:27] 就会相对比较谨慎跟小心
[05:29] 那么谨慎跟小心的情况之下
[05:32] 他们对于他们所买进的这些的一个个股
[05:35] 就会稍微的去比较检视
[05:38] 包括像是船马面啦
[05:40] 或者是说他的一个本益比啦
[05:43] 就相對比較被檢視
[05:45] 所以這個時候
[05:48] 這些相對比較高本益比的一個公司
[05:51] 它的股價可能也就會往下去做修正
[05:54] 那麼剛剛趙懷也問到
[05:57] 就是說經過這幾天的一個洗刷
[06:00] 我的看法是不是會稍微有點點的一個改變
[06:04] 我想是有的
[06:06] 因為我們從今天
[06:08] 我们看到在昨天
[06:10] 融资鱼儿减肥了之后
[06:13] 事实上今天有非常多的股票
[06:16] 大概在10点半之前就出现大涨
[06:20] 那么这代表什么
[06:22] 就代表说短线上面的筹码
[06:25] 有经过换手
[06:26] 或者是至少市场上面投资人
[06:28] 愿意相信
[06:29] 昨天的融资的一个减少
[06:33] 对多方是有利的
[06:34] 这个是我觉得
[06:35] 从今天的盘面上面
[06:37] 我们观察到的一个现象
[06:40] 但是融资余额的部分来讲
[06:43] 我想要从另外一个角度去看
[06:44] 就是融资维持率到昨天为止
[06:48] 以集中市场来讲是180.66%
[06:51] 然后OTC是177.81%
[06:54] 那如果相对照一个月之前
[06:56] 融资的维持率通常在200%以上
[06:59] 那么现在融资维持率往下掉
[07:01] 就代表说其实有部分的这些所谓的
[07:04] 个股它的回档的一个幅度
[07:07] 其实是蛮深的
[07:08] 那回档幅度蛮深的情况之下
[07:10] 这一波的一个反弹
[07:12] 除非你用强攻的方式
[07:14] 才能够去让这个之前
[07:17] 不小心被套在高档的投资朋友
[07:20] 改变心意
[07:22] 改变什么心意呢
[07:23] 就是改变他拉起来
[07:24] 要卖掉股票的心意
[07:26] 这就人性啊
[07:28] 这就人性啊
[07:30] 那如果说今天那个盘市还不是很强
[07:33] 这个涨一天跌一天
[07:35] 那之前打定主意
[07:37] 要这个拉高起来
[07:39] 要做解码的这些投资朋友
[07:40] 他其实可能会维持
[07:42] 他们先前的一个想法
[07:44] 甚至他搞不好
[07:45] 干脆就是这个反弹
[07:48] 一点点我就想把它卖掉
[07:49] 不要说这个等太久
[07:51] 尤其是有这种
[07:53] 所谓的用这个融资
[07:54] 或者是开杠杆的投资朋友
[07:57] 我觉得这个都是
[07:58] 有可能会发生的
[07:59] 所以我觉得
[08:00] 回到刚刚赵华的问题
[08:03] 就是現在我的這個情緒上
[08:06] 你要說思維上沒有那麼紅燈
[08:07] 但是它至少還是一個黃燈
[08:10] 還沒有到說完全的開綠燈的一個情況
[08:13] 對
[08:13] 但是個股是可以做的
[08:15] 是
[08:15] 對
[08:16] 這邊有蠻多個股的
[08:18] 像我們今天看到像是華邦店
[08:20] 像是這個華通
[08:22] 哇
[08:23] 他們修正的時間都很久了
[08:25] 就很久了
[08:26] 那麼尤其是像華通
[08:29] 華通對不對
[08:30] 華通我想今天很多人關注
[08:32] 涨天半
[08:32] 对
[08:33] 其实他们都有一个共同点
[08:35] 就是他们基本上
[08:36] 股价经过修正
[08:38] 而且有大多数的个股
[08:40] 它其实在整个股价的
[08:42] 一个修正的位置点
[08:44] 有些是来到了季线
[08:46] 有些是来到半年线
[08:47] OK 好
[08:48] 所以在这种情况之下
[08:50] 这种个股
[08:51] 目前我观察到
[08:52] 今天上涨的个股里面
[08:54] 蛮多是这一种类型的
[08:56] 所以我觉得对整个大盘的
[08:58] 我的这边的一个评断就是
[09:01] 现在大盘比较高的几率
[09:04] 还是维持一个高档的震荡
[09:07] 然后已经修正过的
[09:10] 过去高本益比的这些公司
[09:12] 在经过修正
[09:13] 尤其是在整个充满也换过手之后
[09:16] 它的股价又会开始出现
[09:18] 就是反弹的一个走高结构
[09:21] 但是会不会像过去一样
[09:23] 我随便设飞镖都会中
[09:26] 然后随便设随便买都会赚钱的
[09:28] 这种甜蜜期
[09:30] 可能以目前台北股市
[09:32] 这样子的成交量来看
[09:33] 比较不容易再看到
[09:35] 所以投资没有
[09:36] 这边来讲
[09:37] 第一个个股的选择要小心
[09:39] 或者是说
[09:40] 可以参考刚刚赵华所说的
[09:42] 就是你可以
[09:43] 着量布局一些ETF
[09:45] 逢低去布局一些ETF
[09:47] 因为这个
[09:48] 对于这种所谓的
[09:50] 行情的波动来讲
[09:51] ETF它的波动
[09:52] 会相对比较少
[09:53] 那换句话说
[09:54] 其实我们点印就是
[09:55] 拉长我们去做布局的时间
[09:58] 好
[09:59] 真的因为刚刚韦泰讲的
[10:02] 个股的融资维持率
[10:04] 跟大盘的融资维持率不一样
[10:06] 不一样
[10:07] 因为如果以大盘来说
[10:09] 大家之前也有些达人也有统计过
[10:12] 可能真的是要修正到4万点
[10:14] 甚至低于4万点
[10:16] 它才会出现所谓大规模的集体断头潮
[10:20] 可是个股不一样
[10:21] 个股很多叠三成
[10:22] 四成的都有
[10:24] 像国巨这一波
[10:25] 从最高点到最低点
[10:26] 几乎就是要四成
[10:28] 华新科也是
[10:29] 就被动元件里面
[10:30] 就还蛮多这样的例子的
[10:31] 低轨卫星也是
[10:33] 就是这个高低点一下来
[10:35] 超过四成的
[10:36] 如果是用融资的朋友
[10:38] 又是追高的话
[10:39] 在个股的融资维持率上面
[10:41] 事实上有蛮多
[10:43] 是面临到断头
[10:44] 所以大家才会在这两天
[10:45] 有陆续看到
[10:46] 这个违约交割的问题
[10:48] 断头出场的问题
[10:49] 这个是在个股上面会发生的
[10:52] 所以大家还是要注意一下说
[10:54] 不只是大盘的问题其实热门的股票涨跌起落真的非常的大这个大家要留意但掉下来可以接什么这个我们也常常在聊掉下来可以接什么
[11:05] 那像今天为什么我看到设备股起来
[11:07] 会觉得比较高兴
[11:08] 因为设备股就是我觉得
[11:10] 掉下来我个人会比较放心的
[11:12] 这件事情跟大家聊过
[11:14] 真的是蛮多次的
[11:15] 都订单满手了
[11:16] 当然设备股的范围非常的广
[11:19] 那买一些大的指标性的
[11:21] 我觉得问题真的不太多
[11:23] 就是例如说我常常讲
[11:25] 什么雅祥汉堂啊
[11:26] 对不对
[11:26] 就是你一听就
[11:27] 好像有点无聊
[11:29] 可是就是这样
[11:29] 对啊
[11:30] 然后你说什么再生金元
[11:33] 钻石蝶中沙啊
[11:34] 这类型的
[11:35] 那也有一些蝶比较深的
[11:37] 像什么万润
[11:37] 对不对
[11:38] 其实真的是各色各样蛮多的
[11:41] 小的不能确定状况的话
[11:43] 就买指标的
[11:44] 大的
[11:44] 我觉得真的叫做问题不太多
[11:46] 就需要一点耐性
[11:48] 所以如果在沙下来的时候
[11:49] 其实我常常讲减压减压
[11:52] 我就比较不会去碰它们
[11:53] 然后包括其实风策也是
[11:55] 对
[11:55] 所以这个
[11:56] 好像还是很喜欢半导体
[11:58] 这个真的有点偏心
[11:59] 因为昨天就有人说
[12:00] 那你被动
[12:01] 我说我被动真的减码蛮多的
[12:03] 而且可能运气比较好一点
[12:04] 之前是觉得卖飞嘛
[12:06] 那后来就觉得
[12:07] 现在看起来没有卖飞
[12:08] 那还有就是
[12:09] 这两天我也讲说
[12:11] 例如说像柴青科这种
[12:12] 我买的很低的
[12:13] 就忍痛咯
[12:14] 因为它往季线靠拢了
[12:16] 我觉得形态真的不太好
[12:17] 我就把它卖掉了
[12:18] 诸如此类
[12:19] 整体来说
[12:20] 被动还是给了我相当不错的一段快乐的回忆
[12:24] 手上有还有剩很少
[12:26] 说实话大部分应该80%都已经在见了
[12:29] 那要不要接回来
[12:31] 我当然也会观察
[12:33] 像今天的话太阳诱电就质问了
[12:35] 事实上国际市场我们真的要留意
[12:38] 因为被动这一波
[12:39] 国际市场跌的比我们更加的夸张
[12:42] 就是有一些都是腰斩
[12:44] 刚刚讲到太阳诱电
[12:46] 对不对
[12:46] 国际也是跌四十几趴
[12:48] 所以后来国际就跟上了
[12:50] 那如果他们指吻
[12:52] 我们当然也有机会指吻
[12:53] 好例如说虽然我自己个人
[12:55] 对记忆体的操作不是很擅长
[12:57] 可是当你看到海力士回吻的时候
[12:59] 你也会知道
[13:00] 记忆体狭带着非常厉害的财报
[13:03] 非常大的缺口
[13:05] 那他们还是很有机会
[13:07] 我觉得这些都是值得观察
[13:09] 还有像盘面上
[13:10] 比较无法用本意比评断的
[13:13] 像细光子好了
[13:14] 有几段时间已经不太好
[13:16] 跟大家聊细光子
[13:17] 因为真的叠很重
[13:18] 说实话也不是有很明确的止叠讯号
[13:21] 其实有一度它还有领头羊
[13:23] 就是例如它扩散到大立光
[13:25] 扩散到预金光
[13:26] 就是光学概念
[13:27] 扩散到LED
[13:28] 它还有一些扩散的效应
[13:30] 但是等它们扩散完也都在修正了
[13:32] 那就变得很难讲
[13:34] 但是现在看起来
[13:35] 矽光子确实在今天也有展现
[13:37] 想要反攻的力道
[13:39] 然后看看美股AOI流明
[13:41] 也都有一些止稳的现象
[13:43] 我觉得对这个族群
[13:44] 还是很有兴趣的朋友
[13:45] 一定要记得一件事情
[13:47] 因为您买的一定是他的未来
[13:49] 还有就是在杂音中的淬炼
[13:52] 包括昨天也有讲
[13:54] 汇达可能采用新的NPO技术
[13:57] 也许就不跟台积电合作了
[13:59] 我跟你讲
[14:01] 所有讲到他不跟台积电合作的
[14:03] 都可以先稍微打一个叉叉
[14:05] 没有那么容易不跟台积电合作
[14:08] 但是在新的产品技术规格发展中
[14:13] 一定会有很多条的路做选项
[14:15] 这个也是我们必须要面对的
[14:17] 就像康宁说
[14:19] 他有什么玻璃敲击技术
[14:20] 明明只是在一个
[14:21] 技术发表会上讲一下的
[14:23] 他就可以拿来大做文章
[14:24] 说完蛋了
[14:25] 全部都要用那个了
[14:25] 这些都蛮讨人厌
[14:28] 可是他就是事实
[14:29] 他会有很多条路可以选
[14:30] 可是你要认的是
[14:32] 认的是大哥
[14:33] 例如说
[14:34] 谁谁谁
[14:34] 他就不会用台积电的
[14:35] 谁谁谁就从台积电就转单了
[14:38] 这些你都最少
[14:39] 至少先打一个问号
[14:41] 对
[14:41] 没有这么容易
[14:43] 没有那么简单
[14:44] 没有那么轻易的会从世界第一
[14:47] 那么积极在研发先进技术的厂商
[14:50] 这个龙头里面把东西给转走
[14:53] 所以我觉得这些至少大家在盘面上
[14:56] 可以择其所爱
[14:58] 择己自己可以看得下去的理解的公司
[15:01] 来做选择
[15:02] 那刚刚韦泰也讲了
[15:03] 其实虽然最近大家对主动CTF
[15:05] 颇有为词
[15:07] 觉得说跑输大盘
[15:09] 跑输市值
[15:10] 非常之正常啊
[15:11] 因为撑盘的要角就是台积电嘛
[15:14] 大家对产品要一点点概念
[15:16] 不需要有微词
[15:17] 那像昨天很多的主动式CTF
[15:19] 跌个5% 6%
[15:20] 他就是跟着贵买
[15:21] 中小型股在跑
[15:22] 都非常正常
[15:23] 我还看过跌到8%的
[15:24] 但是我还是相信
[15:27] 经理人在一篮子悬股里面
[15:29] 他终究是有比较好的实力
[15:30] 很多人说就是因为主动式
[15:32] 规模太大
[15:33] 所以才会出现中小型股人才人
[15:36] 我还是再度强调
[15:37] 在短暂上面
[15:39] 有可能会因为
[15:40] 他们必须有停损或什么
[15:42] 造成了个股卖压比较沉重
[15:45] 可是以中长线来看
[15:46] 会变成人才人崩盘
[15:48] 不会是因为商品
[15:51] 至少以他们的规模
[15:53] 我觉得现在不可能
[15:54] 它终究会是一个总经济市
[15:57] 或是产业面
[15:58] 或是整体基本面的转坏
[16:00] 或是你无法预料的黑天鹅
[16:02] 它才会变成是一个崩盘的状况
[16:05] 我觉得这个事情要理清
[16:07] 所以在我们的基本面状况
[16:09] 非常理想的状况下
[16:10] 我觉得不用这么样的去担心
[16:13] 人才人这一题又从去面拿出来讲
[16:15] 不会的啦
[16:16] 但是量确实没有出来
[16:17] 可见得大家现在信心是还没有完全回笼的
[16:20] 没有错
[16:22] 但是我刚刚提到
[16:23] 就是说在个股的部分
[16:25] 因为其实刚刚我们也看到了
[16:27] 就是蛮多的一些跌升的个股
[16:31] 这边其实有的跌到两成
[16:34] 有的跌到三成
[16:35] 所以反而是在过去这一个月
[16:38] 假设它的股价的跌幅
[16:41] 相对比较重的这些个股
[16:45] 如果说它在整个的营收的表现上
[16:50] 或者是在基本面的表现上
[16:54] 都没有说出现太明显的转弱的话
[16:59] 我倒觉得这边其实
[17:01] 有些个股是可以去做留意
[17:03] 我们来看看
[17:04] 我们举个例子
[17:06] 例如说如果说就累计前六个月
[17:12] 营收成长超过三成的公司
[17:15] 假设过去这一个月以来
[17:19] 它的跌幅将近三成
[17:22] 或者是逼近三成的一个个股
[17:24] 有些机油股
[17:25] 例如说像今天
[17:27] 停止交易的森达克
[17:30] 我觉得森达克是我一直在观察的
[17:33] 因为它真的跌很惨
[17:35] 对 它真的跌得很重
[17:36] 最近20天它跌将近30%
[17:40] 但实际上它在今年的整个所谓的营收的表现上
[17:46] 其实都相当相当的不错
[17:49] 所以类似这样子的一个公司
[17:51] 我觉得我就会去特别去做一个观察
[17:54] 除了圣达科之外
[17:57] 还有我觉得有一些
[17:59] 例如说像这个所谓的一个我们的古王信华
[18:03] 他也是叠了30%左右的幅度
[18:07] 信华之前第一次人家出报告
[18:09] 那时候还没万元
[18:10] 就跟他说会12345
[18:12] 有一天信华就12345了
[18:14] 就信华涨到17000 18000的时候
[18:17] 就有再出报告
[18:18] 说他会23456
[18:19] 就这次回到12345了
[18:21] 我很密切在观察
[18:27] 看得出来赵华对数字很敏感
[18:30] 我是对顺子很敏感
[18:33] 然后还有像是富士达
[18:37] 富士达它最高的价格
[18:39] 曾经是2275
[18:41] 那么在近期
[18:42] 今天售盘价是1320
[18:45] 其实高价股都腰斩了很多
[18:47] 对 它本益比现在只剩下20倍左右
[18:50] 那当然还有像影威
[18:52] 这种所谓的测试相关的个股
[18:55] 这些都是之前涨很多
[18:59] 然后在最近这一个月有比较明显拉回
[19:01] 那我觉得基本面还不错的公司
[19:03] 那还有一些提早拉回
[19:06] 但提早在低档做打底的
[19:09] 反而是例如说像是茂联
[19:11] 茂联这种个股提早早就拉回
[19:14] 那么它在整个的一个股价
[19:16] 其实现在也是将近有一个多月的时间
[19:21] 在这边做横盘
[19:22] 像这种个股我觉得
[19:24] 其实因为它的营收的表现都还不错
[19:28] 然后其实股价也经过两成
[19:31] 甚至两成以上的修正
[19:32] 像这种个股呢
[19:34] 我觉得如果是以前的我的话
[19:37] 怎么了怎么了
[19:39] 以前的你怎么样
[19:40] 我很喜欢做这种所谓的
[19:42] 跌身然后去抢反弹的这种股票
[19:45] 对对对
[19:46] 如果说还要搭配着什么
[19:48] 这个筹码
[19:49] 大量的换手融资砍一砍
[19:52] 这个筹码清了之后
[19:53] 这些个股真的是
[19:55] 黄金又下脚
[19:56] 真的是非常吸引我
[19:57] 那现在你怎样了
[20:01] 现在我会比较看一些比较波段性的一些个股
[20:10] 就是比较是
[20:11] 我觉得我可以买来
[20:13] 希望可以爆长一点的
[20:14] 对对对
[20:14] 而且可能大家可能不是这么明确的去提到他的一些个股
[20:20] 例如说像人保
[20:23] 好你真的是好心人
[20:25] 真的真的
[20:26] 其实我看的其实不是只有人保
[20:29] 我看是金人堡集团
[20:31] 对
[20:32] 因为其实在这种所谓的逐鹿中原
[20:35] 逐鹿AI这个未来大趋势情况下
[20:39] 我其实觉得
[20:40] 我们从前年开始看
[20:43] 其实你说要单打独斗
[20:45] 然后要接到单子
[20:46] 然后一直能够一直赢一直赢
[20:49] 我觉得机会有点小
[20:51] 我觉得拼到后来
[20:53] 一定都是资源大的这个集团
[20:56] 才有辦法去獲得更多的一個訂單
[21:01] 這件事情其實很現實
[21:03] 我要跟貴分享
[21:05] 就我最近在call一些公司
[21:07] 他們都會覺得因為原物料成本在增加
[21:12] 被動元件在漲
[21:14] 集體在漲
[21:16] 什麼東西都在漲
[21:17] 所以你如果說你的公司沒有一定的底子的話
[21:21] 你是沒有辦法接到單
[21:23] 或者是人家根本就是
[21:26] 不会把单下给你
[21:28] 那你可能自己的财务状况
[21:30] 你也会做的
[21:31] 这叫做什么
[21:32] 捉襟见肘
[21:33] 对
[21:34] 所以其实我觉得
[21:36] 如果把眼光放远来看的话
[21:38] 我觉得未来在这一块
[21:40] 其实有集团资源的
[21:42] 还是会比较吃香
[21:44] 是
[21:44] 那以目前来讲
[21:46] 这个金人宝集团
[21:48] 是我一直在观察
[21:49] 因为它其实从半年前开始
[21:52] 其实更精准的来讲
[21:54] 应该是说从第一次的赵元燕开始你说没有人保所以还要去逛夜市我觉得这句话很伤对没有人保
[22:05] 对这句话
[22:06] 电子五哥呢
[22:08] 对不对
[22:08] 电子五哥竟然被人家讲没有人保
[22:11] 对因为那时候班上同学
[22:12] 有一个是人保的高层
[22:14] 我们也是跟他讲
[22:15] 他说真的也是很无言很无奈
[22:17] 对
[22:18] 因为那一次的缺席
[22:20] 我觉得伤害真的相当的大
[22:22] 对对好
[22:23] 那不过没有关系啊
[22:24] 他最近这半年呢
[22:26] 他其实就是很积极的
[22:28] 在做一些所谓的一个
[22:30] 迎头赶上的动作
[22:31] 所以都有人保了哟
[22:32] 对
[22:33] 就没有再去逛夜市
[22:34] 没有没有拖着
[22:35] 汤总统董事长去逛夜市
[22:37] 好
[22:38] 那所以我们看到
[22:39] 我们就以人保或者是汤叔
[22:42] 他们其实在最近这
[22:44] 两三个月的一个业绩表现
[22:46] 你看像人保
[22:47] 他的六月费营收年月双正
[22:49] 而且呢
[22:51] 它的MOM36%不說
[22:53] 它的YY58.38
[22:55] 這個是六月份
[22:57] 一般來講
[22:59] 如果說
[22:59] 這個是NB所造成的
[23:02] 我不太相信
[23:02] 我不太相信是NB
[23:04] OK
[23:05] 我覺得這個基本上
[23:06] 一定是它在某一些
[23:07] 所謂新的產品線上
[23:08] 有它的一些斬獲
[23:10] 同樣的
[23:12] 像金寶也是
[23:14] 金寶它在六月份收
[23:17] 這一個也是年月雙增
[23:20] 月增20%
[23:21] 年增32%
[23:23] 他年增都比月增都还高
[23:25] 那么今天他盘中也是出现一波的一个急拉
[23:29] 这两档个股都是三字头
[23:31] 然后6282的康处
[23:34] 当然这个也是我一直在长期做关注
[23:37] 因为在Power这一块
[23:39] 我觉得他们虽然说
[23:42] 比不上所谓的光宝科或者是台达电
[23:45] 但是我想请集团之力
[23:48] 總不會說一直在原地踏步
[23:51] 所以它在6月份營收MOM是16%
[23:54] YY也是一樣28.28%
[23:57] 也是明顯的大於就是月整率的表現
[24:00] 現在的一個股價就是56塊多
[24:05] 這都是我自己會看就是在100塊錢以下
[24:09] 然後我覺得它或許在之前
[24:12] 沒有Gain到很多AI相關的Revenue跟Profit
[24:16] 但是可能未来这一块
[24:18] 它会逐步的在做成长
[24:20] 那么这一块
[24:21] 我觉得就可以去
[24:23] 比较安心的去做一些
[24:24] 所谓的布局
[24:25] 因为我相信
[24:26] 假设AI未来三年跟五年
[24:28] 都不会泡沫化或消失的话
[24:31] 这些有在成长的
[24:32] 有在转型
[24:34] 或者是在这个
[24:35] 所谓的努力的这些公司
[24:37] 理论上他们的股价
[24:38] 应该会给他一点机会
[24:41] 其实韦泰讲到一个
[24:42] 很大的重点
[24:43] 是因为他们现在的营收
[24:45] 有表现了
[24:46] 这个里面分几个层次
[24:48] 为什么在第一批
[24:49] 没有人保
[24:50] 那有点开玩笑
[24:51] 可是另外一个角度来看的话
[24:53] 其实其他的AI大厂
[24:55] 都有历经过营收
[24:57] 获利高速成长的时候
[24:59] 这个伟创广达
[25:02] 甚至鸿海
[25:03] 那么大的体积
[25:04] 它都有曾经出现过营收
[25:07] 非常明显成长
[25:08] 但是人保就是慢
[25:09] 必须讲
[25:10] 不只是一个议题上
[25:11] 跟他开玩笑
[25:12] 他慢
[25:13] 他慢当然市场就很现实
[25:15] 要是你今天
[25:16] 你就算没有参加
[25:17] 这个兆元宴好了
[25:18] 可是你的营收也是
[25:19] 年增率几十趴
[25:21] 三十
[25:21] 这个三位数成长的话
[25:24] 不会有人忽略你的
[25:25] 可是因为现在看起来
[25:27] 到了截至
[25:28] 目前为止截出来的六月营收
[25:29] 有啊
[25:30] 出现成长了
[25:31] 是一个状况
[25:32] 持续好转的状态
[25:34] 所以韦泰才会讲说
[25:35] 他常常讲
[25:35] 不是叫右下角就是好
[25:37] 所谓的黄金右下角
[25:39] 你是要有一些条件齐聚的
[25:41] 再不然最扎实的
[25:42] 就是基本面的上扬
[25:43] 再不然就是你
[25:45] 法人筹码
[25:45] 或是有一些大户资金
[25:46] 提前做卡位
[25:48] 这些都是非常非常重要的事情
[25:50] 所以金融宝集团
[25:51] 为他一直不离不弃的送难
[25:54] 因为他有时候会有一些题材
[25:56] 例如说金宝好了
[25:57] 低轨卫星
[25:57] 大家应该还有印象
[25:58] 就有一次尾牙就吃了成十刀沙包
[26:01] 就突然说自己低轨卫星怎样怎样
[26:02] 后来又有弥补
[26:03] 就说会了
[26:04] 会有再回来单子
[26:06] 可是后来低轨卫星的题材
[26:07] 刚看圣达克就知道了
[26:09] 盘面上冷掉了
[26:10] 冷掉了
[26:11] 那量子电脑
[26:13] 对不对
[26:13] 可是量子电脑说实话
[26:15] 它毕竟也是一个
[26:16] 比较本梦比的东西
[26:17] 可是有集团的力量
[26:19] 可以抵抗一个什么事情
[26:21] 抵抗零组件的涨价
[26:22] 这个不开玩笑
[26:24] 这个记忆体在涨
[26:25] 其实如果大家去
[26:26] 打听一下的话
[26:28] 很多PC端NB端的厂商
[26:30] 是苦不堪言
[26:31] 苦不堪言
[26:33] 如果你没有一个家底的话
[26:35] 你怎么样去吃得下
[26:37] 这个记忆体的涨价
[26:38] 或其他零组件的涨价
[26:39] 真的很痛苦哦
[26:41] 所以维泰的观察
[26:42] 是很细腻的
[26:43] 不是平白无故的送暖
[26:44] 是要长期的追踪
[26:46] 长期追踪这件事情
[26:47] 不容易有一个题外话
[26:48] 刚刚在讲的时候
[26:49] 我就突然想到
[26:50] 因为这一两年AI非常的热
[26:51] 所以我们都会说
[26:52] 资金有效率的话
[26:53] 你可能就是尽量把钱
[26:55] 要放在这个AI上面
