[00:00] 欢迎收听赵华与古破仔第1074集
[03:49] 而不是什么暴转大转
[03:50] 赌啊压啊抄底
[03:52] 所以各种资讯
[03:53] 都会显得非常的慎重跟重要
[03:56] 那韦泰就说他观察到大户
[03:57] 其实在这样
[03:58] 有点风雨飘摇的时候
[04:00] 已经拐点出现
[04:01] 已经进去布局了
[04:02] 所以那天我们也如实
[04:03] 把韦泰的观察
[04:04] 跟大家做分享
[04:05] 而那一天现在看起来
[04:07] 他真的就是一个拐点
[04:09] 他真是一个拐点
[04:11] 所以有时候很有趣
[04:13] 像前两天这个幸福哥来
[04:14] 他就说他那两周都在欧洲玩
[04:17] 所以他都睡觉的时候
[04:19] 台股要开盘
[04:19] 起床的时候
[04:20] 台股已经收盘
[04:21] 所以他都没有参与
[04:22] 他没有参与
[04:22] 就没有被折磨到
[04:23] 我们天天做节目
[04:26] 我们就被折磨到
[04:28] 那这个维泰这边的话
[04:30] 先帮我们讲一下
[04:31] 当然现在涨上来了
[04:33] 甚至离历史新高
[04:34] 只差了三四百点了
[04:35] 有没有什么
[04:37] 需要注意的
[04:38] 还是其实
[04:38] 就这么热起来了
[04:39] 因为大户你讲了
[04:40] 他已经进来卡位了
[04:42] 好
[04:42] 如果说从这几天的
[04:45] 一个盘试来看
[04:46] 其实目前
[04:47] 我个人认为短线上面还没有说立即的败向
[04:51] 那么尤其是在今天我们看到很多
[04:55] 这个全值股或者是指标股的一个部分
[04:59] 以台湾50成分股来讲
[05:01] 今天涨幅最大的是智邦
[05:03] 智邦今天涨了8.58%
[05:07] 然后其次是台光电
[05:08] 台光电涨了6.21%
[05:11] 然后再来是台达电
[05:12] 涨了5.47%
[05:15] 然后接下来就是南亚科
[05:17] 世青KY
[05:18] 还有光宝科
[05:20] 联电 华邦电
[05:22] 广达 川湖 台积电
[05:25] 这些个股基本上
[05:28] 他们都是在整个
[05:30] 所谓的AI的一个浪潮里面
[05:32] 算是重要的指标股
[05:34] 也算是基本面相对好的一个公司
[05:37] 所以在市场上面的资金
[05:40] 都涌入这些好股票的时候
[05:43] 我基本上认为
[05:45] 目前的一个行情没有太大的一个危机
[05:48] 常常有人在问说
[05:51] 到底是涨真的涨假的
[05:52] 那我跟各位分享一下
[05:55] 如果今天的资金是涌入到一些
[05:58] 比较转机跟投机的个股上面
[06:01] 那因为转机股跟投机股
[06:03] 他们本来就撑不久
[06:05] 所以就会变成说
[06:07] 那这一波就有可能是涨假的
[06:09] 我想我们举个例子
[06:11] 那所以呢
[06:13] 我觉得以目前的盘式来看
[06:15] 如果涨的都还是这些好股票的话
[06:17] 那基本上呢
[06:19] 大家也就不要太担心说
[06:21] 这个行情到底是涨真的还涨假的
[06:24] 那么三月份的营收
[06:27] 刚刚赵华有提到
[06:28] 就交出了蛮亮丽的一个成绩单
[06:31] 那如果说就整个这个月营收的一个表现
[06:36] 三月份营收
[06:37] 因为今天是这个十号了嘛
[06:40] 那么创新高的加速153加
[06:43] 好高
[06:45] 153家创历史新高
[06:47] 对153家
[06:49] 那会不会持续下去
[06:51] 有这么好的成绩
[06:52] 我个人认为有可能
[06:54] 这个关系到我今天早上
[06:56] 去拜访一家上柜公司的财务长
[07:00] 他跟我讲说
[07:02] 他跟我分享
[07:04] 他跟我分享说
[07:05] 为什么这个
[07:06] 现在的业绩跟订单
[07:08] 我的市场上面这么好
[07:10] 跟过往完全不一样
[07:13] 主要原因就是因为
[07:17] 在过去一个是中国
[07:21] 它是世界的工厂
[07:22] 一个是美国
[07:24] 它是世界的市场
[07:26] 过去我们两个是好朋友
[07:29] 当然产能的部分
[07:32] 产量的部分就会
[07:34] 按照国际贸易的正常的一个走法在走
[07:37] 可是现在两个国家在闹别扭
[07:41] 你不跟我好
[07:43] 我也不跟你好
[07:44] 那结果呢
[07:45] 就是这个
[07:46] 我们常常讲说
[07:47] 这个大家都不要去跟中国买东西
[07:51] 那可是以前的那一些
[07:53] 在中国设厂的那一些的一个厂
[07:56] 那些公司
[07:57] 你说他要马上转去越南
[08:00] 转去印度
[08:02] 转去其他多亚国家
[08:04] 马上就设厂
[08:05] 而且是马上ready好
[08:07] 然后量产
[08:08] 其实难度是有点高的
[08:11] 有些人有转
[08:12] 可是毕竟他们转的并不是全部
[08:15] 所以其实就会有一些订单
[08:17] 过往都塞在
[08:18] 都往中国里面塞的这些订单
[08:21] 就开始往外面去找地方去下单
[08:24] 这就是我们在今年初跟大家讲说
[08:27] 今年的订单会有外溢效果的
[08:30] 另外一个意义
[08:32] 那所以如果说这个国际局势
[08:34] 没有太大改变的话
[08:35] 他认为说其实未来
[08:38] 这个很多的这些
[08:40] 過去我們被中國吃得死死的這些的一個產業
[08:44] 那可能他們的訂單都會回來
[08:47] 所以包括像是面板
[08:50] LED
[08:52] 這些在過去我們所謂的四大產業也好
[08:57] 或怎麼樣
[08:58] 其實在過去因為被中國吃得死死的
[09:00] 那麼現在呢
[09:02] 大家不願意去跟中國拿訂單了
[09:05] 那為什麼中國當時有辦法拿到訂單
[09:08] 因为有这些所谓的补贴
[09:10] 可现在中国陆陆续续
[09:12] 针对这些补贴
[09:13] 它也慢慢慢慢的就是拿掉
[09:16] 在新的客户所要给订单
[09:20] 大概就不会有给到中国的机会
[09:23] 所以反而就台湾的厂商
[09:25] 就有这样子的机会产生
[09:27] 所以为什么我一直在看
[09:29] 就是说除了半导体之外
[09:30] 其他的零组件
[09:33] 或者是我们所谓的组装厂商
[09:36] 我个人觉得
[09:37] 其实他们现在有些个股还在相对抵挡
[09:40] 并不是不会涨
[09:42] 而是现在的市场上面的资金
[09:45] 那些聪明的钱还没有想到那些
[09:47] 不过说实话
[09:50] 如果冷静下来
[09:51] 你要我去追那种四五十倍本益比的那种零组件
[09:55] AI相关我实在是买不下去
[09:58] 我反而还是会去回头看
[10:01] 现在就是例如说本益比在20倍上下
[10:03] 或者不到20倍
[10:04] 但是它的基本面跟体质比较好的这些的电子股
[10:09] 或许很多觉得那可能没有什么机会
[10:11] 或者你现在看起来
[10:13] 它没有什么股价上面的动能
[10:16] 例如说大家过去常常抱怨的鸿海
[10:19] 可是我觉得在产业的地位上来讲
[10:22] 它仍然是目前没有什么人可以取代的
[10:25] 所以我觉得站在一个比较稳健操作的一个原则上来讲
[10:29] 我反而觉得说现在
[10:31] 就刚刚赵怀有提到一些投资朋友
[10:34] 三万五好想买
[10:36] 这个时候你想买也很正常
[10:38] 我其实
[10:39] 我最相信的就是人性
[10:41] 想买可以
[10:43] 那就买这些
[10:44] 我们认为相对比较稳健
[10:46] 然后股价
[10:47] 它的本益比没有过高的这些个股
[10:49] 你还是可以买
[10:51] 刚刚韦泰讲的事情
[10:52] 其实也许这几个月没有特别讲
[10:55] 不过以前也讲过类似的事情
[10:57] 对
[10:57] 应该也是韦泰在的时候
[10:59] 因为我们两个都很喜欢跟上特贵公司
[11:01] 进行一些交流跟聊天
[11:03] 那同样的
[11:05] 以前真的就是
[11:06] 我们也没有希望
[11:07] 中国的内需一直不好
[11:08] 坦白说
[11:09] 因为还是蛮多台商
[11:10] 在那边希望能够赚到
[11:12] 不管是中国的内需
[11:13] 或是外销的生意
[11:14] 可是现实上来说
[11:16] 如果没有适度做转移
[11:18] 阵地到其他国家的话
[11:20] 那真的是非常辛苦
[11:22] 非常非常辛苦
[11:23] 我自己有几个朋友
[11:25] 也是台商朋友
[11:27] 那过去五年
[11:29] 五年哦
[11:29] 整整五年
[11:30] 发展是有一点点天差地远
[11:33] 怎么讲
[11:33] 有一位说实话
[11:34] 他就因为他的工厂啊
[11:36] 他的生意当年的客户都在中国
[11:38] 所以他过去五年
[11:39] 他一直期待是中国能够复苏嘛
[11:42] 其实我们那时候也讲
[11:43] 如果中国复苏
[11:44] 还是会对台湾部分的产业
[11:45] 相当的有帮助的哦
[11:47] 刚刚讲到
[11:48] 包括像我们工具机厂商等等的
[11:50] 很多的重症部署都在中国的
[11:53] 可是因为我们很早就有推
[11:54] 所谓新南向啦
[11:55] 或是说台商早就已经有发现一件事
[11:58] 因为古早古早以前就会发生
[12:01] 你生意做得好
[12:02] 最后你可能就会被瓜分嘛
[12:06] 不可能都让你自己一个台商
[12:08] 一直赚一赚
[12:09] 这个是古早古早就有的
[12:11] 这还不是这几年就有的
[12:12] 所以当时
[12:13] 不管有没有推要去新南向
[12:15] 或是有没有要去推其他国家
[12:17] 或是你要亲美还是亲中
[12:18] 其实以前没有那么的清楚的时候
[12:20] 就有人选择
[12:21] 你不可能只放重镇在中国
[12:23] 因为会有被拿走的可能性
[12:26] 这个就大白话啦
[12:27] 我想很多业界人都遇过同样的问题
[12:29] 所以当时就跑去哪里呢
[12:31] 泰国 其实现在真的是一地难求
[12:35] 陪朋友去那边看工厂的地
[12:37] 他说三年涨了五倍
[12:39] 热门的工业区
[12:41] 那个地一地难求很有意思的然后越南越南也非常贵很多的这种比较能够算是你那边的劳工可能稍微比较能跟你算沟通吧
[12:54] 或者是还能够有相对低成本的地方
[12:56] 现在全部都垫上来了
[12:58] 可是无论如何
[12:59] 在这些区域设厂的公司
[13:01] 它就分散了风险
[13:03] 再加上说实话
[13:04] 这两三年
[13:05] 它就有比较明显
[13:07] 你是亲美
[13:08] 还是亲中
[13:09] 还是亲谁
[13:10] 的问题出现了
[13:12] 那也不得不说
[13:13] 我觉得讲这个
[13:14] 也许有人觉得
[13:15] 很政治什么的
[13:16] 不过这几年
[13:17] 我们都一直在讲这个事情
[13:18] 也不是什么奇怪的秘密
[13:19] 或什么政治的倾向
[13:20] 那当然大家就会说
[13:22] 台移电去美国就美积电
[13:23] 你现在就是被美国绑架什么的
[13:25] 也会有这样的说法
[13:26] 但目前为止
[13:27] 在AI的风潮起来的这段时间
[13:30] 也必须讲
[13:32] 这样的方向是对的
[13:34] 就像我们在投资上面
[13:36] 一直说
[13:37] 我们都很喜欢有一些
[13:38] 例如说机油的川产股
[13:39] 我们也很希望
[13:41] 原物料股
[13:41] 是不是因为中国内需好
[13:43] 有一天起来
[13:43] 他也会起来呀
[13:44] 但是AI你一定要有啊
[13:47] 那创新科技的源头在哪里
[13:50] 不好意思
[13:50] 我真的觉得创新科技的源头
[13:52] 他还是来自于美国居多
[13:54] 居多不是说全部都在那里
[13:57] 所以今天在这个客户在美国
[14:00] AI在美国
[14:01] 科技在美国
[14:02] 这样的一个倾向上
[14:03] 那台湾70%
[14:05] 也是以电子外销等等为优势的嘛
[14:08] 所以这一波为什么台股比
[14:10] 美股更强
[14:12] 那当然它就有这个所谓
[14:14] 我们目前人家开餐厅
[14:15] 我们做杯子
[14:17] 我们做碗盘的这个优势
[14:18] 这些都是在营收上面呈现出来
[14:22] 整个体制大改变
[14:23] 种种种种
[14:24] 我们现在用一个比较居高点
[14:26] 来往下看的话
[14:27] 它这些全部的因素
[14:29] 全部都是加在一起的
[14:30] 所以我刚刚讲到说
[14:31] 两个朋友
[14:32] 可能有一个他经营的区域
[14:34] 是日本跟美国
[14:35] 有一个是过去五年
[14:37] 他还是希望固守在中国
[14:39] 后来这五年的差别
[14:40] 我真的说
[14:41] 差异真的非常大
[14:42] 差异真的非常大
[14:44] 我只能这么讲
[14:44] 顾首在美国
[14:45] 跑去做美国跟日本
[14:47] 这一位的发展
[14:48] 现在就有点
[14:49] 如日中天
[14:51] 对
[14:51] 我忘记是赵华跟我讲
[14:55] 说中国的这个朋友
[14:57] 三月份还没有开工
[14:58] 是你跟我说的吗
[15:00] 不是
[15:00] 有开工
[15:01] 只是他们那个利润
[15:02] 和变动很大
[15:03] 就是因为我们的
[15:05] 中国的新年
[15:06] 其实是二月
[15:07] 其实过完年基本上
[15:09] 大家就要陆陆续续回到这个公司
[15:12] 结果我的朋友跟我讲
[15:13] 他们在那边看到是三月份还没有开工
[15:16] 所以应该是说
[15:18] 这个市场上面的一个需求
[15:21] 到目前为止还没有明显的一个复苏
[15:24] 但是是不是真的很糟
[15:26] 或者还要再恶化下去
[15:27] 好像也没有
[15:28] 也没有
[15:28] 其实也没有
[15:29] 也没有
[15:30] 所以现在就是在一个打底的一个阶段
[15:33] 只不过这底呢
[15:34] 到底是那个W底
[15:35] 还是L型底
[15:37] 都不知道是要拖到什么时候
[15:39] 所以在现在来看
[15:41] 我觉得这也算是台湾的一个红利
[15:43] 从过去的所谓的新冠疫情
[15:46] 我们有这个就是接单的红利
[15:48] 到现在中国跟美国
[15:50] 他们的关系没有处得很好
[15:53] 因为我们是
[15:55] 比较跟科技相关的产业
[15:58] 跟美国比较接近
[16:00] 所以我们这边也就是有一些
[16:02] 就是这些的一个红利产生
[16:06] 那想到刚刚赵怀尔问到
[16:09] 有没有什么需要去做观察的
[16:11] 我今天看到Intel的消息
[16:13] 他要说要切先进风扇
[16:16] 你是说跟特斯拉的合作吗
[16:19] 跟马斯克的合作
[16:21] 对
[16:21] 我觉得这个其实或许是一个
[16:25] 或许是一个
[16:27] 大家要去关心
[16:29] 但还没有到要值得去忧虑的地方
[16:32] 我们等一下也可以聊一下这个可以的
[16:34] 对啊
[16:34] 因为其实我以前有个学生
[16:36] 他很早就在Intel
[16:38] 然后他是跟我讲
[16:41] 因为Intel他们的内部的这些
[16:43] 所研发的能力
[16:44] 其实还是很强的
[16:46] 他隐隐约约会觉得
[16:49] maybe有一天Intel会弯道超车
[16:51] 但是目前为止没有看到
[16:54] 是
[16:55] 对
[16:55] 但是我会觉得说
[16:56] 他会这么讲
[16:57] 他又是以前从Intel待过的工程师
[17:01] 所以我个人觉得这件事情
[17:03] 大家还是要把它放在心上
[17:05] 所以接下来Intel还有台积电
[17:10] 当然我觉得台积电目前还是遥遥领先
[17:12] 但是Intel它之后会用什么样的方式
[17:16] 毕竟它毕竟是在美国
[17:17] 可能会有一些补贴或者政策的一些帮忙
[17:22] 现在是美国在补贴了
[17:24] 对有可能
[17:25] 很讨厌一下中国补贴
[17:26] 一下美国补贴了
[17:27] 对
[17:28] 所以这样讲起来
[17:29] 台湾厂商还是蛮厉害的
[17:30] 我们很厉害
[17:31] 对
[17:31] 不管是你什么补贴
[17:33] 我常常是为台湾厂商很骄傲
[17:33] 对
[17:34] 不管你什么补贴
[17:34] 台湾厂商都是能够
[17:36] 这个杀出一条血路
[17:38] 是的
[17:38] 对
[17:38] 蛮厉害的
[17:39] OK
[17:40] 所以我觉得这个可能是我个人
[17:42] 我个人会去观察的一个地方
[17:45] 好
[17:46] 我也觉得我们其实比上市柜公司的老板们
[17:49] 幸运或不幸
[17:51] 不幸的是赚钱
[17:52] 他们真的赚很多
[17:53] 我今天中午刚好跟一个
[17:54] 很久以前认识的
[17:56] 当时的绩效非常好的操盘人
[17:59] 吃个午餐
[17:59] 就赶快赶回东森了
[18:01] 那后来他现在是
[18:02] 已经离开原本台湾的头信了
[18:05] 自己有成立
[18:06] 总之海外的FUN就对了
[18:08] 哇那个获利也是非常好
[18:10] 极度让人羡慕这样子
[18:11] 但是所以我有时候看到一些
[18:13] 上出个公司的朋友
[18:14] 也会觉得哇
[18:15] 这获利真的是
[18:16] 一辈子都赚不到
[18:18] 对不对
[18:19] 但是我们幸运的是什么
[18:20] 他们在那边
[18:21] 你要选择在中国设厂
[18:23] 还是要赶快转到泰国
[18:24] 还是要赶快去抱美国大腿
[18:26] 还要干嘛
[18:27] 他们在忙这个
[18:28] 汇率有没有汇差
[18:29] 问题汇损或是怎么样
[18:30] 我们就只要负责选
[18:33] 现在市场上我想要买谁
[18:36] 而且呢
[18:37] 如果你觉得选单一个股很麻烦
[18:39] 现在市场上
[18:40] 我可以去用ETF
[18:41] 他们来帮我选
[18:43] 所以我觉得我们也是有幸运的地方
[18:46] 小资有小资的确信
[18:48] 他们那些巨资有巨资的快乐跟烦恼
[18:52] 所以刚刚我们讲到
[18:54] 台湾厂商厉不厉害
[18:54] 我觉得是非常厉害
[18:56] 甚至是现在可能你会觉得
[18:58] 很一蹶不振的一些传承类股
[19:00] 也不代表就永远都没有机会
[19:02] 不过呢
[19:03] 也必须讲
[19:04] 这一次的AI风潮
[19:05] 看起来是
[19:06] 是怎么讲
[19:07] 多多少少
[19:09] 大家都要去思考
[19:11] 如何在这个所谓
[19:12] K型化的产业社会里面
[19:14] 找到自己的定位
[19:15] 我觉得这个是多多少少
[19:17] 一定要注意的
[19:18] K型就是指
[19:19] 有一些产业一直往右上上去了
[19:21] 有一些产业可能会一直往右下下来
[19:24] 这个K的情况
[19:25] 我觉得现在在社会跟产业里面
[19:27] 是非常非常之明显的
[19:28] 那至少我们选
[19:30] 在投资的部分
[19:31] 我们就是尽量选K的上缘嘛
[19:34] 那台湾比较得到天时地利人和的是说
[19:37] 刚刚有讲了
[19:37] 我们有非常非常多
[19:39] 就是做电子业
[19:40] 那电子业就比较容易
[19:42] 去跟所谓的AI风潮绑在一起
[19:44] 那不是做电子业的呢
[19:46] 自然会比较辛苦
[19:47] 可是也可以看到
[19:48] 如果今天整体的消费
[19:50] 也能够随着
[19:52] 我们的均富好了
[19:54] 就如果说大家的财产资产薪水
[19:56] 能够有点均富的情况
[19:58] 往上走的时候
[19:59] 消费自然也会容易好
[20:00] 不过因为K型
[20:02] 所以我们要尽量
[20:03] 让我们自己的财富
[20:05] 不要被K型掉了
[20:06] 我们就是要尽量
[20:07] 沿着上缘走
[20:08] 我们在投资上面
[20:10] 我们可以去
[20:10] 同情那些非常非常
[20:12] 被低估的
[20:14] 或者说他们现在
[20:15] 不是他们机会的公司
[20:16] 可是还是尽量把钱
[20:18] 放在有机会的公司上
[20:21] 刚刚韦泰讲的
[20:22] 不管鸿海广达那一类的
[20:23] 广达器还好
[20:24] 广达器形态还蛮强的
[20:26] 说实话
[20:26] 像鸿海好了
[20:27] 他当然有一个议题
[20:29] 我想去年第四季的时候
[20:31] 我们也跟大家聊过
[20:32] 就是采购权的问题
[20:33] 对不对
[20:33] 因为有现在很多的
[20:34] 零组件厂商做大了
[20:36] 做大了的话
[20:36] 美国很多的AI大厂
[20:38] 就会直接跟他们做生意
[20:39] 并不一定要透过
[20:41] 所谓一站式购足
[20:42] 不一定要透过一个
[20:44] 这个欧地链厂商
[20:45] 去帮你把所有的零件搞齐
[20:48] 并不一定需要这样子了
[20:50] 所以鸿海就面临
[20:51] 这样子的一些挑战
[20:52] 可是鸿海自己旗下
[20:54] 有没有在做研发
[20:55] 有没有子公司在做投入
[20:57] 当然有啊
[20:57] 所以鸿海并没有被AI时代淘汰
[21:00] 对
[21:02] 那这样的公司
[21:03] 它在被低估的时候
[21:04] 你就可以看你个人的喜好度
[21:05] 像我可能就比较现实一点
[21:08] 对我一直觉得
[21:09] 务实
[21:09] 我比较现实是因为
[21:11] 它的毛利率真的比较低
[21:12] 我对于毛利率比较低的公司
[21:14] 我相较之下是比较不喜欢
[21:16] 对
[21:17] 所以我还是比较倾向去找
[21:19] 就是毛利率相对比较好的
[21:21] 例如说设备的毛利率
[21:23] 其实就不错
[21:24] PCB的毛利率也都有在拉升
[21:26] 都越拉越高
[21:27] 像这类型的我就会比较喜欢
[21:29] 那台达店为什么会让我觉得比较喜欢
[21:33] 大家都会说光宝科
[21:34] 事实上我也觉得光宝科非常低估
[21:36] 可是因为光宝科缴出来的毛利
[21:38] 你会觉得说
[21:39] 你是不是在学习上面
[21:40] 或是出新的产品上面
[21:42] 其实你还是面临到一些技术瓶颈
[21:44] 所以你比较辛苦一些
[21:46] 可是台下电信机
[21:47] 看来就是三绿三生
[21:48] 所以它本益比很高
[21:50] 它三绿三生
[21:51] 你就知道它应该克服了
[21:52] 它应该克服了某一些
[21:54] 在AI升级
[21:55] 涨价题材里面的一些难关
[21:57] 它应该已经克服了
[21:58] 至于它值不值1700 1800
[22:00] 我觉得这真的又是看到个人去了
[22:02] 要停利也可以
[22:03] 其实今天也是很多人
[22:04] 蛮厉害的
[22:05] 就传讯息说它是停利
[22:06] 等一下来分享几个留言
[22:08] 它今天停利
[22:10] 我觉得也很棒
[22:11] 有人也有问说
[22:14] 谢谢你跟我们讲
[22:15] 这个主动式的ETF啊
[22:17] 这样一路上去真的很开心
[22:19] 可是现在就觉得
[22:20] 一路上去
[22:21] 我要加码
[22:22] 它就变贵啦
[22:23] 我不加码
[22:24] 如果它下来
[22:25] 那我手上的
[22:26] 它又变赔钱啦
[22:28] 这就很不用了
[22:30] 庸人自扰之
[22:31] 那如果你有这样的想法
[22:34] 上去你不想加码
[22:35] 那你就停利一些些嘛
[22:36] 我们常常讲到这件事嘛
[22:38] 停利一些些
[22:39] 像我自己个人
[22:40] 我已经分享大概100次了
[22:42] 就是比较积极型的东西
[22:44] 有时候会考虑20%
[22:45] 做一个停利
[22:46] 当然看个人
[22:47] 像今天有人传讯息给我
[22:48] 他是9%停利
[22:49] 我觉得也没有关系啊
[22:51] 重点在什么你知道吗
[22:52] 重点在你把它停利掉之后
[22:54] 两个事情
[22:55] 第一个
[22:56] 你会不会开始很懊恼说
[22:58] 好像卖飞了耶
[22:59] 下礼拜一台股就创新高
[23:01] 我是不是就卖飞了
[23:02] 如果你会有很严重的心态
[23:03] 可能就要戒掉
[23:04] 这个心态就不行嘛
[23:06] 因为你停利
[23:07] 你就是希望能够获利入袋
[23:09] 后面有没有卖飞
[23:10] 不管你的事
[23:10] 因为你的认知就到这里而已了嘛
[23:12] 对不对
[23:12] 好
[23:13] 第二个
[23:14] 也可以去思考一下
[23:15] OKOK你这一档产品
[23:17] 这一支个股你停利了
[23:18] 你是不是有更好的标的
[23:21] 或更好的转换选择
[23:23] 对
[23:24] 因为我们希望大家不要全部离场
[23:26] 你好歹手上要有一点
[23:28] 在市场里面的小麦
[23:29] 你才会知道市场的卖动
[23:31] 那当然我有看到
[23:33] 有一些比较老手型的会说
[23:34] 我就是觉得
[23:35] 例如假设
[23:36] 细光纸真的我已经赚了一倍了
[23:39] 我就是不想赚后面了
[23:40] 联亚会喷到5000也给他喷了
[23:42] 那我去买
[23:44] 像刚刚可能韦泰讲
[23:45] 一些老AI
[23:46] 因为他至少有殖利率
[23:48] 至少低本一笔
[23:49] 我现在先停利
[23:50] 停博在这边
[23:52] 搞不好就轮到他们
[23:53] 没有轮到他们
[23:54] 我也有股息可以收
[23:55] 我觉得也不错
[23:56] 或者是去买美股的七巨头
[23:59] 搞不好他们之后
[24:01] 资本支出有回收的时候
[24:03] 就轮到他们了
[24:04] 这些都是一些
[24:05] 很好的转换想法
[24:07] 像我个人就是配制做好
[24:09] 你很积极的
[24:10] 你当然可以停利
[24:11] 那你有些核心的
[24:13] 例如你买了一缸子的
[24:14] 005 016 08
[24:16] 这种你就没有什么
[24:17] 特别一定要什么停利
[24:19] 你反而应该是趁低加码
[24:21] 然后让你在即将
[24:22] 例如说要退休啦
[24:23] 或者是你刚好要去买一个房子
[24:25] 好几千万啦
[24:26] 你已经累积了一大笔的部位啊
[24:28] 这时候就很适合拿来用嘛
[24:31] 所以我觉得投资
[24:32] 不用让自己这么烦恼
[24:34] 其实他没有这么烦恼
[24:35] 但他也没有那么简单啦
[24:37] 因为他要克服很多人性上的疑虑
[24:39] 对
[24:40] 我要那个附和一下
[24:43] 刚才那个赵华说
[24:44] 就是我们投资人其实是很幸福的
[24:47] 我们的选择很多
[24:49] 这个股价走落之后
[24:52] 我们就可以换另外一只
[24:53] 但是在做产业的人
[24:58] 他们其实只能够碰到问题
[25:00] 解决问题
[25:01] 他没办法闪
[25:03] 像我今天早上跟财务长在聊
[25:06] 他说因为我们在聊HVDC的事情
[25:09] 我说HVDC从去年第四季开始
[25:13] 就在開始講
[25:16] 講到現在
[25:17] 還沒有一家公司真的做出來
[25:20] 我說會不會拖太久
[25:23] 他說其實
[25:24] 一切都在On Schedule上面 為什麼
[25:27] 他說一個新的產品你光是Design in大概就是要六個月的時間然後Design in完呢大家說好就這樣好那你可以開始送樣送樣再審核
[25:41] 再三個月的時間
[25:43] 三個月審核送樣完之後
[25:46] 可以做了
[25:47] 好四產一個月的時間
[25:49] 一個月四產期完了
[25:52] 好兩個月開始做正式的量產
[25:55] 這樣算一算超過十個到十二個月
[25:58] 所以他在跟我講說
[26:00] 如果运气好
