[00:00] 歡迎收聽趙華一股貨載第1042集
[04:52] 大概我們會用半個小時來看
[04:54] 早上九點半其實就已經報大量
[04:55] 那時候我就跟我們的小編講說
[04:57] 基本上那個大量高不要破
[04:59] 今天這盤就算安全
[05:00] 不過最終還是破了
[05:01] 就告訴你說其實過年期間
[05:03] 退出場的人
[05:05] 基本上在早上九點半之前
[05:07] 就已經把錢通通都怎樣
[05:08] 都已經拿回來進場了
[05:10] 所以基本上這個地方
[05:11] 短線的多頭
[05:13] 會在地方在那進行一個整理
[05:14] 但接下來什麼
[05:15] 接下來就是元宵前後
[05:17] 元宵前後
[05:18] 這個盤會這樣走
[05:19] 再來就是
[05:20] 你看到其實今天是
[05:22] 貴買相對是比較強的
[05:25] 也就是說
[05:26] 你看我們大盤是創新高的
[05:27] 可是我們貴買還沒有創新高
[05:29] 那我們常常在投資上都會講說
[05:31] 人跟小狗的理論
[05:32] 就是人走在前面
[05:33] 大盤已經連三紅了
[05:34] 可是小狗還在很後面的地方
[05:36] 所以這是不對稱的
[05:38] 所以他勢必什麼
[05:39] 要去壓這個大盤
[05:40] 讓這個資金往中小股去
[05:42] 所以今天他就做一件
[05:44] 讓大家有點嚇一跳的事情
[05:46] 就是讓航母
[05:47] 你就好像船艙破了一個洞
[05:49] 因為今天航母最終是收最低
[05:51] 所以讓大家對大盤的氣氛
[05:53] 稍微一點比較謹慎
[05:55] 但是謹慎的東西
[05:56] 其實不缺乏一個樂觀
[05:57] 因為其實今天是百花齊放
[05:59] 但是今天其實開盤的時候
[06:02] 其實我有點擔心
[06:02] 是因為美股在封關期間
[06:05] 其實包括韓國在漲
[06:06] 其實他們都在講HBM的記憶體
[06:08] 就是他們都在講說要擴敞擴敞
[06:10] 然後就大漲
[06:11] 但是臺灣跟HBM沒有什麼關係
[06:14] 再加上其實
[06:15] 不管是美光或三星
[06:18] 其實他們都有DDR5的產能
[06:19] 他們其實
[06:20] 雖然是DDR4沒有
[06:22] 他們還是有DDR5的
[06:23] 所以大家不要說
[06:24] 很一面的
[06:25] 很樂觀的DDR4這件事情
[06:27] 其實DDR4這件事情
[06:29] 基本上我認為
[06:29] 長期上還是有隱憂的
[06:31] 因為人家HBM是卡上AI
[06:33] 那我們的DDR4是卡什麼
[06:35] 是卡一些消費型的產品
[06:37] 所以這基本上就是
[06:38] 我認為是通路上
[06:39] 這地方把庫存都
[06:41] 把產品都卡在手上
[06:43] 所以當然市場上
[06:44] 就是拿不到貨的問題
[06:46] 所以我覺得這個東西
[06:47] 在上半年可能
[06:48] 它就開始會漸漸的進入尾聲
[06:50] 你可以看年終期
[06:52] 這段期間
[06:53] 封關期間其實
[06:54] DDR現貨的報價
[06:55] 其實沒有什麼漲
[06:56] 它是緩緩的爬
[06:57] 它跟這個
[06:58] 你看到美光
[07:00] 不管是看到三星
[07:01] Hanis的股價
[07:02] 的那個走勢
[07:03] 是完全是不一樣的
[07:04] 不一樣
[07:05] 所以也告訴你說
[07:06] 其實今天的基體一開盤
[07:07] 這個拉高
[07:08] 就會有一個壓力
[07:09] 所以今天
[07:10] 還好基體沒有大漲
[07:11] 因為只有基體大漲
[07:12] 其實今天可能
[07:13] 沒辦法百花齊放
[07:14] 因為資金可能就被記憶體鎖起來了
[07:16] 所以今天這個資金是外流的
[07:19] 但是其實過年期間
[07:20] 其實這個記憶體在漲以外
[07:22] 還有一個族群在漲
[07:23] 就是光通訊在漲
[07:24] 像這個美國的這個AOI
[07:27] Lumentary其實都在漲
[07:28] 所以今天帶動了國內的像上泉
[07:31] 像華新光他們就跟著往上漲
[07:34] 所以他們算是師出遊離
[07:36] 就是說他們是有一波國際的股價在帶動
[07:40] 一樣被動元件也是
[07:41] 我們會講
[07:42] 其實國內標準鏈是屬於
[07:44] 比較屬於中低階的
[07:45] 他們其實不是高階
[07:46] 所以他們沒有主動權
[07:48] 他們基本上是跟著日本的聯動
[07:51] 跟日本聯動
[07:52] 那日本人講說現在是太好了
[07:54] 就是需求太強了
[07:55] 所以他們中低階
[07:57] 他們會拿走很多中低階也需要的原料
[07:59] 所以我之前講過
[08:00] 他是跟著原料的報價
[08:02] 跟著被迫要往上漲的當然因為封關期間有很長一段時間所以大家今天因為退場所以就迫不及待就直接把它拉漲停但這種股票你就是還是要注意就是說它的趨勢能不能存在其實今天最強的我認為應該是ABF
[08:18] 因為我們很早就講ABF是一個很特別要注意的族群
[08:21] ABF族群在封關期間其實大抹調昇平等
[08:25] 他把新興跟南電部門要調到500以上
[08:28] 所以當然他一調上去之後
[08:31] 大家就眼睛為之一亮
[08:33] 因為之前的高盛也才給新興360的目標價
[08:37] 其實就離很近了
[08:38] 所以他覺得說才360而已
[08:40] 那是漲一個景碩嗎
[08:41] 就覺得這沒有一個族群的氣勢
[08:43] 所以覺得那就不用看了
[08:45] 可是這次大摩是把整個ABF族群的目標價都往上拉了
[08:50] 所以變成是龍頭一往上拉
[08:52] 其實大家往上拉
[08:53] 然後像南電這種離目標價還更遠的
[08:55] 其實一換就直接亮燈索
[08:57] 所以今天其實ABF是從南電新興景碩一直到真頂KY
[09:01] 連ABF裝置廠商廠廣都亮燈掌底
[09:04] 所以我覺得這個是今天應該是最強的族群
[09:08] 最強的族群
[09:09] 所以其實在今天裡面
[09:11] 其實你要看就是說
[09:11] 什麼是最強的族群
[09:13] 但是有沒有比較弱的
[09:14] 我覺得弱的很奇怪
[09:16] 像我早上就在問說
[09:17] 影位在跌什麼
[09:18] 其實很多人覺得說
[09:19] 有點失去頭緒
[09:21] 就是說他是不是因為漲太多在下跌
[09:23] 但這也是個理由
[09:24] 就是說你可能因為年前
[09:26] 基本上他們都幾乎收在最高的位置
[09:29] 所以年後有人要買
[09:31] 他們就順勢就下車
[09:32] 那這個就要觀察三天
[09:35] 就是說這個能不能
[09:36] 這個氣勢是不是持續這樣子的走勢
[09:38] 如果連續三天
[09:40] 然後破五日均價線
[09:41] 那這個地方就要很小心
[09:43] 就告訴你說
[09:44] 雖然有大家急著要回來市場
[09:46] 可是也有人趁這個時候
[09:47] 默默的在下車
[09:49] 那當然
[09:50] 其實市場上今天還在關注一個
[09:51] 就是語速機器人
[09:53] 就是春晚很亮眼的機器人的表演
[09:56] 但是今天因為剛好卡到
[09:58] 剛這個對等關稅的問題
[09:59] 所以感覺今天的工具機的公司有點壓力
[10:04] 沒錯
[10:04] 那當然就是說
[10:06] 你看這個關稅這件事情
[10:08] 其實我覺得這應該是
[10:09] 今天每一個餐廳節目都要講的東西
[10:11] 就是這個關稅問題
[10:12] 對臺灣到底影響是大還是不大
[10:14] 我個人覺得
[10:15] 因為我們已經跟美國
[10:17] 個別談了一個關稅協議
[10:19] 所以你看歐洲就講說
[10:20] 他們的關稅協議是有效的
[10:22] 凡是已經先談好的
[10:24] 都說自己是有效的
[10:26] 沒有講說自己是沒有效的
[10:27] 沒有講說自己有效
[10:28] 所以你說臺灣要不要
[10:29] 趕快去承認這個關稅這件事情
[10:31] 這個協議的東西
[10:32] 我覺得是要喔
[10:33] 因為大家覺得說我們不要
[10:36] 立法院不要很快透過
[10:37] 基本上我們就可以繼續的等待
[10:39] 但是你要知道
[10:41] 對川普這樣的人而言
[10:42] 你是等待是非常危險的
[10:44] 因為你一旦等待
[10:45] 就表示他還可以再改變
[10:47] 就好像說他睡一覺起來
[10:48] 從10%變成15%
[10:49] 你不知道他會不會醒來之後
[10:51] 開始要對臺灣的半導體
[10:52] 擱很重的關稅
[10:54] 因為你回到原本是
[10:55] 臺灣的半導體是免稅的
[10:57] 可是這本來就不符合川普的期待
[10:59] 川普本來就認為說
[11:00] 你們臺灣的晶片就是因為免稅
[11:02] 所以吃掉我們美國很多晶片市場
[11:04] 廠商的利潤
[11:05] 所以他本來就一直很想對你們積極課稅
[11:07] 只是因為臺電帶槍去投靠
[11:09] 所以臺電搬很多的錢去美國設廠
[11:12] 川普就覺得說
[11:12] 那這樣是可以
[11:14] 暫時可以先不要稅
[11:15] 所以我們要講說
[11:16] 因為他有心智慧去投進去的
[11:17] 所以他可以暫時不課稅
[11:20] 這前提是因為
[11:20] 他有做了很大的資本投入在美國
[11:23] 這跟你現在這件事情基本上
[11:25] 又回到原點
[11:26] 基本上是不太一樣
[11:27] 很多人覺得說
[11:28] 臺鏈好像是被騙了
[11:29] 我覺得不是
[11:30] 基本上臺鏈去美國
[11:32] 它有它的利益基礎
[11:33] 因為它的客戶都在美國
[11:35] 而且以川普目前的這個態勢來講
[11:37] 他根本就不希望
[11:39] 他們的晶片製造
[11:40] 會在美國以外的地方
[11:42] 所以我覺得這件事情
[11:43] 是要趕快迫切去做的
[11:45] 好那你再看一件事情
[11:46] 如果回到原點的話
[11:48] 基本上半導體是免稅的
[11:50] 可是塑膠工具機
[11:52] 他們的稅是疊加的
[11:53] 也就是再加上15%
[11:55] 再加上15%
[11:56] 那就是20幾%
[11:57] 而且你的15%
[11:58] 本來就比日韓來得高
[11:59] 你又疊加上去
[12:01] 基本上你的工具機器
[12:02] 在日韓之間
[12:03] 你就完全沒有競爭力了
[12:04] 所以今天為什麼工具機器
[12:05] 沒有因為機器人被帶動
[12:07] 我覺得可能就是因為這個
[12:08] 就是大家還是覺得
[12:10] 又被打一個巴掌
[12:11] 本來想說
[12:12] 春晚好不容易
[12:13] 終於可以風風光光的上場
[12:15] 結果一開個紅盤
[12:16] 就馬上被修理一頓
[12:17] 所以我覺得這基本上
[12:19] 有個邏輯上的不一樣的差異
[12:21] 所以今天資金是選擇那個
[12:23] 相對來講
[12:23] 比較沒有疑慮的族群
[12:25] 去做供給
[12:26] 所以我們包括像看到
[12:27] 低軌道衛星也漲
[12:30] 這個也是一樣
[12:31] 就是最近很多的衛星在發射
[12:34] 像這個新鏈又發了兩顆上去
[12:36] 而且告訴你說
[12:37] 目前這個低軌道衛星是可以回收的
[12:39] 所以他們就供給有理
[12:42] 就順勢往上拉了
[12:43] 一樣我們剛才講說
[12:44] 光通訊也是一樣
[12:45] 我是供給有理
[12:46] 我沒有雜音
[12:47] 所以今天其實資金是在選擇
[12:50] 比較沒有雜音的族群出手
[12:52] 但是這個盤我剛剛講
[12:53] 因為資金是來到貴買的
[12:55] 所以相對是好一點
[12:56] 我們提醒一下
[12:57] 今天大盤的高點在34212
[12:59] 今天的均價是在33982
[13:02] 可是就是收一個低的位置
[13:04] 所以你接下來要看
[13:05] 大盤如果一直沒有站回33982
[13:08] 基本上這資金都會一直停留在貴買
[13:10] 會一直停留在貴買
[13:12] 這貴買就變成是上漲有理
[13:13] 因為大盤主動把這個發球權讓給你了
[13:17] 由你來當先發
[13:18] 所以資金就一直停留在貴買
[13:20] 所以當大盤又再回33982
[13:23] 就告訴你說
[13:23] 這個資金可能又要輪動回來大盤
[13:25] 那你就可以拿捏
[13:27] 這個盤式的節奏
[13:29] 好 但是剛剛有講到
[13:30] 在貴買
[13:31] 大家的體感
[13:31] 還是會相對比較好一點
[13:33] 當然
[13:33] 因為真的就是叫做
[13:34] 百花齊放嘛
[13:35] 對不對
[13:36] 剛剛提到的
[13:37] 不管是低軌道衛星
[13:38] 或者是說像細光子
[13:40] 我想這個都是
[13:41] 蠻多散戶朋友手中喜歡的
[13:42] 那記憶體今天是有點洗刷
[13:44] 可是因為記憶體
[13:45] 不管是美光或是三星
[13:47] 他們對於未來漲價的期許
[13:48] 看起來都非常的高
[13:50] 那韓股會大漲
[13:52] 自然跟記憶體
[13:53] 也有相當大的關係
[13:54] 不過當然這邊的話
[13:55] 凱哥一直都提醒我們
[13:57] 臺灣並沒有做到HBM
[13:59] 這個是一個事實
[14:00] 那如果中國大陸
[14:01] 在這個DDR3到DDR5中間
[14:03] 這樣的規格
[14:04] 是有能力做量產的話
[14:06] 事實上是要比較留意一點
[14:08] 剛好這個週末
[14:09] 大家如果有follow趙華的臉書
[14:11] 跟IG有知道
[14:12] 我有去拜拜
[14:13] 對不對
[14:14] 那拜拜的時候
[14:15] 中午也有跟同學們聊
[14:16] 那同學就有
[14:17] 蠻大的記憶場裡面的財務長
[14:19] 大家就有去聊說
[14:21] 下半年確實
[14:22] 其實各記憶場都沒有辦法看得非常清楚
[14:25] 但是上半年很缺漲價
[14:28] 這個是沒有疑慮的
[14:29] 所以到底這樣的一個景氣
[14:31] 什麼時候會達到一個平衡點
[14:33] 可能是大家一邊看到記憶體在漲
[14:35] 一邊自己要稍微留意的一個情形
[14:37] 對因為可能你說HBA會很缺
[14:40] 缺到明年後年
[14:41] 但是你說DDR3到DDR5
[14:43] 因為這個產業的結構失衡
[14:45] 所帶動的這個缺貨漲價潮
[14:48] 能夠延續到什麼地方
[14:49] 事實上他們
[14:50] 我個人覺得他們並沒有看的
[14:52] 這麼樣的遠
[14:53] 這可是為什麼常常提醒大家
[14:56] 機體你可以做它會漲
[14:57] 可是你要承擔它的波動風險
[14:59] 會比較高
[15:00] 那剛剛凱哥也有提到說
[15:02] 資金可能會在貴買停留一陣子
[15:04] 那我們現在可能覺得比較好奇的是
[15:07] 其實這段時間日韓股都不錯
[15:09] 可是美股說實話並沒有到非常強
[15:12] 對
[15:12] 那接下來過兩天
[15:14] 輝達要公佈財報
[15:15] 那有可能美股在什麼樣的情況下
[15:18] 可以恢復強
[15:18] 因為川普關稅這件事情
[15:20] 公佈被違法的那一天
[15:23] 美股是漲的
[15:24] 對
[15:24] 可是接下來就感覺上
[15:25] 有點預證乏力
[15:26] 還有就是看來美伊的戰爭
[15:29] 是有可能一觸即發的
[15:32] 對
[15:32] 但這戰爭的事情
[15:34] 我們是沒有辦法做判斷
[15:35] 只能說看起來
[15:37] 這美軍確實有在集結
[15:39] 對有升溫了
[15:40] 但我們回過來看一件事情
[15:41] 就是我們剛才回應
[15:42] 剛剛那個網通的事情
[15:43] 就是其實現在很多的
[15:45] 消費性的電子公司
[15:46] 開始已經在把產品
[15:47] 做改設計的動作
[15:49] 因為去年其實在講
[15:50] 但是就出在嘴巴上面
[15:52] 其實都沒有動作
[15:53] 所以造成
[15:53] 整個他們
[15:54] 變成完全要依賴DDR4
[15:56] 所以現在已經
[15:57] DDR4逼到
[15:58] 他們已經受不了了
[15:59] 所以他們已經
[16:00] 確實就要把產品規格
[16:01] 改成DDR5
[16:02] 那DDR5我剛剛講了
[16:04] 基本上這是
[16:04] 美光跟三星
[16:05] 都還有在製造的
[16:06] 所以你一旦轉到DDR5
[16:08] 其實你現在DDR4的價格
[16:09] 已經貴到比DDR5
[16:10] 還要更貴了
[16:11] 基本上
[16:12] 你的DDR4還要擴敞現在南亞科跟華邦電都要擴敞那他一定也會擴遞DDR4因因為現在最好就是DDR4嘛所以到時候變成是我覺得啦下半年可會兩頭難
[16:24] 就是你的DDR4你賣不出去
[16:27] 你要轉進DDR5
[16:29] 可是DDR5價格又便宜
[16:31] 那你到底要怎麼辦
[16:32] 就是你做東西
[16:34] 感覺第二季我覺得就是你要逢高要先做一點
[16:39] 把腿的動作
[16:40] 接著我來看的就是美國的部分啊其實剛剛
[16:42] 趙豪有講
[16:43] 就是感覺美股最近都不太強
[16:45] 其實我不知道你們注意到
[16:46] 就是自從Google這個聲浪很大之後
[16:49] Google就默默的下來了
[16:50] 其實Google沒有再創新高
[16:52] 其實Google是持續往下走
[16:54] 那我認為這可能跟
[16:56] AI的應用的廠商
[16:59] 可能開始大幅的增加
[17:01] 有點關係
[17:02] 就是感覺上好像AI的晶片的效能
[17:05] 不用再更強了
[17:07] 用現在的既有的NVIDIA的晶片
[17:09] 或是Google的TPU
[17:10] 基本上都可以了
[17:11] 所以造成晶片上的upgrade的積極度就沒有了
[17:17] 所以你可以看到今天很怪
[17:19] 你看國內IP場基本上都跌
[17:20] 創意四星都跌
[17:23] 就告訴你說
[17:25] 他們對於ASIC的再升級這件事情
[17:28] 看起來沒有很大的急迫性
[17:31] 沒有很大的急迫性
[17:32] 但是應用的部分感覺好像持續在展開
[17:35] 所以AI應用展開之後
[17:36] 軟體股反而是下跌的
[17:38] 就是AI也跨入了
[17:40] 這個所謂的安全的部分
[17:43] 就是它可以去偵測
[17:45] 一些安全的東西
[17:46] 所以你看很多
[17:47] 美國的安全的概念股
[17:49] 或者是軟體股
[17:50] 這一波都是大跌的
[17:51] 反而是跌的
[17:52] 對 就是因為
[17:52] AI的應用已經開始
[17:54] 伸出手來了
[17:56] 就是過去大家只知道
[17:57] AI很好用
[17:58] 都是在於收集資料什麼什麼
[18:00] 可是殊不知
[18:01] 其實AI也可以應用在
[18:02] 所謂的安全監控上面
[18:04] 而且在監控你的data
[18:06] 所以這個會讓
[18:07] 現在的軟體公司
[18:08] 或者是相關的應用的公司
[18:10] 相對來講
[18:11] 他就吃了一個悶虧
[18:12] 但就是說
[18:13] 我覺得這還是一個
[18:15] 程度性的差別
[18:17] 就是當你步到一定的程度的時候
[18:19] 我覺得AI還是要再升級
[18:20] 基本還是要再升級
[18:22] 可是可能現階段
[18:23] 可能他就是
[18:23] 開始在做應用的鋪陳
[18:25] 所以我們之前有講過
[18:26] 就是說
[18:27] 魏哲家有講過
[18:28] AI的應用
[18:29] 其實遠遠超過
[18:30] 我們現在硬體的投入
[18:31] 只是你還沒看到而已
[18:33] 等到它整個展開的時候
[18:34] 你就發覺
[18:34] 其實現在AI的投入
[18:35] 根本不夠
[18:36] 所以我覺得
[18:37] 其實它就是一個滾動性
[18:39] 滾動式的一個成長
[18:41] 所以我覺得這邊反而是
[18:42] Google或者是NVIDIA的下來
[18:44] 也許是給大家一個
[18:45] 好的重新進入買點的機會
[18:47] 對
[18:48] 好
[18:48] 因為這個真的需要信心啊
[18:50] 我今天開盤的時候
[18:51] 有個感覺就是
[18:52] 手上有的
[18:53] 漲了
[18:54] 你也不會想要再多加
[18:56] 因為有點覺得
[18:56] 就是漲得蠻貴了
[18:58] 例如說像載板的部分
[19:00] 要我現在這個時候
[19:01] 還要再加碼
[19:02] 真的沒有這個勇氣
[19:03] 但跌了
[19:04] 你會在旁邊看
[19:05] 想說跌了
[19:06] 要有信心這個時候進去撿嗎
[19:08] 也說實話沒有疊很多
[19:10] 例如剛剛我們講到像
[19:11] 銀威金測這型別的
[19:13] 他們都是年前創歷史新高
[19:15] 只是今天吃別而已
[19:16] 所以他並沒有說真的很便宜
[19:18] 然後就這樣看著看著
[19:19] 所以我今天幾乎沒有什麼動作
[19:21] 我想也許這也是很多人今天的想法
[19:23] 不過今天的成交量是不小
[19:25] 還是有很多人在今天
[19:26] 有積極的參與這個交易
[19:28] 但這邊就要來請教凱哥了
[19:30] 因為今天剛剛不管是
[19:32] 今天最整齊的宅版
[19:33] 我已經沒有辦法下手了
[19:35] 然後但宅版接下來會有一連串的法說
[19:37] 我覺得大家還是可以留意
[19:38] 或者說像細光子
[19:39] 即使我再怎麼喜歡細光子
[19:42] 看到今天很多檔細光子創新高的情況下
[19:45] 我也覺得我很難介入
[19:46] 那凱哥會覺得
[19:47] 假如我們後世可期
[19:50] 或者說資金會parking在中小型股的話
[19:53] 你會建議用什麼樣的介入法
[19:55] 或是有沒有什麼樣
[19:56] 剛剛講到委屈的當然是可以考慮
[19:59] 例如說Google概念股
[20:00] 輝達概念股
[20:01] 甚至機器人概念股
[20:02] 但是如果這些已經漲的蠻多
[20:04] 又非常確定他題材很熱的
[20:06] 你會建議怎麼介入
[20:07] 我覺得
[20:08] 現在很熱的股票
[20:10] 就會被分盤
[20:11] 然後通常分盤
[20:13] 我覺得分盤的第二天
[20:15] 是一個好的介入的時間
[20:16] 分盤的第二天
[20:17] 因為你其實可以注意到
[20:19] 進入分盤的時候
[20:19] 他的量會整個縮掉
[20:20] 所以變成是
[20:22] 有大的部位他跑不掉
[20:24] 所以他會變成讓
[20:25] 有人在持續的推動他的時候
[20:27] 他就一直往上跳往上跳
[20:29] 我舉個很明顯的例子
[20:30] 森達克好了
[20:31] 森達克建議來到1500
[20:32] 對
[20:33] 我記得一兩個禮拜前
[20:35] 他在一簽
[20:36] 我有朋友問我說
[20:37] 森達克漲好多了
[20:38] 是不是該賣了
[20:39] 我說看起來公司壓不住
[20:42] 我直接講白
[20:42] 我說公司壓不住
[20:44] 公司也不可能這時候去壓
[20:45] 因為氣勢正強
[20:47] 他就說他覺得差不多了
[20:49] 他想賣
[20:49] 我說好好好
[20:51] 然後他就跟我講說
[20:51] 他覺得好像又要賣
[20:53] 我說你不是已經賣光了嗎
[20:55] 他說沒有
[20:55] 因為你跟我講之後就沒賣
[20:56] 可是我就覺得今天好像又要賣了
[20:59] 可是他如果一天到晚都想要賣
[21:00] 你就讓他賣一點嘛
[21:01] 沒有
[21:02] 我都跟他講說
[21:02] 你想賣你就賣吧
[21:04] 想賣問就是賣
[21:05] 我認為看起來還是會再漲
[21:06] 因為你回來問
[21:07] 我就表示你自己想賣
[21:09] 對不對
[21:09] 沒信心啦
[21:10] 對你就想賣
[21:11] 但是我說
[21:11] 基本上他還在分盤沒結束之前
[21:13] 基本上他的漲勢會持續
[21:15] 反而是分完盤之後
[21:17] 我們常常講嘛
[21:18] 分盤出城門會滑一跤
[21:20] 所以反而那時候
[21:21] 反而是相對比較危險的時間點
[21:23] 所以當氣勢正對的股票
[21:25] 他開始進入分盤了
[21:27] 你就可以去買
[21:27] 例如說像今天盤中
[21:28] 傭制也跌下來了
[21:30] 其實你看他盤後
[21:31] 收盤還是漲的
[21:33] 所以告訴你
[21:33] 其他盤中是有機會
[21:34] 讓你疊去加碼的
[21:36] 反而是收盤它就漲上去
[21:38] 你可能又
[21:39] 你疊沒接你上來
[21:41] 你又要去追
[21:41] 你又覺得
[21:42] 怎麼我之前都沒有加呢
[21:44] 下來都不加
[21:45] 所以這個是
[21:47] 當然一個多頭的
[21:48] 一個操作的邏輯
[21:49] 就是你去買那個分盤
[21:50] 但是剛分盤的
[21:52] 那這種就是會相對比較穩定
[21:54] 因為它量是縮掉了
[21:55] 反而是它要快要出關之前
[21:57] 你就可以順勢先下車
[21:59] 賺一點紅包錢
[22:00] 好
[22:01] 就是
[22:02] 竟然
[22:03] 有朝一日
[22:05] 我們要去買
[22:06] 分盤的股票
[22:07] 但是凱哥講的是
[22:08] 很有道理的
[22:08] 越關越大尾
[22:10] 這件事情
[22:10] 從這個
[22:11] 2025年
[22:13] 大概10月開始吧
[22:14] 我覺得他的態勢
[22:15] 真的很明顯
[22:16] 以前是被關的時候
[22:17] 你氣焰可能會
[22:18] 稍微弱掉
[22:19] 不過現在確實是
[22:20] 進入到全民瘋狂的狀態
[22:22] 也有人說
[22:23] 不算是很瘋狂
[22:24] 因為像今天臺積電
[22:25] 就沒有如預期的大漲
[22:26] 有人說臺積電
[22:27] 搞不好今天就2000
[22:28] 但沒有
[22:29] 今天臺積電
[22:30] 就是因為把空間浪出來
[22:31] 所以才會覺得
[22:33] 每一個熱門產業
[22:34] 好像都有人做一個代表作
[22:36] 那這邊的話來問一下凱哥
