[00:00] 歡迎收聽,趙淮國貨載地1184集AI半導體大爆發,選對投資標的要靠真功夫咯。
[08:52] 股市也是持續上揚,所以憑良心最後還有一道防線而言,現在在講的都是研發軟體之後上市時間是不是應該多檢查,這是整個架構就是這樣,軟體研發後上市前應該多檢查,這是他的說法。
[09:13] 那回過頭來對整個AI的進程會不會有很大影響?
[09:18] 憑良心講我個人覺得也還好。
[09:20] 因為我們反過頭來現在台灣這三年能夠大漲來自於AI資本支出不斷擴增。
[09:29] 大家急著買東西那我們只好賣鏟子。
[09:32] 所以在這段時間我們的獲利很好。
[09:35] 換個角度講就算我剛剛舉個例反向而言假設川普說對他們說的很有道理。
[09:41] 從現在開始一個月內我訂出一個新規範,你新軟體沒達到這個安全標準之前不准上來。
[09:48] 好,就算這個是一個反向很嚴重的狀況,憑良心講對資本支出是不會有影響的。
[09:54] 你覺得那些人,他們現在大家都在搶台積電的晶片,排都排不到。
[09:59] 所以他們絕對不會因為未來軟體上市的時間可能會delay個一點時間,就導致硬體未來就放緩這個訂單的角度。
[10:10] 這是絕對不可能的,所以一層歸一層。
[10:13] 我常常講,這個舉例可能不了解,
[10:16] 從一個角度講,對等關稅,當時那個牌拿出來的時候,
[10:20] 全球重要的市場都課三層的關稅,
[10:23] 假設那個三層的關稅成真,
[10:26] 衝擊的絕對比這個現在還要大的非常非常多。
[10:30] 可是當時那個牌拿出來的時候,
[10:32] 四月當時的四大雲端業者的法說會,
[10:35] 它說法是什麼?關稅歸關稅,怎樣發展我不知道。
[10:39] 但是就算關稅用現在這個角度他們資本支出也不會退出
[10:44] 所以現在才講一個說法令是不是要調整而已
[10:49] 大家就嚇到了
[10:51] 所以我不了解到底害怕什麼
[10:54] 就我自己常會覺得很納悶的
[10:56] 到底在害怕什麼
[10:57] 還是我miss了什麼東西
[10:59] 為什麼我覺得還好大家這麼害怕
[11:02] 我覺得這是我可能我自己比較納悶的部分
[11:05] 其實我覺得反映到台股上面
[11:08] 我覺得大家氣氛當然每一個人在投資市場一定感受不一樣。
[11:13] 以我的感受來說,你說跌得重嗎?也沒有跌很重啊,對不對?
[11:17] 像今天的話一樣是,當然今天有破月線,但是一樣如果跟美股、韓股比起來,我們的位階還是相對比較高姿態整理。
[11:26] 那如果我們一路衝衝衝的時候,其實那時候明翰反而來上節目的時候提到,我們快要逼近歷史前高,這個不太正常,不太正常,因為還有一些難關要過。
[11:34] 但是掉下來的時候,你會看到我們8月營收最終解出來的數據還是非常厲害的年增率,幾乎要年增50%。
[11:42] 當然明漢上禮拜我們也有聊到一件事,月增率有點放緩了,因為畢竟是高原期了,甚至到了10、11、12,有一些公司可能真正的忘記過了,maybe還會有一點點壓力,這個大概我們可以持續觀察。
[11:56] 可是正因為台灣在所有的資本支出中是絕對受惠,所以也可以看得出來要下殺,殺不動,可是悶掉。
[12:06] 就是會覺得那我們再觀察一下好了,也沒有急著這幾天一定要進場嘛。
[12:11] 剛剛明翰也講了禮拜四還有聯準會的利率決策會議,明天有台子期的結算,禮拜五有美國的四五日,還有日央可能要升息。
[12:19] 那當然最希望是這幾天這個什麼AI降規啊、降速啊、不要發展啊,它就又化成盤面上一個無聊的事情。
[12:27] 就像前一陣子美國的科技大廠在劫財報,不是在炒自由現金流轉付,講的又是一副世界末日的樣子。
[12:34] 還有AI央行揮打一直借錢給人家,最後大家都一屁股欠債又高利率環境會完蛋。
[12:41] 這個其實都不是新的話題。
[12:43] 這永遠都是過去的事情在市場氣氛有點疑慮的時候拿出來,它就在盤面上發酵。
[12:50] 那如果大家能夠,我覺得現在算冷靜啦,要是是以前的話,實在就可能今天一開盤就一堆疊聽板了,可能會是這樣的情形。
[12:59] 不過今天可以看得出來有些漲度的股票還是有點壓力,像IP股,對不對,一些ASIC的相關,還有像散熱,今天建設又被傳了,建設又說未來的規格什麼幾片要變幾片,
[13:11] 這個傳聞又重新出來了,還是有殺傷他的股價,但迭亭就沒有鎖死。
[13:15] 所以可以看得出來,這幾天圍繞在盤面上的壓力源,都是以前發生過的事,不是新的事,可是油價真的蠻高的。
[13:25] 對,應該這樣講,剛剛趙華提到,確實我之前提起,未來只要看到利空養成一個習慣,去檢查一下是不是發生過。
[13:36] 對,因為我們上次也分析,要記得終結一件事情,真正的恐怖的事情一定是黑天鵝,就是你想不到的。
[13:45] 而且真正有辦法讓股市有一個非常長波段的下跌,這件事情都沒有曾經發生過,那個才是真正恐怖的。
[13:54] 以前發生過的事情,除非有一種狀況,簡單而言,我們現在就舉例好了,剛剛講油價的問題,最近油價是不是有點貴?
[14:03] 這就是我所感受的不重要,因為為什麼不重要?因為很簡單,因為現在為什麼油價會高?其實重點就是美伊戰火沒有結束。當然一下又說什麼哪一條油管被卡哪一個,織織結結,反正只有一個中心思想,就是美伊戰火沒有結束。
[14:23] 那這些都只是引爆的其他的一些副作用而已。
[14:27] 如果今天如果美伊突然說好了已經結束了,明天開始不會再打了,其實整個油價就崩了。
[14:33] 所以整個架構還是在這個戰火。
[14:36] 戰火就是人為就是政治,隨時有可能停,所以相對來講就是可控的。
[14:42] 那我剛剛講了再往上走還好,因為在這個所謂的記得一件事情就是從這個整個美伊戰爭到現在半年了,真正的油價高點就是突破一二幾,然後就在那個位置。
[14:57] 現在雖然有在走高,都還沒突破當時的高點。
[15:01] 簡單來講,當時最貴的時候120幾,當時股市有下跌,就不過如此而已。
[15:08] 你現在會因為油價而導致股市要有大幅的走跌,你必須要先第一件事情先突破那個一二級,那就代表我就要重新評估了,不一樣,因為他現在有創高了,所以是不是代表我有漏了某些東西。
[15:22] 昨天晚上我跟以前20年前我們當時入行的一些同事剛好去吃個飯
[15:30] 然後期間又有一個以前同事問我說如果油價到150
[15:35] 那故事不同了
[15:37] 那不一樣
[15:37] 那故事不一樣
[15:38] 150這個比2008年還嚴重
[15:40] 對重點就在這裡
[15:41] 我說代表它比08年金融貿易貿易更嚴重
[15:44] 代表它是創了一個更大更大的黑天鵝
[15:47] 表示我有沒看到的東西
[15:49] 那故事完全不一樣
[15:50] 所以你要把它分級
[15:52] 你如果第一件事情就是這半年來的高點有沒有突破,這是第一個階段。
[15:57] 突破之後你的警覺性要拉高,但是畢竟現在的狀況是在人為政治之上。
[16:04] 人為的政治因素就有點類似像對等關稅一樣,就是這個整個利空是川普拿出來的,他不行他可以收回去。
[16:14] 所以當你認真就輸了,因為當時你看到你害怕你賣掉,結果他突然說他利空要收回。
[16:21] 這就尷尬了
[16:23] 我這樣講就是真正害怕比如說疫情是天然不是人為可控
[16:27] 而且從來沒想過的
[16:29] 而且你完全不知道會發展到什麼可能性
[16:31] 沒錯沒錯
[16:32] 今天不是說川普說要停就可以停的
[16:34] 那個才要真的恐慌
[16:36] 你簡單來講這種政治盤我覺得其實真的對股市影響是很有限的
[16:42] 所以我剛剛講但是如果過一二級就是半年來又創新高那股市真的壓力就會大幅增加
[16:49] 如果能夠來到歷史高檔,甚至突破歷史高檔,故事就完全又截然不同。
[16:55] 那個時間點出現長期的空頭,我相信。但是現在一百多塊就這麼緊張,我個人覺得有一點點言之過早。
[17:04] 所以我常常提到,利空你要去看一下,有一個問題,不能比的不是次數,要記得,真的不是次數,比的是大小。
[17:13] 你要讓我恐慌,你必須要給我確定這次比以前都更大。
[17:18] 如果沒有比以前更大,我就拿以前的經驗來讀你,我就跟你講就是不會怎麼樣。
[17:24] 我剛剛就例如這次在講AI應該放緩的問題,三年前也發生過,股市就沒跌,憑什麼這次會跌,你跟我說。
[17:32] 除非你跟我講,你分析給我看說,上次不一樣,上次說完,川普是說NO,這次川普說YES,那故事就不同了。
[17:40] 但是不好意思,上次說的人也是馬斯克,這次多了兩個人出來講,我覺得影響力也不大。
[17:47] 重點,最重要的關鍵點,因為川普還是說NO,代表整個局勢沒有改變。
[17:53] 第二,回過頭來,上市一樣清晰,股市都沒跌,這次到底有什麼好恐慌?
[17:58] 所以剛剛提到的,就是把這個層級分析一下,你就知道,可以多多參考過去,其實現在的油價上揚,我個人覺得也都在可控的範圍之內。
[18:09] 好,我們先把盤面上面擾亂大家的利空消息,一一的澄清一下,也不能說澄清。
[18:15] 一一的分析一下到底他們的嚴重度到哪裡。
[18:19] 那我覺得我跟明翰想的問題一模一樣,只要他是因為之前發生過的事情,現在歷史重演,其實大家也可以看到,對於盤面的殺傷力他也會降低。
[18:30] 我覺得最大的殺傷力還是我們的目前的位階相對比較高一點,這件事情還是要留意。
[18:36] 這也是我們兩個長期就是每次管理率拉開了,或是我們現在在全世界就是最強的時候,要特別小心的一件事情。
[18:43] 並不是說油價就不重要,油價如果能夠跑到歷史超越高點,那就是一個嚴重的事。
[18:51] 但因為目前還沒有,我們不妨觀察一下,還有AI的資本支出從來就沒有因為這一連串,這兩年來從來就沒有因為任何事情有哪一家突然宣布說,
[19:01] 我現在決定大幅砍掉明年的資本支出,因為我們覺得這樣很危險,那可能就會有壓力了。
[19:06] 如果這些雲端業者出來說,我明年的資本支出砍掉一半,我本來說要花2000億,現在我只要花1000億,我覺得那個市場會嚇到。
[19:13] 可是目前真的沒有這樣的事情發生。
[19:16] 那川普的意志其實一直都非常明確。
[19:19] 所以我反過來想要請教明翰一件事情,我們常常在跟人家解釋,現在的利空不用擔心。
[19:26] 事實上今年就算跌了9000多點的那一波,它也是在中小型股上面造成的殺傷力比較強,它並不是真正的空頭來襲。
[19:34] 所以現階段它有點悶盤的情況下,你覺得什麼東西可以點火?
[19:39] 就反過來說,我們都很期待第四季有做夢行情,元月有元月行情,可是中間要什麼樣來逆轉?
[19:46] 你覺得有哪些的事件,或是有哪些的原因讓大家願意開始從明後年重新評估現在的台股?
[19:53] 講到因為這幾天很明顯你看指數還好,但是量能是每天每天一天比一天低。
[20:01] 所以我各個節目每天要開就說今天亮年又創低了啊
[20:06] 所以我才問你怎麼點火啊
[20:08] 我這樣講喔
[20:09] 到底反過頭來
[20:11] 現在這樣子要怎麼辦
[20:13] 我只能跟你講喔
[20:14] 你看一下今年
[20:15] 我當時我應該說我要我們要開始這個講之前
[20:19] 我剛好自己看一下用肉眼看了
[20:21] 我沒有用肉眼
[20:22] 對對我沒有我沒有用那個數據去證實
[20:26] 就就今天的這個成交量來講
[20:29] 今年的4月7號比今天更低,當時不到6000億,就那一天,然後隔天就開始噴出,就是剛好最後的點位。
[20:41] 那天沒有亮應該是因為迭廷說是沒有亮。
[20:43] 對,然後我就要講,就是常常很重要的關鍵點,量能的部分持續萎縮不代表任何的架構,就是說不用太緊張。
[20:53] 通常量縮代表趨勢,應該這樣講,量縮代表看不懂,不是你看不懂,外資看不懂,法人看不懂,所有人都看不懂。
[21:04] 也不是說不知道怎樣,應該說短線的方向,沒辦法有效的確認。
[21:10] 因為現在利空,剛剛提到大家可以關注的焦點,油價,還有AI要放緩的言論,聯準會也馬上要公佈結果。
[21:21] 這三個一卡的情況下,這個多方完全占不到優勢,這麼多的不確定性,你怎麼辦法在這裡拉高持股?
[21:31] 反向而言,你看得很保守,你在這裡你敢放空單嗎?萬一會不會連中匯講完就利空出盡?
[21:39] 所以大家在這邊結論,我是說量縮就是看不懂。
[21:42] 那這個簡單而言其實回歸基本面而來講其實第二季的法縮全部結束了
[21:50] 從台股到美股其實說法都是很正向的
[21:54] 只是時間點是在7月8月剛好遇到上半年漲多修正整理的時間點
[22:01] 所以這兩個月以來的特色就是說的好沒有用
[22:05] 不代表應該說也不代表會跌啦
[22:08] 但是說的再好到現在其實都沒有反應基本面
[22:11] 當然很多人會說上半年已經提前反應,這我認同啊,因為我一直的論點就我自己的觀察經驗,就是股市本來就會提早市場一到兩季,所以代表著就是上半年有可能就把第三季把說會說很好的事情全部都反應了。
[22:28] 那我常常講的觀點就是人家跟我講那會不會反應完,我說很簡單啊,你就是要看到兩季以後嘛,那現在都已經第三季我們就當作第三季為段了。
[22:39] 所以你要看到的不是說現在怎麼樣,你覺得比如說明年上半年到第二季到底還是不是往上走的一個格局。
[22:48] 換個角度講好了,我覺得大家有點,有點怎麼講,解讀吧。
[22:53] 這個事情,比如說AI全部把它包裹在一起。
[22:57] 換個角度講,我們在講這個AI,他們在講這個要放緩的事情。
[23:01] 那剛剛提到的,比如說OpenAI、XAI這種比較大的公司,他們今天說這個論點,
[23:07] 他說應該是未來軟體要上市之前要做得更仔細的檢查。
[23:13] 簡單來講就是軟體上市會放緩。
[23:16] 可是他們也不會說我覺得應該以我為原則,我們明年開始資本支出變少之類。
[23:24] 不要說變少,維持就好。
[23:26] 現在每年都是用噴出的,也不要講說他只要做到說,
[23:30] 至少有一個人說明年我們資本支出不會再增加,大概就今年差不多。
[23:35] 現在完全沒有一家有辦法出現這樣的論點,永遠都在講明年會更多,只是多到哪個程度而已,這個論點幾乎都是不變的,而且我常常講不要講大型的,我們講台灣的中小型各樣的公司只要跟AI有點差邊球,有點相關的,就像這段時間很多券商每一家都在辦所謂的展望會,
[24:01] 對,他找各家公司從一整天的行程,從早上到下午,他可能分成三四五個階段,然後篩不同的公司。
[24:11] 然後前一段時間我就有,大致上有,我沒有去參與,但是這個結束我遇了幾個同業在聊天,然後跟我講的這個只有一個共通性,沒有講各家的看法怎樣,但每一家都不斷強調,就是大致上論點都是今年的資本支出,
[24:29] 到現在就已經比去年一整年還要高很多,然後明年只會更高,這幾乎是所有人的一個共通點。
[24:37] 那美國也一樣,台灣也一樣,反正對我而言,我常常講的,這兩年能夠往上就純粹是因為這些資金不斷堆疊出來的。
[24:47] 目前會不會最後造成人類的壓力?
[24:56] 憑良心講,我個人覺得有點言之過早。
[24:59] 我們順便解釋一下,當然你會看到的新聞,
[25:02] 如果講的具體一點,你看了會覺得有點恐怖。
[25:05] 因為它最近在講到,現在AIA圈的部分,
[25:09] 你必須要放寬他們的權限,讓他做點事情。
[25:13] 在這個情況下,我們要提醒客人,要把車叫好,要把電話接到,要把電話收到,要把電話發給客人,要把電話傳到客人的電話中心,讓客人去叫車,叫計程車,才會幫你叫車。
[25:20] 時間到,客人會提醒你要出門,甚至把計程車叫好,或是他幫你收發電話。
[25:25] 所以你必須要放一點權限給他。
[25:28] 後來就講說,很多的這些AI 覺得他有了權限,他們會在網路上互傳訊息。
[25:34] 他們可以自己聊天。
[25:35] 對,他們可以自己聊天。
[25:36] 我們以前講誤聯網,自己誤會對誤講話。
[25:40] 對,會有這個狀況,所以他們在講未來他們會不會談一談他們自己做了一些不該做、不允許他做的事情。
[25:48] 所以聽起來有沒有很恐怖,但我個人覺得這些事情真正要擔心不是在這個階段,就AI來講它很簡單分成三個階段,一個是問答,一個是AI可以幫你做事。
[26:01] 第三階段是物理AI,就是已經變成機器人出來,他可以不是只有幫你做文書的事情了,他可以幫你搬重物這種狀況。
[26:12] 我覺得你真的要擔心人類會有壓力,等第三階段再來講吧,因為第二階段他了不起就會幫你做做事情,搞不好幫你錢給全部轉出了,或怎樣怎樣。
[26:25] 那些東西都是可回溯的,那些東西都還有辦法救回來的。
[26:30] 問題我覺得真的比較恐怖的是萬一他們已經有人形了,那那個故事就相對來講就不一樣。
[26:37] 但那個憑良心講真的還很久很久以後,我自己個人覺得,我覺得五年十年內要做到那種等於物理AI對人類可能造成壓力,那真的是還很久的事情。
[26:50] 所以在這裡我也覺得就是反過頭來就是川普的這個概念就是現在要暫停他覺得他會輸,所以你能讓暫時是不會有這個狀況。
[27:00] 是,我覺得應該這麼講,我們看到我們的所謂可以燃燒的燃料或是彈藥庫還很多很多很多,只是現在大家比較康蕩的在觀察。
[27:12] 那剛剛問明翰的是說有沒有什麼東西可以點火?其實我們也不知道什麼時候會突然點火。
[27:17] 但是我們要知道一件事情,就是當你要點火的時候,後面的柴火是很多的。
[27:23] 我覺得我們今天,因為今天成交量非常的低,我想大部分人股民也就是覺得沒關係啊,那等一下這個禮拜的剛剛講的那一些事情過去以後再看看。
[27:31] 大家要有信心,信心不用消失,因為目前在盤面上所有的利空消息都沒有超出我們的認知。
[27:43] 什麼時候點火,我們其實說不準,我們知道第四季的漲率都比較高,但是只要一點大家知道後面有柴火,而且一點坊間所有利多的故事就會跑出來了。
[27:54] 而且利多的故事更好說,會比現在利空的故事還好說。
[27:58] 對,因為大家砸那麼多錢嘛,那如果今天像輝達的這個Rubin體系又開始順暢出貨了,然後SIC自研晶片大家又如火如荼的展開了,後面要講利多的故事,那可講不完,尤其是已經跨2027,甚至現在去講2028都覺得沒有那麼遠了,這邊只是要提醒大家,既然悶盤,我們就多聊一點這種心態上或者是事實上是如此的現狀?
[28:50] 結論就是代表就是升息是不會有事的
[28:53] 對 因為大家都認為這樣了嘛
[28:55] 對 因為我今天要出來的時候剛好在滑這個短營剛好看到有一個人說
[29:00] 大家小心啊 這個升息機率已經來到九成了啊 所以壓力會很大
[29:05] 那就沒壓力啦
[29:06] 對啊 其實平常一樣
[29:08] 跟我想的一樣
[29:08] 剛好是結論跟大家想的是完全顛倒
[29:11] 不要因為現在升息是九成所以壓力很大 錯
[29:14] 因為大家都 我換個角度講好了
[29:17] 有一種情境現在是大家升息的機率九成,最後是升息。
[29:21] 另外一種是大家認為只有一成的機率是結果升息。
[29:25] 那這個股市的反應是截然不同的,因為只有意外才會導致市場的壓力。
[29:32] 如果符合原本的預期,其實對股市是不會有壓力。
[29:35] 代表的你會怕升息的人,在這幾天可能在三成、四成、五成的時候,他就害怕就走了。
[29:43] 所以到九成裡面還存在的人就代表著大家都覺得升息還好
[29:48] 可是有一個問題升息的必然假設啦假設真的符合預期就真的是升息了
[29:55] 那理論上我個人覺得有幾種情境我覺得跟大家分析一下
[30:00] 第一種呢就是升息完之後他有兩個比較重要的參考一個是點陣圖一個是這個所謂的主席的發言
[30:09] 這個都會告訴大家他們的態度跟未來的看法
[30:13] 分成三種情境,第一種就是偏向中性,就是這次升息沒錯,但是他的說法就是未來還是要看通膨的數據、就業的狀況,他們不對下一次做任何的預告。
[30:28] 這個憑良心講就算是中性甚至比較偏隔派,就很容易利空出盡就反而是轉強的,這個是可以了解。
[30:38] 第二種就是無論從點陣圖或他的說法就告訴你這一次的升息不會是今年的最後一次
[30:46] 那代表因為現在法人都預期可能會今年有機會兩次甚至還有很積極會來到三次
[30:54] 那我如果他的說法是這樣甚至他也不講說今年就是未來只能確定未來還有可能會持續升息
[31:01] 我覺得這個會對股市會有壓力但是一樣會跟這個現在AI放緩論一樣
[31:07] 就是壓力不會超過兩天,很快又結束了,因為這個憑良心養,我覺得緩步升息一點都不重要,對股市不會有所影響,但是如果他講的是通膨想像的比想像的更頑強,那代表著他們未來不只會持續升息,甚至他們會用更多的手段,甚至未來的升息的速度會持續加快。
[31:32] 我常常講速度才是重點,不是升息或降息,速度才是重點。
[31:38] 他今天如果說未來的速度有可能增加,那股市就是截然不同,這對股市就會有可能比較波段性的壓力。
[31:46] 所以其實就蠻容易分辨的,最重要的關鍵點就是他們對於未來升息的速度是否會有所改變。
[31:53] 如果沒有,不管是這次升息,或者是即使今年還有升息,我覺得都不重要。
[31:59] 當然我常常這樣講,也許啦,就是最後講還會升息結果就壓回了。
[32:04] 我跟你講不用緊張,這個真的一定是很短暫的,因為這個趨勢不會改變。
[32:10] 現在市場我常常講為什麼會升息是因為經濟和太好的關係,所以大家不要扭曲那種,絕對不會因為升息之後現在很強的經濟就開始轉衰退,這個完全不合道理。
[32:24] 所以大家我常常講不用緊張
[32:26] 所以反過頭來
[32:28] 到底現在量縮成這樣
[32:30] 什麼時候有機會量回來轉強
[32:34] 當然聯準會如果今天是第一種當然是有機會
[32:38] 可是憑良心講就是剛剛趙華提到
[32:40] 我常常要記得一件事
[32:43] 沒有人真的知道股市的短線的波動
[32:46] 所以不要去猜測什麼時候能夠轉強怎樣
[32:50] 時間到自然會告訴你
[32:52] 可是比較重要的兩件事情就是第一點就是剛剛趙華也提到我們前段也提到法說會說得很好其實柴火本來就在那裡
[33:02] 未來只要上去人家第二季的東西又會搬出來再重講
[33:06] 那你現在也知道你不要等到噴出了重講的時候你才又要再去追
[33:12] 你現在反而我覺得你本來就應該適度的佈局我覺得是非常合理的
[33:18] 所以剛剛提到這個是一個關鍵點
[33:20] 第二就是你一定要有所準備,不要等到這個已經轉強了,你才還在半信半疑,等到永遠都是那個股市創高了才認為是沒有問題。
[33:33] 我會覺得說這種東西是必須要準備好,然後信號不是我們誰可以決定的,時間到要知道這個股市是所有人的資金的總和。
[33:44] 所以沒有人有辦法去猜測,這個還甚至不是台灣一千多萬戶,這個證券戶可以決定的,因為那是美國那邊,它每股科技股什麼時候點火我們才能點火,所以美國是集結全世界的資金,所以你沒有人可以知道什麼時候大家突然情緒變成比較正向,所以只能說財火都準備好,然後你也知道現在這些市場壓抑的利空,其實沒有想像的這麼嚴重。
[34:14] 隨時量能持續縮減不是太大的問題,你必須要等待市場的氛圍一般轉,那你就可以跟著持續上車,只是每個人持股的水位,加上自己的操作個性,所以沒有一定的答案。
[34:32] 你到底是應該現在就慢慢買,還是你資金都準備好沒關係,只要一點火我就衝,我就全部就把它壓進去,我覺得這沒有一定的對錯。
[34:43] 因為每個人現在的持股比重跟操作邏輯都不太一樣,但是你的整個架構其實要了解,不要因為誰誰誰講了什麼話股市剛好又跌你就很害怕,或者是連準會,我剛剛講搞不好第二種情境,最後出來就告訴你不只升息而且今年不是最後一次,然後股市就會壓回,那那個情況了不起又反映個兩三天,你剛好又砍在那兩三天壓回的時候,那最後是不是就變得很冤枉。
[35:11] 好,這個給信心啦,我想我和明翰很剛好在這個議題上的想法都是很一致的,而且我們在股市一段時間之後,就算覺得今天盤很悶,其實還是蠻多事情可以跟大家聊的喔。
[35:25] 那我記得最辛苦的時候是2022年,因為那個空頭實在延續太久了,所以在中間我們就挖掘了很多的故事,包括明翰的故事,就是如何從這個不良少年變成CFA Level 3。
