[00:00] 歡迎收聽《造華於股貨載地1166集》,今天是2026年的8月20號。
[04:38] 那我覺得幾個預防的方式,例如說下一次你發現融資的餘額超過大盤的漲幅,超過兩成。
[04:46] 下一次你發現可能高價股沒有再創新高,連續盤整了兩個月,這是幾個指標。
[04:52] 那再來,你有可能發現越來越多人在星巴克、在咖啡店講股票的時候,大家都覺得股票不會跌的時候,我覺得這是一個小小的提醒。
[05:01] 這一次當然會覺得修正是好事,因為修正之後會把一些覺得做股票一定會賺錢的人把他洗掉,或者是一些去槓桿的人把他的籌碼做沉澱。
[05:13] 那我就講直覺,或者是說我們講最直接接地氣,大家想聽的答案。
[05:19] 我在上個禮拜,今天禮拜幾?
[05:22] 今天禮拜四。
[05:24] 今天禮拜四,在禮拜一跟一些勞差差退的經紀人,反正就跟經紀人聊天啦,他們有提到其實這一波殺下來,他們有一些人是避過的,因為大家也知道國安基金退場,其實那個時間點是退得漂亮,是好的,賺不少,那他們就是勞差退基金或政府的一些操盤人,他們是避開的,可是這一波因為漲得太快,包括整個禮拜五、禮拜一就全部漲停嘛,
[05:53] 這次的投資是全球最大投資,以下的投資是全球最大投資。
[06:23] 不用撤前低,他們覺得以盤代跌就最好。
[06:26] 嗯。
[06:26] 那或者是撤前低也無法,因為他們其實才想要買更多股票。
[06:30] 等一下這些老XX對,
[06:32] 是。
[06:33] 原來跟我們看的指標差不多耶。
[06:35] 差不多啊,大家學的都差不多啊。
[06:37] 對啊,突然覺得大家在同一艘船上。
[06:40] 趙寶你也算是法人嘛。
[06:42] 沒有,什麼我也算法人。
[06:44] 哦我有接觸法人是真的。
[06:46] 算是研究員啊,然後專業的這個財經記者出身嘛。
[06:49] 所以其實大家學的東西其實我覺得差不多啦。
[06:53] 其實聽聽,因為畢竟他們有一些Power,錢比較多,相對解釋他們就是安定的籌碼,安定的籌碼在耐心等待,我們其實就不用照鏡,散戶最怕的就是一天到晚想要把子彈用光,不拉回買分批買,這六個字大家就稍微抄一下。
[07:12] 我覺得這個穩健控風險這一次去了這個你看美國450億的那個潮盤天才嘛
[07:20] 韓國35萬的這個散戶爆倉啊
[07:24] 所以穩健控風險然後呢耐心等機會 紀律創財富
[07:29] 這是我現在的想法 那不論會不會一直上
[07:33] 我覺得有幾個問題壓著 所以先講123
[07:36] 跌一個月我覺得會盤整兩個月
[07:38] 跌升當然會反彈,反彈有人說是0.5、0.618,因為我看這是強彈,0.618已經算很厲害了。
[07:46] 如果我們就講我自己好了,減回一條命,因為我是屬於會報的那種人,例如說我報了南牙科,我們也講過,你一股我一股牙科上看550,這個節目公開講的。
[08:02] 是我們節目嗎?
[08:03] 不是我們節目,我們就講說我們喜歡看牙科,我沒講個股,
[08:08] 但我的意思是說,這個爆一爆,其實從300多又回到500多,而且還創歷史新高,就是撿回一條命。
[08:17] 那當然我也有些股票中傷的嘛,那一樣太弱流強,所以很簡單,我會在這段時間,等一下會講重點,就是說我們到底哪些股票。
[08:27] 現在都是重點其實。
[08:28] 都是重點,對。好,1、2、3,疊一個月,反彈過後我就整理兩個月,然後呢,第三個月之後開始重啟多頭。
[08:36] 時間點剛好就是9月16號這個升息還有中秋變盤
[08:41] 所以我們剛好7月底疊完
[08:44] 那8、9月整理
[08:45] 那我覺得中秋變盤搭配節氣
[08:48] 我們然後再搭配這個9月16號
[08:50] 那我跟別人的看法比較不一樣
[08:53] 我覺得有可能會升息
[08:55] 就是最近CPI數字不是說比較好嗎
[08:58] 然後就不升息然後大盤就創高嗎
[09:01] 但我自己覺得因為油價又回到88、90
[09:04] 川普是壓不住戰爭的
[09:34] 到底我們接下來的綜合效應怎麼往下走?
[09:37] 不管,例如說升息,我自己覺得是預防性升息,殺下來,就是買,最後的利空,就是最後的利空了。
[09:47] 那因為其實今年一整年,紛紛擾擾,要升不升要升不升,那我覺得公債殖利率當然是問題,但是我們按下放旁邊,根本升息降息的這一碼,不會影響科技的多頭跟AI的創新。
[10:03] 對,所以還是回到了氣氛,市場共識的氣氛。
[10:07] 對,那只是說會殺,但是你看一整年我們在篡高嘛。
[10:10] 那今年也有說要升兩次,也有說要升一次,那現在又說不升。
[10:14] 所以我覺得這個一次兩次,你把時間軸距拉長,這個我覺得只是一個noise。
[10:21] 這個我覺得不會是,因為你升了這個預防性升息,戰爭也有可能會結束。
[10:27] 整個生產力提升其實已經不會讓它暴力升息或者是連續的往上
[10:35] 我覺得反而有可能就打第二隻腳了
[10:38] 所以大家準備好股票我覺得還是對的
[10:41] 不是你第二隻腳那麼遠
[10:42] 我以為現在真的太大
[10:44] 沒有遠兩個月其實你40個交易日就過了
[10:48] 短線上我們只是說短線上因為這波雖然V轉
[10:51] 而且是強勁的超過反彈0.618這樣的狀態在漲
[10:55] 現在是短線的,隊長講的是一個比較大的,可能打第二支是比較遠的,未來在2027年形成的上升段。
[11:05] 快升息之前再來一次就好了,現在7、8月先把7、8月顧好就對了,關9月16號就對了。我先解釋一下隊長的想法,因為我們在前波下跌的時候,我們有講過這件事情,並沒有排除不管9月或11月、11月、12月升息的可能喔。
[11:22] 可是有沒有已經反映在這一次下跌的預期中,可能有反映了一些了。
[11:29] 因為這一次的起因叫做資金去槓桿跟緊縮,這個緊縮就包括升息在內嘛。
[11:35] 所以可能已經預期有這樣的事情了,所以有化解了一些。
[11:39] 第二次就不怕了。
[11:42] 但是因為這一次就是像剛剛隊長講的,最新一次的CPI、PPI,都是低於或符合市場預期的時候,大家就鬆懈了。
[11:50] 鬆懈了,啊不會啦,9月現在升息的預期降到只有40%、30%了嘛,所以開心了,就反彈了。
[11:57] 好,但危機並沒有因此拔掉嘛,但這危機是不是像昨天我們講的那麼嚴重?
[12:03] 其實對我講到一個關鍵,你是連續性的暴力式升息或暴力式降息,它對市場的殺傷力或是後進才會很明顯。
[12:13] 預防性的它會造成短線的衝擊,其實我們之前有預防性降息啊,可是當你不能連續的時候你降息的效果就沒了,就沒了。
[12:21] 我們比起其實兩年前美國的基準利率是已經降過了,已經降過,那為什麼公貸值利率還會創高?這不是不合理嗎?
[12:30] 對,那就是市場氣氛。
[12:31] 所以它沒有連續降息,我們就沒有辦法開心。
[12:34] 那沒有暴力升息,我們也不要太擔心。
[12:38] 隊長他是要跟大家陳述這個事情。
[12:41] 但是在久遠久遠,如果說這個利率環境非常長,一段時間都很高很高,而科技巨頭沒有辦法再舉那麼多債,那個時候會有問題。
[12:49] 但我們昨天也說了,這個不太容易在這一兩年內發生很大的爆破。
[12:54] 希望不要,如果有,那個是大事情。
[12:57] 這邊我們先把隊長剛剛講的邏輯跟大家順一下。
[13:01] 那為什麼常常我們兩個在講的是像說氣氛啊、法人在看什麼。
[13:06] 其實法人他不是在說我們等這個景氣好一點、等基本面好一點我們再進場。
[13:10] 不是耶。
[13:11] 法人和這些大的退差基金、老差基金想的同樣也是我們現在先冷靜一下。
[13:18] 把過去那些我們剛出場也不可能立刻進場。
[13:21] 等到有比較修正了我們再進來。
[13:24] 他們等的也叫做市場共識跟氣氛的凝聚。
[13:28] 所以現在問題不在景氣,問題只在等那個凝聚的時機點。
[13:54] 世界第一耶!
[13:55] 世界強了哪算有什麼大一!
[13:57] 對對對對!
[13:58] 或者是說像被動元件談到今天,昨天啊要是幾乎把國巨賣了,今天整個被動元件就不好了,整個都不好了齁!好,我們一個一個來說!
[14:09] 好,那我覺得齁,就一個一個來拆解啦,那厲害不敢說啦,但是有一些產業的看法我想給大家來做這個泡妝影域或者是我們教學相長嘛!
[14:18] 我一直以來今年任何節目都沒有公開講過細菌源跟被動元件
[14:26] 哇塞
[14:27] 精準
[14:28] 你突然送這個禮包來害我受寵若驚
[14:32] 我在任何節目都沒有講過
[14:34] 被動元件喔 對對對
[14:35] 就沒有看好
[14:36] 當然你不能說它長是假的
[14:39] 因為很多少年股神
[14:41] 就我們家研究員
[14:42] 有一個50萬弄到1億多
[14:45] 但是又回到聽說又回到兩三百萬
[14:48] 所以他現在還是
[14:49] 還在還在就50到兩三百萬
[14:51] 如果你把今年報酬率來看是很高興的嘛
[14:54] 兩百萬嘛四倍嘛
[14:56] 但是他可能從十位數九位數掉回來
[14:59] 那他的反應整個人還好嗎
[15:02] 不是太好不是太好
[15:03] 不是太好
[15:04] 就狀況有點快要離場的感覺
[15:06] 那因為是我聽我研究員轉述啦
[15:08] 所以我不是本人認識
[15:10] 確實很多少年股市在被動元件上受傷還有主動元件
[15:14] 我想回到這個原則上,我們就講索羅斯或是科斯托拉你講過,在極短線的踩踏或是籌碼因素影響之下,任何基本面都是無用的。
[15:29] 是是是。
[15:30] 就像海力士,我常常在看,第二季它的營收是500多億美金,然後台積電是402億美金,毛利率76對60。
[15:42] 只能說用膝蓋打,但是它本一筆掉到五倍六倍,那只要海力士站出來說,嚇人逼我還用。
[15:50] 所以這個邏輯跟風暴是從海力士還有三星開始的,那連帶影響費城半導體,海力士的ADR、然後美光線,連凱霞,就是凱霞也是掃到颱風尾。
[16:02] 北韓在四射飛彈結果我們台股跌最多,所以凱霞也跌了六七成嘛。
[16:07] 好,那沒有人業績比海力士好,可是說實話,回到了中長線,真正業績好的,或者是基本面好的,本益比低的,反而又一個一個回來嘛。
[16:19] 所以,跌時重值嘛,你看台積電,2400、2500跌到2100,又回到2300。
[16:26] 南亞科450跌到350、360,又回到550。
[16:30] 這不只是回錢高,而且還創新高。
[16:33] 那被動元件有,我們講國差,1200跌到400多。
[16:37] 等下被動元件為什麼就變國超了?
[16:40] 我們不也要點名嗎?
[16:41] 因為被動元件有些公司我們已經很尊敬嘛
[16:43] 好 疊到400多 漲到6、700
[16:46] 可是你從1200來看這個6、700
[16:49] 還是不是腰斬 是膝蓋斬了
[16:51] 斬到6、700
[16:52] 所以很簡單喔 我們講國巨
[16:54] 第一季賺2塊多 第二季賺3塊多
[16:56] 我都算5塊 今年賺20塊
[16:58] 1200本益比是60倍
[17:00] 海力士如果告訴你我本益比6倍
[17:02] 台積電告訴你我本益比16倍
[17:03] 輝達也16倍
[17:04] 那60倍的股票要疊到哪裡去?
[17:07] 無法判斷
[17:37] 我覺得還是回到基本面
[17:39] 所以所有的產業我們來點名
[17:41] 我覺得例如說被動元件或者是細菌源可能要看明年
[17:46] 或者是二極體還有MOSFET
[17:48] 相比於我們來講例如說饑渴散熱
[17:52] 或者是我比較喜歡的記憶體甚至ABF
[17:55] 完全是不一樣的
[17:57] 第一個寡占的程度不一樣
[17:59] 我們就講CCL好了
[18:00] 聯貿台藥台光電
[18:02] 這三隻三雄或三鷹嘛
[18:05] 寡佔嘛
[18:06] 東森就只有一個趙華,寡占,沒有人能取代他,所以就是不得了的收視率,全台灣,對不對?
[18:15] 就只有一個,呃,你去找趙建宇啊,好了好了好了,我講別的應該可以,你們去找趙建明啦,我去問他媽媽,開玩笑開玩笑,就只有一個陳叉宇嘛,所以大家就督麥給他嘛,我每天都看肥皂劇,很有趣。
[18:31] 那就是牙科啊,因為你喜歡牙科啊。
[18:33] 牙科是不是啊,關西醫牙科醫師,他是這個好像陽明大學的榜首。
[18:38] 好,回過頭來,我先點名去掉的,原因是什麼,你們都要認真想。
[18:42] 就如果我是100個便當,我的記憶體就是100顆,全世界喔,三星、免光、海力士,因為這是寡占。
[18:49] 100個便當,伺服器以前吃20個,OK,車用PCNB,好,大家都吃20個。
[18:55] 現在伺服器因為HBM占了很多產能,吃了很多便當,成長我們講五倍,他可能要吃掉八十個。
[19:03] 那其他手機PCNP很爛的,其實都影響不了。
[19:07] 可是被動元件,我們就先講技術水平,你台灣大概坦直電容的啦,或者是高階的,和生堂跟國際,其他的也不敢說自己做高階。
[19:18] 再來你要PK大陸的太陽、日本的太陽誘電,所以第一個你在技術層次上你就不是高階,那當然台灣還是有高階,但是在所有說餅,如果被動元件是100個便當,其實伺服器當然用的比較多顆,可是那種電容、電感、電阻是兩三塊的東西,它是用來做保護的,那有一些比較坦質像基美啦或是比較高級或是它用的量很多,
[19:46] 可是並沒有吃到整個一半嘛。
[19:50] 所以沒有被動元件的人出來講說AI吃掉我們一半的成能,AI讓我們的結構性缺貨看了好幾年,三年、四年,五年,沒有。
[19:59] 這種老闆講的話你們大家要認真去聽,你看我們看幾個記憶體出來講的都是缺貨,不是四個月,是從三年、兩年、四年開始喊,每光明年的單被定關。
[20:10] 所以你用這個角度,所謂的龍頭或者是CEO的講話的角度,然後再用我的便當理論去看,明明就是影響被動元件的,有可能還是車用、手機、PCNB,你就會很明白的知道為什麼很多股票它回不去。
[20:30] 一方面當然估值過高,一方面當然就是所謂的產業的一個個股的強弱。
[20:36] 所以我自己來挑,還是一樣就挑三個,例如說CCL這種有寡占的,ABF除了EBITDA以外,我們台灣的新興、景碩、南電,頂多真鼎,加起來這四五個也占了全球七成以上的半壁江山。
[20:53] 那更不用講市占率九十幾這個先進製程的台積電嘛,所以我自己覺得,那倒過來看,我們從搖石積木來看,他也賣掉了國巨,他買惠陽欸,他買散裝欸。
[21:05] 對,閃裝就是趨勢嘛,所以你真的要點名喔,其實沒有不能賺錢的市場,盤整也能賺錢,只有不夠用功的投資人啊。
[21:15] 那所以我自己覺得半導體,然後ABF、CCL、記憶體,那再加上你如果喜歡閃裝,其實你用刪去法或者是用隊長幫大家聚焦的方式,其實股票就做不完了啦。
[21:28] 是。
[21:29] 股票就做不完了啦,那當然等會我們再講秘密武器啦。
[21:32] 所以我覺得整個產業來看,我最看好的當然ABF嘛,然後GD。
[21:37] 那ABF來講的話,我覺得景碩的空間也還算蠻大。
[21:41] 景碩空間還蠻大?
[21:43] 那其實三支都算厲害啦,你看之前大家就覺得新星產能都被包了嘛,然後純輝達嘛。
[21:51] 然後大家就覺得說,欸不對啊,那新星應該不能漲啊,因為SIC的財在加單嘛,輝達好像還沒開財報啊。
[21:58] 結果也不是,結果又出來一個利多說,外資去call了新興,然後發現有些關鍵的設備新興已經買好了。
[22:06] 欸?新興先創高了欸?
[22:08] 很重要!
[22:08] 對不對?阿有人說南電有南亞的這個Qbook來支援,那日東房的那些東西很多南亞也有支援,他買了很多,所以南電也有可能創高。
[22:20] 景碩有做BT載板,有出很多記憶體,又有新開的產能,因為他沒有吃到太多回答,他是算老三嘛,大家就說,那Google或AMD或Intel反而去找警所。
[22:33] 這樣子來看,我自己就覺得說,因為我自己接下來要講的是ASIC,我自己覺得從訓練到推理,GPU不是不好,而是有可能CPU的崛起或ASIC的崛起,這個momentum更強,因為回答已經好很多年了。
[22:49] 這次財報一直都是95分的財報,不能展望明年投片量加100%
[22:57] 但是我問到的TPU,Google的TPU,明年的展望,例如說TPU V9,是100%
[23:05] 今年其實大家也都知道,Google最積極,你看聯發科被帶起來過,昨天他又點兵Marvell
[23:12] 所以Google到處在找人有點渣男
[23:16] 不是啦不是啦
[23:17] 合作合作
[23:18] 照著找人合作
[23:19] 代表餅很大
[23:20] 大家搞錯了啦
[23:21] 大家以為說Google找了Mavail
[23:24] 然後博通當然有疊嘛
[23:26] 可是其實大家都沒有把晶片的細節看清楚
[23:29] 因為Google做Mavail是做圍繞旁邊的TPU的
[23:32] 例如說記憶體或者是綁在一起的
[23:35] 他找AMD也都是做AMD是做TPU的第十代
[23:39] 那為什麼會這樣呢
[23:41] 這樣我的看法也許錯啦,因為市場上是Marvell大漲嘛,大漲十幾個%
[23:47] 然後呢,這個Qualcomm跌嘛,聯發科最近也跌啊,聯發科三四根黑棒了嘛
[23:52] 那大家就覺得說,好像是說,嗯,好啦,找了它就不能找它
[23:58] 對,就是市場上好容易就直接聯想,我只有A看其實不是
[24:02] 對,其實不是,我的想法其實不是,因為第一個從晶圓廠來看,今年投片量一直增加的其實就是Google
[24:10] 那它一直增加,那如果,其實我很熟創意嘛,他們之前就說創意的設計工程師啊,也不是只有服務Google耶,他們本來的比特幣,本來的這些先進智能,拿它還有一個更有錢的AI5、AI6,就自駕車的晶片,把他所有人都綁死了。
[24:30] 所以有可能,有一種情形是大家可能沒想到,他就很直覺的覺得說,啊,炳就40,然後呢,這個5、6個人來分,每個人就只剩下2,不是。
[24:39] 我覺得餅可能不是10,是20、30或50。
[24:44] 創意說不行,我乾了,我沒人了,
[24:47] 國通說我也沒人了,所以Google開始找Marvell,
[24:51] 甚至你看Meta去找高通Qualcomm,
[24:56] Google也找了AMD,
[24:58] 可是還是一樣回到我的中心思想,
[25:02] 新產品、新市場寡占,
[25:04] 只要這個player少,基本上就是暴利。
[25:08] 市場大不大大家要去想,絕對不是像手機啦,手機12億支到15億支,那你OPPO、Vivo、中興、華為、聯想、酷派,就是歐爪、加、白爪、加、加、加、加、加,誰進來誰就少,三星賣得好蘋果就少,都是這個所謂的成熟市場,可是我認為ASIC是一個爆發性的市場。
[25:30] 所以你們去看,其實在8月1號、7月31號,聯發科的法說,他說ASIC本來預估是500億美金的市場,他過一個月而已,他竟然上調到800億美金的市場。
[25:45] 那這麼大的公司,這麼大的公司講的法說會才差一個月,他竟然把AI ASIC的市場上修了一倍。
[25:56] 他們說他們聯發科的份額本來15或20,大家今年說今年21美金,明年本來120美金,一休就是150美金。
[26:05] 除非聯發科下修或者是博通下修,你才能夠確定說餅就是小,然後被AMD跟Marvell去拿,否則我的看法是餅其實變超大,也沒有人能做。
[26:23] 你說創意有多少設計工程師?高通有多少?普通有多少?那又沒別人能做,所以我稍微花多一點時間講,那做晶片的其實就大中小,絲絲有三種,最大的就是GPU,最大顆GP300,那99%輝達,所以輝達從來不需要找創意,找什麼世芯,找什麼這個普通高通,輝達連黃仁勳董事長自己都可以寫工程,都可以寫晶片。
[26:51] 中的沒多少人,就是AMD跟Intel,小的也沒多少人,就是聯發科跟高通。
[27:00] 就這四支加上你把Mavale或者是這個博通加進來,就這五六支要吃全世界ASIC的大餅,大家都可以吃得盆滿缽滿。
[27:13] 當然世信也有吃到亞馬遜,但是創意最近的Momentum還是比較強。
[27:17] 所以我自己覺得,因為亞馬遜大家也講不出來他的AI叫什麼名字啊。
[27:22] OK,所以我自己認為這個
[27:24] Chainium是不是
[27:25] 蛤?對啊,什麼Media還是什麼Trainium,Trainium,亞馬遜叫Trainium,可是他的代言模型大家沒用嘛。
[27:31] 可是像Jumanet大家就聽過啊,這個Entropy或者是這個Chap GDP嘛。
[27:36] 好,回過頭來講,一個重點就是這個餅其實變很大。
[27:40] 所以疊下來有兩種,一種就是真的好像是被分死定單了。
[27:46] 另外一種我覺得其實是就是一個大家看不懂的修正,這種才有暴利嘛。
[27:52] 如果大家都看得懂了,例如說跌下來大家都覺得很好,其實就不太會跌。
[27:58] 所以我覺得聯發科其實是假摔啦,那包括,那當然你說柏通跌,其實柏通是最大的嘛,他吃最多。
[28:07] 那柏通疊最好啊,因為他把市佔率讓出來給聯發科、給AMD甚至是給這個馬費爾我覺得更好,因為柏通之前就一個人獨拿,那柏通疊時最好,當然也不會啦,他其實也不會疊時,因為他訂單很多啦,大概我的看法會是這樣,給大家參考。
[28:27] 好,因為一開始隊長本來要講被動元件跟記憶體,後來他花了很大的力氣,希望跟大家分享Ethic這件事情,各家在做自研晶片這件事情。
[28:38] 我非常的認同,其實隊長剛剛那一句話,要注意一個事情,第一個,他一定先看基本面,就是所謂的大家營收獲利有沒有實質的進來。
[28:48] 因為好,先拿被動元件跟記憶體來說好了,顯然記憶體的實質基本面是非常好的,對不對?
[28:53] 強帶多。
[28:54] 實在是太讚了,不管你要不要用本益比或是本金比,或是說它是不是不再是緊急循環,但無論如何繳出來的成型單就是一個讚。
[29:02] 但是接下來的話,有一個事情也很重要,就是它到底是不是寡讚的。
[29:07] 例如說,以被動元件來說,我們在世界的排名就是沒有那麼強。
[29:11] 照常常講一件事,像PCB,我們的產值是世界第一名,我們是第一名,我們的金元代工是世界第一名。
[29:17] 甚至雖然以前我們的設備也許不如那些歐美日廠,可是現在我們的設備股也慢慢的起來了,我們的封測世界第一名。
[29:25] 沒錯,設定自己的第一名。
[29:26] 對,所以寡占,世界第一名這件事情非常非常重要,而這個寡占,如果它又是幾家大廠的這種寡占,那就不太一樣了。
[29:36] 像封測還會有一些零零星星小廠,因為這邊為什麼被動就會被甩到比較後面,因為我知道被動散戶很多會講得比較小心,被動在漲的時候當然很多散戶的介入。
[29:47] 例如說它中間有很多的小型股,充碼比較好拉抬,大戶也很集中在那邊。
[29:52] 剛剛講,其實我也知道有蠻多少年股神,這一波被動主動受傷很大的。
[29:57] 所以小朋友會覺得做得很開心,天天漲停。
[30:00] 可是這個是事實,就是只要在意基本面跟它所謂的全世界地位的,就會知道被動不太可能是這些產業達人們的首選。
[30:10] 那記憶體我覺得就是各自表述了,我必須講。
[30:13] 因為我們的記憶體畢竟不是三星美光怎麼做到HBM那麼厲害的嘛,但是獲利很好,所以這個東西就希望各家在技術上面能夠更上一層樓,那確實我們的記憶體廠商也有提到各自有各自想要更上一層樓的發展,以及找到國際大廠私募啊,大家一起合作啊,所以這個地方是有的,但是進入到所謂的Ethic,我覺得它就是隊長級所有認同於一身,不但是寡占,不但是一個市場的餅非常非常的大,再來它的研發能量,
[30:43] 這幾個大廠的能力會聚集在一些真的要很有能力的大廠上。
[30:48] 它的研發能量是非常高的。
[30:51] 這些A設計公司過去的本益比可以拉到很高,毛利率可以拉到很高的,等它吃到這個市場。
[31:00] 手機也創造過我們的榮景,手機創造過聯發科的榮景,大力光的榮景,古王當時是大力光,就是手機製造出來的。
[31:08] 現在就是AI時代了,AI就很廣,其實AI很廣。
[31:12] 回到AI裡面的核心,晶片。
[31:14] 這件事情,我們是半導體王國。
[31:17] 我們有聯發科,甚至我們有目前也很努力的銳域跟聯用。
[31:23] 當然跟博通這些的,他們還有一些距離。
[31:26] 但是這一塊我們是握有優勢的。
[31:28] 所以隊長會花很多力氣,符合產業的成長,符合基本面是好的,符合我們有研發的量能,全部集中在就是Ethic這件事情上。
[31:39] 我覺得這邊的話大家可以用這樣的思考去檢驗你喜歡的產業有沒有這樣子的一個狀況
[31:44] 例如我講我很喜歡設備
[31:47] 可是設備其實某種程度我們可能只符合到所謂的獲利很穩健
[31:53] 在手訂單很好
[31:54] 可是是不是可以做到很高階設備
[31:57] 我們不一定
[31:58] 我們不一定
[32:00] 我覺得這些都要理解
[32:01] 好像像CoreOS封裝
[32:02] 我覺得這個也是台灣厲害的
[32:04] 所以我還蠻喜歡我們的封裝股的
[32:07] 半導體產業是對啦,那其實台積電又扶植一些在地供應鏈,那你說去中化或者是說設備其實慢慢也有些寡占的東西,那Core S也是我們弄出來的。
[32:19] 我們有些設備廠為什麼什麼三太市啊,或什麼三太市應能啦,其實蠻多貝利科、金印材,其實我覺得沿著半導體是蠻多的。
[32:33] 對,好,棒子交還給
[32:35] 收斂一下
[32:36] 收斂一下收斂一下
[32:37] 今天整個大方向我自己是看一二三就是整理兩個月
[32:41] 是
[32:41] 那這一段時間其實大家也都回來了七七八八了嘛
[32:45] 那我覺得既然已經回來其實就要知道說
[32:50] 之前的痛苦其實你趕快就把錢
[32:52] 例如說現在台幣又回到31點多
[32:55] 欸買一些日幣或買一些美金嘛
[32:57] 或是做一些其他的配置出去
[32:59] 甚至買高股息我覺得也可以啦
[33:01] 這是第一個在配置跟這個方向上面。
[33:04] 那如何找主流?我覺得下一段還是一樣會有新的主流。
[33:08] 那就算目前找不到,其實就慢慢找。
[33:10] 那你把風險控制好,那幾個核心的產業,
[33:13] 我覺得像 ASIC 我自己就挑聯發科跟創意。
[33:17] 那這個部分呢,最近有些有跌,有些又創新高。
[33:20] 但是我自己覺得說整個市場上設計的難度越來越高,
[33:25] 大家也不一定要去往老四、老五或老三。
[33:29] 例如說以前IP裡面還有什麼精力科啦,還有智源啦,智源這次股災沒疊你知道為什麼嗎?因為它沒漲嗎?對,因為它從400多跌到150了。它已經先嗎?這一次已經跌了三年了那原因是什麼?我不是說資源不好而是它的母公司是聯電
[33:45] 所以它比較在成熟製程
[33:47] 可是AI都一定要用5奈米、4奈米、3奈米
[33:50] 所以在先進製程它沒有這個好爹地嘛
[33:53] 人家創意人家是台積電的底掌子
[33:55] 那創意這次法說會
[33:57] 連董事長都是台積電退下來的
[33:59] 都不演了
[34:01] 不演就開私有沒有
[34:03] 直接去股科診所留言留副評
[34:06] 你真的很care這個
[34:08] 沒有我懂你的感受
[34:11] 因為我是紮實者
[34:12] 就是說我不是只看財經資訊
[34:15] 這類型的我也看得津津有味
[34:17] 我其實不看欸 但我一直被洗版
[34:19] 可是我看得津津有味欸
[34:21] 我也是啊 不然為什麼我都知道
