[00:00] 歡迎收聽《照華語股貨載地1163集》,今天是2026年的8月17號。
[05:38] 就是說川湖看起來是直奔股王的地位而去
[05:42] 所以目前它跟信華的差距大概只差4000多塊
[05:46] 那我覺得4000多塊如果以這樣的一個獲利
[05:48] 跟它的籌碼集中度來講的話
[05:50] 是很有可能篡位的
[05:52] 那川湖的一個篡高也代表說
[05:55] 整個AI伺服器的一個比價效應會重新開始
[05:58] 所以應該到今天盤面上,微影股價也突破他的股票代號6669,突破了,最高有到6700多塊啦,所以這個我覺得當然也讓整個盤面上的信心更加的強烈,因為這種所謂的股號能夠過高的個股越來越多,那大家就會想說,那我們這個首項股票如果是9開頭會不會有9000多塊的,有可能啊,但有點難,難啦,9是其他的,對,中概內需的要到9000多塊有點困難,
[06:28] 這個我覺得也就代表說其實在整個盤面上我們會發現到第一個美國股市的一些AI股也越來越強
[06:36] 我們上禮拜有跟大家講過惠普電腦、戴爾電腦都創了歷史新高
[06:40] 所以台股當中你看到上禮拜華碩到這個禮拜微穎、到川湖到今天盤面上散熱的兩檔股票
[06:48] 一個奇鴻上禮拜創了歷史新高,建策大概差兩三百塊的歷史新高
[06:53] 對大家可以想像當初建策就是散熱的起跌點對不對
[06:58] 現在又回到原點,等於是從腰斬回來。
[07:02] 對,所以我覺得就是整個AI尤其是到現階段慢慢接近到所謂的輝達的Varubin的一個出貨。
[07:10] 所以大致上你可以從上個禮拜相關美股的財報當中也看到同樣的現象。
[07:15] 不管是在所謂算力註定的或說像這個美超為他們公布財報都發現到一個狀況,就是可能到了第三季、第四季開始拉貨動能會加速。
[07:27] AI變現能力也開始得到市場的驗證,加上輝達股價非常逼近歷史的新高,所以我覺得目前對於整個台股的AI工業來講都相對有利。
[07:38] 所以我們會發現到整個盤面上這些所謂AI工業的指標股,尤其是高價的、龍頭的一檔一檔在創高的時候,
[07:45] 這個當然對於盤面上的電子股的多方輪動一定有幫助,因為你剛剛看到了,
[07:51] 除了剛講的一些AI伺服器的指標性的從散熱到滑軌到連系字台的創意創意的新高
[07:59] 那今天也有所謂的載板、景碩、然後南電跟新興
[08:04] 新興、新興漲停
[08:05] 對,都非常接近力的新高
[08:08] 如果明天盤不錯的話,可能明天的載板三雄都會同創力的新高
[08:12] 所以當這種所謂的指標性的創高股越來越多的時候
[08:16] 我覺得大家對盤面就會相對更有信心
[08:19] 有信心不代表這個盤就比較好做,因為今天的量還是非常的小,整個大盤量是不到一兆,所以整個盤面輪動我覺得還是比較快,因為剛剛都講了一些好像很強的股票,但有些人今天的感受就不太好。
[08:35] 比方說你看到今天的所謂的技嘉,公布出來的財報其實也不錯,但是今天反而突然有一根跌停板。
[08:43] 市場是說因為他同時也召開董事會,宣布要現增的消息出來,大家就覺得可能有套利的空間,所以股價就先跟你一根跌停板再說。
[08:54] 另外在探針卡的旺系,旺系今天也是財報公布力多,但股價也不漲,也是出現了一個盤中的跌停板。
[09:02] 那我覺得就代表現在我覺得都不是這些個股真的有什麼樣基本面的問題,而是在於說因為大盤的量能太小,所以當有一些強勢創高股吸引到資金的卡位的時候,就會造成資金的排擠。
[09:16] 所以我覺得在現在的狀況大方向,我覺得不管以大盤跟整個產業趨勢都要以多方來看待,但在操作上來看還是回歸到之前跟大家講的,
[09:27] 其實你就不要三心兩意,應該去尋找你真的認同的產業去等待他的發動。
[09:33] 像你看到今天的銅箔基板的龍頭,台光電,欸輪到他了,輪到他創立新高,之前是老三連貓一直創立新高嘛,那今天老大跟老三都創新高,反而是老二台要,反而是有點開高走低。
[09:47] 所以我覺得這就代表說其實你可以從你真正你覺得欸我放心,我真的已經對產業研究的夠透徹,認為他未來沒有問題的。
[09:56] 我覺得都會等到股價發動,像三勒也是這樣的情況,像剛剛講的你等老AI都等到,上個禮拜很多老AI反而也創下今年的高點,我覺得是目前大家在盤面上雖然看起來百花齊放,但是我覺得還是要有耐性去等待,在量縮環境裡面等待好的股票拉回反而是比較好的操作。
[10:15] 好哇一數真的很多一數真的很多那現在到底要不要放量呢這個市場也有相當多的討論很多人覺得這個時候放量就慘了如果這時候突然爆量代表可能大家風魔情緒來然後反而追漲也有這樣的說法然後如果在這種八九千一兆的量附近慢慢滾量上去的話用慢的方式可能就不見得會打腳或是以盤代碟就會在攻現在就是大家也在觀察這件事情但我會覺得不管怎麼說
[10:44] 有人當領頭羊創高,我覺得對我來說是極具指標意義的。
[10:51] 現在是建設嘛,其實上禮拜我們講了不少是奇鴻,為什麼講這個族群?
[10:55] 是因為奇鴻他的營收一直都在創高,然後台光電也是一樣。
[11:02] 所以PCB啦、散熱啦,有一些即使之前有遇到一些倒霉的狀況殺下來的,
[11:07] 可是營收在不斷創高的情況下,他就會讓人家覺得比較放心。
[11:12] 還有一個比較特殊的就是很多人在看的載板,載板是強勢,就是回檔的時候也強勢,然後回檔完大家一起供的時候他也強勢上工,那很多人會覺得好像這樣聽起來沒有肉,這就是一體兩面了,其實那時候幾乎所有人不管看產業的或者看技術面的都會推載板,因為看技術面會覺得這樣比較容易回來,那看產業的知道載板的缺口和現在內外資就是力挺,就是看到明後年的成長性,那載板的缺點當然是因為上半年缺口不大嘛,
[11:41] 上面其實都還在聊缺口,還不是真缺口,所以你不會看到一個什麼超級了不起的成績,但是可以看得出展望上面的一致性非常高,所以會不管從這個技術面、籌碼面、基本面、產業面,大家就會覺得宅版,那他們現在也證明了這件事情,我覺得這個是這段時間來來回回裡面,我覺得相當有趣的一件事情。
[12:01] 所以接下來假如又很不幸的我們又遇到一個什麼樣的狀況回檔的時候,不妨用這樣的一些思維去思考到底市場共識強在什麼地方,以及在修正的這些公司是不是之前營收什麼獲利體質都是領頭就是領先群的那一群,我覺得領先群那群就是會讓人家比較放心。
[12:22] 當然川湖我覺得這是見仁見智,但台股需要精神指標。
[12:28] 我跟漢偉剛好是上個禮拜一,以及在上個禮拜一之前,我們就有聊到這個川湖是精神指標的時候,不是就有提到,其實就很多人不服氣啦,怎麼會輪到川湖什麼的。
[12:38] 可是不可否認,投資市場有時候跟大家在自己公司內感受到也許真的差異很大。
[12:44] 投資市場上我們現在就是需要像這樣受惠於AI伺服器,毛利率可以拉得很高,EPS可以拉得很高,股價也可以拉得很高。
[12:52] 我們不一定要買它,法人會去買它,所謂的投信的基金ETF會去買它,但是我們要知道這個氣勢在盤面上對於產業的發展、升級、漲價現在是重新歸隊。我覺得這個我們是要有認知的。
[13:09] 對啊,所以我跟大家講就是說目前來看就像剛剛趙老師說的,你都可以從產業的領頭一樣去看到市場的大資金的青睞程度。
[13:19] 對,大資金。
[13:20] 對,你看這些大資金為什麼去買台光電創業新高?
[13:23] 因為目前看起來銅箔基板還是非常缺。
[13:26] 為什麼宅版族群在台股特別強?
[13:28] 其實如果你去看日本的EBITDA,它其實股價沒有創新高,但台灣反而是宅版族群先往上衝高,也代表說其實如果回歸到產業面來講,PCB產業跟宅版產業其實還是台灣佔全球市值比較大。
[13:44] 雖然說台灣是同伯基板的龍頭,那EBITDA是所謂宅版的龍頭,但是如果以新興、南電跟景碩這三家加起來的產能還是比EBITDA來得更高。
[13:55] 所以我覺得反而是在台灣在某些產業裡面是有領先全球的一個效益。
[14:00] 所以我覺得這時候當然他在盤面上這種認同度一高的時候反而就會容易拉出一個非常強勢的上漲。
[14:08] 所以我覺得從這樣的一個現象來看其實很簡單去說啦,為什麼會輪到他們?
[14:13] 其實你都可以從最近的密集的法說會或說從國外大廠的一個說法都提到,
[14:18] 你看到從台積電啊,從一些所謂的一些主要的科技大廠都提到,未來可能兩年載板會非常缺。
[14:26] 他們認為是一個未來的供應品領之一。
[14:29] 那最近的聯亞,然後全新ITKY,對,零化硬,大家說會比記憶體更缺。
[14:36] 那記憶體的部分也沒有問題,因為上個禮拜的這個海力士的這個CEO執行長,
[14:42] 推太遠說明年的記憶體會是一個非常缺的一年,比今年還要慘。
[14:49] 那當然網路上就說,這個吹太遠會長會不會吹得太遠?
[14:54] 可是吹太遠會長做了一件事,大家不要忘記,那時候投入了將近一億台幣的錢去護盤海力士嘛。
[15:01] 他那一天算是一個整體市場的拐點喔。
[15:04] 對,整體市場就是,雖然韓國後來又撐錢了兩三天,
[15:08] 今天函谷休市,所以今天盤面上又多了一絲無聊,就這個原因。
[15:13] 但是那天晚上,那個記憶體,就是美光Sandisk就大噴了。
[15:18] 所以一己之力,一個信心的加持是蠻有力道的。
[15:23] 所以他講話我還是會尊重一下。
[15:26] 我覺得我本來以為今天你要講八過說崔太元是跟他前期離婚,是史上最大的一個戰友會的官司。
[15:32] 沒有耶,我沒有注意到這個耶。
[15:34] 有的他離婚的金額比他護盤金額更高。
[15:37] 而且它換金額不大,我那時候只是覺得市場就是缺一個信心。
[15:41] 我覺得那個扭轉點就包括說像我們有史上最大漲點3200多點那一天,市場要的就是一個基本面真的沒有改變,然後但是我們市場上的氣氛需要改變的那個扭點。
[15:55] 當然之前去槓桿那些也都去了啦,所以我就印象很深,他說要拿出這個將近1億台幣的錢來買海力士的時候。
[16:05] 對,所以我們跟大家講就是說你會不會看到盤面上,說真的啦,就是之前法說會大家提到的,供應鏈瓶頸最缺的一個產業就最先創新高。
[16:14] 所以目前來看我覺得台股還是從這個方向去找,就是說你可以從最近陸陸續續在召開法說會,有些可能公司幫別人開了法說會,有些可能別人公司幫人家開了法會。
[16:26] 但整體上來看只要說某個產業說哪一個地方很缺,那我覺得那個方向就不會錯。
[16:32] 所以我覺得整體上來看的話,這些所謂的AI的名門正派,都是挾著供應鏈的缺貨,伴隨著業績的成長,伴隨著每一個月交出更強的一個EPS展望,就讓股價持續創高。
[16:46] 所以我覺得這個是一個盤面上看起來比較正向的循環,因為都是由這些所謂的大家所認同的龍頭股在創高。
[16:53] 那這樣的狀況裡面,當然大家會想說都已經來到那麼高的位置了,會不會沒有機會?
[17:00] 現在來看,因為盤面上資金還沒有非常明顯的到位,所以你說現在要看老大做老二,或說看大做小,好像還缺那麼一點點味道。
[17:12] 所以你可以看到像剛剛講的我們載板有上去了,新興跨窗戶也新高了,但是真頂的位置就還在季限以下。
[17:20] 所以它會變成說還是要等到整個大盤動能比較充沛一點,你要去做這種所謂落後不漲股票才會比較有用。
[17:28] 如果說載量人還沒有出來的時候,如果能夠有把握的話,盡量選產業龍頭進場,我覺得是比較好的選擇。
[17:58] 這個新高或是領頭走就變得很重要,就像整個機體是南亞科來創歷史新高嘛,我覺得它就具有代表性,如果是那種小型股創高,你可能就覺得反正就是可能由業內主力特別拉某一檔這樣子,不過機體今天大家可能也會有點小失望,像華邦電視游紅反正它已經相對落後了,本來我們覺得南亞科跟華邦電視的線圖長得差不多,現在長相有點差異了對不對,那旺紅是之前大家就一直捧啊,說全世界只剩它在做,
[18:26] 可是說實話它幾乎是這一波記憶體裡面落實的族群代表。
[18:31] 那群聯呢就更辛苦了對不對?
[18:34] 結出了單G EPS這麼高的水準之後,但隨即在那一天有不少的內資機構就對它施以降頻大法。
[18:44] 我看到網路上有人非常維護群聯,真的沒有不好,你說一季賺118公司有什麼不好?沒有。
[18:50] 可是事實上他們降頻的原因就是擔心第三季的毛利率會比第二季不好嘛。
[18:54] 所以應該是富邦投股吧,還哪一家?就有提到現在63、64%的毛利率,第三季可能會變成五字頭毛利率,有提到這樣的一個論點。
[19:03] 有沒有,當然公司不會這樣說,可是他們也有提到說毛利率太高,會殺傷整體產業。
[19:09] 這個東西我們都討論了可能有半年以上了,就是確實各個零組件它在漲價的時候,對於自己公司看起來業績是很好的,
[19:19] 對於整體生態來說,會產生大家比較辛苦、延遲拉貨、乾脆不要用那麼好規格、降規使用的討論。
[19:28] 當然這些討論都可能反映在前一波9000多點的下殺,這個都有跟大家聊過了。
[19:33] 但顯然這個問題到了第三季,我們還是時不時得面對,它會出來擾亂盤面。
[19:39] 對,記憶體的部分,當然大家就像剛剛講的,你會發現到最近這個禮拜,說真的一直在創高只有南亞科。
[19:46] 所以老二老三不管是你老二華邦電老三你要抓利基金還是網紅其實相對來看都比較弱一點
[19:53] 那也代表說如果大家去看法人籌碼最近其實三大法人投買也是南亞科
[19:58] 所以才會跟大家講說目前來看我覺得指標股沒有帶動整個族群的全面性走強
[20:05] 那就會讓大家在操作上面好像就必須要選邊站
[20:09] 我覺得整體上來看所謂的機體製造端所謂經濟廠
[20:13] 南亞科華邦電這兩家公司看起來還是目前展望最好的,沒有太大問題。
[20:19] 那立基電單他有所謂的西電龍啊,然後有多題材,然後旺宏比較可惜的地方在於說他真的有交出業績成長的成績單,但目前我覺得他還是籌碼面的問題,就是他其實營收有在創新高,但是因為現在市場資金不青睞,所以我覺得旺宏的投資人可能就還是要耐心去等待。
[20:38] 目前現行偏弱,如果你有的不要貿然加碼,如果你沒有的人,你就等他轉強再做進場就好了。
[20:45] 所以我覺得目前在整個製造端的這個四個經驗經歷場,目前看起來我覺得還算是一個比較有整齊輪動的一個族群。
[20:55] 那另外一個就是大家講的,哇,這個原本的台股第二季的EPS王,第一名是群聯,第二名是EDMA,一個是單季118塊吧,然後一個是108塊。
[21:07] 對,都非常高的一個EPS,就兩個是難兄難弟的往下跌。
[21:12] 那大家當然會覺得群聯明明就這麼好的財報,那為什麼股價反而是沒有辦法發動上去?
[21:18] 我覺得也是跟法人目前的平等有關啦。
[21:21] 那當然大家會替群聯抱歉就是說,那真的第三季毛利往下掉的話,會不會股價大幅度的修正?
[21:28] 其實我覺得其實群聯的董事長,當然潘董說了很多話,大家也可以去聽他的說法啦。
[21:34] 他說其實在群聯看來,他認為未來毛利率的上升跟下降並不是那麼重要,他主要是要把營收做大、市佔率做大,他未來希望的是他在整個AI的這個相關的市佔率能夠明顯的出現體質的改變。
[21:50] 那這一點大家從他法術的內容也可以看到,他的AI營收佔比已經超過三成了,那反而消費所謂的傳統模組類不到5%。
[21:59] 所以他的體質已經轉變了,但是目前市場就不清賴,所以對於有群聯的投資人來講,我覺得就是耐心去等待,因為如果公司目前還在堆庫存,那整個企業轉型還是在延續,那甚至說潘董那時候講的,他也可以把群聯毛利率做得很高啊,因為他在第二季的營業費用弄到快要100多億,我記得快要200億,如果那個100多億200億都灌回到他像這個Eding他的研發支出沒有那麼高的話,
[22:29] 他可以弄出大概140幾塊的EPS
[22:31] 那這個就會讓股價有更大的想像空間
[22:34] 但我覺得畢竟公司他的目的是希望說能夠分紅給員工照顧股東
[22:41] 那甚至說在整個研發有更多的投入
[22:44] 所以長線來看我覺得群聯是值得投資
[22:47] 但就短線來講的話大家就會想說
[22:49] 相信潘董到底什麼時候才能夠懂
[22:51] 所以這個我覺得應該是見仁見智啊
[22:54] 如果你真的是長線看好群聯的話
[22:56] 我覺得這個地方支股區報應該沒有問題
[22:58] 但如果你真的覺得它的效率很差,現在其實也不是模組場的一個趨勢,那也許大家可能就可以透過其他的方法去做換股操作,因為你可以去找一下台股有很多的ETF有持有群聯的,那你就不如把群聯賣掉,然後去換一些ETF,那等到群聯轉強再買回來,你也不會說群聯上漲,同時又可以擁有其他個股的上漲空間。
[23:22] 嗯,就是知道他好,但是他就是,也不能說他沒有談哦,但他之前真的殺很深,他殺到1400多塊,以一個獲利這麼好的公司來說,就是他會顛覆掉我剛剛講的,創新高啊,對不對,剛剛講到散熱啦,通波基板啦,甚至連載板的,其實他的增幅都很大啊,他,基體也是,基體更不用講了,是幾倍幾倍的年增率,可是因為這個族群,他就一直沒有辦法擺脫。
[23:50] 當然第一個去年漲非常多了,這個必須承認嘛,這個十倍的漲幅都有了。
[23:56] 然後第二個他又面臨到說大家還是一直覺得市場的平衡啊,可能沒有辦法讓他們一直賣那麼貴。
[24:03] 我們這邊有跟大家分享,像最近工業電腦啊,在截這個上半年的半年報,化汗不是上禮拜吃一根蝶艇嗎?
[24:10] 然後他就是有被影響到毛利率,那延華開發說會,就是剛剛漢偉講到的,他好像有試圖淡淡的幫模範賭場開發會,
[24:20] 後來沒有,就是研華自己還有在創高,其實真的是蠻厲害的,但他就有講到一件事情就是他不缺了,只是價格可能在溢價上還是挺硬的,所以模組這件事情,因為供應電腦他們是這種客製化的廠商,客製化廠商跟那種可以大量拿的廠商,說實話他們的溢價能力會變得比較弱一點點,對,因為現在大家說有人可以跟我要大量啊,我當然就又貴又大量就先給別人,你這個還要按照客戶的客製什麼的挺囉唆的這樣子,
[24:50] 所以工業電腦為什麼常常講說在後面,他們就會很容易排到後面,很容易被擠壓毛利率,為什麼我們說記憶體漲價受害股第一批就是工業電腦,很多網通廠也是,如果不是標準品的話,就也是這個問題。
[25:02] 可是現在據了解,就是工業電腦跟網通廠都對於記憶體缺這件事情沒有那麼頭痛了,價格上就還要再看看能不能談到更好的價格。
[25:14] 我覺得這些都會是對記憶體來說的一個小雜音,還是很賺,可是市場很嗜血,就是如果你本來是年增倍數,後來你變成年增幾十%他可能就覺得沒那麼好了,我覺得這個大家可能就多考量,這也是我真的比較不擅長,可是我就像漢偉講的一樣,我去買了很多ETF裡面其實他就會有記憶體,包括像之前大家覺得震盪很大的像988A這種商品,覺得好爛啊,跌下來傷很深,但是因為他很多記憶體,很多信息,他就不會有記憶體,他就不會有記憶體,他就不會有記憶體,他就不會有記憶體,他就不會有記憶體,他就不會有記憶體,他就不會有記憶體,他就不會有記憶
[25:44] 這就是股市的ETF上有多多的房貸
[26:31] 我做了一些配置跟轉換,因為我一直都大量的持有債券型的ETF,但後來債券型的ETF的息進來,或者後面我加碼的反而又是很積極的,例如說主動式的ETF或是科技股波動比較大的。
[26:45] 到後來的話當然就是還是股大於債,以及有做到所謂的配置上的平衡。
[26:51] 現在環境看來不會輕易降息,
[26:56] 我如果要 cover 明年我交屋後的房貸,
[27:00] 我考慮到的是,
[27:02] 我要不要換到所謂的用資本利得來配息的一些科技型 ETF 上面。
[27:09] 這是上禮拜四跟五聊到的。
[27:11] 那我也算了我大概需要多少的部位,
[27:14] 因為有一些 ETF 很可愛,
[27:15] 它就是用資本利得配,它也是可以配到年化10%喔。
[27:18] 而且因為用資本利得配的關係,
[27:20] ※現時沒有任何資格為視頻寫字,歡迎收聽。
[27:50] 我提供一些我搜尋到的資料,例如我有提到說像00881、00927、00923、00830、00947,我多舉幾檔,它們都是屬於在半導體科技為主的ETF裡面,然後呢,息配的不錯,甚至是近期才把息配的比較高。
[28:15] 你可以去查一下他們的配息來源可能從80%到100%都是資本利得
[28:21] 我會從這樣的一個邏輯去篩選
[28:24] 可是你說我是不是永遠都是買我剛唸的那幾檔
[28:28] 沒有喔 並沒有
[28:30] 我應該會配4到6檔
[28:32] 甚至Maybe更多
[28:33] 因為我對ETF的訴求很簡單
[28:35] 我不會知道誰會是最厲害的
[28:37] 就算你回測績效他是第一名也不代表他未來是第一名
[28:41] 所以你不如讓同質性的東西多買幾檔
[28:44] 那反正目標是同一個方向嘛,那你有同時1到5名,5到6名,7、8名都好,總之一個螺框裡面,他們去幫你做賽跑,我覺得這樣就好啦,你不用求,你什麼事情都一定是,我就是要把我手上一千萬、兩千萬都all in在某一個,我覺得一定會第一名的東西上,那就不用了啦,我覺得那個就是幻想而已啦,就像希望能夠在三萬九超到底,可以在四萬八賣到高,這都是不太可能的事情,
[29:12] 我們就盡可能的在自己的需求跟想法中做到最好。
[29:17] 那因為這邊金額也許我就不公開講,但是有人私訊我說我有回答他,就是我有預計我平均下來一個月要領多少錢。
[29:25] 那這個錢就是可以完全cover房貸的。
[29:28] 這邊的話跟大家做個交代,因為好多人在問,問配置出來沒?
[29:34] 有機會的話再好好跟大家聊啦,我們就還是回到這個盤面上。
[29:39] 記憶體也講到很見仁見智,今天在飛電的部分貨櫃航運的起來,其實我們之前也有講到貨櫃航運,因為今年在美伊的戰事下,照理來說運價是有可能要走高的,這是第一個。
[29:52] 第二個大家可以看貨櫃航運把圖打開的話,他們確實已經微微的都不斷的往右上走,當然也因為這段時間是反彈的,然後他們也狹帶著還不錯的股息嘛,所以這個地方有時候他防禦資金就會跑進去,那最近確實貨櫃航運的運價是有在往上走的。
[30:08] 對,所以我覺得講貨櫃航運之前大家應該還有印象航海王的時代嘛,那很多人對記憶體的一個擔心害怕就覺得說會不會現在獲利最高點,那後面只要所謂的運價往下或記憶體報價往下的話,他們很容易回到所謂的波段起漲點。
[30:25] 那我覺得這一點是應該是近期應該比較不用擔心的,因為大部分記憶體都有長約的保護。
[30:31] 那再加上說其實為什麼記憶體到現在很難做是因為很多人會捨不得離場,因為你不太知道說記憶體到底它的轉折點會發生在什麼時間點,如果是2027或2018那你現在就賣得太早,那如果是今年下半年就記憶體轉折,你現在跑就來不及,所以我才會覺得說記憶體真的到這個位階點上面,你真的要單押個股,盡量就還是尋找法輪努在買的,那根據基礎性的運行操作我覺得是比較好的方法。
[30:57] 目前我個人看法,我認為在2027年都還有機會看到記憶體的價格維持在高峰。
[31:04] 大家會覺得說最近記憶體好像漲不太動,但如果接下來真的有一些AI的殺手級應用開始爆發的話,可能記憶體需求會有新一波的動能,那可能就有新一波的漲勢。
[31:14] 但因為還沒有看到,所以不能夠這樣跟大家講,所以大家還是回歸到看報價、看國際的大廠。
[31:21] 目前報價部分最少就這個DDR4、DDR5的現貨報價都在創高,所以目前我覺得報價沒有反轉。
[31:28] 那國際大廠的部分美光回到1000美元了,那我剛剛看一下Sandisk在上個禮拜是漲了大概三十幾個百分點,那今天的盤後大概續漲了六個百分點,那今天在日本的凱霞也大漲了15個百分點,所以看起來國際大廠的股價開始跟著台股做一起補漲。
[31:45] 真的耶,跟著我們做補漲。
[31:48] 對,這樣做補賬。所以看起來我覺得趨勢上來看對記憶體我覺得也不悲觀啦,就是慢慢它會有一個慢慢墊高的機會。
[31:55] 但整體上因為雜音多嘛,所以也不會覺得說大家一定要去做記憶體,而是說你可能對記憶體有信心也許可以留著,如果沒有信心的話我覺得你可以去做一些適度換股,因為現在都還在相對高檔。
[32:08] 那就回到所謂的航運股,那我覺得航運股這一波也許有一些新一個短線的動能,現在不能夠看太長,因為運價部分沒有看到大幅度的上漲,那只是說今天第一個SCFI是連續三週上漲,那是溫和上漲而不是那種每週十幾趴的上漲,對,溫和上漲,對,所以我們會看到其實在第二季的財報貨櫃三雄交出不錯的成因單,那第二個是你看到今天航運股也只漲貨櫃三雄,
[32:36] 其他大概只有長榮航有反彈,但大部分都沒有漲到,所以代表他們整個族群性還沒有,你現在就以貨櫃三雄為當中的指標。
[32:45] 那剛講到就是說SCFI的上漲,那當然反映到第一個是歐美的所謂的貨運旺季要來了,所以他們的報價有可能在第三季會有這種持續走高的一個狀況。
[32:56] 第二件事情,因為地緣戰爭風險的影響,紅海的問題現在看起來是比較難解,因為川普說這個荷姆治海峽是美國的,所以現在伊朗看起來對於川普的一個和談是有比較大的意見。
[33:13] 所以這個問題如果沒有辦法解決的話,全球的航運的狀況,那種delay的情況我覺得還會延續。
[33:19] 第三件事情跟極端氣候有關,大家如果注意到歐洲的熱浪,這熱浪開始影響到所謂的歐洲的內核航線的運價表現。
