[00:00] 欢迎收听赵华与国货仔的周末特别版
[05:28] 因为我们在股市要找一个方法
[05:31] 即使大盘好大盘不好
[05:33] 因为我们还是希望在股市
[05:35] 能够赚到钱
[05:36] 所以我们要把握几个原则
[05:38] 第一个当然要在股市
[05:40] 去知道现在的资金
[05:43] 会流向哪一个方面
[05:44] 所以大家其实
[05:46] 看节目看多
[05:48] 应该也知道了
[05:49] 今年明年大概都是以AI为主
[05:53] AI的相关供应链
[05:55] 或者是这些
[05:56] 那这些因为这个业绩的成长的
[06:00] 这个倍数很大了
[06:01] 所以还是以这些为主
[06:03] 所以大家耳熟能详的
[06:05] 比如说这个什么散热模组
[06:09] 低轨卫星
[06:10] 这个PVC的基板
[06:13] 或者是现在又流行的
[06:16] 钙钛矿的太阳能
[06:18] 你还要学这种新名字
[06:19] 对对对
[06:20] 因为产业本来就一直有新的统一出来
[06:23] 有新的产业
[06:24] 那封装啊
[06:26] 细光纸啊
[06:27] 记忆体啊
[06:28] 这都是随着AI的需求
[06:30] 所以这个需求应该还会延续一年到两年
[06:34] 所以这个主题是不变的
[06:37] 所以大家在这些主题中去抓
[06:40] 这个当然趋势一定要符合多头的
[06:43] 因为有些涨多的
[06:44] 可能他正在回荡已经变空
[06:47] 你就不要去介入
[06:48] 所以违规来说最重要的重点
[06:52] 就是你要有一个方法来判断
[06:54] 我们大家都知道
[06:56] 这些好热门
[06:57] 可是在这里面
[06:58] 你又怎么能够抓到一只好股票会涨的
[07:01] 这个就是大家都知道
[07:04] 我就一直强调技术分析
[07:06] 如果你技术分析
[07:07] 能够有技术分析的条件的好股票
[07:11] 基本上就是现在你要选的对象
[07:14] 你选这些热门股
[07:17] 我们就假设了
[07:18] 你讲的矽光子
[07:19] 矽光子股票很多
[07:20] 那你去看这些股票里面
[07:22] 有日线周线月线
[07:24] 全部都多头的股票
[07:26] 它自然连续涨的趋势的时间
[07:29] 会维持的比较久
[07:31] 那你可能就不必要换来换去的
[07:34] 因为你手上股票
[07:35] 既然好的一个长趋势
[07:37] 你就一直跟着它做就可以了
[07:39] 那索股的话
[07:41] 当然可能就像赵华讲
[07:43] 哇一大堆
[07:44] 是這個股票不知道怎麼辦
[07:47] 那我就建議就是說
[07:48] 這些題材裡面
[07:50] 你每一個題材裡面去鎖個
[07:53] 大概兩三檔
[07:54] 每一個題材都先鎖一下對就是多頭比較強的那你加一加也好幾十檔那好几十档里面你就去追踪它追踪到某一档是可以去进场
[08:05] 符合我们技术分析条件你就去进场
[08:08] 那进场了以后
[08:09] 你就专心去做你手上的股票
[08:12] 那你的资金不管你怎么买
[08:15] 我是建议大家三到五档
[08:17] 因为你锁二十档
[08:18] 不可能二十档都买嘛
[08:20] 那你买的话也是每档一张
[08:22] 那有的还很贵
[08:23] 有好几千块的
[08:25] 所以基本上
[08:26] 你就要集中你的火力
[08:27] 在你锁的股票里面
[08:29] 如果有发动的
[08:30] 你就买
[08:31] 买了以后
[08:32] 把资金分配
[08:33] 大概三到五档
[08:34] 那这样你去照顾它
[08:36] 即使大盘不好
[08:37] 因为个股还是很好
[08:38] 其实我们追踪的
[08:40] 很多好的股票
[08:41] 好像没有受什么
[08:42] 大盘影响
[08:43] 它就每天就在涨
[08:44] 就很符合
[08:46] 我们技术分析的操作
[08:47] 所以观众
[08:50] 如果你有技术分析基础的
[08:52] 你大概就用这个方式去锁好股票
[08:55] 大概手上掌握三到五档
[08:58] 然后当然因为你有技术分析
[09:00] 当然你也知道在哪卖
[09:02] 该卖的时候你要卖掉
[09:04] 不管什么股票它都是轮动轮涨的
[09:07] 涨多了都会回来
[09:08] 前一阵很强的可能这一阵子
[09:10] 它回来之后就一直没有动
[09:12] 你就不要去做了
[09:13] 你就去做其他你手上锁的好股票
[09:16] 这是我给大家做的建议
[09:19] 等于台股虽然有这么多的股票
[09:21] 可是先从资金会流向的热门产业
[09:24] 事实上如果有追踪财经新闻的话
[09:26] 应该都知道是哪一些热门产业
[09:28] 但热门产业还是很多
[09:30] 所以每一个产业里面
[09:31] 再去锁两到三档
[09:33] 因为实在有太多的投资朋友跟我说
[09:35] 很奇怪了
[09:36] 你锁定的这些
[09:37] 就是买的那一档涨最少
[09:39] 没有买的那一档就涨比较多
[09:41] 所以林玉老师
[09:43] 这么多的股票里面
[09:45] 你锁股的逻辑也跟朱老师类似吗
[09:47] 我大概
[09:48] 当然强势股一定会强者很强
[09:51] 而且建压不是压
[09:52] 不过我倒是觉得
[09:53] 因为大盘已经涨到相对的高点了
[09:56] 那高档有这个兆元的这一个
[09:59] 这么大的量
[10:00] 头部压在这
[10:01] 那这些大量压
[10:02] 我觉得也是这一些热门股
[10:05] 就是这一波大涨热门股的
[10:06] 高档的套牢量
[10:07] 所以我或许我们换一个角度来去思考
[10:10] 或许我们可以去找一些
[10:12] 比较低档的股票
[10:13] 低档股票是不是
[10:14] 就像老师常常在讲
[10:16] 低档起涨
[10:17] 那后面空间就比较大
[10:18] 那其实这个每一年的年初
[10:21] 这个我们都会去关注一类的
[10:24] 就是除权息的概念
[10:25] 对所以现在比如说现在三月
[10:27] 那除权忘记大概就是四五六月这样子
[10:30] 那除权息很棒
[10:32] 就是你不但可以不但可以赚价差
[10:34] 你还可以赚他的股息
[10:36] 那我就不禁让我想到一档
[10:38] 这也是我最近稍微在关注一个
[10:40] 就是所谓的这个营建类股
[10:42] 营建类股你看像2024年年初
[10:45] 涨到冲到最高点
[10:47] 回下来有好多都已经打回原形
[10:50] 因为现代令确实对于
[10:52] 硬件的交易变得好冷清
[10:54] 但是最近像我看到
[10:55] 什么华固公布去年获利
[10:58] 很棒赚一个股本
[11:00] 就一直往右上角走
[11:01] 就是华固
[11:02] 因为华固
[11:02] 就要讲华固是不是
[11:04] 就是华固
[11:04] 因为它
[11:04] 形态好
[11:05] 它殖利率
[11:06] 真的它殖利率有6%
[11:07] 然后它现在这个股价
[11:09] 90几块100多块
[11:11] 已经回到2024年1月初
[11:13] 起涨的那个点了
[11:14] 那华国现在正在底部大整理区
[11:17] 它是一个很大的盘整区间
[11:19] 所以现在也不急着进
[11:20] 压力大概在120左右
[11:22] 那目前的价格118
[11:24] 也差不多了
[11:24] 那最低点大概落在93.5附近
[11:27] 所以它现在在底部一个大盘整区
[11:29] 而且如果有去看图的话
[11:32] 这盘整区全部都大量
[11:34] 所以底部这边
[11:35] 第一个它不跌
[11:36] 第二个大盘整区又大量
[11:38] 然后按照我们的技术分析
[11:40] 视线底部纠结
[11:41] 而且这盘整期间
[11:43] 也超过三个月了
[11:44] 所以按照我们的技术面
[11:47] 选股的话
[11:48] 它又符合底部
[11:49] 然后又均线四线纠结
[11:51] 又底部大量
[11:52] 然后又有这个殖利率的题材
[11:55] 所以我才想说
[11:56] 与其一直去追这些强势股
[11:58] 不如我们就回过头去看看
[12:00] 没有人买的这一些
[12:02] 而且它也慢慢的
[12:03] 有机会往上走了
[12:04] 所以两位是有彼此兼顾到
[12:07] 朱老师感觉上你比较冲
[12:09] 这其实朱老师之前有提过的
[12:11] 但是现在确实
[12:13] 因为三四月董建士会在开
[12:15] 就会公布股息
[12:16] 那很多高值利率的股票
[12:18] 例如老爱爱也是
[12:19] 可是老爱爱的形态
[12:20] 都走得比较难看
[12:21] 像伟创跟鸿海
[12:22] 可是反而是被打了
[12:24] 一年多的这个银剑股
[12:26] 这个不止华股
[12:27] 当然有的线还没做好
[12:29] 像就注意到
[12:29] 像海月公布股息
[12:30] 也就直接送一根涨停板
[12:32] 虽然是形态没有做好
[12:34] 没有像华股那么漂亮
[12:35] 但我觉得像这样的趋势
[12:36] 大家可以留意看看
[12:38] 找形态好的高值利率股
[12:40] 毕竟低价股
[12:41] 如果像这种跌很深的股票
[12:43] 或者是目前还乏人问津的股票
[12:45] 那会去买
[12:46] 绝对是有背后知道一些利多因素的
[12:49] 好
[12:49] 就可以给听众朋友各自一些考量
[12:52] 就这么多的股票里面
[12:53] 一定要有现在盘面上关注的题材
[12:56] 这个很重要
[12:57] 然后形态是要多头的
[12:58] 好
[12:59] 那当然资金稍微分散不去
[13:00] 用零股也可以
[13:01] 每个题材锁定一些些
[13:04] 一定会有开花结果
[13:05] 但是呢
[13:06] 最近也有人在问了
[13:07] 他说大盘在震荡的时候
[13:09] 他想要降低一下持股
[13:11] 或者说想要拿出一点现金
[13:13] 其实他会很纠结什么
[13:15] 因为大部分的人
[13:16] 手上都有那种万年套牢
[13:18] 但舍不得卖
[13:19] 他说如果我卖
[13:20] 刚好砍在阿呆股这个亏四五十趴
[13:23] 那还是去卖那些
[13:24] 可能涨个五趴十趴的
[13:26] 比较不会痛心
[13:27] 对于这样的想法
[13:28] 林英老师有没有给一些建议
[13:30] 事实上我们都知道
[13:31] 不应该去沉溺在套牢股
[13:33] 可是又怕卖了
[13:34] 他就开始涨
[13:35] 对 我觉得其实
[13:36] 会有这样的情绪纠结
[13:37] 大部分都是用情绪在做股票
[13:39] 就是你当时候可能某些原因进场
[13:43] 那该停损也没有要停损出场
[13:45] 这种状况其实很多的散户经常会出现
[13:48] 其实包括我们的家人也都是这样子
[13:50] 最近大部分已经都攻到三万五千点了
[13:53] 然后这个家人的股票刚好等解套
[13:56] 解套又不卖
[13:57] 他说好有高
[13:58] 结果现在又杀下来了
[13:59] 所以最近的其实很多
[14:01] 确实有很多的散户面临到这样子的问题
[14:04] 但我的看法是觉得
[14:06] 在我们的技术分析里面
[14:07] 就是强者很强
[14:09] 弱者就是很弱
[14:10] 因为没有题材
[14:12] 也没有基本面
[14:13] 然后也没有技术面
[14:15] 也没有量
[14:15] 什么都没有
[14:16] 那我们就只能
[14:17] 干瞪眼再多等待
[14:18] 所以我们的建议
[14:20] 大概你就把弱的股票
[14:22] 那如果你有学过
[14:23] 一些技术分析的话
[14:24] 你就去观察
[14:25] 这只股票
[14:26] 如果已经是空头了
[14:27] 那么我觉得
[14:29] 那就趁机把它先出脱吧
[14:32] 先把钱收回来
[14:34] 那因为整个大盘的趋势
[14:36] 没有改变嘛
[14:37] 周线还是多头
[14:38] 那顶多回档而已
[14:39] 那未来如果回号买上涨
[14:41] 还有机会
[14:42] 比如说像周老师有
[14:43] 在教育我们有预测
[14:45] 未来大盘公司
[14:47] 假设三万五四万点
[14:48] 那我们把这些不好的股票
[14:51] 或者是没基本面的股票
[14:52] 套了股票
[14:53] 先把资金收回来
[14:55] 然后把钱整理好
[14:57] 等到下一次有机会再去做
[14:59] 我觉得这样子的效应
[15:00] 可能会比你
[15:01] 等这个解套还来得高
[15:04] 我举一个最简单的例子
[15:05] 我记得好像在前两个礼拜吧
[15:07] 有个消息台积电
[15:09] 两千多
[15:10] 两千五吧
[15:11] 两千多块
[15:12] 有一对医生夫妻
[15:13] 是
[15:14] 凑了五百万
[15:15] 然后all in
[15:16] 在两千块的台积电
[15:18] 虽然不知道是不是创作文
[15:20] 但是也有可能蛮多人
[15:21] 总之他两千多块
[15:23] 一定是有人买吗
[15:24] 一定有人买
[15:24] 因为卡金高涨量这么大
[15:26] 一定有人买嘛
[15:27] 因为外资大卖
[15:28] 但是一定有人接嘛
[15:29] 对
[15:29] 那你想想看你如果两千块嘛
[15:31] 现在只剩一千八
[15:32] 结果你马上就现赔了
[15:33] 对
[15:34] 所以像这种套牢的情况
[15:36] 你与其在等
[15:37] 等它回来你的本
[15:38] 你就开心
[15:39] 问题是我如果在1800接的人
[15:41] 我到了2000
[15:42] 我是赚了两成
[15:44] 感受完全不一样
[15:45] 完全不一样
[15:46] 财富重分配
[15:47] 这也是一种财富重分配
[15:49] 你永远手上我有套牢的股票
[15:51] 但是人家是一套牢
[15:53] 就赶快清清手上的部位然后去低阶一些好股票下次有机会再做那你的成本比别人低你的进场位置就是买的比别人好这一来一回其实说实在的
[16:05] 你心情也很好
[16:06] 操作绩效很好
[16:07] 我觉得整个操作
[16:08] 会比较完整一点
[16:10] 我觉得就是
[16:10] 也带到一件事情
[16:12] 就是进出要有逻辑
[16:13] 对
[16:14] 就是一般人很容易
[16:15] 像我看到有个人留言
[16:16] 就写得很简单
[16:17] 因为前两天
[16:18] 有那种大涨
[16:19] 单日大涨
[16:20] 就是一千多点
[16:21] 我就说那么大涨
[16:22] 就先不要盲目的追
[16:24] 可是他就说
[16:24] 我就是看到大涨
[16:26] 才想追啊
[16:27] 所以你说
[16:29] 差期2000块以上
[16:30] 才一定是真的很有可能
[16:31] 真的很有可能啊
[16:32] 因为量很大啊
[16:33] 明明他下来会有
[16:34] 回后买上涨的机会
[16:35] 买在那个点
[16:37] 才会相对是
[16:38] 例如说攻击点
[16:39] 买了马上有效率
[16:40] 已经买的位阶比较好
[16:42] 不是差期在最高点
[16:43] 这件事情
[16:44] 那套牢的股票
[16:45] 如果又没有量
[16:46] 又是空头走势
[16:47] 也发现没有什么远景
[16:48] 真的赶快把钱变现
[16:50] 对不对
[16:50] 对因为
[16:51] 关于未来再攻到4万点
[16:52] 你这次也不会涨啊
[16:54] 还不会涨那就很心痛
[16:55] 那就很惨了
[16:56] 所以要趁这个时间整理一下心情
[16:59] 其实股市有一句话
[17:01] 赔钱的股票要砍掉
[17:03] 赚钱的股票要让它自己去发展
[17:06] 你不要说赚一点就跑掉
[17:08] 既然它是赚钱
[17:10] 你不必要担心
[17:12] 赔钱的才要担心
[17:13] 所以以后你有赔钱的股票
[17:17] 要马上去注意到
[17:19] 它是不是趋势改变了
[17:21] 是不是停水已经到了
[17:22] 你就赶快走掉
[17:23] 避免套牢太省
[17:25] 赔了三成四成
[17:27] 那叫你清仓当然也会舍不得
[17:29] 但是清仓却是一个
[17:31] 另外一个好的方法
[17:33] 因为你把资金拿回来
[17:35] 去做现在的强势股
[17:37] 也就是说现在赚钱的股票
[17:39] 你哪只股票做的是赚钱
[17:41] 那你把这个钱转到那边去
[17:43] 那你这个赚钱的股票
[17:45] 会让你马上就可以
[17:47] 把赔的钱一直收回来
[17:50] 所以这是一个
[17:51] 非常重要的一个观念
[17:54] 在我们的股市里面
[17:55] 也一直跟大家讲
[17:57] 那第二个当然
[17:58] 最好不要赔钱
[17:59] 大家都希望不要赔钱
[18:01] 从源头就要根治
[18:02] 但是怎么样才能够不赔钱
[18:04] 又是大家问了很多的问
[18:07] 很多的人的问题
[18:08] 可是我做就会赔
[18:10] 那如果你学了技术分析
[18:13] 你就会知道
[18:13] 即使你赔钱也是小赔
[18:15] 那这样就不会伤了你的
[18:17] 什么元气啊
[18:19] 或担心啊
[18:20] 或者要等什么时候解套
[18:21] 我随便举个例子
[18:23] 大家就知道
[18:24] 鸿海是不是好公司
[18:25] 好公司吧
[18:26] 买在300块的
[18:28] 到现在还没有解套
[18:29] 很远
[18:30] 对
[18:30] 而且你知道多久了
[18:32] 你已经被套了十几年
[18:33] 你回去看300块的位置在哪里
[18:37] 你套了十几年都还没解套
[18:39] 你说最早的是不是
[18:41] 不是这一波的
[18:42] 因为我们这一波260嘛
[18:43] 那上面有个300的头
[18:45] 那大家都希望到300
[18:47] 可是你就抱了很久
[18:49] 那你看看你是不是撕掉了去年2024年
[18:54] 冲到三万五千点的机会
[18:58] 今年冲到三万五千点
[19:00] 因为你的钱卡在那边了
[19:01] 你早点拉出来
[19:03] 现在AI股票每个标股一大堆
[19:06] 你做什么记忆体
[19:08] 做什么你都赚钱
[19:10] 这个观念非常重要
[19:12] 所以希望大家有一个很好的方法
[19:14] 去避免你的这种套牢跟大赔的风险
[19:18] 尤其像这个好股票
[19:19] 你一定不会舍得卖
[19:21] 因为它有基本面
[19:22] 而且你以前也跟我们讲说
[19:24] 都套到这样了
[19:25] 不用卖了
[19:25] 你也会讲
[19:26] 早晚一天也会回来
[19:27] 问题是哪一天回来
[19:29] 如果三年才回来
[19:31] 那你这三年
[19:32] 这个钱几乎就没有效率了
[19:34] 根本就没办法在股市去赚钱
[19:37] 所以这个观念
[19:38] 我一直跟大家强调
[19:39] 不要被套牢
[19:40] 然后那就用技术分析
[19:43] 技术分析会告诉你
[19:44] 你该停损了
[19:45] 你就赶快走掉
[19:46] 那赚钱你也知道要赚到哪你才卖
[19:50] 而不会小小的又跑掉了
[19:52] 那这就是一般散户
[19:54] 一直没有抓到一个方向或一个方法
[19:58] 好 因为朱老师这很诉求
[19:59] 就是第一时间
[20:00] 你这预防胜于治疗
[20:02] 第一时间你离场就没有被套牢的问题
[20:05] 但如果真的很不幸被套牢很深的朋友
[20:08] 林医老师还是建议你
[20:09] 至少部分要换现金回来
[20:11] 然后因为现在看到盘面上有很多
[20:13] 是可以让你转亏为盈的
[20:15] 继续反攻的股票嘛
[20:17] 那我这边呢
[20:18] 今天两位老师来
[20:19] 我也准备了一些股票
[20:20] 看你们可不可以挑一些造福听众
[20:23] 帮我们解读一下现行
[20:24] 当然刚刚有讲到台积电
[20:26] 那另外一档强势的全职股是台达电
[20:28] 还有一个是朱老师很久以前
[20:30] 去年12月吧
[20:32] 我请朱老师挑股票跟人家PK
[20:34] 朱老师挑了文貌
[20:36] 哎呦文貌表现很好
[20:37] 从那时候到现在几乎是翻倍
[20:39] 还有无法无天
[20:40] 已经长到天上的宅板
[20:42] 锦硕
[20:42] 那还有群创
[20:44] 开完法说之后
[20:45] 标股立刻连续大黑K
[20:48] 怎么处理
[20:49] 旺红
[20:49] 这个凯基出了报告之后
[20:51] 每天都在涨停
[20:52] 这个朱老师跟令老师
[20:54] 要不要挑其中
[20:55] 你觉得有兴趣的股票
[20:56] 来跟大家分享一下
[20:57] 好
[20:58] 那我想其实这几档股票里面
[21:00] 我来选一档旺红
[21:02] 旺红
[21:02] 一直涨停
[21:04] 要追吗
[21:04] 不能追
[21:06] 不能追吗
[21:06] 不能无脑介入吗
[21:08] 不行
[21:08] 我们在创作上
[21:09] 永远不要去做追高的动作
[21:11] 因为你追高
[21:12] 你明明
[21:12] 你成本就是比别人高
[21:14] 可是台积目标300还很远啊
[21:16] 那就等回档啊
[21:17] 多头趋势就等回后买上涨
[21:20] 如果这支股票真的会涨
[21:21] 永远不要怕
[21:23] 永远不要急
[21:24] 不要担心它不会回
[21:26] 对
[21:26] 它整个大趋势就是多头嘛
[21:28] 所以我们就等回后买上涨
[21:30] 所以像旺宏是
[21:31] 我个人的看法
[21:32] 它是真的非常的强
[21:33] 而且旺宏是大型股
[21:35] 对啊
[21:36] 大型股会这样飙
[21:37] 记忆体都是大型股
[21:37] 大部分对
[21:38] 制造厂的话
[21:39] 这个背后一定是大资金
[21:40] 一直在拱出来的
[21:41] 所以像这种股票
[21:42] 我们就持续追踪
[21:43] 好
[21:44] 那像群创这种开完
[21:45] 它也是大型股
[21:46] 股本非常大
[21:47] 开完法说就从标股连去黑K
[21:50] 你会想要减便宜吗
[21:51] 会啊
[21:52] 回后买上涨
[21:52] 也是用回后买上涨的概念
[21:55] 对
[21:55] 而且它也把大压突破了
[21:57] 对
[21:57] 所以我们要等回后买上涨
[21:58] 好
[21:59] 那稳帽是朱老师去年年底
[22:01] 帮我们讲的一档大标股
[22:02] 那现在的做法呢
[22:04] 那稳帽的话
[22:06] 因为它上面有一个
[22:07] 就是去年的高点345
[22:09] 因为现在刚好涨到
[22:11] 快要接近压力
[22:12] 那我们还是一样
[22:14] 就学技术分析的人
[22:16] 一定在起涨的位置买
[22:17] 虽然你看他涨了两三天
[22:19] 那这个地方本来就不适合进场
[22:22] 你一进场
[22:23] 明天他可能就要预压了
[22:25] 那我就建议大家
[22:26] 345过
[22:27] 那就表示他多头还是很强
[22:30] 压力能够过
[22:31] 那下一次的拉回来
[22:33] 我们再来做多
[22:35] 那大家都
[22:36] 那至少他多头到目前还没有改变
[22:39] 趋势还是一个多头
[22:41] 那大家可能还会很关心台积电
[22:44] 因为台积电几乎是每个人见到我都问的
[22:48] 他现在有回档了
[22:49] 可以介入了吗
[22:50] 那台积电就趋势来讲
[22:52] 他现在是一个盘整
[22:54] 这一次从跌到1700多上来
[22:56] 没有过前面20025的高点
[23:00] 他没有过2025块的高点
[23:02] 所以他已经形成头头低了
[23:05] 所以台积电是一个盘整
[23:06] 那盘整的话也很好去等他的机会
[23:10] 那就等盘整的突破
[23:12] 那如果它前面那个低点
[23:14] 上次跌下来的
[23:16] 前几上一周跌下来
[23:18] 那个低点
[23:19] 如果跌破
[23:20] 它就会变一个短线的空头
[23:22] 那我们就再等下一次
[23:23] 空头转强以后的机会
[23:26] 所以我们先要懂得
[23:28] 它的趋势
[23:29] 那当然我在这边
[23:31] 还是要强调
[23:32] 如果你是说
[23:33] 台积电我买了就摆着报的
[23:35] 那当然就无所谓了
[23:37] 你高买低买
[23:38] 反正你是不卖的
[23:39] 對 你知道傳家寶嗎
[23:41] 因為你看人家的評估嘛
[23:43] 有到2800 有到3000的
[23:45] 那你就抱著
[23:46] 那就跟這個我們技術面操作
[23:48] 就沒有 基本上沒有什麼關係
[23:51] 那換句話說你買在2000
[23:53] 現在也沒有跌很多啦 對不對也還在1800多嘛那你就抱著可是我们做技术面的人现在是要等它盘整突破才是下一波起涨的好机会
[24:06] 所以我们做技术分析人
[24:08] 上次回来到1700多就有人问
[24:12] 现在可不可以买
[24:13] 那为什么
[24:14] 因为2028块那边
[24:16] 有个大量的压力
[24:17] 短线上它可能不太容易过
[24:20] 所以它会进到盘整
[24:21] 那我们等它盘整突破以后再做
[24:24] 这样子才算是比较一个稳健的方法
[24:28] 因为它是高价股
[24:29] 各位可能买赚钱很高兴
[24:32] 它跌下来你能不能够忍受
[24:34] 又是一回事
[24:35] 它随便跌一跌
[24:36] 一天都要赔十万二十万的
[24:38] 所以你会觉得很难做
[24:40] 所以这个操作的话
[24:42] 我们还是用技术分析去做
[24:44] 因为虽然台积电
[24:46] 大家都觉得护国升山
[24:47] 然后涨的时候
[24:49] 你看到所有网路上面都在讨论
[24:51] 自己什么时候有买台积电
[24:53] 幸好自己有买台积电
[24:54] 但是最近我有听到有人说
[24:56] 哇 满手台积电好难过
[24:58] 因为很多中小型市场停板
[25:01] 就很快的
[25:01] 回后满上涨也好
[25:03] 或者修正过后
[25:03] 又创历史新高都有
[25:05] 但台积电就是一个
[25:06] 稳盘而已的角色
[25:07] 所以这个时候就是
[25:09] 此一时也彼一时也
