[00:00] 欢迎收听赵华宇股货载第1092集
[05:21] 因为涨到4万点以上
[05:23] 我们也会想说
[05:24] 这一波真的很急
[05:25] 这一波的很急
[05:26] 适度来说
[05:27] 以前的经验来说
[05:29] 偶尔你会伴随着
[05:30] 一阵子比较明显的回档再上
[05:32] 其实对大家投资的脚步来说
[05:35] 都会比较稳健
[05:36] 而且你会觉得合理的
[05:37] 有股价修正以后
[05:38] 你比较敢买
[05:39] 但这一波就比较难
[05:40] 那这一波的好处
[05:42] 刚刚也有特别提到
[05:43] 它是有台湾很多个
[05:45] 跟AI相关的
[05:46] 类股热门族群在轮动
[05:47] 然后以前你觉得不会飞天的牛
[05:50] 例如说联发科也飞了
[05:52] 最早是台光电台达电
[05:54] 然后联发科也接棒了
[05:56] 甚至也带动了很多联电
[05:58] 也不能说带动联电
[05:59] 应该说像联电世界先进
[06:01] 也是很占全职的公司在动
[06:03] 广达鸿海也在动
[06:05] 甚至就是大家觉得
[06:07] 不会长得老AI们
[06:08] 像刚刚讲到像光宝科
[06:10] 都在轮流
[06:12] 国巨今天涨停板等等的
[06:13] 这些让台股的上涨
[06:15] 看起来没有那么恐怖
[06:16] 不过这边的话
[06:18] 谷科先来讲一下
[06:19] 你到底对台股现在四万二千点
[06:21] 周遭的整体环境
[06:23] 跟接下来的走势的看法是什么
[06:25] 好那这个四月
[06:28] 我记得四月初
[06:30] 那中东战事那时候
[06:31] 还在三万两千点左右
[06:34] 对
[06:34] 三月底那时候还在打
[06:36] 那四月一开局就大涨
[06:38] 没错
[06:39] 我就记得
[06:40] 那个就是
[06:41] 好像那时候也是经过一个假期
[06:43] 回来直接大涨
[06:44] 那到现在转眼间
[06:45] 大概一个月多一点点
[06:47] 已经涨了一万点
[06:48] 对
[06:48] 一个月涨一万点
[06:50] 对
[06:50] 一个月涨一万点
[06:51] 一个月多一点时间
[06:52] 然后五月份也是开局大涨
[06:55] 那为什么
[06:57] 看起来好像资金源源不绝的进来
[07:00] 我们刚刚有在讨论
[07:01] 我们刚刚有在讨论
[07:02] 其一应该就是
[07:03] 房市资金很大一部分都流到股市
[07:06] 对
[07:06] 然后现在包括ETF也非常的热
[07:09] 没错
[07:10] 00981A
[07:11] 持股在三月底
[07:13] 是大概40万人
[07:15] 现在已经是受益人数75.8万人
[07:19] 也是翻了一倍的受益人数
[07:22] 大家都买了981A
[07:23] 对 融资也暴增
[07:25] 融资现在的水位比三月底再多了23%
[07:29] 所以看起来市场是非常的热
[07:31] 我觉得泡沫有没有
[07:33] 当然有 我觉得绝对是有泡沫
[07:35] 可是会不会马上炸呢
[07:36] 我觉得也不至于
[07:38] 因为看起来没有一个什么很特别的利空
[07:41] 会让市场拉回
[07:43] 那现在市场上的这种感觉好像是
[07:45] 很怕买不到股票
[07:47] 以前这种波段拉回可能都会回个
[07:50] 两三天啊
[07:51] 长一点可能一个礼拜
[07:53] 但现在大概是盘中一拉回那个时间点
[07:56] 没有上车可能就过了
[07:58] 就没了
[07:58] 没有错
[07:59] 而且当日要决定
[08:00] 对
[08:01] 所以我觉得这样子市场的参与者开始在改变
[08:04] 投信的钱也是
[08:07] 说实在也是一般投资者大众的钱
[08:10] 没错
[08:10] 那投资者就是融资也是
[08:13] 所以我觉得现在完全是就是大众的力量
[08:17] 我觉得这个也是这个政府的得证
[08:19] 因为教大家不要乱买股票
[08:21] 把钱给投信
[08:22] 给专业机构集中起来
[08:24] 因为说实在市场上面的参与者
[08:26] 大概七成是散户
[08:27] 三成是外资啊
[08:29] 法人
[08:30] 投信这些等等
[08:31] 过去来说
[08:32] 那为什么散户总是很容易追高杀低
[08:35] 或容易赔钱赚不到钱
[08:36] 就是因为散户没有一定策略
[08:38] 没有一定方向
[08:39] 然后可能道听途说
[08:41] 听这个消息做股票等等的
[08:45] 可是我觉得这个
[08:46] 引导到大家把钱投入到ETF
[08:49] 其实中长期来看
[08:50] 不见得是坏事
[08:51] 以前我们老一辈
[08:52] 都会存银行
[08:53] 买保单
[08:55] 我小时候我国中
[08:56] 我还有爸爸帮我买过
[08:58] 那种7%利息的保单
[08:59] 那现在大家就知道存股了
[09:02] 所以我觉得适当的
[09:04] 就是把民众的财富
[09:06] 投入到股市里面
[09:08] 当然会推升指数持续的创高
[09:11] 包括房市之间也进来了
[09:13] 所以我觉得520之前
[09:16] 指数应该是稳在4万点之上
[09:18] 是没有问题的
[09:19] 因为毕竟今晚会已经开大绝了
[09:21] 就是让台积电的持股
[09:24] 主动式的部分可以拉升到25%
[09:27] 可见台积电在下档
[09:29] 一定会有部分的买盘进去做支撑
[09:33] 虽然主动式的经纪人员
[09:35] 不见得在高档去追台积电
[09:37] 但是只要看到台积电
[09:38] 出现比较明显拉回
[09:40] 或者是跌到
[09:41] 他认为的价值区域的
[09:43] 这个位置的时候呢
[09:45] 就可能会去做低接
[09:46] 所以我觉得指数这个地方
[09:48] 应该是回不到哪里去的
[09:50] 那至于在个股部分呢
[09:52] 真的
[09:53] 今年很多的大牛股啊
[09:55] 联电啊
[09:56] 联发科都可以标成像小型股
[09:58] 很夸张
[09:58] 今天也进了储值了
[10:00] 联发科进储值
[10:01] 对
[10:02] 从来没看过
[10:03] 这个全资股进储值吧
[10:05] 所以今天立法院有在吵架
[10:06] 吵起来哦
[10:08] 有在询问金管会
[10:09] 说如果联发科都进储值了
[10:11] 那台积电呢
[10:12] 那这个台湾政交所的董事长
[10:15] 有出来讲
[10:15] 他说台积电不会进到储值
[10:18] 几率几乎没有
[10:20] 顶多是警示注意
[10:22] 他只能说几乎没有
[10:23] 他其实不太能讲
[10:24] 绝对不能让台积电进储值
[10:27] 因为储值是有储值的条款
[10:29] 但后来大家也在吵什么呢
[10:31] 就说现在有太多分盘交易的公司了
[10:35] 其实对于台湾的投资人来说
[10:37] 有时候到底是保护他们呢
[10:39] 还是反而造成了交易的风险
[10:41] 所以能不能拿掉分盘交易
[10:44] 这个事情
[10:45] 那当然这些事情不能说改就改
[10:47] 可是我听了
[10:48] 突然有一点觉得
[10:49] 会不会也有点道理
[10:51] 对啊
[10:52] 分盘这个东西
[10:53] 其实会做的人
[10:54] 会知道去拿捏那个节奏的人
[10:57] 会比较擅长
[10:58] 因为一分盘的话
[10:59] 大家都跑不了
[11:02] 所以如果你发现筹码没有变坏
[11:04] 过去的前面买的主力
[11:06] 都还在里面
[11:07] 事实上分盘是
[11:08] 掉下来提供一个
[11:09] 很好的机会
[11:10] 让大家进去检骗
[11:11] 像我之前有跟
[11:13] 赵友讲过
[11:14] 真的会被你念一辈子
[11:15] 不会
[11:15] 这一次最后一次
[11:17] 就是因为那时候
[11:19] 我一直很介意
[11:20] 细光者的20分钟分盘
[11:21] 我就觉得一定要
[11:22] 等他出来
[11:23] 可是他一出来呢
[11:24] 就例如说
[11:25] 他已经涨很多了
[11:26] 又在大涨
[11:26] 然后又被关进去
[11:28] 我就觉得超麻烦
[11:28] 然后所以骨科
[11:29] 就一直念我说
[11:30] 分盘教育没什么
[11:31] 你如果真的看好
[11:32] 你本来就应该
[11:33] 趁他掉下来
[11:33] 管他在分盘教育的时候
[11:34] 买进这样
[11:35] 我知道
[11:36] 但是这个也确实造成
[11:39] 制度上面一些
[11:40] 可以有上下棋手的地方
[11:43] 不管5分钟20分钟
[11:45] 他的那个价格是很容易做价的
[11:49] 他不是一直在撮合
[11:51] 也就是下一盘
[11:52] 筹码够的人
[11:54] 他要让他再拿个价
[11:55] 他可能就可以再拿一个价位
[11:57] 所以进入到一分盘的话
[11:59] 我觉得你去观察
[12:02] 这个内外盘交易
[12:03] 跟这个量能会比较准确
[12:05] 跟你观察价
[12:06] 因为价有可能突然往下砸盘
[12:08] 或者是突然就往上拉的这个状况
[12:11] 那通常一个规则就是
[12:12] 通则就是说
[12:14] 进储制当天
[12:15] 跟进储制的前两天到三天
[12:18] 比较容易回档
[12:19] 因为有短线的资金要跑
[12:21] 通常我们都算得出来
[12:22] 像我昨天盘中
[12:23] 我在东山连线
[12:24] 我也算得出来
[12:25] 就是联发科
[12:26] 昨天收盘价只要高过
[12:27] 3100块就会进储制
[12:29] 所以都知道市场上
[12:31] 大户基本上都知道说
[12:33] 这个股票它会不会马上进到储制
[12:35] 那一进处置前两三天
[12:37] 通常短线资金要跑的状况下
[12:39] 就很容易造成股价拉回可是拉回到一定程度像上次我們講的那個西光澤也好或是低軌道衛星他已經從高點往下跌了三成
[12:50] 跌了甚至有時候快到四成了
[12:52] 那個就是一個非常不錯的切入的一個點位
[12:55] 所以我覺得處置的話大家不要怕麻煩
[12:57] 不過我覺得這個制度
[12:59] 也確實要不要討論呢
[13:01] 去修改一下
[13:02] 因為剛剛提到
[13:03] 會有這個作價的問題
[13:05] 像我那個韓國粉絲跟我分享
[13:07] 韓國沒有這種什麼處置
[13:08] 什么厨子
[13:09] 他中小型股
[13:10] 涨跌幅是30%
[13:12] 那有本事
[13:13] 你就直接当天
[13:14] 拉20% 30%的
[13:15] 这样子一个涨势
[13:16] 那或者是
[13:17] 他会直接被
[13:18] 这个警告
[13:19] 就暂停交易
[13:20] 他不会说
[13:20] 还有这种分盘
[13:21] 可以慢慢去
[13:22] 去这个
[13:23] 做价的空间
[13:24] 所以我觉得
[13:25] 在现在这种
[13:26] 行情比较热的状况下
[13:28] 大家可能策略
[13:29] 要随时去做一些调整
[13:31] 可能跟过去的节奏
[13:32] 会不太一样
[13:33] 好 当然分盘交易
[13:35] 会让比较内行的人
[13:37] 有机会做价
[13:38] 那对于散户朋友
[13:39] 可能就会是一个阻碍
[13:40] 那到底会不会拿掉呢
[13:42] 当然这个金管会主委
[13:43] 彭金龙也有说
[13:44] 这制度总不能说改就改
[13:46] 要研议一下
[13:47] 但确实它有点变成
[13:48] 台湾很奇妙的现象
[13:49] 每天早上
[13:50] 其实我早盘的同仁
[13:51] 都会先整理一份
[13:52] 就是目前在处置中的股票
[13:54] 你知道吗
[13:55] 你用手机看那个LINE
[13:56] 一开始只是
[13:57] 可能三分之一的页面
[13:59] 后来就二分之一页面
[14:00] 然后有一度
[14:01] 它是整个页面
[14:02] 你还没有办法看完
[14:04] 所有分盘交易的股票
[14:06] 我觉得这已经有点离谱
[14:07] 而且像我举个例子好了
[14:09] 像我大家知道
[14:10] 我前一阵子非常挺的就是金居
[14:14] 对不对
[14:14] 因为我一直觉得金居
[14:15] 在PCB的材料里面
[14:16] 明明有进入到AI用的
[14:18] 高阶同博等等的
[14:20] 然后通过认证等等的
[14:21] 但它因为一直被关嘛
[14:22] 然后前一阵
[14:24] 因为它是第一批跑最快的
[14:26] 那后面就因为
[14:28] 它不断地被分盘交易之后
[14:30] 别人就开始跑得比它快了
[14:31] 甚至有人越官越大尾
[14:32] 但金居就变得非常糟糕的
[14:34] 横盘整理了很久
[14:36] 可是我不是一直跟听众朋友
[14:37] 我就是觉得相较之下
[14:39] 台股现在就是一个相较之下
[14:41] 对
[14:42] 它涨第一波
[14:43] 可是后来人家涨二三四波
[14:45] 它没跟
[14:45] 那所以我就对它很有信心
[14:47] 好
[14:47] 它今天摸到500块
[14:48] 我也是要跟听众朋友说
[14:49] 如果之前有因为我讲金居
[14:51] 大家有随意跟买的
[14:53] 500块真的
[14:54] 请各自解散
[14:56] 就自己衡量一下
[14:58] 因为我觉得500块是个关卡
[15:00] 但它今天为什么震荡那么大
[15:01] 因为它又被警示了
[15:03] 它一出来就被警示
[15:05] 然后连续被警示
[15:07] 所以他可能又要被关
[15:08] 我觉得这个真的是
[15:09] 让我觉得挺头痛的
[15:11] 那但是拿掉会不会比较好呢
[15:13] 我也不知道
[15:14] 不过像美股这样
[15:15] 没有涨跌幅的限制啊
[15:17] 像韩股什么
[15:17] 刚刚讲中小型股
[15:18] 32%的限制
[15:19] 我觉得可能对于
[15:20] 现在大家想急着赚钱的人来说
[15:23] 是应该是蛮不错的一个方向
[15:26] 除非我们现在逆转下跌
[15:28] 那可能就变得很恐怖
[15:30] 对啊
[15:31] 我觉得涨跌幅
[15:32] 也是可以考虑去放宽一下
[15:35] 毕竟亚洲其他股市
[15:37] 像日股
[15:38] 然后韩股
[15:40] 还有像
[15:41] 像韩股是也没有涨年幅限制
[15:43] 那台股现在的
[15:44] 持量量这么热
[15:45] 像现在很多时候是
[15:47] 一开盘就跳高
[15:48] 尤其现在主动式ETF
[15:49] 的这个资金也进来之后
[15:51] 很多你看像
[15:52] 联发科可以这样
[15:53] 直接锁涨停锁死
[15:55] 这个我是
[15:56] 有印象当中是没有看过
[15:57] 真的真的
[15:58] 变得跟小型股一样
[16:00] 然后联电也是
[16:01] 联电也是
[16:01] 直接就跳高开了
[16:03] 这种
[16:03] 几乎大型股可以弄成
[16:05] 快要一价涨停的方式
[16:08] 对这个我觉得
[16:09] 对一般的
[16:10] 可能动作没有那么快
[16:12] 或者是资讯
[16:13] 没有那么及时的投资朋友
[16:14] 可能会有一些不太友善
[16:16] 所以我觉得其实
[16:17] 当然要比较全面去讨论一下
[16:20] 那我觉得目前来说的话
[16:22] 中小型股仍然是市场的一个重心
[16:25] 包括刚刚提到
[16:26] 主动式ETF持续在做
[16:28] 这样子一个规模增加
[16:30] 那当然
[16:31] 涨得比较高的高价类股
[16:34] 那主动式的这个基金经理
[16:38] 当然有去看
[16:38] 这个比较偏高档
[16:40] 高价本益比的状况下
[16:42] 还要不要再进去买
[16:43] 还要不要再加码
[16:44] 那后备资金
[16:45] 从高档抽出来之后
[16:47] 转到一些比较偏低本益比
[16:49] 但是未来有潜力的
[16:50] 像这两天散热
[16:51] 就是因为建策那个事件
[16:53] 所以有一挂都被连带拖累下来
[16:56] 那我们看到投信也出的蛮用力的
[16:59] 可是高本益比修正下来
[17:01] 又形成下一个循环的机会
[17:04] 因為事實上有些散熱它的下半年是沒有那麼差的
[17:07] 包括ASIC的這個專案
[17:09] 以及Vera Rubin
[17:10] 下半年仍然是有單的
[17:12] 有的是因為GB200
[17:13] GB300
[17:14] 因為馬上就新的產品要出來了
[17:17] 就好像iPhone
[17:18] 每一年快要出來的時候
[17:20] 大家就等新的一代
[17:21] iPhone18
[17:22] iPhone19
[17:23] 就不會買舊機了
[17:24] 就有點散熱碰到這樣子一個狀況
[17:27] 所以我認為投信在目前針對台股的這種力道
[17:32] 已经开始对于这种比较偏高价类股
[17:37] 其实现在1000块2000块
[17:39] 好像都不叫高价类股
[17:40] 现在要美金100块才叫高价股
[17:42] 大概要3000块以上
[17:44] 那股王也是1万块
[17:48] 股王也变注意股咯
[17:50] 对
[17:50] 甚至还有YZ也在看到2万了
[17:53] 是啊
[17:54] 所以我觉得在这种资金持续推升的这种状况
[17:59] 真的很疯的
[18:01] 以前看过的这种情况
[18:03] 就是连小型股那种
[18:05] 没有什么题材
[18:06] 没有什么产业
[18:08] 只是光喊一个口号
[18:10] 光喊说有占到AI
[18:12] 就会飙那种行情
[18:13] 那种才是真的很恐怖
[18:15] 那我觉得台股
[18:16] 以现在的这种本益比来说
[18:17] 还算可以接受范围
[18:19] 虽然偏高
[18:20] 我们以台积电当指标
[18:21] 台积电现在大概23倍
[18:24] 如果EPS100块去算的话
[18:26] 23倍
[18:26] 那它过去的一个高档
[18:29] 高原区大概是25倍
[18:31] 到快接近28倍
[18:33] 那所以台股其实现在
[18:34] 虽然说有过热
[18:36] 虽然说泡沫也有开始
[18:38] 有一点点吹起来
[18:40] 但是总是在有泡沫的时候
[18:42] 会这个啤酒最好喝
[18:45] 然后呢
[18:45] 画面看起来会比较漂亮
[18:47] 所以我觉得大家不要
[18:48] 这个错失了这段行情
[18:50] 我觉得还是有机会
[18:51] 但是风险注意好
[18:52] 那找一些可能从低档
[18:54] 刚开始起来的
[18:55] 像细金园啊
[18:56] 成熟制成
[18:57] 这个都是最近才刚开始起来的题材
[19:00] 那持续注意法人是不是
[19:01] 把资金也转到这个方向
[19:03] 这个区块去走
[19:05] 我觉得投信也是今年
[19:07] 蛮可以去注意到的一个指标
[19:09] 尤其大家可以看
[19:09] 很多主动式投信
[19:11] 他们买的标的
[19:13] 市场都差不多
[19:14] 大概就那些好公司
[19:15] 其实就那些
[19:16] 那好公司如果碰到
[19:18] 像最近的散热拉回的时候
[19:20] 大家都可以去布局
[19:21] 一个比较长线的行情
[19:23] 好 等一下我们也会来讲一下散热
[19:25] 不过这边的话
[19:26] 我也想跟谷科再讨论一下
[19:28] 也是我们刚刚录音前的时候
[19:29] 我跟谷科聊的
[19:30] 就是当然行情热
[19:32] 然后产业是健康轮动这件事情
[19:35] 我想这个是台股
[19:36] 非常得天独厚的本领
[19:38] 甚至我们的产业轮动的状况
[19:41] 我觉得是比韩股还要健康
[19:43] 因为韩股在记忆体的比重上面
[19:44] 真的是非常的高
[19:46] 那美股不用说了
[19:47] 美股自然也是
[19:48] 他们有他们自己健康的地方
[19:50] 例如说去年大家会觉得
[19:52] 投这个美股七巨头
[19:53] 真的是烂爆了
[19:54] 怎么会那么烂
[19:56] 但是现在美股七巨头
[19:58] 各自也有表现
[19:59] 尤其是有一件事情
[20:00] 我一直觉得
[20:01] 你说是感动吗
[20:02] 还是说真的验证了也
[20:04] 以前我们会讲有一些梦
[20:06] 例如说
[20:06] 辉达他卖这个GPU
[20:08] 很实在嘛
[20:09] 市占率非常的高嘛
[20:10] 所以他巴着辉达的大腿不放嘛
[20:12] 可是后来就发现
[20:13] 各家都在做自研晶片
[20:15] 这件事情有没有
[20:16] 就去年下半年
[20:17] 不断在讲这个事情
[20:18] 那这样子
[20:19] 包辉达的大腿好像就
[20:20] 没有用了
[20:21] 那会不会这个市场上
[20:22] 就变成什么杀价竞争啊
[20:24] 什么的
[20:24] 可是那时候我们就讲说
[20:26] 只要大家做最严谨片
[20:27] 单还是会来到台湾
[20:29] 只要整体的晶片市场
[20:31] AI相关的晶片市场
[20:33] 持续的扩大就好了
[20:35] 对
[20:35] 只是供应链里面
[20:37] 可能就会变成
[20:37] Google供应链就突然崛起了
[20:39] AMD供应链
[20:40] 最近也开始红起来
[20:41] 可是全部都下到台湾来
[20:44] 这件事情是验证的
[20:45] 是验证的
[20:46] 就是百花争鸣
[20:48] 美股在百花争鸣
[20:49] 他们有起有落
[20:50] 可是到台湾来
[20:51] 大家都分得到
[20:52] 不管是谁的一杯羹
[20:53] 我觉得这个是很猛的
[20:55] 但我刚才跟骨科讨论的是
[20:57] 这些都是非常正向的
[20:59] 我完全不能说台湾的产业有任何的败相
[21:01] 至少在今年以内
[21:02] 我觉得真的都看不到
[21:04] 可是如果美伊的和平红利
[21:06] 现在我看是已经用掉了
[21:08] 对不对
[21:09] 不可能再更好或更差了
[21:11] 我会感觉是这个样子
[21:12] 再来还有哪一些事情
[21:14] 是可以维持着
[21:16] 例如说刚刚讲泡沫很好喝
[21:19] 那这个泡沫要泡到什么地方去
[21:21] 下一个接棒的泡沫是什么
[21:23] 这件事情我们该怎么来看待
[21:25] 整个总经环境
[21:26] 好我觉得就是刚才提到
[21:29] 台股其实热钱不断的流入
[21:32] 不管是房市资金
[21:33] 房市的资金
[21:34] 可是这些都是我们已知的
[21:35] 一般存款资金
[21:36] ETF我们也知道
[21:37] 对那马上的
[21:39] 5月份巴伦可能就要变成一般理事了
[21:42] 那新任的理事要上任
[21:44] 那这次又是川普他所安插的一个人选
[21:47] 对所以在FED新的这个主席上任之后呢
[21:52] 如果油价解决了通货问题解决之后呢
[21:55] 那会不会开始再撒钱到市场上
[21:58] 因为你觉得美伊和谈的油价不太容易再上去了
[22:01] 对那开始有这样的预期心理之后呢
[22:04] 市场上就开始聚会追逐这样的本益比比较偏高的各股
[22:10] 那台股现在目前的平均本益比大概是24倍
[22:13] 那美股差不多是以S&P来说大概25倍
[22:17] 韩股大概28倍
[22:19] 所以在网路泡沫那个时间点
[22:23] 美股我记得平均本益比
[22:24] 好像到50倍到60倍左右
[22:26] 所以你说现在泡沫有没有吹得很大
[22:29] 我觉得起码现在资金去点火
[22:32] 去买的都是有基本面体质
[22:34] 有EPS
[22:35] 只是他们的EPS可能要看到明年了
[22:38] 甚至拿后年的EPS去做衡量
[22:41] 当然大家就要去衡量
[22:43] 如果股价现在已经反映到明年的EPS
[22:46] 甚至反映到后年的EPS
[22:47] 那你要不要在这边等他两年
[22:50] 或是认为他有上涨的空间
[22:52] 那有一些是从下半年开始
[22:55] 涨价的题材
[22:56] 像是被动
[22:58] 或是最近的CPU
[23:00] 也是缺货涨价的这样的状况下
[23:03] 那带动整个产业从谷底翻身
[23:05] 包括矽晶园也是
[23:06] 那这样子如果是用今年
[23:08] 下半年的EPS去算的话
[23:10] 那我觉得这类型的产业
[23:12] 大家就可以注意
[23:13] 是不是目前的一个估值
[23:16] 还算是合理的
[23:17] 那么等到未来如果有资金再去做一个进驻
[23:20] 再去热钱闪到市场上的话
[23:22] 当然会让整个市场的本益比估值
[23:25] 再去做一个上修
[23:27] 所以我觉得目前看起来是
[23:29] 整体资金都是比较泛滥的一个状况下
[23:32] 那这个钱当然放在股市会比放在
[23:36] 可能定存会好一些
[23:37] 所以可以做一个适当的资产配置
[23:40] 那当然高档也建议大家
[23:42] 一定要预留部分的现金
[23:44] 不要在高档全部重仓
[23:47] 或者是你来开杠杆
[23:48] 因为难免也会碰到盘中这样剧烈的拉回
[23:52] 像最近这几次盘中拉回可能都是千点起跳的
[23:55] 那如果开了杠杆
[23:57] 或者是你在高档满仓的一个状况
[23:59] 那一旦指数进入短线修正
[24:02] 也许5%到10%的话
[24:04] 那可能没有多余的资金再去加码
[24:07] 就比较可惜了
[24:08] 所以我都会建议
[24:09] 不管我自己或我的会员都会在高档
[24:12] 起码会流出两成到三成左右的资金
[24:15] 那一旦有拉回
[24:18] 或者是有不错的
[24:20] 处置的这种布局机会的话
[24:21] 才有资金去做一个进场
[24:23] 那高档的话
[24:25] 可以把比较右上角
[24:27] 或是真的涨很多
[24:29] 乖离非常大的那种股票
[24:30] 可以去分批的做一个减码出场
