[00:00] 歡迎收聽趙華宜股貨載第1044集
[02:38] 就昨天又來了
[02:40] 昨天就上傳之後呢
[02:42] 就發現前臺看不到
[02:44] 而且是非常多人
[02:45] 就立刻私訊我的也好
[02:46] 到YouTube留言也好
[02:48] 就到處想辦法找到我
[02:50] 我就想哇事情有點大條
[02:52] 但是那時候我問同事
[02:53] 那有的同事說他們有看到
[02:55] 所以我就做了一個
[02:56] 比較猶豫的決定
[02:58] 就是覺得說
[02:58] 那我就放到隔天看看
[03:00] 有時候他會自己跑出來
[03:01] 結果今天早上七點
[03:02] 我一起從
[03:03] 哇嘞
[03:03] 我整個信箱
[03:05] 都被大家的私訊擠爆了
[03:07] 然後這個一大堆的留言
[03:10] 我想不對
[03:10] 我就趕快再補上傳了一集
[03:12] 所以有的人可能會看到
[03:14] 重複的兩集
[03:15] 有的人確實只看到
[03:17] 後面更新的一集
[03:18] 而且這一次很特別
[03:19] 這一次後來有聽眾
[03:21] 解鎖告訴我說
[03:22] 他有按追蹤我的頻道
[03:24] 所以看不到
[03:25] 取消追蹤
[03:27] 後看到什麼意思啊
[03:28] 氣死我了
[03:28] 這個蘋果在搞什麼
[03:30] 好
[03:30] 我若若有希望今天這一集
[03:32] 可以恢復正常
[03:33] 那昨天找不到我的朋友
[03:35] 很緊張的朋友
[03:36] 擔心我的朋友
[03:37] 不要擔心
[03:38] 不要緊張
[03:38] 我很好
[03:39] 晚上有理財答案秀
[03:41] 也可以看得到我
[03:42] 或者是到Spotify
[03:44] 就其他的幾個平臺
[03:45] KKBuzz也有
[03:46] 當然我還是希望大家
[03:47] 儘量用這個Apple Pocket
[03:49] 雖然它讓我覺得很傷腦筋
[03:51] 因為我在上面
[03:52] 還是有一定的排名
[03:53] 這個對我來說
[03:54] 還是有一點重要
[03:55] 好 囉嗦完了
[03:56] 希望今天一切平安
[03:57] 然後不要看不到
[03:58] 就覺得我怎麼了
[03:59] 我沒有怎麼了
[04:00] 我好好的
[04:01] 先來請漢偉哥講一下
[04:04] 這個連續三天
[04:05] 都是給大家很驚奇
[04:07] 一邊驚奇
[04:08] 我覺得難免
[04:09] 有些人也會有點壓力
[04:10] 包括賺很多的人
[04:12] 也有壓力
[04:12] 一直問我說
[04:13] 該不該下車
[04:14] 但我們先來分析一下盤式
[04:16] 至少今天是落後不漲
[04:17] 也等於是
[04:18] 之前前兩天
[04:19] 可能覺得落幕
[04:20] 我都老
[04:20] 好倒黴
[04:21] 今天的感覺就不一樣了
[04:22] 對啊
[04:23] 我覺得但這個馬年這三天算是蠻瘋狂的
[04:27] 因為原本第一天那個流了常常上演線
[04:30] 當天大家覺得會不會行情過熱
[04:33] 開始出現漲不太動
[04:34] 就沒想到後面兩天更狠
[04:36] 昨天盤中漲1000點
[04:37] 今天盤中漲了800點
[04:39] 所以兩天加起來
[04:40] 哇這1800點的行情指數
[04:42] 直接來到35500多點以上
[04:44] 那我覺得這就代表說
[04:46] 整個短線上來講
[04:47] 可能大家都要習慣
[04:49] 因為畢竟現在臺積電是2000塊的股票
[04:51] 所以指數你看到
[04:53] 一天1000點好像很多
[04:55] 但如果換成趴數
[04:56] 大概一天是3趴左右
[04:58] 所以我覺得可能大家會有那種指數的一個迷思
[05:01] 覺得每天動輒是500點600點在跳
[05:04] 但如果你換成整個大盤的趴數
[05:06] 你可能要習慣說
[05:07] 未來可能這種百點幾百點的行情
[05:09] 都會是日常的一個常態
[05:11] 甚至如果就成交量來看
[05:13] 今天成交量已經來到9800多億
[05:15] 那這個量呢
[05:17] 我覺得未來可能大家也要習慣
[05:19] 可能日均量8000 9000
[05:21] 甚至一兆也都有可能
[05:23] 因為目前臺股
[05:24] 目前很多價格都很高的股票
[05:26] 動輒你臺積電一天
[05:27] 大概兩三萬這樣的成交量
[05:29] 大概就已經幾百億的一個量人
[05:32] 都在臺積電身上
[05:33] 所以我覺得在這樣的環境當中
[05:35] 當然大家會覺得
[05:36] 會不會臺股短線有一點點過熱
[05:39] 尤其是這幾天
[05:40] 大家看到美股這樣的一個震盪的情況
[05:42] 道瓊啊
[05:44] 納達克啊
[05:45] 然後S&P500
[05:46] 動不動就跌破月線跌破季線
[05:48] 來到今年相對波段的低點
[05:50] 那臺股憑什麼今天還在創造一些新高
[05:53] 但我覺得其實也很簡單去解讀啦
[05:55] 就是大家如果從這個
[05:57] 1月份下旬陸續開出來的
[05:59] 美國的科技巨頭財報
[06:00] 都提到今年的資本支出
[06:02] 那研究機構也去統計
[06:04] 光這四大科技巨頭
[06:06] 今年的資本支出就6千億美元以上
[06:08] 那這6千億美元當中
[06:10] 除了輝達拿了大部分以外
[06:12] 其他通通流到相關的硬體跟零元件
[06:16] 所以今年你會覺得臺股
[06:18] 如果我剛剛去看一下
[06:19] 臺股光今年就漲了21%
[06:21] 也才從1月份到今天2月25號
[06:24] 算起來大概將近30天左右的交易日
[06:28] 就漲了21%
[06:30] 那如果就點數來講
[06:32] 今年臺股已經漲了6000多點
[06:34] 已經很多
[06:35] 大概算今年排行非常前面的股市
[06:37] 但更猛的是在韓國
[06:39] 韓國今年的漲幅
[06:41] 大概快要42個百分點
[06:42] 同樣的情況
[06:43] 他們沒有這個春節長假
[06:45] 但是在短短這段時間裡面
[06:47] 漲了4成
[06:48] 那尤其是這個三星跟海力士
[06:51] 我剛看了一下
[06:52] 三星今年光
[06:54] 前兩個月漲幅是60%
[06:56] 然後海力士大概漲了58%
[06:58] 所以光從臺積電
[07:01] 今年大概前兩個月
[07:03] 漲了大概我記得
[07:04] 也將近快要27個百分點
[07:06] 那今天也被列為注意的股票
[07:08] 所以這就代表說
[07:10] 整個資金現在是在瘋狂追捧
[07:13] 相關AI硬體的一個受惠的股票
[07:16] 那臺積電當然是全球金融代工的龍頭
[07:18] 沒有取代的地位
[07:19] 那三星跟海力士都受惠到HBM的一個
[07:22] HBM3 HBM4的一個大部落拉貨
[07:25] 所以財報好資金追捧
[07:27] 那就讓韓國股市今年表現比臺股來得更好
[07:30] 所以我覺得在這樣的狀況當中
[07:32] 你就只要注意到
[07:33] 你不要去預設臺股
[07:35] 說你現在會不會什麼日KD指標
[07:38] 月KD指標周KD指標
[07:39] 又背離又過熱又頓化
[07:41] 我覺得現在是整個趨勢的資金力量
[07:44] 都在往亞洲硬體股跑
[07:46] 那這個時候
[07:47] 我覺得簡單去講
[07:49] 就是你只要看到韓國股市
[07:51] 跟臺股維持一個連漲
[07:53] 就是韓國股市創高
[07:54] 臺北股市創高
[07:55] 那我覺得整個大盤就沒有太大問題
[07:57] 也不要說好像覺得很高
[07:59] 就想要趕快下車
[08:00] 我覺得現在來看的話
[08:02] 只要資金持續從美國股市
[08:05] 或歐洲股市流往亞洲股市
[08:06] 這個趨勢沒有改變
[08:07] 那我覺得臺股相關的硬體
[08:10] 跟AI受惠程度高的一個個股
[08:12] 都還是這種多方的形態
[08:14] 也等於說大家不要覺得
[08:15] 這個叫做無稽之談
[08:17] 這個絕絕對對是有稽之談
[08:19] 只是幸福來得有點突然
[08:21] 怎麼說
[08:22] 其實我想跟浩遠哥
[08:23] 跟大家聊過很多
[08:25] 我們臺廠為什麼能夠
[08:26] 在AI的競賽裡面
[08:27] 包括現在韓廠
[08:28] 這兩天其實也都
[08:30] 跟大家分享這樣的論調
[08:31] 是早就知道的事情
[08:32] 不是這兩天才知道的事情
[08:34] 只是有時候知道的事情
[08:35] 它會不會隨著
[08:36] 市場資金的青睞而驗證
[08:38] 市場的資金是一個很重要的
[08:41] 很重要的一個來源
[08:42] 有時候你有基本面很好
[08:44] 你有體質很好
[08:44] 可是資金不青睞的時候
[08:46] 就是不會漲
[08:46] 就要靠你對他的信念
[08:48] 那現在剛好就是
[08:49] 所有的東風都齊備吧
[08:51] 因為現在資金是
[08:52] 確實有點從美股流出來
[08:53] 到所謂的亞洲市場
[08:55] 那我們也提到
[08:56] 其實像年前
[08:57] 我們這次過年比較晚嘛
[08:59] 所以我們這次在過年前
[09:00] 其實我們就知道
[09:01] 美股很多的超級財報
[09:02] 在陸續的公佈
[09:03] 那我們就已經發現怎麼樣
[09:05] 超級財報的
[09:06] 繳出來的成績其實都很好
[09:08] 然後呢
[09:09] 可是大家對於他們未來資本支出的解讀
[09:12] 當時呈現了一種很
[09:14] 就是很分歧
[09:15] 你可能要剛剛好的資本支出
[09:17] 像Meta
[09:18] 大家覺得好像很OK
[09:19] 可是如果你其他人覺得像Google什麼的
[09:22] 你是不是花太多錢
[09:23] 突然害怕起來
[09:24] 但當時我們有講
[09:26] 這個可能對他們自己的母體
[09:28] 有沒有辦法回收這件事
[09:30] 大家有壓力
[09:30] 可是對我們來說
[09:32] 就是訂單源源不絕
[09:34] 你先把它做了再說
[09:35] 不過說實話
[09:37] 當時我跟漢偉哥
[09:37] 在解讀這件事情的時候
[09:39] 我們也沒想到
[09:40] 臺股跟美股
[09:41] 會拉出這麼大的一個落差來
[09:44] 就真的完全呼應了
[09:45] 因為我們是接單的人
[09:46] 我管你本身有沒有賠錢
[09:48] 或者說有沒有回收
[09:49] 我已經賺到錢了
[09:50] 對
[09:51] 那現在在走這一塊
[09:52] 那我們要怎麼來講依據呢
[09:54] 第一是我們要先確信
[09:56] 是基本面真的沒問題
[09:57] 第二就是剛剛漢偉哥講
[09:59] 我們現在可能不見得跟美股
[10:01] 雖然昨天晚上美股也還不錯
[10:02] 我們可能是跟亞股
[10:04] 就是日韓股
[10:05] 我們是一起接人家單子的
[10:07] 我們就一起開開心心
[10:09] 假如韓股沒有下去
[10:10] 我們就不要太擔心
[10:11] 對所以我覺得你現在
[10:13] 如果以臺積電
[10:14] 或說整個亞洲股市
[10:15] 你看那些指標龍頭的硬體廠
[10:17] 除了三星還是必看以外
[10:19] 日本幾個重要的大廠
[10:21] 你要做一個一併的看待
[10:22] 比方像EBITDA
[10:23] 像所謂的日東房
[10:25] 日東房也漲翻了
[10:26] 日東房今年盤中
[10:28] 還是繼續創造歷史的新高
[10:29] 所以這就代表說整個資金
[10:31] 他們都已經不管
[10:32] 這些公司的本益比
[10:33] 就一定要建立它的基本部位
[10:35] 所以也代表說
[10:36] 這段時間裡面
[10:37] 應該有蠻多的被動型基金
[10:39] 在調高整個亞洲AI硬體廠的一個權重所以你會發現到臺股這些所謂的指標性的龍頭股真的長得沒有道理你看臺積電才在今年1月份的時候
[10:53] 還在1600、1700
[10:55] 現在都已經2020
[10:56] 25塊
[10:57] 那臺達電
[10:58] 我記得在1月份的時候
[11:00] 大概還跌破1000塊過
[11:01] 那現在已經到1400多了
[11:03] 臺光電也到2400多
[11:05] 那這幾家公司的代表性是什麼
[11:07] 他們都在AI裡面具備龍頭的地位
[11:10] 那也代表說
[11:11] 這一波的一個資金的迴流
[11:13] 大部分都來自這些
[11:14] 所謂的國外的一些被動型的基金
[11:17] 搭配一些可能是一些資木基金
[11:19] 或者主權基金
[11:20] 在補足他們的一個AI硬體的部位
[11:22] 搭配國內的投信
[11:24] 這些所謂的主動型的ETF
[11:26] 也沒辦法
[11:27] 一定要跟上這一波的一個列車
[11:29] 所以你會發現到
[11:30] 最近這些所謂的三大法人
[11:31] 這幾天從馬年回來
[11:33] 回補臺國的態度非常積極
[11:35] 我覺得也都看到
[11:36] 整個資金迴流的力量
[11:38] 所以我覺得
[11:39] 如果以現在臺股狀況
[11:40] 我們講就指數來看
[11:42] 你只要沒有看到
[11:44] 日本跟韓國有出現大幅度的重挫
[11:47] 那我覺得臺股都有機會
[11:48] 維持這樣一個強勢的上漲
[11:49] 只是說大家也要習慣
[11:51] 這種上漲的幅度會變得非常快
[11:53] 那你現在說動不動
[11:55] 一天就1000點
[11:57] 本來33000
[11:58] 覺得36000好像還有一段時間
[12:00] 現在不是
[12:01] 現在40000點
[12:02] 說不定你3月份都可以看得到
[12:04] 因為臺股現在臺積已經2000塊了
[12:06] 那如果說明天揮達財報
[12:09] 真的又比大家預期還更好
[12:11] 那我覺得這個
[12:11] 明天的這個臺堅AD
[12:13] 揮達股價在上漲的話
[12:15] 那臺股是不是
[12:16] 往更高的高點做一個挑戰
[12:18] 所以我覺得現在
[12:19] 可能大家就要回歸到
[12:20] 那你要去看這些所謂的
[12:23] 全球AI硬體的指標股
[12:26] 它所帶動的產業
[12:27] 會不會是接下來
[12:28] 你還是可以持續
[12:29] 做一個多方看待的產業
[12:31] 因為很多人會覺得說
[12:32] 那這些股票
[12:33] 今年一月份的
[12:34] 前兩個月的報酬
[12:36] 就已經超過去年一整年了
[12:38] 所以要不要趕快做下車的動作
[12:40] 我會跟大家說
[12:41] 如果你看到這些指標股
[12:42] 沒有轉弱的話
[12:43] 那我覺得你基本上來講
[12:45] 你可能真的賺太多了
[12:47] 你小賣一些嘛
[12:48] 獲利了結一些都沒有問題
[12:50] 那就不要全賣
[12:51] 因為整體上來看
[12:52] 趨勢還沒有改變的情況裡面
[12:54] 你如果賣飛
[12:54] 那你未來就很難追的回來
[12:56] 所以我覺得大致上來講
[12:58] 就是做一個總體資金的控管
[13:01] 不要全賣
[13:01] 但是你可以賣個兩層三層的資金
[13:04] 讓大家舒服一點
[13:05] 我覺得也是一個不錯的做法
[13:06] 那現在我覺得
[13:08] 今天盤面上
[13:09] 當然大家會關注到
[13:10] 就是這些所謂的一個
[13:11] 比較久沒有漲到的老AI股票
[13:14] 開始轉強
[13:15] 會不會是去壓薄
[13:16] 所謂的明天的匯達財報
[13:18] 那我覺得當然匯達財報
[13:19] 目前我們所看到的所有資料
[13:21] 大家都會跟大家講非常好
[13:22] 那非常好原因也是因為
[13:24] 你光看到三星海力
[13:26] 是到臺階的財報這麼好
[13:28] 你就知道匯達一定會非常好
[13:29] 因為它是最大的一個客戶嘛
[13:31] 所以他們出貨的物件
[13:32] 當然都要去組裝匯達的晶片
[13:34] 所以我覺得匯達財報應該沒有太大問題
[13:37] 那匯達股價基本上來講
[13:38] 現在位節我覺得也不算太高
[13:40] 所以整體上來說的話
[13:43] 明天匯達財報應該還是可以做一個利多來看待
[13:46] 那只是說大家會覺得說
[13:47] 那今天是不是有些人就提前去卡位
[13:49] 去買這個鴻海啊光達啊
[13:52] 偉創啊
[13:53] 對偉創偉穎啊
[13:54] 就真的看現行覺得他們真的還蠻委屈的
[13:57] 跟大盤簡直是背道而馳
[13:58] 但確實一根大紅棒來了
[14:00] 大家應該有所期待
[14:01] 對我覺得有兩個原因啊
[14:03] 就是第一個如果匯達財報好
[14:05] 當然大家第一個直覺聯想
[14:07] 就是說那這些老AI股票
[14:08] 他們可能接下來營收
[14:10] 或是貨幣數字會往上提高
[14:12] 第二件事情在於說
[14:13] 臺股你不要忘了
[14:14] 現在畢竟真的位階非常非常高
[14:16] 那你說這些想要去押寶匯達財報的人
[14:19] 去押創新高的臺積電
[14:21] 日月光
[14:22] 臺大電會不會反而財報出來之後就利多不漲
[14:26] 所以你去押寶一些低位階的股票
[14:28] 就算利多不漲
[14:29] 那他也不會跌到哪裡去嘛
[14:31] 我覺得這是一個所謂的資金的風險的考量
[14:33] 轉進到低氣息的股票
[14:35] 那就代表說最少我覺得現在盤勢還算是健康
[14:39] 你不會看到盤面上都FOMO
[14:40] 臺積電好大家都在追臺積電
[14:42] 臺達電1400會不會追到2000塊
[14:44] 我覺得如果是這樣的一個所謂追股票的一個心態的話
[14:48] 我反而覺得會有風險
[14:49] 那現在來看的話
[14:51] 如果資金還是會呈現高低氣息的輪動
[14:53] 那甚至說很久沒有漲到股票會補漲
[14:56] 跟AI沒有相關股票偶爾也會動一下的話
[14:58] 那代表這個盤式的一個輪動還算健康
[15:01] 所以你今天可以看到
[15:02] 如果說你要做這樣的一個盤式的健康上漲
[15:06] 那你又很擔心會FOMO
[15:09] 就是追著股票可能休息你又害怕
[15:12] 然後補漲的股票你又錯過
[15:14] 還是一樣啦
[15:15] 就是說你可以透過ETF方式去做一個
[15:17] 全包式的一個佈局
[15:19] 我覺得是一個最基本穩定大家心態的一個方法
[15:22] 那你要不要積極的話就做一些配置的手段
[15:25] 也就是說你可以配置
[15:26] 現在既然AI硬體好
[15:28] 那你可以配置最強主流股
[15:30] 你就一定要有嘛
[15:31] 你可以類似所謂主動型ETF一樣
[15:33] 現在最強的可能像載板
[15:35] 載板南電三天山跟掌心板
[15:37] 你覺得錯過了很可惜
[15:38] 你現在說追載板的南電
[15:41] 明天有沒有第四根
[15:42] 沒有人知道
[15:42] 但是如果說你用配置的方法
[15:45] 載板漲上去了
[15:46] 那你可能就看PCB今天股票
[15:48] 哪一些沒有漲到的
[15:49] 也會輪到他
[15:50] 因為整個族群會輪動上去
[15:52] 那今天記憶體全面性的休息的時候
[15:54] 那你如果有配置一些記憶體股票
[15:56] 你反而今天趁著拉回進場
[15:58] 也許明天
[15:59] 輪到他補償的時候
[16:01] 就往上動起來
[16:01] 因為你知道說
[16:03] 現在整個架構是整個AI
[16:05] 就是一龍俱龍
[16:07] 全部都是因為揮打的訂單
[16:10] 能夠成長
[16:11] 所以只要揮打好
[16:12] 整個AI需求都還在
[16:14] 所有跟AI相關的產業
[16:16] 我覺得都會有輪到他一天
[16:17] 所以今天老外為什麼會動
[16:18] 就是因為他也是AI的一環
[16:20] 然後為什麼三個股票
[16:22] 前兩天拉回來
[16:24] 今天奇鴻直接盤中拉上去
[16:26] 又快要挑戰綠地新高
[16:27] 建策昨天重挫
[16:28] 今天也出現反彈
[16:29] 甚至說雙紅部分
[16:30] 今天直接拉高了
[16:31] 漲的平板
[16:32] 原因都很簡單
[16:33] 就是他們也是AI的陰環
[16:34] 甚至連川湖
[16:36] 連昨天也重挫的秦城
[16:38] 那今天股價也都反彈
[16:40] 所以我覺得
[16:41] 在整個一個趨勢上
[16:42] 它只是會呈現
[16:44] 族群當中的一個輪動
[16:46] 有些你可能要等得比較久
[16:47] 有一些可能是連續運上漲
[16:49] 但這時候我覺得迴歸到
[16:50] 如果你不是
[16:51] 一開始在抵擋佈局的
[16:53] 也不建議大家去追
[16:54] 你就看好一個
[16:55] 重點產業
[16:56] 像最近大家很多人
[16:57] 很好看宅版
[16:58] 那你說宅版
[16:59] 新興南電錦碩
[17:00] 南電還沒有創造率新高
[17:02] 但新興跟錦碩
[17:04] 都已經創造率新高
[17:05] 這時間你去追他們
[17:06] 到底對不對
[17:07] 你自己看一下
[17:08] 昨天新興跟錦碩
[17:09] 也都公佈去年的一個年報
[17:12] 說真的
[17:13] 現在本益比資真的很高
[17:14] 所以這個我覺得是
[17:16] 大家反映它未來的一個成長性
[17:18] 那既然是反映未來的成長性
[17:20] 就代表說
[17:20] 它可能會遇到
[17:22] 某個時間點的估值修正
[17:24] 那你有沒有辦法扛過
[17:26] 那個估值修正的一個痛苦期
[17:27] 那就決定到
[17:28] 如果當時你的成本
[17:29] 像趙華成本那麼低的話
[17:31] 就沒有這樣的問題
[17:32] 也不敢賣
[17:33] 對 也想賣
[17:34] 中間有猶豫過
[17:36] 跟大家聊緊縮的部分
[17:38] 對
[17:38] 但你猶豫個一個月
[17:40] 又翻一倍了
[17:41] 對
[17:42] 但是當時我跟大家講原因
[17:44] 就是因為婉婷來
[17:45] 就說
[17:45] 對 這個是
[17:47] 2026年是載板元年
[17:48] 現在是載板元年的元月
[17:49] 好啦
[17:50] 當然這些都還是有
[17:53] 剛剛講的綜合條件下
[17:55] 它才會長成這樣
[17:56] 不代表它非常合理
[17:58] 可是以現在臺股的位階
[18:00] 跟資金的聚集
[18:01] 它就是一個合理的狀態
[18:03] 我覺得這個大家
[18:04] 要有一點點的意識到
[18:05] 就是我這邊再多囉嗦一下
[18:07] 因為我發現還蠻多人留言說
[18:08] 喜歡我囉嗦
[18:09] 因為有時候都覺得
[18:11] 我們兩個已經有點在碎念
[18:12] 例如說什麼用ETF佈局什麼的
[18:14] 但是我這邊還是在強調一件事情
[18:17] 為什麼我們在年前
[18:19] 其實也是漢維
[18:19] 我印象很深
[18:20] 我們一直跟大家講
[18:21] 我們要有風險意識
[18:23] 可是現在真的沒有崩盤的危機
[18:26] 讓我們聞到
[18:27] 或者說現在要走空了
[18:29] 有什麼樣很大的狀況
[18:30] 因為基本面上沒有出現問題
[18:32] 我覺得這個是一個很重要的事情
[18:34] 那像現在很多人也會跑到
[18:37] 這個理財單秀啊
[18:38] 什麼留言就會說
[18:39] 長成這樣
[18:40] 對啊
[18:41] 什麼合理嗎
[18:42] 請問一下
[18:43] 如果你們有比較資深的老師
[18:45] 有看過這樣的現象嗎
[18:47] 我也必須跟大家講
[18:48] 昨天明翰來也是講同樣的事情
[18:50] 對沒有看過
[18:51] 現在算是一個至少近20年來
[18:55] 我覺得非常難得的大多頭
[18:57] 而這個大多頭有它的背景因素
[18:59] 甚至我覺得它的背景因素
[19:01] 比網路時代那個時候還要更強勁
[19:04] 因為我們有非常明確的企業獲利做支撐
[19:08] 當時有很多的是那種小型的
[19:10] 完全沒有根本沒有賺錢
[19:12] 對不對
[19:13] 也沒有產能
[19:14] 只是說他們有做所謂的網路
[19:16] 他們可能就爆棚
[19:17] 現在不是
[19:18] 現在都是大廠帶頭之後
[19:20] 中小廠也都在擴敞
[19:21] 也都繳出非常亮麗的
[19:23] 營收成長成績單
[19:24] 雖然我們知道
[19:25] 新興錦碩
[19:26] 好像以EPS來說
[19:27] 感覺上本益比很高
[19:29] 可是大家可以去看到
[19:30] 他們自己的數字
[19:31] 都是年增幾百趴
[19:33] 就像細光子
[19:34] 有一些公司
[19:35] 也是年增幾百趴
[19:36] 你可以說
[19:37] EPS賺十塊
[19:38] 有可以一千塊嗎
[19:39] 可是年增幾百趴的時候
[19:40] 你就會知道
[19:41] 他們是狹帶著
[19:42] 一個高速成長
[19:43] 所以我覺得
[19:44] 現在的整個盤面
[19:45] 其實也會有人留言說
[19:47] 你們不要再報
[19:48] 那些已經漲很多的
[19:49] 去找那些地位階
[19:51] 其實高地位階我們都會講
[19:53] 可是如果是這種很火熱的盤
[19:55] 肯定是高位階還有更高
[19:57] 那大家說今天老外來翻身
[19:58] 我想很多人很高興
[20:00] 可是他跟那些所謂的PCB上游
[20:02] 剛剛講到的矽光子
[20:04] 低谷衛星
[20:05] 那個整體漲幅
[20:06] 還是會有一定的落差
[20:07] 但也許大家抱得比較心安
[20:09] 所以有時候在這樣的盤裡面
[20:11] 你順勢而為還蠻重要的
[20:14] 就是我們保持著風險意識
[20:15] 然後會請大家可能用ETF做配置
[20:18] 但如果你喜歡個股的話
[20:19] 現在是一個順勢而為的盤
[20:21] 對因為大家知道說
[20:23] 我們是有在帶會員操作
[20:25] 對
[20:25] 所以其實很明顯可以感受到
[20:27] 就是說你如果是去交一些
[20:29] 可能比較人們的小股票
[20:31] 真的會辛苦
[20:32] 因為好像一買了就要等個半個月
[20:35] 等一個月輪到他動一下
[20:37] 但動上去好像又動不太久
[20:39] 就比方說可能你買機器人的
[20:41] 那機器人有沒有動
[20:42] 有動
[20:42] 但是不是整個族群往上動
[20:44] 而且很慢
[20:44] 對
[20:45] 如果說像我們像這種
[20:46] 兩個月的大行情
[20:48] 如果你沒有做到說主流族群的話
[20:50] 你就會覺得好像很痛苦
[20:52] 因為別人股票都在漲
[20:53] 你的股票都沒有在漲
[20:54] 所以當然我們就去佈局一些
[20:56] 可能比較主流族群
[20:57] 像我們講的漲價缺貨題材
[21:00] 載板然後PCB
[21:02] PCB的上游到所謂的記憶體
[21:04] 這些都是今年一月份到現在
[21:06] 都輪流有在創高的一個個股
[21:08] 那也就代表說
[21:10] 如果你不是那種非常積極
[21:13] 然後喜歡追逐強勢的股票
[21:14] 我覺得你就用配置的方式去買一些
[21:16] 你不一定要說
[21:18] 全部透過ETF的方式
[21:19] 但你可以選擇你信任的股票
[21:21] 然後去等待他回檔到安全的買點
[21:23] 做這個介入
[21:24] 比方說你看到
[21:25] 像所謂的波仙部的上游
[21:28] 富橋啊然後這個金居啊金居被關了那麼久今天終於創業率是新高但是又回打對又拉回那但他的問題還是在說可能他又再上去又被關
[21:39] 對
[21:40] 他的問題就是很容易被關
[21:41] 所以籌碼不容易大放異彩
[21:43] 就大家會覺得啊買他很麻煩
[21:45] 對那你說
[21:46] 金居是所謂的上游高階同伯的代表嗎
[21:49] 大家都覺得他好
[21:50] 但是他就是有被關的問題
[21:52] 但你說這種強勢股票
[21:53] 你等不到
[21:54] 等不等到他拉回
[21:55] 你等不到他拉回
[21:56] 只是說你在拉回的時候
[21:58] 有沒有去做一個適度的佈局
[21:59] 你就不會有
[22:00] 昨天出關漲零半
[22:02] 今天栽根上去追高
[22:04] 在高點又被套了
[22:05] 然後說我有金句怎麼辦
[22:06] 我覺得其實就是這樣子
[22:08] 就是說你先把今年的主流族群
[22:10] 你最看好的
[22:11] 他有可能貫穿一整年的強勢題材股
[22:14] 你先把它納入到你的自主人股
[22:16] 然後在旁邊寫好說
[22:17] 這些股票我要等他拉回在進場
[22:19] 沒有等到我跟他沒有緣分
[22:21] 那我就不要佈局他
[22:22] 所以你看金句你等不到
[22:24] 又比方說像尖點
[22:25] 尖點你看到他也是一樣
[22:27] 大家都知道賺針
