[00:00] 歡迎收聽《照華語古惑》在第1164集,今天是2026年的8月18號。
[23:35] 所以後續就慢慢的,這個真的經過多年的移動,然後後來稍微有點資產在長線,然後慢慢發現我短線的很忙,但是賺的錢也不見得,當然絕對金額因為短線比較大,所以絕對金額也許比較多,但你會發現報酬率長線的好像不見得比我的短線差,所以自然就慢慢多移動到這個所謂的長線。
[24:00] 但是確實我在2020年應該說台積電的獲利還沒有明顯動起來、AI還沒有成形之前
[24:08] 我的長線的比例真的是明顯的小很多
[24:12] 絕大部分還是以短線為主
[24:14] 那後來經過疫情
[24:16] 然後那個時間點剛好中錯
[24:18] 我就把很多的短線拿去壓在長線
[24:21] 然後後來就在賺那個疫情結束的那個財富
[24:26] 然後等到覺得差不多要下車的時候
[24:29] 剛好23年AI來臨,我就發現應該不用下車,所以就長線就一路抱到現在。
[24:35] 當然很多人有時候回檔,就比如說7月好了,那7月在回檔的過程當中,也有人留言說,
[24:43] 欸你說這個有信心高持股下車,真的這樣看起來是不對的,你沒看到7月跌了多少。
[24:52] 那時候可能很多人對民漢的Challenge就會說,你看我害我本來賺錢的現在都吐回去了。
[24:57] 對,就真的會有這樣的聲音跑出來,之前是開開心心,一疊就不開心了。
[25:02] 對,我會覺得這個時間點就是兩個問題,第一件事情就是因為連我也不可能知道6月22當時就是最高點,7月要開始修正是不可能有人知道。
[25:15] 有些人會說他看到什麼,我之前也跟一些投資人講,你有時候你會跟我講說,其實回過頭來6月22那個時候等於是今年波段那個最高點其實是有跡可循的。
[25:29] 比如說他可能看到三個因素,所以他覺得當時是高點。
[25:34] 我說如果你用這三個因素去回推,你抱不到6月22,因為很早之前就曾經出現過,因為這幾年真的漲的速度太快。
[25:43] 所以你比如說乖離率到多少要減啦,或者是成交量當爆量的時候要先跑啦,什麼很多那種危機的風險因子出現的時候要跑,我只能跟你講你很早就跑了,你絕對不可能報到6月22。不可能報到最高點啦,大家有這個認知。
[26:02] 因為最高點之前早就已經是瘋狂狀態,應該說尤其是第二季,其實接近三個月的時間在狂漲的過程當中,如果你看到某個指標該退場你就確實退場,我個人覺得你應該在四月就會退場。
[26:18] 因為後面五六月是創歷史從來沒見過的瘋狂途徑
[26:23] 所以然後最後你不可能在已經創歷史新高到底要高到哪裡的時候
[26:29] 突然在六月底的時候突然警覺又全部下車
[26:33] 所以第一件事情就是本來就不可能知道這個高點
[26:37] 第二就是壓回的過程當中都已經壓回了
[26:40] 我也不知道最後會跌到四萬點甚至跌破四萬
[26:44] 只能說會修正因為技術面上半年漲太多
[26:48] 最後的關鍵點就是為什麼會去報?因為我會覺得48000點我就不覺得是今年的高點,我總會覺得還會再上。
[26:56] 那我能做的是什麼?就是沒有錯我的長線部位就是報上報下,但是有個好處就是我在下來7月的過程當中,因為符合我的條件,所以我會拿我一些短線的資金跟之前所剩的資金在7月,大家最恐慌你自己回去查,反正黑棒最長的時候一定都有我的買賬。
[27:18] 我的進場買單,我就最喜歡買那個爆量黑K棒技術面最慘的時候,因為我常常講信心最主要是建置在我剛剛提到的營收獲利一路創高,所以我就不覺得有問題。
[27:32] 市場的拉回也看不到任何理由,當然每天這個等於說報紙一定會告訴你,對,每天都有新的理由,但我們在節目我也常講,
[27:45] 當你每天的理由都不同,就代表就是沒有理由。
[27:49] 然後我又對比而言,你關稅、戰火什麼什麼,那個就很明確。
[27:53] 如果不是明確理由,每天都講不同。
[27:56] 甚至之前有看到媒體說,今天的下跌理由我終於找到了。
[28:01] 我就說那就表示是你瞎扯,因為全市場大家都在賣,但是大家都不知道,只有你知道就知道,這個根本絕對不是理由。
[28:09] 所以我常常講最後沒有理由就是要你重點你要把長線的趨勢已經看得很明確,然後拉回反而是很好的買點。
[28:17] 至於你說中間高點應該要減碼,然後呢低點再加碼回來,我個人覺得這個理論上,我覺得回過頭來我以前的特色就是如果沒事賠錢,我就會檢討一下希望以後不要再發生,然後不斷調整成自己覺得投資上最舒服的一個狀態。
[28:39] 目前的角度我覺得蠻適合我自己,但不代表一定適合所有人。
[28:44] 所以我分享來講,我才會概念告訴你說,不代表反彈上去不能減碼,只是你的要減碼的特色,兩個點你一定要自己先抓好。
[28:54] 而且有一個更重要的問題,就是我以前遇到投資人,第一件事情是先沒有,那我跟他講要有,那也沒關係,後來有了。
[29:03] 但重點是到了真的跌到90了,他又會說明天搞不好更便宜。
[29:10] 心態很難克服。
[29:11] 對,這個心態很難克服,或者是說最後沒跌,漲到105了,你應該追回來,你會覺得搞不好明天就會拉回,會更便宜。
[29:21] 所以最後我常常講的就是第一,該做的一定要做,第二就是不能給自己任何藉口,時間到,該操作、該買賣的部分一定要嚴格。
[29:31] 我自己經過自己的投資加上後來法人訓練最後再回到自己比較我自己覺得現在能夠輕鬆的投資其實我覺得最後的關鍵點就是紀律我還是覺得紀律是最重要的因為每個人的策略我的策略不代表適合你或者說每個達人都有不同的策略可是我會覺得最後能夠成達的每個人策略不同但是一定有個共通點就是他今天講到哪裡他一定會按照
[30:01] 我覺得這才是最重要的。
[30:31] 我幾乎可能都會先買個幾張放著,為什麼?你要有一個所謂的基本盤,在這個基本盤上如果過幾天,像今天跌500點,我成交的就比較多,那在這個基本盤下又發生了回到2000點,你就不會覺得難過,你會覺得你又有一個好的比你的成本,因為你一定會看到綠油油的,你現在見的第一筆,那時候一定綠油油的,你就可以往下去買。
[30:54] 但是我必須強調一件事情,換到這樣子的商品上面,我的想法很簡單,債券確實是保本,這件事情它的特質沒有任何的改變。
[31:06] 當今天有一個很大的下跌的時候,你會發現債券在那邊可能就是零點幾%的一個波動而已。
[31:11] 但換到這類型的商品,當然你會感覺到它整個年化報酬率拉得很好,又可能賺價差,也可能年化報酬率是超過10%,
[31:21] 但是遇到回檔修正的時候,你的帳面波動肯定會變得很大。
[31:26] 那為什麼我會做這樣的轉換是,我明年要交屋,所以我現在到底明年交屋的錢準備好了沒?
[31:32] 答案就是,在過去比較保守、注意風險、資產配置、股災配置之下,我把這筆錢已經準備好了。
[31:39] 我可以承擔比較大的風險,來嘗試賺比較高一點的報酬或是配息,而這些息從資本利得配嘛,所以我也可以免除掉我之前非常擔心的所得稅的問題。
[31:50] 還有一個問題是,如果像明年後年好了,如果這是一個長線投資,遇到真的股市是走一個比較空頭的時候,也要記得哦,搞不好習就配不出來囉,因為他們叫資本利得來配嘛,那怎麼沒有資本利得囉,所以你可能也會面臨到習有配不出來的問題,這些都要全部統包思考,因為我做的不是一個下個月的規劃,我做的是一個可能三到五年我要這樣做的計劃,所以這邊也呼應一下民漢,帶我們回到最近為什麼覺得局勢明朗,
[32:19] 例如說像最新的新聞,輝達現在感覺上又成為一個AI的主宰了,因為他開始做融資平台之外,他也宣布他會幫忙OpenAI這家公司,4.3兆台幣相關的一些費用,當然中間一定會有條件,不是我們送人家錢這樣子。
[32:35] 所以OpenAI雖然還在虧損,可是他的虧損幅度已經有減小,以及看起來輝達就是鐵了心,你給我,不要當阿斗,你一定要起來。
[32:44] 另外是 Anthropic,就是做Crawl這個語言模型的,它已經由虧要轉贏了。
[32:50] 我覺得這個世代我們知道在AI上面發展最多就是語言模型,然後賣算力、資料中心。
[32:57] 所以這些新的公司能夠得到注資,然後能夠在已經茁壯的大企業下得到錢,然後獲利體質也變好。
[33:06] 我覺得它就是一個保障,它就是告訴你明年除了原本的科技器巨頭,它還有這種新創的軟體公司、語言模型公司、AI算力相關的,它明年也會茁壯。
[33:18] 所以它是一個一棒一棒接下去的狀態,至少我看到明年,甚至有人看到可能2028,都覺得這樣的態勢不太容易逆轉。
[33:27] 對,我覺得這個觀念我們從幾個角度出發
[33:31] 第一個問題就是大家應該講企業在投資AI的腳步
[33:37] 包含剛剛提到比如說他有融資平台或者是投資 OpenAI
[33:41] 其實結論而言就是我們常常講的AI的資本支出
[33:45] 只是說今天錢是誰丟的,但我覺得不重要
[33:48] 反正就是現在到底市場上這些大企業到底對AI的投資的架構如何
[33:54] 我的觀點,就我的理念來講,只要願意投錢,代表這個產業就是對的。
[34:04] 當然在過程當中,常常因為剛好股市在修正,大家就會覺得這不太對,這個風險很高,以後不知道能不能回收回來。
[34:13] 過一段時間又說,這個其實是對的。
[34:16] 反正我覺得你一定要先有個信念就是如果對於這種所謂的大企業的營運你稍微有點理解你就可以知道真的是一個公司也就是這麼大公司這麼大的一個資本支出都不是一個人說了就算
[34:35] 企業要花錢不是你自己像你自己要買一個便當到底要買一百還兩百差不多就掏錢了
[34:43] 公司今天要投一億還是兩億,它其實中間的這個過程其實比你想像反差非常非常多。
[34:50] 那這樣的情況下呢,尤其是這麼大的企業,如果你今天就是老闆當然可以決定。
[34:56] 企業這麼大,你有很多的股東,你有很多的管理階層。
[34:59] 那所以老實講,我不斷就是重申你看一下法術會、未遮家講的。
[35:05] 今天能投這麼多錢,它就真的有這麼多的訂單。
[35:09] 然後它常常講這個錢不是亂投的。
[35:12] 這也不是他一個人決定的,這個後面的架構比你想像要複雜很多。
