[00:00] 欢迎收听赵华谀古惑仔第1049集
[14:13] 也是啦
[14:14] 对
[14:14] 如果现在七巨头还在创高
[14:17] 人家根本不敢写
[14:18] 写了你也不会写
[14:19] 是
[14:19] 对对
[14:20] 所以我就说
[14:20] 你这个逻辑了解一下
[14:22] 因为你会发现
[14:23] 这些巨头出来的财报
[14:25] 其实都是有预期的
[14:26] 没错
[14:27] 包括昨天的博通
[14:28] 应该说今天凌晨的博通
[14:30] 博通然后包含NVIDIA
[14:32] 包含四大云端巨头
[14:34] 大家都是正向的
[14:36] 所以哪来的AI动人减弱的问题
[14:39] 而且就我们角度
[14:40] 你看外资的报告
[14:41] 从资本支出到获利
[14:43] 都还在持续创高
[14:45] 我常常讲的就是说
[14:47] 资本支出创高
[14:49] 可能大家听多了
[14:50] 都已经麻痹了
[14:51] 那你已经慢慢的
[14:52] 尤其前一段时间
[14:53] 我还是重申
[14:54] 因为股价跌
[14:55] 大家又开始觉得
[14:57] 资本支出创高
[14:58] 变得是不是
[14:59] 到底是利多还是利空
[15:00] 开始打问号
[15:01] 可是获利创历史新高
[15:03] 这个不会是利空吧
[15:05] 还有一个问题
[15:06] 人家那些巨头拿到的订单
[15:08] 也还在持续创高
[15:10] 记得一件事情
[15:11] 人家砸钱
[15:11] 不是没有看到东西乱砸
[15:13] 人家是看到订单才砸钱
[15:15] 代表这些钱进去之后
[15:17] 如果成果出来
[15:19] 他马上就可以收割
[15:20] 所以老实讲
[15:21] 人家老板不是笨蛋
[15:23] 今天钱要投下去的时候
[15:25] 人家都经过很长期的评估
[15:27] 所以记得一件事情
[15:28] 你没有他了解
[15:30] 人家
[15:30] 我常常讲的
[15:31] 就像魏直嘉
[15:33] 人家这个董事长讲的那种
[15:35] 人家他就讲
[15:36] 我敢投钱
[15:37] 我就真的有看到东西了
[15:39] 所以要相信人家
[15:40] 这个趋势没有变
[15:41] 不要把你的心思
[15:44] 因为股价的变化
[15:45] 去扭曲了你的想法
[15:47] 好
[15:48] 因为七巨头没有涨
[15:49] 但是资本支出的提升
[15:51] 看得出来台韩
[15:52] 其实是受惠于这一波
[15:53] 资本支出的提升
[15:55] 对不对
[15:55] 就是我们是
[15:57] 常常讲一件事
[15:58] 他们开餐厅
[15:59] 我们就是给杯子盘子
[16:00] 他们要开越多
[16:01] 我们就给越多
[16:02] 所以我们肯定
[16:03] 他餐厅亏钱他家的事情
[16:04] 对不对
[16:05] 所以我们也讲了
[16:06] 这一波的修正
[16:06] 还包括了所谓
[16:07] 乖离绿的修正
[16:08] 因为跟美股脱钩太久
[16:10] 其实上礼拜你也有提到
[16:11] 跟美股的脱钩
[16:13] 你反而会认为
[16:14] 就是一个修正的来源
[16:15] 那现在算有达到平衡点了吗
[16:18] 我觉得我刚刚提到
[16:19] 就是说最主要关键点
[16:21] 就是年初一月的时候
[16:23] 外资好几个外资
[16:25] 都在写这份报告
[16:27] 在讲到资金一直往新兴市场流
[16:29] 讲到台湾跟韩国就是最主要来源
[16:32] 很多人看了这个东西
[16:34] 尤其是欧美的投资者
[16:36] 就会跟着把现象不断的资金
[16:39] 往这个方向移动
[16:40] 如果是专业大户就直接转过来投资
[16:44] 如果散户就买他们那边的ETF
[16:46] 又把资金倒过来
[16:48] 所以导致我们非常强势
[16:49] 我那时候就讲
[16:50] 我们涨是有道理的
[16:52] 是OK
[16:53] 可是乖离不能太大
[16:55] 那很明顯的就是一二月的累積乖離真的是太大
[16:58] 所以現在正在修正當中
[17:00] 所以你可以看到
[17:01] 我們講我們可能感受還不大
[17:04] 因為有一個對比
[17:06] 我那時候分析過
[17:07] 其實基本面我們比韓國好
[17:09] 但是因為韓國前兩年
[17:11] 應該說這個二三二四都沒漲
[17:13] 到去年最後才開始噴出
[17:16] 所以他從去年的下半年到這一段
[17:19] 真的是瘋狂的行徑
[17:20] 簡單講基本面我們兩個是最好的
[17:23] 但是对比台湾又比韩国好
[17:25] 可是这段时间
[17:26] 韩国的股市又比我们强很多
[17:28] 所以他们的乖离率是最夸张
[17:30] 所以很简单
[17:31] 我们昨天跌了快1500
[17:33] 他们是直接熔断
[17:34] 跌了超过一成以上
[17:35] 他们今天一谈也谈了十几趴
[17:38] 对
[17:38] 就是他们现在都是一成起跳
[17:42] 而且要记得
[17:43] 一成不是个股
[17:45] 一成是指数
[17:46] 就等于我们所有的公司都要涨10%
[17:49] 或跌10%以上
[17:50] 对
[17:50] 所以你就知道
[17:51] 这个他们现在到底有多疯狂
[17:54] 但是我就说了
[17:55] 这个没办法
[17:56] 因为确实就是
[17:57] 这个资金有点太过疯狂
[18:00] 那我觉得应该说
[18:01] 这是一个好现象
[18:02] 趁着机会洗下去之后
[18:05] 会洗到谁
[18:06] 洗到我刚刚提到
[18:07] 一二月的欧美的投资户
[18:10] 看着那份报告要过来的
[18:12] 如果你今天是专业投资人
[18:14] 还不会害怕
[18:16] 如果你散户只是当时
[18:17] 跟着去买新兴市场ETF
[18:20] 买在前段还没事
[18:22] 越买越嗨
[18:22] 越买越嗨
[18:23] 买在最高点
[18:24] 最近修正
[18:24] 你可能也会受不了
[18:25] 我觉得这是一件好事情
[18:28] 就是洗一洗吧
[18:30] 等于是看着技术面
[18:32] 或买皮毛的人
[18:34] 全部下出去
[18:35] 留下来就是真的
[18:36] 看好新兴市场的资金
[18:38] 能够留住的
[18:39] 那这样后续来讲
[18:40] 才有办法持续往上
[18:42] 所以我觉得这几天的修正
[18:44] 尤其是你说够了没
[18:45] 都已经洗到熔断了
[18:47] 所以理论上
[18:48] 韩国我们没有
[18:50] 我意思是说韩国这种现象代表的是什么
[18:53] 就是我觉得理论上筹码确实已经有明显的大幅沉淀
[18:58] 可是我觉得当然比较
[19:00] 我昨天在讲的时候
[19:01] 我觉得相对而言还有稍微比较不利的因素所在
[19:05] 第一就是我觉得以台股来讲
[19:08] 三天的跌幅
[19:09] 我觉得理论上虽然够
[19:11] 可是对比前一段时间我们真的涨幅有点快
[19:14] 我如果私心来讲
[19:16] 我觉得最好是能够再多两根
[19:18] 我觉得那个筹码就会更干净
[19:20] 而且昨天有个败相就是
[19:22] 台积电的跌幅相对来讲有稍微偏小
[19:25] 台积电比大盘强
[19:27] 今天一谈台积电一开盘是5%
[19:30] 对
[19:30] 所以我觉得这个反而是比较相对比较不利
[19:34] 我觉得最好的状况是
[19:36] 因为上去的时候是台积电带
[19:39] 最好是下来的时候台积电要跌得更重
[19:42] 当然我要先重申
[19:44] 我是持有台积电的
[19:45] 当然
[19:45] 我不是说
[19:46] 我不是说我觉得
[19:48] 你还是台电的拥护者
[19:49] 而且小朋友的学费
[19:50] 是靠台电付出来的
[19:51] 我不是说看空它
[19:52] 我只是觉得会更健康
[19:54] 上去它比较强
[19:55] 下来它应该要跌得比较重
[19:57] 这个好处就是
[19:58] 在里面的人看不清楚状况
[20:00] 它才会撤退
[20:01] 如果上去的时候
[20:02] 墙下来它抗跌
[20:04] 就会在里面
[20:05] 那个筹码没办法有效的沉淀
[20:07] 所以现在的压力
[20:09] 就是还差在这些
[20:10] 福尔没办法洗得很干净
[20:12] 但是重申
[20:13] 我自己投资都这样
[20:15] 我不会从台湾的走势筹码下去做分析
[20:19] 无论如何还是要回到美国的一个架构
[20:22] 所以尤其今天
[20:25] 早上当然记者一直打电话来说
[20:29] 今天看起来上方压力很大
[20:31] 你觉得这样到底今天是不是进场的机会
[20:34] 我只会说进场的机会在昨天
[20:37] 昨天为什么不买
[20:39] 为什么今天问可不可以
[20:41] 我昨天有买
[20:41] 幸好
[20:42] 我常常讲
[20:44] 我买纸是为了不要被念
[20:46] 我会觉得
[20:48] 昨天
[20:48] 尤其是昨天那样
[20:50] 就是一个很好
[20:51] 很好的投资机会
[20:52] 有些人会说
[20:53] 你真的觉得
[20:53] 昨天就是底部
[20:54] 我没有
[20:54] 我说没有
[20:55] 我不觉得是底部
[20:56] 我只能说
[20:57] 底部非常接近
[20:59] 那理论上
[21:00] 昨天绝对是买点
[21:01] 今天老实讲
[21:02] 就不是最高的好时候
[21:05] 因为假设今天
[21:06] 不要说流上一线
[21:08] 就算今天收在最高点
[21:09] 就把昨天的跌幅
[21:11] 全部补平的情况下
[21:13] 我也可以预测未来两天一定会有再压回的压力
[21:17] 他必须要经过持续的震荡
[21:20] 把筹码持续的洗完沉淀之后
[21:23] 才会有机会有比较波段的上扬
[21:25] 那这个状况也不是只有台湾美国一样
[21:28] 他也必须要不断的洗
[21:30] 让美国的整个筹码沉淀了
[21:32] 美国才能够带着我们往上
[21:34] 那我还是重申
[21:35] 就是大家一定会有点搞得不眨眨
[21:39] 就是为什么这么大的波动
[21:41] 或者我们换个角度讲
[21:43] 大家这段时间两个问题
[21:45] 一个是就是我们亚洲跟美国的乖离
[21:48] 另外一个是中东的战火
[21:50] 你说乖离说差不多了
[21:53] 我觉得也还可以接受
[21:54] 其实还是美股位阶低
[21:56] 对现在还是低
[21:57] 很明显还是低
[21:58] 可是我们最起码
[21:59] 我们中间的乖离已经有大幅修正
[22:02] 可是问题说
[22:03] 我们先排除乖离不讲
[22:05] 那问题是讲到中东战火
[22:07] 今天的战火跟昨天
[22:09] 几乎也没放出什么太好的消息
[22:11] 所以凭什么
[22:12] 昨天要大跌
[22:12] 今天就要大涨
[22:13] 所以代表这个就是一个市场情绪
[22:16] 所以如果你了解
[22:17] 你就可以知道
[22:18] 其实今天本来就不是买点
[22:19] 我还是觉得
[22:20] 反正最后今天这个记者问
[22:24] 我只给几个重点
[22:26] 第一个部分来讲就是
[22:27] 短时间来讲
[22:29] 一定还是会大幅震荡
[22:30] 这是必然的
[22:31] 第二就是我觉得
[22:33] 自从昨天那种崩盘
[22:35] 代表着指数的低点距离
[22:37] 应该说是所谓的点数
[22:40] 我不敢讲
[22:41] 时间点距离现在一定不会太久
[22:44] 当然还有可能再回撤
[22:45] 但是可以确定时间一定不会太长
[22:47] 第三就是这段时间只要有涨
[22:50] 千万不要进场
[22:52] 又跌再买
[22:53] 而且记得
[22:54] 这个是你要克服人性
[22:56] 跌的时候再买
[22:57] 而且要跌得越重
[22:59] 你要买得越多
[22:59] 小跌就稍微所谓的伺身手就好
[23:04] 真正重错才是比较好的买点
[23:06] 当然我要就是要讲到
[23:08] 这个真的是克服自己人性
[23:10] 你必须要跨过
[23:11] 这个所谓的人性
[23:12] 才有办法做出正确的投资
[23:14] 好
[23:15] 因为我讲的是
[23:16] 不管是执行
[23:17] 或者主动式ETF等等
[23:18] 毕竟是ETF
[23:19] 就是一箩矿
[23:20] 但是来宾来
[23:21] 我一定会跟大家
[23:22] 好好地聊个股
[23:23] 因为我常常讲
[23:24] 还是大家会蛮执着
[23:26] 在个股的魅力上面
[23:27] 我也不认为说
[23:28] 大家都买完ETF
[23:29] 一档个股都不要买
[23:30] 因为这就是台湾
[23:32] 有各个企业的
[23:33] 有趣的地方
[23:34] 各个企业
[23:35] 有各个企业特质
[23:36] 如果都没有个股
[23:37] 真的也挺无聊的
[23:38] 所以这边
[23:39] 刚刚明翰有讲到说
[23:41] 大叠要大买
[23:42] 可是产业长得不一样
[23:43] 对不对
[23:43] 像昨天记忆体是一个团灭
[23:45] 但今天记忆体就变得非常的厉害
[23:47] 那反过来的是谁
[23:48] 像CPU
[23:49] CPU今天我们刚刚讲到
[23:51] 博通开法会
[23:53] 对不起
[23:53] 开法说会
[23:54] 帮CPU开法会
[23:56] 我很简单的讲
[23:58] 他其实
[23:58] 2026年刚公布的这个财报
[24:00] 营收193亿美元
[24:02] 是年增29%
[24:03] 他说AI的营收暴增106%
[24:07] 所以大家对于他这个远超乎市场预期的AI营收
[24:10] 还有接下来下一季的直营
[24:12] 高达222亿美元
[24:14] 是年增47%
[24:16] 整个华尔街非常买单
[24:18] 但是博通的执行长就提到了
[24:20] 他就简单的来说
[24:22] 他说客户目前持续是留在铜蓝上面
[24:27] 这是一个巨大的优势
[24:28] 因为转向光学的方案更贵
[24:31] 功耗也会高很多
[24:33] 不用去追求亮晶晶的新东西
[24:36] 虽然我们自己是CPU的领先者
