[00:00] 歡迎收聽趙華宇古貨載第1031集
[02:24] 大家聽到轉單的時候
[02:25] 說實話
[02:26] 都先在心裡面評估再三
[02:28] 轉單不是一件如此容易的事
[02:31] 但它可以反映的卻是
[02:33] 盤面上只要有利多
[02:35] 現在還是會充分的
[02:37] 怎麼樣在股價上面
[02:38] 做出表達
[02:39] 所以現在還是一個利多就漲盤
[02:42] 以及利空的因素
[02:44] 如果稍微被解除
[02:45] 也是照漲
[02:46] 所以多頭市場的氣氛
[02:48] 還是非常非常的濃厚
[02:50] 但臺灣比較不同的是
[02:52] 我們再過六個交易日
[02:53] 我們就要封關了
[02:54] 大家要在這個時候又跑進去追嗎
[02:57] 就像今天
[02:58] 記憶體又上演了一個大怒神的走勢
[03:00] 所以現在的股票雖然很活潑
[03:03] 起紅
[03:04] 有沒有終於創歷史新高了
[03:06] 散熱跑上來了
[03:07] 代表這個各種熱門題材股
[03:09] 依舊現在非常非常的活躍
[03:12] 但是我們要不要這麼積極的
[03:14] 在這個時候介入
[03:15] 或者是我們應該用什麼樣的配置和心法
[03:17] 我們來請教今天的來賓
[03:20] 好 今天來賓
[03:21] 他剛剛跟我說
[03:22] 他上禮拜沒有來
[03:23] 我就覺得沒有
[03:24] 我好想要再跟他講話
[03:26] 好 先來歡迎他
[03:27] 就是我們的選股教練
[03:29] 黃金右下角
[03:30] 韋泰
[03:30] 趙華豪 大家好
[03:31] 因為我跟韋泰說
[03:33] 你下禮拜有沒有拍通告啊
[03:35] 因為下禮拜好多人
[03:36] 就提早要放假了嘛
[03:37] 韋泰就跟我說
[03:38] 他已經放完假了
[03:39] 我就愣了一下
[03:40] 他說他上禮拜沒來
[03:42] 我沒發現
[03:43] 我就想完了完了
[03:44] 這一局要怎麼圓
[03:46] 後來我就跟他講說
[03:47] 沒有 昨天都有提到你
[03:48] 對我昨天有跟婉婷有講到你
[03:50] 因為我們兩個很喜歡去找那種
[03:52] 就是比較右下角的嘛
[03:54] 但是也有提醒
[03:55] 為什麼會講到維泰
[03:56] 就是也有提醒大家
[03:57] 有時候有一些右下角的公司
[03:59] 我們知道他在右下角
[04:01] 但說實話
[04:02] 他可能會沉澱很長的時間
[04:04] 甚至他都已經在右下角了
[04:06] 你都還會聽到一些有的沒有的
[04:08] 就是負面的訊息
[04:10] 可是有一天負面的訊息也打不動他了
[04:13] 有一天你真的也不知道為什麼
[04:14] 我們常常拿中鋼來舉例
[04:16] 47年來最差最爛的財報
[04:19] 但還是讓他連長兩三天
[04:21] 所以這種事情是說不準的
[04:23] 但是隻能告訴大家
[04:25] 在右下角的一些原因跟理由
[04:27] 以及有部分個股
[04:28] 真的相對是比較委屈的
[04:29] 也許他只是不在題材上而已
[04:31] 不過今天我們先回到今天
[04:33] 昨天跌了盤中700
[04:36] 但中場跌400多
[04:38] 今天中場又漲了快600點回來
[04:40] 等於好像沒發生過事情
[04:42] 但今天盤面上可以看到的是
[04:44] 記憶體還是呈現第二天的上沖下洗
[04:46] 並不是所有的記憶體都跌
[04:48] 但是大部分人記憶體
[04:49] 這兩天是跌了不少哦
[04:51] 那今天的錢又跑回PCB
[04:54] PCB的破線不厭
[04:56] 日東房有一些好訊息股價在漲
[04:57] 所以錢又跑回了PCB
[04:59] 以及剛剛講到的
[05:01] 齊鴻參加了兆元宴
[05:03] 是比較新的成員
[05:04] 齊鴻的股價在今天漲停板
[05:06] 創下歷史新高
[05:07] 他是之前大家覺得最委屈倒黴
[05:10] 被黃榮勳講下去的
[05:11] 那現在又回來了
[05:12] 那還有很多人問
[05:13] 可是還有像被動元件都沒有漲
[05:15] 被動元件怎麼了
[05:16] 因為銀價
[05:18] 其實大家有沒有注意到
[05:19] 銀價其實跟被動元件是有關係的
[05:21] 所以這些事情有時候聽起來有點複雜
[05:24] 但聽起來又是很想問
[05:25] 那我現在可以蹲點誰
[05:27] 或是在最後的六個交易日
[05:29] 我應該怎麼樣做我的資產配置
[05:32] 那昨天那些利空都不用擔心了嗎
[05:34] 好
[05:35] 我們看到最近的臺北股市
[05:38] 我個人的看法是這樣子
[05:40] 目前的一個賣壓
[05:42] 其實大多數應該來自於就是內資
[05:44] 也就是說大家
[05:45] 對於這個接下來的一個臺北股市的一個風觀
[05:49] 大家有點的想要提前離場的一個動作
[05:52] 所以呢
[05:53] 我基本上認為
[05:55] 如果說在風觀之前
[05:57] 賣壓能夠有效的宣洩的話
[06:01] 那反而有利於在接下來這個
[06:04] 開紅盤之後的一個股票市場的一個上漲跟走高
[06:08] 所以在今天呢
[06:10] 我可能還會特別的去觀察一下
[06:12] 就是融資餘額的部分
[06:13] 因為昨天融資餘額是單日大減50億
[06:17] 所以如果今天呢
[06:18] 在這個上衝下衝的過程當中
[06:20] 融資餘額在持續的一個減肥
[06:22] 那麼反而對於接下來的這個
[06:25] 開放盤之後的一個行情
[06:28] 反而會比較值得期待
[06:29] 那至於說在盤面上面
[06:32] 今天其實早上可以說是百花齊放
[06:35] 那這個小編問我說
[06:39] 今天要講什麼主題
[06:40] 我說都可以啊
[06:41] PCB也可以啊
[06:43] 被動也可以啊
[06:45] 太陽能也可以啊
[06:46] 反正基本上今天
[06:47] 強勢的族群還蠻多的
[06:50] 但是唯獨就是這個
[06:51] 自體族群
[06:52] 在今天的一個表現
[06:54] 還是呈現了一個
[06:56] 開高走低的一個情況
[06:58] 當然我認為這還是
[06:59] 比較傾向於說是
[07:01] 獲利了結的
[07:02] 賣壓的一個宣洩
[07:03] 所以整體來看
[07:05] 我覺得現在
[07:06] 大家很關心說
[07:08] 要不要爆股過年
[07:09] 這個問題
[07:10] 我的看法就是
[07:12] 這個問題基本上
[07:14] 它不是二選一的問題
[07:15] 它其實關係到就是
[07:18] 投資朋友
[07:19] 你手中的一個持股的內涵
[07:21] 是
[07:21] 還有持股的一個比重
[07:23] 到底是多少
[07:24] 如果說你持股的內涵
[07:26] 是一些
[07:27] 像剛剛我們所提到的
[07:28] 什麼鋼鐵 水泥
[07:30] 就是它比較沒有漲到的
[07:33] 但是未來有轉機的這些個股
[07:35] 當然我覺得
[07:35] 尤其是一些
[07:37] 你本來就拿來要準備去做這個長期投資跟配股的存股的這些的一個個股
[07:43] 基本上我覺得也的確不太需要去進行這個調節
[07:47] 但如果說你的持股是最近的漲得比較高的
[07:51] 那也看到有一些法人在調節的
[07:54] 雖然說今天有反彈啦
[07:56] 我不需要還是講雖然說今天有反彈
[07:58] 但如果說他反彈的強度
[08:00] 今天明天他反彈強度
[08:03] 第一個比不上大盤
[08:05] 或者比不上同族群當中其他的個股
[08:09] 那代表說
[08:10] 它在整個的一個市場性上來講
[08:13] 它就變得比較弱勢一點
[08:15] 那類似這樣子一個標的
[08:17] 可能就可以考慮一下
[08:20] 不妨就是先去做一個獲利了結的動作
[08:23] 舉個例子來講
[08:24] 例如說像前兩天的成熟製程
[08:27] 力氣電
[08:30] 世界先進
[08:31] 還有聯電
[08:32] 這三檔個股
[08:33] 在前兩天基本上都是呈現了拉回做修正
[08:37] 可是在拉回修正過程當中
[08:39] 就很明顯看
[08:40] 聯電它的一個拉回修正的一個速度跟幅度是比較快的
[08:45] 聯電這一次它在整個股價的一個拉回上
[08:47] 是出現兩個空方缺口
[08:50] 那麼而且它是跌破了月均線
[08:52] 雖然說這兩天都是有出現流下影線的一個止跌力道
[08:57] 但是相較於五三四期的世界先進
[09:00] 他到今天為止
[09:02] 他還是守在月均線之上
[09:04] 甚至呢
[09:05] 6770的這個這個利基電
[09:07] 他其實呢
[09:08] 也沒什麼跌
[09:09] 在今天也是守在這個月均線之上
[09:12] 所以我就要跟大家講說
[09:13] 舉個例子
[09:14] 如果說同一個族群當中
[09:16] 你守住那個股票
[09:17] 跟其他的同族群當中的
[09:19] 其他的個股相比
[09:20] 他可能表現相對弱勢
[09:22] 那麼就可以考慮
[09:24] 趁著接下來呢
[09:25] 假設還有機會就反彈的話
[09:27] 我們不妨就來做一個換股操作
[09:30] 或者是把部分的資金抽出來
[09:33] 我想這個就是
[09:34] 從現在開始
[09:35] 到這個農曆年封關之前
[09:38] 我個人的一個操作策略
[09:40] 好
[09:40] 我覺得韋泰講到一個重點
[09:42] 也是我們剛剛在錄音前
[09:44] 也有討論的
[09:45] 其實這幾天
[09:45] 也是有跟我們的聽眾朋友
[09:47] 不斷在分享這件事情
[09:48] 有沒有長假
[09:50] 其實應該對我們的持股來說
[09:52] 不會有那麼致命性的影響
[09:54] 除非我是這種短線的短衝高手
[09:57] 那當然有差嘛
[09:58] 對不對
[09:58] 或者是說
[09:59] 我是開槓杆開融資的朋友
[10:01] 那接下來要放長假了
[10:03] 你可能融資是有成本的
[10:04] 槓桿你是有很大的風險的
[10:05] 這些可能都是考量的範圍
[10:07] 但我想在做這些事情的人
[10:10] 可能不需要聽到我們這些
[10:11] 苦口婆心在跟他們講
[10:13] 例如我們有時候討論雲翔哥
[10:15] 他就他的
[10:16] 他今天跟我說
[10:17] 他要把他的鋪買好買滿
[10:19] 為了臺股
[10:20] 我說為什麼
[10:20] 他說每一次他加買買選擇權的鋪
[10:23] 臺股就會噴出去
[10:24] 讓他的選擇權打水漂
[10:26] 化為零歸零高
[10:27] 他說可是沒關係
[10:28] 因為信股就大漲了
[10:30] 對
[10:30] 所以他說今天為了大家
[10:31] 他就去買
[10:31] 果然今天就大漲了
[10:33] 這也夠神準的
[10:35] 他就常常會在大跌前夕
[10:37] 他會跟我說
[10:38] 我忘記買了
[10:39] 或者是因為
[10:40] 因為在快要跌的時候
[10:41] 有時候鋪會變貴
[10:42] 他就為了差那兩三萬沒買
[10:45] 結果賠一百多什麼的
[10:47] 很有趣
[10:48] 我的意思是
[10:49] 撇除那些高手
[10:50] 他們自己會做規劃
[10:52] 如果是我們一般的投資人
[10:53] 我會為什麼會說
[10:54] 長假其實沒差
[10:56] 因為照理來說
[10:57] 我們應該有自己的一套投資邏輯了
[11:00] 例如說你是很放心這家公司的
[11:02] 他不會因為放了十天的假
[11:04] 這家公司就變得完全不一樣除非他在長假前已經漲到你覺得非常理想的報酬率你覺得是時候獲利瞭解了那就獲利瞭解他也跟長假沒關
[11:15] 只是跟他本身有關
[11:16] 那一樣的
[11:17] 如果你本來買他
[11:18] 就是想做一個短線的投機
[11:20] 那OK啊
[11:21] 那當然長假前
[11:22] 你投機的目的
[11:23] 不管你有達到沒達到
[11:24] 你本來就應該要把它賣掉嘛
[11:26] 對不對
[11:26] 然後或者是
[11:27] 當初你是覺得
[11:29] 這家公司
[11:30] 你是拿來做配置一款
[11:31] 像剛剛韋泰講的
[11:33] 你是長期存股的
[11:34] 那就更不用管他了
[11:36] 對不對
[11:36] 可是不要拿自己
[11:37] 套牢變存股來當理由
[11:41] 我覺得那就是問題
[11:42] 一樣的東西
[11:43] 全部跟長假都是沒有關聯的
[11:45] 都是你自己要去檢視
[11:47] 我覺得這兩天有個很好的現象
[11:49] 例如像昨天打到月線
[11:50] 那大家做的事情是什麼
[11:52] 心情是如何
[11:53] 如果還是一如既往的說
[11:55] 哎呀怎麼搞的一下殺那麼深
[11:57] 然後一下跌下來的時候
[11:58] 就看到網路上有人在聊說
[12:00] 哎我覺得這次
[12:01] 是不是一下會跌個三四千點啊
[12:03] 會變空頭
[12:04] 這種言論又來了
[12:05] 那就代表說
[12:06] 那這一連串的上漲的過程中
[12:09] 可能各方告訴大家的一些
[12:11] 像我自己
[12:11] 我會覺得我提供是蠻正確的資訊
[12:13] 大家其實完全還是沒有吸收
[12:15] 還是會陷入到
[12:17] 只要跌你就恐慌
[12:18] 今天漲又覺得
[12:19] 怎麼了來不及了
[12:20] 同樣的
[12:21] 如果您手上是有像記憶體
[12:23] 這型別波動大的股票
[12:25] 也要理解一件事情
[12:26] 就是報價上面
[12:28] 或者是說大家即使說要擴產
[12:30] 都不會是立即性的事
[12:32] 可是股價上面
[12:33] 它就會呈現一個大幅波動
[12:36] 考驗大家的能耐
[12:38] 加上記憶體裡面
[12:39] 畢竟有非常多的主力資金在裡面
[12:41] 主力資金在這幾天
[12:42] 絕對是採取慢慢撤退的
[12:45] 因為他們就是我們講的
[12:46] 他是會在意長假的時候
[12:48] 他的資金效益的
[12:49] 所以他會撤退
[12:51] 他會
[12:51] 品種資金借錢出來的人
[12:53] 他會撤退
[12:54] 這就是很現實的事情
[12:55] 這些人他不會是我們的
[12:57] 也許不會是
[12:58] 好像也有
[12:59] 不會是我們聽眾
[13:00] 可他會影響到您手上的
[13:02] 比較波動大的持股
[13:04] 我覺得這是大家自己心裡面
[13:05] 要比較清楚的一件事情
[13:07] 那至於像昨天打到月線
[13:09] 我也跟大家分享
[13:10] 我就跑去買了
[13:12] 不管是市值型的ETF
[13:13] 或者是主動式的ETF
[13:15] 那當然在今天
[13:16] 你會看到又是一個好的結果
[13:18] 但不是要炫耀說
[13:19] 你看今天這個主動式可以漲3%
[13:21] 不是
[13:22] 只是每一次你就會知道
[13:24] 你的決策是如何
[13:25] 當然有可能下一次打到月線
[13:26] 沒有停往下
[13:29] 到哪裡到季線
[13:30] 那你的想法是什麼
[13:32] 我的想法就是那季限要加碼的幅度
[13:34] 應該是比較大的哦
[13:35] 因為我撿到更多的便宜嘛
[13:36] 好
[13:37] 那用這樣的想法
[13:38] 像今天呃
[13:39] 我也看到有人傳訊息跟我說
[13:41] 哎
[13:41] 為什麼像我啊
[13:42] 我很容易會去講到981A
[13:44] 有時候講到982A
[13:45] 有時候會講到這個985A
[13:47] 那為什麼其他的好像比較少提到
[13:50] 那有些什麼991A
[13:51] 因為現在越來越多
[13:52] 像今天新掛牌是993A
[13:54] 那我這邊有一個很有趣的觀察是
[13:57] 有時候不得不講
[13:59] 因為現在的ETF真的太多檔了
[14:02] 對
[14:02] 真的太多檔了
[14:03] 那你說像我們
[14:04] 我跟維泰都一樣
[14:05] 我們絕對不可能
[14:06] 臺股1700檔的公司
[14:08] 我們全部都研究的
[14:09] 透透徹徹
[14:10] 所以像你們問個股
[14:11] 我們可能有的
[14:12] 真的不認識
[14:13] 我沒研究
[14:13] 即使它是很有名
[14:14] 個股我們也不見得
[14:15] 會真的很深入研究
[14:16] 因為我們都有
[14:17] 自己的偏好
[14:18] 那ETF也通常道理
[14:19] 所以第一是
[14:21] 它如果是很新的ETF
[14:23] 可能掛牌
[14:24] 才一兩個月
[14:25] 說實話
[14:25] 那我們可能
[14:26] 不一定會講到它
[14:27] 然後第二個是
[14:28] 這個很現實
[14:30] 它到底公司
[14:31] 有沒有在花行銷預算
[14:32] 你真的不要小看這件事
[14:34] 你今天去買一包餅乾
[14:35] 請問為什麼你會買可樂果
[14:37] 你會買蒸油味
[14:39] 或者是你會買
[14:40] 蚵仔煎的那個洋芋片
[14:42] 這些全部都是行銷
[14:45] 就是你會去注重到哪一個牌子
[14:47] 當然行銷完你買回來
[14:48] 你覺得它的口味符合你
[14:50] 你會覺得那很棒
[14:51] 你就叼住了這樣
[14:52] 可是如果今天那麼多的ETF
[14:55] 說實話發行的公司有大有小
[14:57] 有些可能真的就
[14:57] 比較沒有辦法做行銷的話
[14:59] 你就會比較沒有聽到它
[15:00] 這個是很難免的
[15:01] 有人會抱怨說
[15:02] 哎呀
[15:03] 什麼誰來啊
[15:04] 都在講業配
[15:05] 可是我必須講哦
[15:06] 他不講業配
[15:07] 你會那麼瞭解
[15:08] 這一檔EDF嗎
[15:09] 不會
[15:10] 我也不會
[15:11] 我常常聽來賓講的時候
[15:12] 就聽得津津有味
[15:13] 或是我去主持
[15:14] 一些講座的時候
[15:15] 聽到他們家的商品
[15:17] 我會津津有味
[15:18] 你不一定要買
[15:19] 可是至少你知道
[15:20] 他的本質跟內涵
[15:21] 已經會比較常聽到他
[15:23] 那甚至就是認同之後買了
[15:25] 就會更常講到他嗎
[15:26] 因為你認同了嘛
[15:27] 好
[15:28] 所以如果您手上的ETF
[15:30] 真的比較沒有聽到訊息的話
[15:32] 我覺得你就不妨上網Google一下
[15:35] 一定啦
[15:35] 我覺得其實不管再多小的投信
[15:37] 它一定都多少會有行銷
[15:39] 會告訴你解釋
[15:40] 然後再來呢
[15:41] 只要績效好起來
[15:43] 或者績效在同型別裡面是比較好的
[15:45] 它很容易規模長大
[15:46] 因為臺灣人太聰明瞭
[15:48] 臺灣人鼻子
[15:48] 聞到錢就實在太好鼻屍
[15:51] 人人都好鼻屍
[15:51] 就會衝過去
[15:53] 所以它的規模就會長大
[15:54] 長大自然你就會注意到它
[15:56] 因為它成交量就會活絡
[15:57] 所以因為現在產品真的非常多
[16:00] 可能我常唸到的
[16:02] 就是說實話我有買
[16:03] 什麼830 757
[16:05] 這種我都常說到
[16:06] 它不一定是現在排名上最好的
[16:08] 可能相較之下
[16:09] 我會對它的觀察比較多
[16:11] 對不起又囉嗦起來了
[16:12] 雖然傳來一個小問題
[16:14] 我又囉嗦起來了
[16:15] 所以我會覺得
[16:16] 大家在購買商品的時候
[16:19] 不要太排斥專家
[16:20] 不管他是拿到行銷資源
[16:22] 或什麼跟大家分享
[16:23] 因為這是你瞭解一檔商品
[16:25] 很好的機會
[16:26] 那買了之後
[16:27] 你就會可以體會我講的
[16:29] 為什麼你會後來喜歡吃正油味
[16:30] 你會喜歡吃可樂果
[16:32] 你還是要去follow他
[16:33] 那現在在只剩六個教育日
[16:36] 我個人還是覺得
[16:37] 遇到這樣的震盪的時候
[16:38] 用ETF線做佈局
[16:39] 是一個好的方法
[16:41] 當然個股您已經有研究
[16:43] 很透徹您也喜歡的
[16:44] 也要把握下跌的機會
[16:45] 不用在這個時候猛追了
[16:47] 我非常贊成剛才趙華說的
[16:50] 我好囉嗦
[16:51] 不會啊
[16:52] 因為說實話
[16:55] 我在今天早上看了這個記憶體的個股在修正的時候
[16:59] 我其實做另外一件事情
[17:02] 我去把記憶體產業全球的版圖做了一下
[17:06] 我不敢說研究
[17:07] 做了一下觀察
[17:09] 其實我發現
[17:10] 大家說什麼記憶體的超級迴圈這件事情
[17:15] 我認為它是真的
[17:16] 它是真的
[17:17] 那尤其是AI的需求
[17:20] 而且從AI的這個AI伺服器的這個架構
[17:23] 未來在整個晶片跟記憶體
[17:25] 他們彼此搭配的連結的訊號上面
[17:28] 其實未來的整個記憶體
[17:30] 它的的確確
[17:31] 它有非常非常重要的一個角色
[17:34] 在AI的一個產業發展上
[17:36] 可是在臺灣的記憶體的一個個股
[17:40] 在全球市佔率的部分
[17:42] 說實話
[17:43] 2025年有點增加
[17:45] 但是到2026年
[17:47] 其實還不到5%
[17:48] 真正真正在整個記憶體的產業裡面
[17:52] 我們講化水會結凍
[17:54] 化水會結凍可能就是美光
[17:57] 可能是SKL
[17:59] 可能是三星
[18:01] 這些三大巨頭
[18:03] 所以其實我們還是把
[18:05] 這個投資的這個範疇
[18:08] 把它拉大一點
[18:09] 我個人覺得
[18:10] 如果你真的看好基底的話
[18:11] 當然臺灣的股票市場
[18:13] 你最瞭解最清楚
[18:15] 沒關係你可以去做
[18:16] 但如果說真正要看好
[18:18] 長期基底趨勢的話
[18:19] 或許一些就是剛提到
[18:21] 大巨頭的相關的一個個股
[18:24] 可以去做一個琢磨
[18:26] 好 那怎麼琢磨
[18:27] 就回到剛剛趙華所說的ETF
[18:30] 我特別幫大家整理一下
[18:32] 就是我找
[18:33] 這也是我為了自己做整理啦
[18:35] 不是為大家
[18:36] 也是啦
[18:37] 就是目前的ETF裡面呢
[18:40] 在記憶體裡面呢
[18:41] 這個持股相對比較明顯的
[18:43] 是
[18:44] 例如說像00830
[18:46] 這是國泰費辦
[18:48] 費城辦的老體
[18:49] 對
[18:49] 它裡面的這個記憶體的個股就是美光
[18:53] 就美光
[18:53] 它是因為它是美股的嘛
[18:55] 美國所以它美國的記憶體裡面
[18:57] 它算是比較大的
[18:59] 那麼其次呢
[18:59] 如果說你除了美光之外你還不滿意
[19:02] 你想要因為你知道HBM可能除了美光之外
[19:05] 你現在的這個這個
[19:07] Leader是那個海力士
[19:08] 可能是三星
[19:09] 那你就可以考慮兆豐週季也就是00911
[19:13] 00911兆豐週季
[19:14] 那它裡面有美光
[19:16] 有三星有SK海力士
[19:18] ok好
[19:19] 那如果說你覺得投資國外的還不夠
[19:22] 國內的ETF你也想要琢磨一下
[19:25] 有包括像是00891
[19:27] 這個是中信關鍵半導體
[19:29] 他就有南亞科華邦電力誠全聯
[19:33] 基本上你目前市場上面的熱門股
[19:36] 基本上他都有掌握到
[19:38] 再來就是00892
[19:39] 也就是這個富邦臺灣核心半導體的部分
[19:43] 他也是有南亞科華邦電然後力誠
[19:46] 所以我覺得因為現階段的記憶體
[19:51] 它的那種所謂的風漲
[19:54] 或者是跟群漲的一個架構
[19:58] 這個時間點已經過去了
[19:59] 接下來其實大家可能會重新去做一些挑選
[20:03] 因為現在的價格都高
[20:05] 也只有真正有未來展望是好的這些公司
[20:10] 它的股價可能第一個它會比較抗跌
[20:13] 下跌幅度比較少
[20:14] 而且未來再上去的時間點
[20:17] 可能會比較快
[20:18] 或者上漲幅度比較持續
[20:20] 所以我覺得現階段
[20:22] 這部分大家在
[20:23] 投資記憶體的部分來講
[20:25] 可能在策略上
[20:26] 要稍微做一點調整
[20:28] 臺灣的個股可以考慮
[20:31] 那麼國外的個股也可以考慮
[20:33] 那就可以用ETF的方式
[20:35] 來去做參與
[20:36] 好 這個韋泰果然有備而來
[20:39] 很有默契
[20:40] 我講了一串之後
[20:41] 他真的
[20:42] 我看到他旁邊的那個手稿
[20:43] 他來之前就準備了一串
[20:46] 就是記憶體的
[20:47] 那我記得我之前
[20:48] 好像跟大家分享過
[20:49] 有檔叫臺新的
[20:50] 臺灣AC4G00947
[20:52] 他的記憶體含量也很高
[20:53] 但你可以看到
[20:54] 他今天的走勢
[20:55] 他完全就跟南雅科
[20:56] 和華邦電跳水一樣
[20:57] 潘衝就跳水了
[20:59] 他就兩根搭黑K
[21:01] 可是說實話
[21:03] 你買這樣的ETF
[21:04] 他可能今天明
[21:06] 昨天是很受
[21:07] 這個記憶體的影響
[21:08] 但還有別的
[21:09] 他還有別的
[21:10] 然後他的好處是什麼
[21:11] 因為我剛剛
[21:12] 一開始我講的幾檔
[21:13] 有一些是主動式的
[21:15] 大家知道主動式
[21:15] 在去年下半年
[21:16] 只會變成現學
[21:17] 但被動式
[21:18] 真的就不好嗎
[21:19] 其實被動式有它的好處
[21:20] 被動式可以幫你
[21:22] 抱骨抱比較久
[21:23] 這個事情是怎麼講
[21:25] 這兩天你可能
[21:26] 記憶體挺不過去
[21:27] 可是擁有這些記憶體的ETF
[21:30] 它挺得過去
[21:31] 因為它不能在這個時候換骨
[21:32] 主動式的我不敢說
[21:35] 主動式的有可能
[21:37] 馬上就換骨了
[21:38] 這就是主動式的好和壞
[21:40] 和被動式的好和壞
[21:41] 都是一體兩面
[21:42] 主動式我們常講
[21:43] 哇現在金女人
[21:45] 以前我們是一個月
[21:46] 看一次他們的持股變化
[21:47] 哪早來不及
[21:48] 搞不好早就賣掉了
[21:49] 因為主動式的ETF
[21:51] 哇每天告訴你
[21:52] 他在進出什麼
[21:53] 其實網路上好多人在統計
[21:55] 有好多那個
[21:56] 很多的那種YouTuber或什麼
[21:58] 他們每天都在統計說
[21:59] 今天981A的換股名單
[22:01] 982A的換股名單
[22:02] 這個誰誰誰的換股名單
[22:04] 因為981A說實話
[22:05] 他長得很大了嘛
[22:06] 981A500億以上了
[22:07] 這是以前五個旗艦型基金
[22:10] 加起來的規模
[22:11] 所以大家會很follow他
[22:13] 但是缺點就是什麼
[22:14] 對你今天知道他買這些然後呢你明天去幫他抬轎嗎不是你可能只能看到經理人出神入化今天我把誰賣了明天我就立刻抄底買了誰
[22:26] 像今天起紅的大漲
[22:27] 我想就對幾檔主動型的ETF
[22:29] 非常有幫助
[22:30] 但是他會不會永遠有幫助
[22:33] 他什麼時候把它換了
[22:34] 你不會知道
[22:35] 你永遠都要看到
[22:36] 每天他都在換來換去
[22:38] 被動式的好處是什麼
[22:39] 好處當然就是剛剛講了
[22:40] 集體這波報上來
[22:41] 為什麼臺信愛計設計
[22:43] 前一陣子漲這麼多
[22:44] 因為他就一直抱著
[22:45] 他能怎樣
[22:46] 我還沒有到換股的時候
[22:47] 我能怎樣
[22:48] 就抱著嘛
[22:49] 那抱著就反而賺到大破段
[22:51] 就跟玩技術線型一樣
[22:53] 你喜歡玩短線
[22:54] 三日線的
[22:55] 前K的低點的
[22:57] 你可能賺個兩三天
[22:58] 你就出場了
[22:59] 你首月線的
[23:00] 我是長線的
[23:01] 或破段的人
[23:02] 我可能賺好幾倍
[23:03] 對不對
[23:04] 但是各自有各自的風險
[23:06] 長線就是你也知道
[23:07] 回到你的長線的均線
[23:09] 如果你真的要停手
[23:10] 你可能真的已經吐回去超多的
[23:12] 但是賺也賺超多的
[23:14] 所以我會覺得
[23:15] 剛剛韋泰講的
[23:16] 大部分都是被動式ETF
[23:17] 也有它的好處
[23:18] 它幫你爆股
[23:20] 對不對
[23:20] 那主動式就是
[23:21] 它幫你換股
[23:23] 它幫你衝
[23:24] 那你看你要新人哪一個
[23:25] 兩個都搭配也沒有問題啊
[23:27] 或是最簡單的
[23:28] 說實話
[23:29] 雖然網路上炒翻了
[23:30] 就是你到底要不要只買市值
[23:33] 我覺得以人性來說
[23:35] 只買市值會覺得偏無聊
[23:37] 可是你一樣可以用ETF
[23:39] 做一個你的配置嘛
[23:41] 你的核心可以是市值的
[23:42] 因為市值不會出大亂子
[23:44] 市值就是
[23:45] 反正永遠你也看到
