[00:00] 欢迎收听赵华依古货载第1111集
[02:14] 围绕在AI上面
[02:15] 之前我们讲好像都是电子股科技股
[02:18] 事实上围绕在AI科技上
[02:20] 已经转到了所谓的像重电是传产
[02:22] 电线电缆是传产
[02:24] 特化其实分类也在传产
[02:26] 今天也都非常强
[02:28] 百花齐放的状况
[02:30] 我们先来请教今天的来宾出场
[02:32] 他有一点点久没有来录我们的podcast
[02:35] 是我们的K线之神朱家宏朱老师
[02:38] 大家好大家好
[02:40] 好久不见了
[02:41] 好久没有在空中跟大家见面
[02:44] 今天旁边上还有一个族群是CPU
[02:46] 因为昨天我们有提到
[02:47] 黄仁勋有去Marvel
[02:49] 在台湾的Computex电脑展的演讲中
[02:52] 两人一起亮相
[02:54] 其实黄仁勋因为有投资
[02:56] 挥打有投资Marvell
[02:58] 照理来说不应该去
[02:59] 讲到Marvell的股价之类的
[03:02] 但他还是很大剌剌地讲说
[03:04] Marvell就是像一个造美元企业
[03:06] 这让昨天晚上Marvell就涨了32%
[03:10] 这跟台股的细光子是息息相关的
[03:13] 好太多事情可以说了
[03:15] 但我先来请教朱老师
[03:16] 以朱老师过去这么长的经验来看
[03:19] 现在的盘市
[03:20] 我相信是所有在股票市场里面的人
[03:23] 没看过的
[03:23] 光成焦亮一兆五一兆六
[03:25] 就没看过了
[03:26] 那您觉得
[03:27] 到底有没有什么样的风险
[03:29] 或是你反而觉得
[03:30] 现在的热是一个健康的热
[03:32] 那这一阵的大盘
[03:34] 这个一路的上涨
[03:36] 我的感觉
[03:38] 我周围都很多学生
[03:40] 也有很多我的朋友
[03:41] 好像这个年轻人赚的比较多
[03:45] 我们年纪大的赚的比较少
[03:47] 真的有这个说法
[03:48] 真的有不止你
[03:49] 连那个谁
[03:50] 爱德恩都这样跟我讲
[03:51] 就他带的弟弟妹妹都赚的比他多
[03:53] 对啊
[03:54] 真的为什么
[03:55] 因为我上课
[03:56] 学生一休息就围着我
[03:58] 哇老师我上礼拜赚了200多万
[04:00] 哇我看说
[04:02] 哎呦我不要当老师了
[04:04] 我看你们赚的比我还多
[04:06] 大家就很勇敢了
[04:07] 对对对
[04:08] 开始勇敢了
[04:08] 这个当然
[04:09] 因为大盘很好
[04:10] 大家都一起赚钱
[04:11] 这也是我讲的
[04:13] 我们把股票市场
[04:14] 当作一个理财的地方
[04:17] 但是你有方法
[04:19] 好机会来了
[04:20] 你就可以赚
[04:21] 但是还是要注意一下风险
[04:24] 虽然我刚刚讲
[04:25] 我们年纪大都比较保守
[04:27] 比较保守一点
[04:29] 资金不敢在这里放太大了
[04:31] 每个人赚钱都很好
[04:34] 我们还是稍微注意一下
[04:36] 因为不管怎么讲
[04:37] 他都在历史高点
[04:39] 那就像赵华刚刚讲的
[04:41] 虽然他在历史高点
[04:42] 可是我是学技术派的
[04:46] 在技术派来还没有看到风险
[04:49] 我就讲技术派还没有风险
[04:52] 那至于什么消息啊那些
[04:54] 那我们也没那么大的功力
[04:57] 在技术面上
[04:59] 到今天为止并没有很要担心的
[05:04] 因为每天都涨
[05:05] 即使那天不涨
[05:06] 它也是来回震荡一个小红小黑的
[05:09] 并没有那种我们说高档
[05:12] 有转折向下的爆量啊
[05:15] 长黑啊
[05:16] 这个到现在还看不到
[05:17] 所以我也不能讲说
[05:19] 长那么高就一定会回来
[05:21] 因为我就技术面
[05:22] 还没有看到转折的讯号
[05:24] 就没有下跌的讯号
[05:26] 那各位就很简单
[05:28] 就你做你的好股票就是了
[05:31] 其实你要做指数也是一样
[05:33] 你上一趟的回货买上
[05:35] 一直抱到今天
[05:36] 你也是赚了很多
[05:38] 那做股票在这个阶段的话
[05:43] 比较重要一点
[05:45] 就是你个人的资金控管
[05:47] 因为现在年轻人比较敢冲
[05:50] all in
[05:51] 还没关系
[05:54] 还什么四代同堂
[05:56] 五代同堂
[05:57] 人带的都带
[05:59] 没有错
[05:59] 股票指压也带
[06:00] 理财新房贷有的话也带
[06:02] 信贷也带
[06:03] 车贷也带
[06:04] 融资也融
[06:06] 反正到这你把风险控制好
[06:09] 我有举过
[06:10] 你现在开车几乎在贴背
[06:14] 因为都在冲
[06:15] 但是有状况
[06:18] 你那个刹车要刹下去
[06:19] 要把它踩下去
[06:21] 其实我一直讲
[06:24] 股票不管大涨
[06:26] 指数不管大跌
[06:27] 对我们来说
[06:28] 都是一个人生很重要的经历
[06:31] 我们也经历过大涨
[06:33] 也经历过大跌
[06:34] 所以我们就会比较保守一点
[06:37] 这都是一个很好的经历
[06:40] 但我们现在的操作
[06:42] 还是就是做一步看一步
[06:45] 做一步看一步
[06:46] 不要说我现在四万
[06:49] 就会五万六万这样一直看
[06:51] 反正我刚刚有讲没有风险
[06:53] 没有下跌你就继续做
[06:55] 你就继续抱
[06:56] 然后按照技术面操作
[06:59] 其实现阶段技术面反而非常重要
[07:02] 至于说产业面
[07:04] 还有基本面
[07:06] 大家都知道
[07:07] 那个已经不是秘密了
[07:10] 也不需要去打听了
[07:11] 到处都在讲这些产业发展
[07:14] 黄仁轩也在讲未来的发展
[07:17] 如果我们回到技术面来
[07:19] 你只要现在技术面是往上涨
[07:22] 我们就继续的去做多
[07:25] 其实我平常上课有讲一句话
[07:29] 指数也没有高低的
[07:31] 没有说六万就一定不涨
[07:33] 可能还会涨到七八万
[07:35] 指数没有高低
[07:37] 它只有多空
[07:38] 因为现在是多
[07:40] 所以它会四万六四万七四万八到五万
[07:44] 那到五万还是多
[07:45] 那就再攻嘛
[07:46] 不预设了
[07:48] 对因为道士理论来讲
[07:50] 多头就是创高创高创高
[07:53] 它就一直创高
[07:54] 但是有一天它不创高了
[07:56] 我们就先要知道它要回来休息了
[07:59] 那后来休息一阵子
[08:01] 你又发现它头头低了
[08:03] 它可能要进到盘层了
[08:05] 那我们一步一步的用技术分析
[08:08] 来掌握手上的股票
[08:10] 那你该走了你就走
[08:12] 那这样子你才能够真正
[08:14] 在这一波的大行情中
[08:16] 大赚
[08:17] 然后又把钱能够留下来
[08:19] 这是我一直跟他讲
[08:22] 未来希望你赚到的钱
[08:24] 都能够留在手上
[08:25] 那你可以做很多
[08:27] 你想要做的事
[08:28] 对不对
[08:29] 好 周老师大概近期
[08:31] 有一次比较面临到考验的
[08:33] 应该就是520那一天
[08:35] 因为那一天盘中有破4万点
[08:37] 因为朱老师在理财达人秀
[08:39] 是固定礼拜三来
[08:41] 那天就是礼拜三
[08:42] 所以那天连我
[08:44] 说实话我也会在想说
[08:45] 前一波的几涨
[08:47] 从三万一路涨到多少呢
[08:49] 涨到四万两千点
[08:51] 从三万一路涨到四万两千点
[08:54] 多不多
[08:54] 多啊
[08:55] 那一下子回测四万点的时候
[08:57] 你难免会觉得会不会破下去
[08:59] 然后要再整理一段时间
[09:01] 因为涨多了
[09:02] 但是那天朱老师
[09:03] 有非常非常强调一件事情
[09:05] 就是多头的形态
[09:06] 并没有因为这样的回答改变
[09:09] 这句话是非常
[09:10] 你知道吗
[09:11] 当然事后
[09:12] 我跟周老师两个讲说
[09:14] 一半看图说话
[09:15] 一半运气也不错
[09:17] 因为那天就守住了
[09:19] 因为有可能没守住
[09:21] 我们必须讲
[09:21] 技术形态是最奉行一件事情的
[09:24] 叫做市场永远是对的
[09:26] 什么意思
[09:27] 我们都觉得
[09:28] 现在景气应该很好
[09:29] 基本面很好
[09:30] 它为什么不涨
[09:31] 图就是不涨
[09:33] 图反映的是市场的共识
[09:35] 决定他不能涨
[09:37] 或是他能涨
[09:38] 所以为什么刚刚朱老师说
[09:39] 那一天守住之后
[09:41] 又继续往上攻
[09:42] 也不预设高点立场
[09:44] 可能有很多的
[09:45] 技术形态的人
[09:46] 我等一下也会请教朱老师
[09:48] 会来算
[09:48] 是不是邪恶第五波
[09:50] 延伸到哪里
[09:52] C波的延长波
[09:54] 然后怎么等服去算
[09:56] 可以到几万点
[09:57] 可是其实我很少
[09:58] 听到朱老师来跟我讲
[10:00] 他预设的目标到哪里
[10:01] 朱老师比较实在
[10:03] 他会说
[10:03] 那现在现阶段是多头
[10:05] 我们就顺势而为
[10:07] 因为市场随时可能会有黑天鹅
[10:09] 灰犀牛飞出来嘛
[10:11] 飞出来如果今天图不好了
[10:12] 那就是不好了
[10:14] 我觉得这样子操作
[10:15] 大家反而心比较定
[10:17] 朱老师有预测
[10:19] 可是更有对策
[10:20] 我觉得这个就是
[10:21] 我们两个为什么那么麻吉的原因
[10:24] 我也很希望跟大家喊说
[10:26] 6万点10万点
[10:27] 其实台股还原全息是10万点
[10:29] 对
[10:30] 我现在来把刚刚朱老师的话
[10:33] 再来跟大家做一下延伸
[10:35] 所以周老师你就不会再去算说
[10:38] 什么波浪理论第几波这样的状态
[10:40] 其实即使我们在教技术分析
[10:43] 也跟同学讲了
[10:44] 目标价是因为在技术分析的统计学里面
[10:48] 它会到这里
[10:49] 比如说形态
[10:50] 我们看的这些目标
[10:52] 它在技术分析里面都有它依据的
[10:56] 不是随便去预测目标
[10:58] 但是我们是实务上是在操作
[11:01] 那个叫理论
[11:03] 那个就是根据统计啊
[11:05] 什么它会到哪里
[11:06] 可是我们真正来说
[11:08] 是买股票在操作
[11:09] 那操作的变化
[11:11] 变数就很多了
[11:12] 所以它如果有个目标
[11:14] 它就会有三个结果
[11:16] 第一个就是
[11:17] 真的到目标
[11:18] 好高兴
[11:19] 那第二个
[11:20] 有可能不到就回来
[11:21] 那我们是不是要按照纪律该卖了
[11:24] 因为你的纪律并不是在做目标
[11:27] 我们所有的操作的SOP
[11:29] 并没有一句话说
[11:31] 到目标就卖
[11:32] 還是怎麼樣賣
[11:33] 而是短線跌破五日均線賣
[11:37] 長線跌破二十日均線賣
[11:39] 所以並沒有這句說到目標賣
[11:41] 到目標賣是你自己設的
[11:43] 你的操作的SOP
[11:46] 那還有第三個
[11:48] 它可能會超過目標
[11:50] 那結果你賣掉是不是也很歐我這目標到100結果漲到150哇 少赚了五成你是不是也很呕所以我们可以去算目标但操作回到我们技术分析的操作的纪律
[12:04] 所有的事就解决了
[12:06] 就可以解决了
[12:08] 对回到纪律上面事情就好做吗
[12:10] 对
[12:11] 那我们现在先来一个一个聊
[12:13] 对不对
[12:13] 因为现在所谓的AI一线全职股
[12:15] 是不是全面性的形态都好转
[12:18] 以技术形态来说
[12:19] 很有趣的一件事
[12:22] 前两天聊到
[12:22] 其实鸿海跟广达
[12:24] 都还没有过历史新高
[12:25] 对
[12:25] 还在努力追
[12:28] 人家说怎么会知道
[12:29] 当然会知道
[12:29] 因为我们每天做节目的人
[12:31] 你要讲今天这档股票
[12:32] 有没有过历史新高吗
[12:34] 波段新高跟历史新高的意义
[12:36] 是不同的
[12:37] 所以有时候
[12:38] 有时候讲我还会被纠正
[12:39] 像之前我说
[12:40] 那鸿海是创历史新高
[12:42] 他们说没有
[12:42] 鸿海历史新高在1999年
[12:44] 我说哦
[12:45] 对呀
[12:46] 是啊
[12:47] 因为那个时候
[12:48] 也是一波的电子跟网络的狂潮
[12:50] 所以像这样的大牛股
[12:53] 他们在这一波起来
[12:55] 有机会去挑战历史新高吗
[12:57] 当然有机会
[12:58] 其实我们现在
[12:59] 广达在850
[13:00] 其实我们的大盘
[13:02] 为什么现在能够这样子
[13:04] 一直往上冲
[13:05] 就是我讲的
[13:06] 这些新兴的AI的产业
[13:09] 先领头先购
[13:10] 这些老AI
[13:12] 因为他们是老AI
[13:14] 所以他们的公司
[13:15] 还有其他的包袱
[13:17] 并不是只有单纯在做AI
[13:19] 像鸿海那太多了
[13:21] 那什么电动车也做
[13:23] 这个也做
[13:24] 所以他这个包袱比较重
[13:26] 那他不像台积电
[13:28] 台积电他的经营员
[13:29] 本来他就专就以这个为主
[13:31] 他其他很少
[13:33] 他的包袱很少
[13:34] 所以像广达也一样
[13:36] 他的产品非常的多
[13:38] 像iPhone的手机
[13:39] 他都有做
[13:40] 鸿海也有
[13:41] 所以他们在AI的
[13:44] AI上来讲
[13:46] 就像我刚刚讲的
[13:47] 我们做股票我们年纪大得
[13:49] 那这些就年纪大的
[13:51] 那现在新的AI这些年纪轻的
[13:55] 他们就冲得很快
[13:56] 新的
[13:58] 因为他一来他就开始
[14:00] 公司的方向就走AI
[14:02] 所以他当然冲得比较快
[14:04] 所以我现在讲
[14:06] 这个老AI就是急起直追
[14:09] 因为疏人不疏政
[14:11] 想当年这个鸿海广达
[14:14] 也是领头羊
[14:15] 对不对
[14:16] 所以我相信他们的老板
[14:18] 一定也是积极的
[14:20] 要往这上面走
[14:22] 所以他们一样
[14:24] 他们的股票还是有机会
[14:26] 你看鸿海
[14:27] 不要说他的历史高点
[14:29] 他的300块就套了很久
[14:31] 没错
[14:31] 就攻很久
[14:32] 这两天就过了
[14:33] 这一过就会往历史高点走
[14:36] 光大伟创
[14:38] 还有什么宏基
[14:39] 大家忘了吗
[14:40] 伟创是已经创新高了
[14:41] 对
[14:41] 红基我找一下他的高点在哪里
[14:44] 红基跌到没有人
[14:45] 连他的电脑很多人都很少去问他了
[14:49] 因为股价一直跌
[14:52] 他也最近很强
[14:54] 红基最近也很强
[14:56] 华硕这都是老的
[14:58] 华硕是创分割后
[15:00] 应该是减之后的高点
[15:03] 那这些是不是通通都复活了
[15:06] 我们讲的就是复活了
[15:08] 在早期我都讲
[15:10] 而且他做那个最强的股票
[15:12] 那现在他们也
[15:13] 红基还远
[15:14] 红基高点在241
[15:15] 对还早了很
[15:17] 他跌得很惨
[15:19] 他真的
[15:20] 那现在我的意思就是讲
[15:24] 各位做股票
[15:25] 哪个先来就先做哪个
[15:27] 哪个后来我们就做
[15:29] 一样有的人前面没有做
[15:32] 现在股价都很高
[15:33] 你都不敢做
[15:34] 现在低价股太多了
[15:36] 20块30块50块一大堆
[15:38] 都是
[15:40] 我当我讲技术面
[15:41] 就技术面来
[15:42] 在我来讲都觉得
[15:44] 太多股票可以做了
[15:46] 不知道做哪一只好
[15:47] 因为每只都是底部多头
[15:49] 而且是很强势的表态
[15:51] 不是那种慢吞吞的多头
[15:54] 你看那个华硕
[15:55] 什么一来就输
[15:56] 哇就拉上来了
[15:58] 那这些都是很好的
[16:00] 那刚才讲的像重电
[16:02] 重电在前面委屈了很久
[16:05] 没错
[16:05] 我每次讲他
[16:06] 真的不给面子
[16:07] 每次讲他我都会跟朱老师说
[16:09] 你确定
[16:10] 但是朱老师也常常讲
[16:11] 他形态并没有完全做好
[16:13] 因为他那个底压力还很多
[16:15] 那可是现在OK了
[16:17] 都已经底部都压力都突破了
[16:21] 那你就可以锁他了
[16:24] 就可以锁了
[16:26] 这个先来后到
[16:27] 这个后
[16:28] 说不定他们后面的这个冲进
[16:31] 还会很强
[16:32] 因为他前面都没冲
[16:34] 那这些都很好
[16:35] 包括金融
[16:36] 金融其实也不是只有证券
[16:39] 各位不要忘了
[16:40] 我们的金融
[16:41] 富邦还有国泰都创高
[16:44] 不是创历史高点
[16:46] 历史高点还太远了
[16:47] 历史高点还在更前面
[16:47] 比1999年还要更前面
[16:50] 对
[16:50] 你看我们是不是很久
[16:52] 大家的观念都说
[16:53] 金融怎么可能100块
[16:55] 现在有
[16:56] 钱1000块
[16:57] 金融也有100块了
[16:58] 那都可以做
[17:00] 其实你不会赚得少
[17:02] 他们现在一涨也都是三成四成
[17:05] 证券股一涨也都是五成
[17:07] 都在涨
[17:09] 所以大家现在我觉得真是百花齐放
[17:13] 好不好
[17:13] 用这句话了
[17:14] 百花齐放
[17:15] 什么股票都在涨
[17:16] 因为我们虽然讲说
[17:18] 像台股有看到万元股了
[17:20] 万元股以前没看过
[17:21] 但是如果这些老AI们
[17:23] 涨到所谓的历史新高
[17:25] 大家可能也没看过
[17:27] 因为最近刚刚朱老师讲了
[17:28] 年轻的学生
[17:30] 或者是说少年股神行的
[17:32] 这波赚的是比在股市里面
[17:34] 有资历的人可能还要多
[17:36] 但是呢
[17:37] 我们也可以来见证一个新的历史
[17:40] 就是他有没有可能先
[17:41] 例如说电子股门
[17:42] 比较资深的电子股门
[17:44] 都涨回1999年的那个高点
[17:46] 然后呢金融股
[17:49] 我刚刚看了一下国泰金
[17:50] 这应该是在民国89年
[17:54] 对啊1999
[17:55] 他的金额是1975元
[17:59] 1975元的国泰金
[18:00] 如果国泰金回到1975元
[18:02] 大家也不要觉得不可能
[18:04] 当然不太可能了
[18:05] 其实我就讲
[18:06] 以我们经过的人
[18:08] 那个时候的国泰金
[18:09] 就是一张一栋房
[18:11] 是
[18:12] 在那个年代
[18:13] 就是一栋房
[18:14] 现在的万元股也算
[18:15] 对对对
[18:16] 两百万
[18:16] 但现在万元股也是一样
[18:18] 你买一张就一栋
[18:20] 一个套房
[18:21] 对
[18:22] 所以大家就想
[18:24] 我们现在的股市
[18:26] 热到什么程度
[18:27] 就是当年
[18:28] 一直拉一直拉
[18:30] 天天涨停板的状况
[18:32] 就是买一张股票
[18:33] 等于一间房子
[18:34] 所以大家我只
[18:36] 我现在其实跟大家讲
[18:38] 就是把风险控制好
[18:40] 其他都没有关系
[18:41] 就怕你
[18:42] 因为我们也经过热搜
[18:44] 后来也是跌下来
[18:45] 对不对
[18:45] 大家把风险记在你的心里面
[18:49] 现在能赚就尽量赚
[18:51] 但是如果该跑
[18:52] 就还是要跑
[18:54] 老A
[18:55] 当然我们有讲过很多的基本面
[18:57] 为什么刚刚朱老师一开场
[18:58] 提到一件事情
[18:59] 现在技术形态变得非常重要
[19:01] 这件事情赵华也讲过
[19:02] 因为如果我们用所谓的价值来评估的话
[19:06] 有非常多非常多的产业
[19:08] 没有办法评估
[19:09] 就像虽然前面三个月
[19:11] 赵华一直跟大家讲说
[19:12] 被动元件来接棒
[19:13] 对不对
[19:13] 接棒到现在
[19:14] 我觉得我没有办法
[19:16] 跟大家讲
[19:17] 哪一档被动元件很便宜
[19:19] 可是幸好被动元件
[19:21] 大部分都是获利有成长的
[19:23] 所以你也不能说他们很离谱
[19:26] 那像今天长的细光
[19:27] 只能更不用讲了
[19:29] 如果您用所谓的本益比评价
[19:31] 去看他的话
[19:32] 你会昏倒
[19:32] 没有一档可以卖
[19:33] 真的没有任何一档可以卖
[19:35] 你只能用筹码跟形态
[19:37] 一起来评估
[19:39] 它是不是好赚
[19:40] 那重电股
[19:41] 其实重电股是有赚钱的
[19:42] 可是重电股的本益比
[19:44] 不能算太低
[19:45] 但它真的成绩很久了
[19:47] 所以它在这一波
[19:48] 如果真的形态跟均线
[19:50] 有做好的话
[19:51] 朱老师是会给它机会的
[19:53] 而且最近一直在讲
[19:54] AI电力基建这件事情
[19:56] 绝对就是重电股的天下
[19:58] 那这两天的盘面也看到
[20:00] 除了涨到重电股
[20:01] 也长到有一些像塑化类的
[20:03] 化纤类的
[20:05] 发纤
[20:05] 新纤
[20:06] 新纤好像短短几天长了五六成
[20:09] 台化这一类的
[20:11] 礼篷
[20:12] 这些都拉两坡了
[20:15] 不是一坡
[20:16] 他们的题材
[20:17] 其实也是切进了一些电子级
[20:20] 或半导体级的材料
[20:22] 并不见得量产
[20:23] 但有切进去
[20:25] 所以你说在AI的K型社会中
[20:27] 它有没有影响到
[20:28] 某部分传产也变成科技化
[20:30] 是有的
[20:31] 所以大家真的要努力挑一下
[20:34] 因为我们的商人真的很厉害
[20:36] 是
[20:37] 传产的商老板也会想办法
[20:40] 要往高科技的产品去发展
[20:44] 所以这些的话
[20:45] 大家也可以不妨练习从形态来看
[20:48] 因为现在叫做百花齐放
[20:50] 第一位接全数转强的一个状况
[20:52] 老AI的优点是本益比真的还算合理
[20:56] 金融股应该也算是本益比还合理
[21:00] OK啦
[21:00] 因為都獲利嘛
[21:02] 都是獲利
[21:04] 那證券我更不用講
[21:05] 大家也知道
[21:06] 我們現在的股市
[21:08] 是什麼樣狀況
[21:09] 所以不管發行ETF
[21:11] 隨便一發行
[21:13] 那個都是上百億的
[21:14] 幾百億的資金進來
[21:16] 所以他們獲利都很好
[21:19] 只要有這些
[21:20] 有這些就不是無稽之談
[21:24] 它的確有它的動人在
[21:27] 所以大家都可以
[21:28] 我就覺得現在
[21:29] 就是股票不知道怎么选
[21:30] 因为太多了
[21:32] 你就说中一件事了
[21:35] 股票怎么选
[21:36] 对啊
[21:37] 因为那么多
[21:38] 那基本上如果你用技术面
[21:40] 就看你的资金分配
[21:42] 如果你资金不是大的
[21:44] 你现在也进来又晚了
[21:46] 又没有赚到太多的钱的话
[21:48] 那你就是像现在刚刚讲到
[21:51] 从底部刚刚上来一些
[21:53] 100块200块780块这种低价股
[21:56] 这些低价股
[21:57] 因为第一个
[21:58] 他本来就没有涨很多
[21:59] 那你有可能啊
[22:00] 你做一做你也会翻倍啊
[22:03] 对不对
[22:03] 30块涨到50块
[22:05] 好像以现在来看很快啊
[22:07] 一下就拉到50块了
[22:09] 那你就赶快把你的资金
[22:12] 利用这个好的机会
[22:14] 让你的资金能够扩大
[22:16] 能够扩大
[22:17] 那扩大你又能够守住的话
[22:19] 那这样子下置的机会
[22:21] 你的资金就更多了
[22:23] 如果你守不住
[22:24] 结果资金又没有了嘛
[22:26] 所以利用这个好的机会
[22:28] 那我个人的判断
[22:30] 我讲这是我个人的判断
[22:31] 因为除了技术面外
[22:33] 我们在股市久的人
[22:35] 还有一种叫盘感
[22:36] 那个就
[22:38] 那个真的要时间去培养了
[22:41] 因为有很多的金融朋友会跟我说
[22:43] 他凭感觉买卖
[22:44] 凭感觉买卖对于新手
[22:46] 是真的还蛮危险的
[22:48] 但是对于在股市有一定资历的人
[22:50] 真的是有所谓的盘感
[22:52] 以我的盘感
[22:54] 我们这个盘到年底都不会有什么大问题
[22:56] 我不敢
[22:58] 我不能讲两三年
[23:00] 到年底各位
[23:02] 为什么你的盘感
[23:03] 到年底也很久
[23:05] 也五六个月让你赚钱
[23:07] 我就是觉得也太久了
[23:09] 到年底
[23:10] 这中间任何的什么
[23:12] 我个人来讲任何的回答
[23:14] 都是你要准备在做的
[23:16] 不要说一点你就不做了
[23:20] 那后面可能哇三四个月
[23:21] 尤其第四季
[23:23] 可能还会再供
[23:25] 那这个时候
[23:26] 你的好机会还是要把握
[23:28] 因为最近可能大家比较头痛的是
[23:31] 卖掉买不回来
[23:33] 因为我印象最深是
[23:36] 我们大概两三周前
[23:37] 有一次也是专访朱老师
[23:38] 在赵华爱伦说里面
[23:40] 就有听到联发科
[23:41] 那一天联发科刚好要被送进去关
[23:43] 关之前的前一天
[23:45] 他留下了一个非常长的下影线
[23:47] 但最后还是涨停板但朱老师就有提到出现这个讯号的时候是一个获利了结的讯号但联发科厉害的是它被关之后越关越大尾越关越大尾那就会有人说可是如果在那一天卖
[23:58] 可能就有点卖飞了
[23:59] 可是后来联发科又下来
[24:02] 回测月线
[24:03] 然后可是回测月线
[24:05] 再上去的时候
[24:06] 大家要有买的勇气
[24:08] 才有办法再度上车
[24:09] 这就是现在人觉得
[24:11] 最辛苦的地方
[24:12] 好 那其实现在
[24:14] 我刚刚又讲又很好啊
[24:15] 如果你卖飞了不敢买
[24:17] 还有别的股票可以买
[24:18] 不像以前就那么几档
[24:20] 你不买它就没有别的好挑
[24:23] 那现在你这个卖了
[24:25] 你去做别的也一样涨
[24:26] 它一样可以让你赚钱
[24:29] 对不对
[24:29] 去找一些低位阶的
[24:31] 低位阶或者你敢买的
[24:32] 那个不敢买
[24:34] 去找一个你敢买的
[24:35] 那一样可以做
[24:37] 像周老师也会常常跟我们分享
[24:39] 百元以下的股票
[24:40] 他的名言是
[24:42] 像这种多头市场
[24:43] 50涨到100很简单
[24:45] 但是你说500涨到1000
[24:46] 那可能就要它的基本面非常的强
[24:49] 或题材非常的强
[24:50] 对比较有难度
[24:51] 但是市场真的很热
[24:53] 500涨1000 1000涨2000
[24:56] 也是很多
[24:57] 所以我一直讲
[25:00] 哇
[25:00] 真的很多年
[25:02] 没有碰到这个行情
[25:04] 因为我从学技术分析到现在
[25:07] 接近20年了
[25:08] 这20年真的没有这么大的行情
[25:12] 所以好好的把握
[25:13] 我就一句话的好好把握
[25:15] 把握时间
[25:16] 但是有你自己的方法策略
[25:18] 去做你的股票
[25:20] 这样就OK了
[25:21] 那因为越热
[25:23] 其实以朱老师的形态来说
[25:25] 没有多头停止的现象
[25:27] 资金水位可能就会拉得比较高
[25:29] 其实也有蛮多朋友想要了解说
[25:31] 朱老师以前也聊过
[25:32] 你自己在资金的配置上面
[25:34] 例如说档数多少
[25:36] 可能比较适合
[25:37] 那资金怎么配
[25:38] 以现在这么热的情况
[25:40] 年限是all in
[25:41] 甚至是开杠杆
[25:42] 那就不只是all in了
[25:43] 可能是150%在场内
[25:45] 200%在场内
[25:46] 那朱老师觉得资金上和档数上
[25:49] 你的控制的方法
[25:50] 这是很重要
[25:51] 即使现在再好的行情
[25:54] 你的资金再多
[25:55] 我还是建议大家
[25:57] 你不要超过五档
[25:59] 你再大的资金都不要超过五档
[26:02] 但是如果小资格的话
[26:03] 我就建议两到三档
[26:06] 因为我们现在很多的股票
[26:09] 并不是只涨一点点
[26:11] 所以很多人说为什么卖飞了
[26:13] 就是你涨了五成
[26:14] 你就觉得哇我赚反了
[26:16] 结果后面还涨两倍
[26:17] 所以你这两三档股票趋势不改
[26:20] 你卖完了
[26:21] 你还是要守着它
[26:23] 那因为你已经做它
[26:25] 你比较了解它
[26:26] 这家公司啊什么你都知道
[26:28] 你只要把手上的两三档做好
[26:33] 你的获利就已经非常高了
[26:35] 我们不要讲了
[26:37] 不要讲今年
[26:38] 从去年到今年
[26:39] 很多股票其实都是从低档上来的
[26:42] 一两百块
[26:43] 后来都到一千块
[26:44] 那你如果选到现在的好股
[26:47] 比如说重电好了
[26:48] 它有可能就会涨一倍
[26:50] 就是说你专心照顾好
