[00:00] 欢迎收听赵怀股货载第1112集
[05:20] 黑咖啡
[05:21] 直接喝黑咖啡
[05:22] 原汁原味
[05:23] 对
[05:23] 不然就喝不了太久
[05:26] 就感受不到
[05:27] 那个这个行情的美好
[05:29] 所以行情要美好
[05:30] 咖啡要好喝
[05:31] 就是要有泡泡
[05:32] 啤酒也是
[05:33] 对不对
[05:34] 很多都需要
[05:35] 好
[05:36] 不过现在要找到
[05:38] 这个完全没有泡泡的
[05:40] 其实我觉得有一点难
[05:42] 是
[05:42] 那今天盘面上面
[05:44] 其实我刚刚有稍微确认了一下
[05:47] 其实今天的金融股
[05:49] 今天金融股相对表现比较漂亮
[05:52] 金融股还是比较强
[05:53] 因为我们也有提到
[05:54] 你看去问券商
[05:55] 最近跟券商
[05:56] 大家都说前五月
[05:58] 就把今年的钱差不多赚到了
[06:00] 所以老板都在干嘛
[06:01] 调高KPI
[06:03] 大家不要以为
[06:05] 后面下半年没事做
[06:06] 今天连这个
[06:09] 我们之前跟大家分享过
[06:10] 说富胖金应该一百块吧
[06:12] 对不对
[06:13] 然后因为台积电
[06:14] 还有这个什么
[06:15] 压权指数
[06:16] 都已经来到4万点以上了
[06:17] 他复方金怎么可能
[06:19] 不会有100块呢
[06:21] 应该会嘛
[06:22] 就后来复方金就冲上去
[06:24] 现在连今天的收盘
[06:26] 国泰金都94.4
[06:28] 没错
[06:28] 所以这些好的这种
[06:30] 金融股
[06:32] 金控股
[06:32] 最近也都在做一个发酵
[06:34] 那我怎么讲他
[06:35] 他就是可能是
[06:36] 目前台北股市里面
[06:38] 我们认为泡泡相对比较少
[06:40] 是
[06:41] 过去大家都没有理他们
[06:44] 就连我长期布局的
[06:47] 那种存股的这种远东营
[06:48] 最近都涨得好凶
[06:50] 都让我有点吓到
[06:51] 吓到就是怎么没有多买一点
[06:53] 在前两天
[06:54] 好 我有看到说
[06:57] 也有朋友有传讯说
[06:58] 因为我们的父婿哥
[07:00] 很喜欢群益症
[07:01] 有 他节目上有讲
[07:03] 还有他之前有讲到
[07:04] 新产在公布财报前
[07:06] 有去端点新产
[07:06] 这两个都涨很多
[07:07] 新产比较温和
[07:09] 但群益症真的涨不少
[07:10] 统一证
[07:11] 大家都说
[07:12] 与其买981A
[07:13] 干脆去买统一证
[07:14] 能不能帮忙销售
[07:16] 对
[07:16] 整个统一集团也因为
[07:19] 这个集团是指金融的部分
[07:21] 也因为这个981A卖得好
[07:23] 403A卖得好
[07:25] 然后交易量大
[07:26] 全体受惠
[07:27] 对
[07:27] 所以在目前的一个市场上面
[07:31] 虽然说我们刚刚
[07:33] 在开始之前
[07:34] 我们还聊天说
[07:35] 这个行情好像没什么好讲的
[07:37] 其实我相信资金
[07:39] 他们都是聪明的
[07:41] 他们总是会去寻找
[07:43] 就是有一些
[07:44] 例如说目前的一个股价
[07:47] 相对被低估的
[07:49] 股价低于它真实的一个价值
[07:51] 他们会去做一个布局
[07:53] 而目前看得到
[07:54] 就以今天的行情来看
[07:55] 比较明显就是看到在
[07:57] 这个金融股的一个部分
[07:59] 今天金融股相对的表现
[08:01] 比较抗跌
[08:01] 然后金融股它今天的
[08:04] 这个成交比重
[08:06] 大概只有5.13%
[08:08] 所以我个人觉得也还不到说过热情况
[08:13] 不过电子股的成交比重就掉了
[08:17] 电子股今天成交比重就只剩下72.9%
[08:21] 也是蛮热的
[08:22] 当然相对之前有到80以上
[08:27] 或85的那种情况来讲
[08:30] 从82 85掉到72
[08:32] 这其实这个落差是相对比较少
[08:35] 相比较大的
[08:35] 相比较大的原因
[08:36] 大家如果看到这两天
[08:38] 就除了前面三天老挨挨接棒
[08:40] 像昨天老挨挨还是有表现
[08:42] 但昨天就可以看到一个现象了
[08:44] 他有把资金挪到哪里去呢
[08:46] 例如像重电
[08:47] 电线电缆
[08:48] 对不对
[08:48] 我还记得
[08:49] 韦泰在理财达人秀
[08:50] 有讲到华融
[08:52] 然后到时候还跟他说
[08:53] 1516现在都没有动
[08:54] 讲完就动了
[08:56] 所以黄金右下角
[08:57] 永远在那边蹲点
[08:58] 那就是蹲得比较快
[09:00] 隔天就动了
[09:01] 所以1516动
[09:02] 这个就是传产
[09:03] 然后还有些在手订单类的
[09:05] 像今天的水资源
[09:06] 因为又要开始讲到南部缺水
[09:08] 其实我觉得是水资源先涨
[09:10] 才去讲南部缺水
[09:12] 我不知道这个因果
[09:13] 但是因为所谓的重电和重水资源
[09:16] 都是所谓的在手订单类型的股票
[09:19] 然后分类都在传产
[09:20] 像今天还有一个分类也是非电的
[09:23] 就是生技股
[09:24] 生技股今天很强
[09:26] 所以才会造成大家会觉得
[09:28] 我觉得电子比重七成很高
[09:30] 但是因为前一阵可能非常的热
[09:33] 就到八成
[09:34] 那掉下来的这10%
[09:35] 就是被刚刚讲到的金融
[09:37] 重电
[09:38] 这种生技
[09:40] 非电的部分把它分走了
[09:42] 甚至塑化
[09:42] 就是有所谓的
[09:44] 切近半导体级的塑化股息
[09:45] 这两天也是有表现
[09:47] 今天还有造纸
[09:48] 造纸
[09:49] 华纸就涨停又打开
[09:50] 然后我一看到华纸涨停
[09:52] 我知道大家有听过一个都市传说
[09:54] 当然这个传说已经被破解掉
[09:56] 就是说看到华纸涨停
[09:57] 就是最后一棒
[09:58] 我们每次都在说
[09:59] 谁谁最后一棒
[10:00] 证券股也常常被讲最后一棒
[10:02] 因为涨到证券股
[10:04] 就是交易量过热啊
[10:06] 历次在交易量过热
[10:07] 涨到证券股就没了
[10:09] 不过因为这一波AI带来的风潮
[10:11] 是让台股从2023
[10:12] 说实话几乎没有什么像样的大回荡
[10:15] 是一路上去
[10:16] 所以不管谁是哪一棒
[10:18] 目前都还在轮流中
[10:20] 昨天我在中正社大上课的时候
[10:23] 我第一件事情
[10:25] 我没有先解盘
[10:27] 因为我看完盘之后
[10:29] 我就知道
[10:29] 这现在那种50块钱以下
[10:32] 同盘股又来了
[10:33] 然后我就把所有的那个股票都塞完
[10:36] 就找那个所谓50块钱
[10:38] 50块钱以下的那个同板股
[10:41] 然后呢
[10:42] 跟贵报告也是一堆
[10:43] 50块钱的股票一堆
[10:46] 然后我就跟我的学生讲说
[10:49] 你们一定会想要找基本面好的
[10:51] 对不对
[10:51] 没问题
[10:52] 我就帮你们找1到4月份
[10:54] 营收成长的
[10:56] 就找出来呢
[10:57] 吃了五档
[10:58] 所以就代表市场还是有一点效率的
[11:03] 我们刚才在讨论投资市场有没有效率
[11:05] 有人觉得完全效率
[11:06] 有人觉得就是中间效率
[11:08] 我觉得算中间效率
[11:10] 没有到完全效率
[11:11] 但是你看这样的结果
[11:12] 代表还是有效率
[11:13] 对
[11:13] 然后大家就很失望
[11:15] 对不对
[11:15] 那我就说你们不要担心
[11:17] 你们不要觉得难过
[11:18] 我只要把条件稍微改一下
[11:21] 那标题就很多
[11:22] 然后他们就问我说怎么改
[11:23] 我说我只要把它改成
[11:25] 就是把那个营收成长的拿掉之后
[11:28] 你去把这个大户持股比例增加的
[11:32] 有人偷偷在布局
[11:34] 你就会发现一堆
[11:34] 那刚刚那个造纸相关的
[11:37] 或者硕化就是这一些
[11:38] 那我要跟各位报告就是说
[11:40] 现在行情来到四万点之上
[11:43] 很多个股上百块上千块的
[11:46] 我记得上次节目
[11:47] 我跟大家讲
[11:48] 我都真正感到风模
[11:50] 感到有焦虑的
[11:51] 其实不是一般投资人而已
[11:53] 连上市柜公司老板都是
[11:55] 是
[11:56] 觉得自己家的公司
[11:58] 没有受到市场的青睐
[12:00] 我听过蛮多的
[12:01] 我听过蛮大的
[12:02] 那所以呢
[12:04] 这一次的一连串的股东会
[12:07] 我相信大家都有感受到
[12:09] 就是基本上
[12:10] 你过去表现好的这些大老板
[12:12] 当然他就是讲得很好
[12:13] 然后过去表现不好的
[12:15] 他就必须要更用力的去准备
[12:17] 他要跟这个股东要如何去说明
[12:20] 对不对
[12:20] 不然人家股价一千块
[12:22] 我的股价十块
[12:23] 我如何见江东富老
[12:26] 对不对
[12:27] 尤其是很多死忠的这些所谓的投资人
[12:31] 他們其實都是有這樣的情況發生
[12:34] 但是我又額外再延伸
[12:36] 因為主動CTF
[12:40] 這個也是我常常在跟大家做分享的
[12:43] 就是說最近主動CTF稍微降溫有人說是因為個股太熱但是我個人認為我覺得很現實的問題是主動CTF最近的表現
[12:58] 其實不如上個月
[13:00] 這跟排行市的變化有關
[13:02] 因為主動是ETF這些所謂的專業經理人高
[13:08] 都是屬於看基本面的
[13:10] 所以他不會去買那些
[13:12] 建湖山
[13:12] 我們剛才討論
[13:14] 建武山到底为什么连续涨停
[13:17] 因为我们没有特别的消息
[13:19] 也不觉得辉达真的会把建武山买下来
[13:22] 我们只能猜是不是暑假行情
[13:25] 或者是说是不是他的股东会经纪人特别
[13:28] 我的重点是说
[13:30] 因为这些专业的经理人
[13:33] 他们就是要买那些有基本面的公司
[13:36] 而且成长性高的
[13:36] 刚刚好最近涨都不是那一些
[13:39] 都是那个50块钱以下的
[13:42] 他们去买老鸭也是
[13:44] 我觉得是逼不得已
[13:45] 带着钢盔往前冲的
[13:49] 不是他们习惯和熟悉的方式
[13:51] 对
[13:52] 你可以看到有很多的
[13:54] 主动CTF
[13:56] 他在最近这一个礼拜
[13:58] 或是两个礼拜
[13:59] 他们是纷纷把台积电这种
[14:01] 股份比较大的
[14:03] 股性没有这么活泼的
[14:05] 持股比例降下来
[14:06] 他们跑去换
[14:07] 换一些所谓的
[14:09] 这些中小型的
[14:10] 這些的一個的基油股或成長股
[14:13] 可是說實話這些基油股成長股
[14:16] 大家想想看
[14:17] 不管是CPU
[14:18] 不管是Core
[14:20] 還是PCB CCL
[14:21] 被動元件
[14:23] 哇
[14:23] 其實有很多的這個個股都已經漲了
[14:26] 不要說漲好幾十趴
[14:28] 有些都漲一倍以上了
[14:30] 那這邊其實對他們來講就是有點就是
[14:34] 這個所謂的一個
[14:36] 硬著脖子啊什麼就是下去買了
[14:39] 下去買了
[14:40] 那在这种情况之下
[14:41] 就是自然而然
[14:42] 因为股价毕竟涨多
[14:44] 那这些的一个个股
[14:46] 就没有办法像过去一样
[14:47] 有出现连续性大涨的一个表现
[14:50] 所以这就是连带影响到
[14:52] 这个所谓的主动式ETF
[14:54] 他们的一个短线上面的
[14:57] 一个绩效表现
[14:58] 甚至还有人跟我说
[15:00] 跟我分享到说
[15:01] 00981A
[15:02] 它的这个受益人数是减少的
[15:05] 减少的话就要留意了
[15:06] 因为减少
[15:07] 或者是说大家有把它卖掉
[15:09] 就是把钱拿回来的时候
[15:11] 他可能就会连带
[15:12] 因为规模的缩减
[15:14] 而需要卖股票
[15:15] 这个会是在台股
[15:18] 比较明显是连续下跌
[15:20] 当然我觉得最近的问题
[15:21] 不是连续下跌
[15:22] 我觉得最近问题是
[15:23] 大家也很积极的
[15:25] 在找谁的绩效好
[15:26] 要把它换过去
[15:28] 最近被动式
[15:30] 跟高息ETF的绩效
[15:32] 是好的
[15:33] 甚至0056
[15:35] 如果用一段区间来看的话
[15:37] 他会跑赢0050
[15:39] 这不是一个很正常的现象
[15:42] 但是它也是一个正常的现象
[15:44] 我们等一下
[15:44] 要现在就开始聊这个吗
[15:46] 我想要不要等
[15:47] 韦泰把他的观察先讲完
[15:49] 我等韦泰把观察先讲完好了
[15:51] 因为我话也蛮多的
[15:52] 所以说在这个主动CTF
[15:56] 我之前有跟大家特别分享过
[15:58] 我说你不要单押一档
[16:00] 因为呢
[16:01] 这个不同的这个主动CTF的操盘人
[16:04] 他们各自的风格
[16:05] 像五月份表现最好的
[16:07] 是那个0099
[16:10] 应该是00991A
[16:13] 00991A是以台股不错
[16:15] 00988A是美股不错
[16:17] 对
[16:17] 它是主动复华未来无时
[16:19] 它就是因为它除了这个
[16:21] 大家要标配台积电之外
[16:23] 它又多买了国具
[16:25] 它的这个非台积电的持股里面
[16:28] 它国具算压得比较重
[16:29] 国具压得重
[16:30] 甚至有一些可能压联发科
[16:31] 或是压记忆体
[16:33] 对
[16:33] 所以它像最近像这种表现比较好
[16:36] 就是一定要壓到特別的一些族群
[16:39] 讓他在這一波有稍微就是
[16:42] 跑贏其他的競爭對手
[16:45] 所以我才說主動式ETF的部分
[16:48] 我覺得在這種行情相對比較波動的時候
[16:51] 如果說投資朋友自己對個股抓捏
[16:54] 拿捏的點位沒那麼精準
[16:57] 或timing沒那麼精準的話
[16:59] 我覺得其實可以去
[17:01] 就是多買一些所謂的主動式的ETF
[17:04] 或是多看一些
[17:05] 因为他们毕竟
[17:06] 他们在整个过去的经验来讲
[17:09] 可能会比一般的投资来到还要好
[17:12] 但是前提就是说
[17:13] 大盘没有出现这个转空的疑虑
[17:17] 但我觉得现在大盘的确
[17:19] 我觉得是目前是没有转空疑虑
[17:21] 但是因为今天的成交量
[17:24] 让我有点点讶异
[17:26] 怎么说
[17:26] 因为今天成交量只有1.2兆
[17:29] 只有你看
[17:29] 只有1.2兆
[17:31] 是啊
[17:31] 我讲只有原因并不是说
[17:34] 1.2兆很多
[17:35] 我是说跟之前的比较
[17:37] 之前我们看到在5月29号
[17:42] 那一天的成交量逼近2兆
[17:44] 1.91兆
[17:47] 所以1.91
[17:48] 然后就差不多隔了
[17:51] 1 2 3 4
[17:52] 4个交易日就掉到了1.2兆
[17:55] 这个其实掉的速度有点点快
[17:57] 所以我必须要跟那位讲说
[17:59] 如果指数
[18:00] 大家还期待说
[18:02] 要往5万点去做挑战的话
[18:06] 其实成交量是一个非常重要的观察
[18:09] 是的 量滚量
[18:10] 对 如果没有量
[18:11] 我觉得要短时间之内要冲上5万
[18:14] 我觉得几率比较小
[18:16] 那也没有说不好
[18:17] 反正我们就见招猜招
[18:20] 你今天量缩了
[18:21] 代表说你可能要进行整理跟回档
[18:24] 那我们也就顺着这个趋势
[18:27] 去做一个持股的调整
[18:31] 一些涨多的
[18:32] 没有人说不能卖
[18:34] 你卖完之后再买回来就好
[18:36] 当然每个人操作习惯是不一样
[18:38] 但是对我来讲
[18:39] 我也对我的学生讲说
[18:40] 这边拉上去
[18:41] 我基本上就是调节
[18:42] 就是这边要去调节
[18:44] 我昨天也是
[18:45] 对
[18:46] 就是调节
[18:47] 像木华哥也在讲
[18:48] 要调节
[18:49] 我们就不把战线扩大
[18:54] 好的
[18:55] 我的意思是说
[18:57] 就是操作本来就是一个
[18:59] 比较灵活的一个事情
[19:01] 它没有绝对的对跟绝对的错
[19:04] 那我常跟大家讲说
[19:06] 操作没有绝对
[19:07] 赢在正确反应
[19:09] 没有错
[19:10] 每个人都可能犯错
[19:12] 但是你错了之后
[19:13] 就是必须要去做一个修正
[19:15] 不然怎么会有所谓的
[19:16] 停损跟停利的一个策略呢
[19:19] 对不对
[19:19] 所以重点是
[19:21] 我看现在大盘
[19:23] 成交量1.23兆
[19:24] 如果说接下来的量
[19:26] 没有办法再持续的做出推升
[19:28] 那很可能会进行这个回档跟修正
[19:31] 那这部分大家也可以找个时间点
[19:34] 因为之前一直涨嘛
[19:36] 你找不到卖点嘛
[19:37] 对不对
[19:38] 那现在呢终于有机会
[19:39] 让你有一个卖出股票
[19:41] 获利了结的一个借口啦
[19:43] 那时候你就可以试着去
[19:45] 做一下这个所谓的一个获利了结
[19:47] 那这个时候这个去做调节
[19:49] 说实话也比较不会出现
[19:52] 一卖就把股票卖飞的情况
[19:54] 好上礼拜
[19:56] 大家还记得韦泰的名言吗
[19:58] 就是如果你选的是强势股
[20:00] 请记得要停利
[20:02] 那如果您是想要去蹲点弱势股
[20:06] 但还是要记得停损
[20:08] 我觉得这句话真的非常之有道理
[20:10] 非常之有道理
[20:11] 这个是实物上面的
[20:13] 实物上面的一个观察
[20:15] 因为大家可能会觉得相反
[20:17] 你追强势股波动大
[20:19] 那你一定要记得
[20:20] 一有问题就停损
[20:21] 你接弱势股
[20:22] 好不容易涨上了
[20:24] 你要记得停利
[20:24] 其实不是这样的
[20:25] 有时候像刚刚讲到
[20:27] 塞那些50块的股票
[20:28] 如果你用营收什么塞进去
[20:29] 怎么找不到
[20:30] 可怜之人必有可恨之处
[20:33] 有时候是这个意思
[20:35] 所以如果弱势股
[20:36] 它持续的弱下去
[20:37] 你也不要觉得
[20:38] 你是越减越便宜
[20:40] 有可能反而是街刀
[20:41] 当然黄金右下角
[20:42] 它会选的叫做黄金右下角
[20:45] 以前他有讲过一句话
[20:47] 他就讲说
[20:48] 你不要以为右下角
[20:49] 就是黄金右下角
[20:50] 右下角是右下角
[20:52] 黄金右下角是黄金右下角
[20:54] 就是你要分别
[20:55] 他是出问题的弱势
[20:58] 有隐忧的弱势
[21:00] 还是低估的弱势
[21:01] 这完全不一样
[21:02] 这完全不一样
[21:03] 所以选错的话
[21:04] 还是要停损嘛
[21:05] 那但是涨上去的话
[21:06] 很多人就很担心
[21:07] 我没有停利会不会回吐
[21:09] 我卖了会不会卖飞
[21:11] 前几天完全都在处理这个问题
[21:13] 就无数的人在问
[21:15] 两种人
[21:16] 一种就是
[21:17] 我之前每次都报一下就卖飞了
[21:19] 我觉得好可惜
[21:20] 我今年就是没有赚够什么的
[21:22] 另外一种就是
[21:23] 哇害怕哇害怕
[21:24] 我已经报酬率又60%了
[21:25] 70%我要帮忙
[21:26] 我会不会卖
[21:26] 会不会回吐
[21:27] 会不会回吐
[21:27] 好
[21:28] 两种都是一样
[21:31] 大家都没有去思考
[21:32] 自己的卖出策略在哪里
[21:34] 对不对
[21:34] 好
[21:35] 就算你
[21:36] 你只赚了一根
[21:38] 可是你是一个股市的菜鸟
[21:39] 请问那又如何
[21:41] 很棒啊
[21:42] 赚10%也很棒啊
[21:43] 没错
[21:44] 那你好不容易
[21:45] 熬到你已经赚60%80%了
[21:48] 你真的好害怕
[21:49] 你就部分卖掉嘛
[21:51] 你该不会60%跟80%
[21:52] 只是一万块的60% 80%
[21:54] 不是吧
[21:55] 不是一张股票而已吧
[21:57] 你应该是有一些配置
[21:58] 然后有一些东西
[22:00] 如果你真的觉得像
[22:01] 最近涨最凶的国泰费城半导体好了
[22:03] 因为这一档我实在讲非常非常非常久
[22:05] 非常多人问我能不能停利
[22:07] 我就说你就拿出20%
[22:10] 把它停利掉也好啊
[22:12] 那但是你停利掉
[22:13] 一定要记得一件事哦
[22:14] 你就不要在后面一直抱怨自己卖肥
[22:16] 假设飞上去的话
[22:17] 一定要记得你是有做了获利入袋
[22:20] 让自己安心的决策
[22:22] 这件事很重要
[22:23] 在我啰嗦之前
[22:25] 我要请大家
[22:26] 如果每一次在听
[22:28] 觉得这一节内容
[22:29] 是对您有帮助的
[22:30] 你想要反复听
[22:31] 或者想要理解
[22:32] 切记请用你的
[22:33] 不管是Apple Pocket
[22:35] 或Spotify
[22:35] 你听的平台
[22:36] 有这种储存单集的功能
[22:38] 把它存下来
[22:39] 因为最近也是有很多人
[22:40] 像我可能讲一下说
[22:42] 我看好封测
[22:43] 就会问我说
[22:44] 赵好姐姐
[22:45] 你之前到底是哪一集
[22:46] 讲封测啊
[22:47] 可不可以告诉我是哪一集
[22:48] 然后讲CPU
[22:50] 你之前哪一集讲CPU
[22:51] sorry
[22:52] 我可能每一集都有点到
[22:54] 或多或少
[22:55] 那投资的心法
[22:57] 停利的原则
[22:58] 停损的想法
[22:59] 进出场
[23:00] 我自己怎么配置
[23:02] 配置是我觉得
[23:03] 解决所有问题最好的方法
[23:05] 诸如此类的
[23:06] 每一集或多少
[23:07] 一定都会聊
[23:08] 那你今天听完特别有感觉
[23:10] 当然也很谢谢
[23:11] 大家会写私讯来说
[23:13] 谢谢这一集
[23:13] 听了真的提壶灌顶
[23:14] 什么什么的
[23:15] 甚至还有人跑到理财单
[23:16] 就去给我捐钱
[23:17] 但是切记
[23:19] 请你把觉得有用的这一集
[23:20] 就存下来好不好
[23:21] 就存下来
[23:22] 因为你问我说
[23:23] 你过去哪一集
[23:24] 我觉得这太为难创作者了
[23:26] 太为难创作者了
[23:27] 我们这节目没有脚本
[23:29] 我们这节目完完全全
[23:30] 就是一个实战节目
[23:32] 就是赵华想到什么问什么
[23:34] 来宾想到什么讲什么
[23:36] 是我超爱上这个节目了
[23:37] 我都不用花时间准备
[23:38] 我们桌上没有任何一张
[23:40] 什么脚本啊题目啊
[23:41] 然后我都是想到
[23:42] 我一太太讲
[23:43] 然后我就赶快抄一下
[23:44] 我想讲的东西
[23:45] 写在纸上
[23:46] 等一下怕我自己忘记说
[23:48] 就像刚刚讲到
[23:49] ETF的风水轮流转
[23:51] 赵华一直跟大家讲说
[23:53] 我不认为
[23:54] 所谓的主动式ETF
[23:56] 会造成人踩人的崩盘
[23:58] 大家一定要记得这个逻辑
[23:59] 但是崩盘的时候
[24:02] 主动式ETF
[24:03] 或是所有的ETF好了
[24:05] 当然被动式不能随便卖股
[24:07] 可是它如果被赎回
[24:08] 它也是得要因应的
[24:09] 崩盘的时候
[24:11] 所有的东西都会人踩人
[24:12] 所有的东西都会人踩人
[24:15] 要把因果讲清楚
[24:17] 我的意思是
[24:19] 虽然我们台湾的主动式ETF
[24:20] 可是以他的资金规模来说
[24:23] 你说会不会造成一个台股的崩盘
[24:25] 那是不可能的事情
[24:26] 那不可能的事情
[24:27] 一切还是源自于刚刚讲到的
[24:30] 到底第二季的基本面上面
[24:32] 对应起现在不断创新高的台股
[24:35] 他会不会有一个所谓的价值在平衡
[24:38] 可能真的涨得有点多了
[24:40] 而第二季的成长动能不如第一季
[24:42] 或者不如市场预期
[24:43] 这个标准有两种
[24:45] 一种就是其他符合
[24:46] 本来他们公司自己的想法
[24:48] 可是却不符合市场高度的期待
[24:50] 只要有落差
[24:51] 就有可能实现所谓的
[24:53] 股价在平衡这件事情
[24:54] 这个是有可能的
[24:56] 这个是第一点
[24:57] 那当出现这样的情况的时候
[24:59] 回档很深
[25:01] 回档很快的话
[25:02] 那就会造成去杠杆
[25:04] 很多人就是用融资
[25:05] 压到满借钱的下道
[25:07] 那当然主动式ETF
[25:08] 可能也会因为有人要卖股
[25:10] 卖回这个赎回
[25:11] 然后导致需要卖股
[25:13] 这时候就会人踩人
[25:14] 可是主动式ETF
