[00:00] 欢迎收听赵华与古破仔第1110集
[05:35] 可是我們之前就跟大家提到
[05:37] 這個最慘就是跌到4%多
[05:40] 其實這個有一個很好的借鏡
[05:42] 看一下去年的偽創
[05:44] 就曾经发生过
[05:45] 他们在产品转换
[05:47] 加上伺服器有一个
[05:49] 比较大的一个弱点
[05:51] 就是它的所谓的金额很高
[05:54] 代工的价格是固定的
[05:56] 所以当这个所谓的
[05:58] 价格一直往上拉
[06:01] 但是它的毛利是固定的情况下
[06:04] 就会导致毛利率
[06:05] 短线会受到稀释
[06:07] 尤其是在产品转换期
[06:09] 但是我之前有提到
[06:11] 看一下去年的伪创就是这样
[06:13] 就是当毛利率出来的低点
[06:16] 通常也是股价的低点
[06:18] 在那一季来讲
[06:19] 后续就会慢慢走深
[06:20] 所以最近广达又开始涨停
[06:23] 这时候又不说
[06:24] 他毛利率很烂的问题
[06:25] 还是有说到
[06:26] 不过因为广达的毛利率烂
[06:27] 他的股价也跌
[06:28] 所以也会提醒大家
[06:30] 不是没反应
[06:31] 而是反应过后
[06:32] 你到底要重新给他
[06:34] 一个什么样的评价
[06:34] 因为不是没反应
[06:35] 要是他今天三率三降
[06:36] 股价还是高高在上
[06:38] 我们自然会觉得风险很高
[06:39] 其实以前讲老AI
[06:40] 我们都知道他很便宜
[06:42] 可是都会担心什么呢
[06:44] 担心你跟投入朋友说
[06:45] 你去等老AI
[06:46] 其实这句话也有讲过
[06:48] 可是心里面会很毛
[06:49] 说会不会害人家等很久
[06:51] 然后害人家看到那些什么
[06:53] 被动元件CPU设备都飞天
[06:55] 然后在那边等老AI
[06:57] 这就是我们内心最担心的事情
[06:59] 所以幸好老AI你动了
[07:02] 没有等太久
[07:03] 应该这样讲
[07:04] 我之前的说法都会说
[07:05] 就是你自己抓个五六个区块
[07:09] 那从上游晶片
[07:11] 封测PCB
[07:13] 每个都应该要布局一下
[07:16] 那其实照理讲
[07:17] 组装厂就不应该完全Lose
[07:19] 因为他们的缺点就是
[07:21] 真的是很牛
[07:23] 但是基本面很好
[07:24] 位积又这么低
[07:25] 我常常讲就是说
[07:26] 现在你这个AI族群
[07:29] 应该说比较纯的
[07:31] 所谓比较纯就是
[07:32] 这两年有受惠到AI
[07:34] 所以反映在
[07:35] 它的营收获利层面的
[07:37] 这些个股
[07:38] 你現在找到本益比50倍以下
[07:41] 老實講真的是寥寥可數
[07:43] 那更何況這些組裝廠
[07:45] 甚至都在20倍以下
[07:47] 那所以嚴格來講
[07:48] 真的是危機低到不行
[07:50] 然後我永遠都講
[07:52] 總是會補漲時間性的問題
[07:54] 但回過頭來
[07:56] 老師說我還是要憑良心講
[07:58] 到目前為止
[07:58] 他們不代表是一個好投資
[08:00] 因為他們到目前
[08:01] 就算大漲都還是相對落後的
[08:04] 可是我自己在這塊
[08:06] 等於是組裝廠也是都有佈局
[08:08] 但是我會覺得還好
[08:09] 因為這是你自己的一個部分
[08:11] 也許占個十幾%
[08:14] 就算暫時不漲也還好
[08:16] 因為你其他都有漲
[08:17] 所以無論如何
[08:19] 我自己的持股的概念
[08:21] 我看的是它的基本面
[08:24] 因為我今天投資它
[08:25] 就認為它應該長什麼樣子
[08:27] 它的數字都有讓我看到
[08:29] 我就不會因為它股價弱而去砍它
[08:32] 因為我就會覺得
[08:33] 這遲早會還它的公道
[08:35] 這我自己的概念
[08:36] 所以我自己就还有办法去忍耐
[08:40] 这个中间很无聊的过程
[08:42] 因为我刚刚提到
[08:43] 它不过就是一块
[08:44] 不涨就算了
[08:45] 我觉得还好
[08:46] 因为我整体的资产
[08:48] 其实是有不断在爬
[08:50] 其实你只要自己的
[08:52] 这个投资的主轴还在
[08:54] 我觉得应该是可以撑得过去
[08:57] 但是如果你在这个所谓老AI
[09:00] 真的我以前讲布局比例太大
[09:03] 那你就应该有所调整
[09:05] 但是绝对不是叫你把
[09:06] 这个基本面很好的把它卖掉
[09:09] 你应该说稍微做减码
[09:11] 分散到其他族群
[09:12] 但无论如何
[09:13] 现在等到现在已经开始做反应
[09:16] 至于能够反应多久
[09:17] 老实讲也没人知道
[09:18] 但是确实是位阶偏低
[09:20] 所以我觉得还是觉得
[09:22] 即使这几天大涨了
[09:24] 那对于整个老AI
[09:25] 或者组装厂来讲
[09:27] 我们讲一个对比值而言好了
[09:30] 对比整个AI族群
[09:31] 我觉得它风险
[09:32] 还是呈现偏低的状况
[09:33] 就是对我们两个只认为风险就是等
[09:37] 然后希望大家不要把所有的钱
[09:40] 放在不会动的东西上面
[09:41] 大概就是这个样子
[09:43] 但是你说他们评价便不便宜
[09:46] 即使是一个三绿三将的广达
[09:48] 跌下来后的评价都是便宜的
[09:50] 那当然这几天都涨了
[09:53] 你说那要不要这时候介入呢
[09:55] 要不要这时候介入
[09:57] 我觉得这也蛮见仁见智的
[09:58] 因为你说虽然伪创连续三天好像都在涨停
[10:01] 可是你看他的位阶
[10:03] 他只是把他两年前的高点过去了而已
[10:07] 当然击掌之后
[10:09] 还不如就等他一定会有一个回挡
[10:11] 我觉得回挡再做介入也是一个考量
[10:14] 为什么每一次朱老师
[10:15] 他帮我们看那个线型的时候都会说
[10:18] 没有错像击掌是一个多头
[10:20] 可是击掌你就只能等他回挡
[10:22] 因为你没有买在起掌点
[10:23] 那蹲点的朋友最好的
[10:25] 就是你可以买在最便宜的地方
[10:27] 只是你会花一点时间成本
[10:29] 所以有时候你做右侧左侧
[10:31] 想法会不一样
[10:32] 但无论如何
[10:33] 这个族群不错
[10:34] 对不对
[10:34] 不过今天大家遇到的难题
[10:36] 我今天看到我的库存
[10:38] 大概90%是绿的
[10:40] 只有两三只是红的
[10:42] 跟这个老鸭有关的
[10:44] 当然是红的
[10:45] 大型全职可能稍微是没有叠太多
[10:47] 可是被动元件就叠很多
[10:50] 然后有些封测相关的叠很多
[10:52] 甚至像我们常讲的金居也叠很多
[10:54] 所以今天到底只是一个资金换手轮动
[10:58] 还是说接下来的一段时间
[11:01] 可能都会是所谓的名门正派大型股的空间
[11:04] 我个人觉得比较好的现象就是
[11:09] 其实我自己也看了一下
[11:11] 我自己手上有大小股的一个所谓的指标
[11:17] 就是OTC跟大盘的对比
[11:19] 其实这段时间我个人觉得算是蛮健康的
[11:24] 就是大家的比例是持平的
[11:26] 没有特别偏向所谓的大型股也沒有特別偏向所謂的中小型族群結論就是加權指數跟OTC一直都有在持續往上挺進
[11:37] 而且漲幅落差都沒有很大
[11:39] 一直無論是單月或者是今年以來的漲幅
[11:43] 其實都是相近的
[11:45] 只是呢到今天比較明顯的差別
[11:48] 就是在這段時間漲多了中小型族群有休息
[11:51] 那休息換來的是什麼
[11:54] 就是之前最落后的
[11:56] 刚刚讲的就是边缘AI这些品牌厂
[11:59] 最落后的
[12:01] 那这个最落后
[12:02] 当他开始反应的时候也不客气
[12:04] 他就是都是用涨停的方式跳上去
[12:07] 那资金就往这边靠拢
[12:09] 自然涨多了中小型族群
[12:11] 就会呈现休息
[12:13] 那我个人觉得啦
[12:14] 就是说毕竟人家位阶比较低
[12:16] 所以我也不觉得
[12:17] 他就是一两天就得休息
[12:19] 所以短时间来讲
[12:20] 毕竟今天强势族群
[12:23] 才刚刚开始休息
[12:25] 所以我觉得这个休息
[12:26] 可能会有一小段时间
[12:27] 但是老实讲
[12:28] 我觉得时间也不会太长
[12:30] 甚至我个人觉得
[12:33] 简单而言
[12:34] 这些强势族群也不会转空
[12:36] 所以我觉得持有者
[12:38] 我会建议稍微有点耐心
[12:40] 在这里要减码
[12:43] 再重新迈回
[12:44] 老实讲我觉得
[12:45] 有一点点困难度
[12:47] 除非你之前
[12:48] 应该这样
[12:49] 你有一套很好的逻辑
[12:51] 而且之前
[12:52] 你在这种所谓的短线拉回
[12:54] 都可以赚到价差
[12:56] 所谓赚到价差就是
[12:57] 开始拉回你就赶快撤退
[12:59] 然后呢低档又可以买回
[13:01] 如果没有
[13:02] 我会建议其实拉回的空间
[13:04] 我觉得并不会太大
[13:05] 所以我会建议大家干脆就续报
[13:08] 因为我觉得拉回整理
[13:10] 重点就是
[13:11] 现在大家在观望的时间点
[13:14] 会让一些没有
[13:15] 相对来讲比较没有信心的人下车
[13:18] 你要给一点时间
[13:19] 让这些没有信心的人下车之后
[13:21] 后续来讲
[13:22] 我觉得都还有再转强的机会
[13:24] 好
[13:25] 我刚刚也有跟明翰说
[13:27] 我今天啥都没做
[13:28] 我今天就傻看
[13:30] 因为等很久的老AI涨了
[13:33] 那就涨
[13:34] 对不对
[13:34] 你也不可能说
[13:35] 涨这几天
[13:36] 你就觉得要把它卖掉
[13:37] 当然如果大家觉得
[13:38] 刚刚好就这么巧
[13:40] 蹲点几天就赚到两三根停板
[13:42] 想卖掉
[13:43] 我也觉得没意见
[13:44] 因为大型股能够涨两三根停板
[13:46] 是不容易的
[13:47] 蹲点的位置好
[13:49] 说实话
[13:49] 你处理股票就没烦恼
[13:51] 你爱什么时候卖就什么时候卖
[13:53] 就像我昨天
[13:54] 跟汉伟哥在聊
[13:56] 有很多人现在的烦恼是
[13:58] 我太早卖
[13:59] 有很多人烦恼是
[14:00] 我现在该不该卖
[14:01] 但我必须讲
[14:03] 我跟明翰前面两集
[14:05] 大家真的要听
[14:06] 我们讲了一个重点
[14:07] 我们讲的是
[14:08] 不要去追求你的最高报酬率
[14:10] 你要去追求
[14:12] 你有什么东西是
[14:13] 核心大部位的稳定报酬
[14:16] 绝对在这段时间
[14:18] 大家要累积的概念一定是这个
[14:20] 因为我觉得这就是我在今天
[14:22] 就算看到中小型股杀烂
[14:23] 我也没什么感觉的原因
[14:25] 因为我完全奉行这一套
[14:26] 我的核心部位是不管涨跌
[14:29] 你就默默累积
[14:30] 跌就买一点
[14:31] 涨的话
[14:32] 如果我没有特殊用途
[14:33] 我也不一定要停利
[14:34] 当然非常害怕回吐的人
[14:36] 我也讲过
[14:37] 有时候我一些波动性大的股票
[14:38] 我会20%停利
[14:39] 50%停利
[14:40] 会有一个自己的停利的模式
[14:42] 但核心大部位
[14:44] 我也不会随便停利
[14:44] 就是为什么要停利
[14:46] 我又还没有要到买
[14:48] 就是交房屋头期款
[14:49] 然后后面要交尾款或什么
[14:51] 就没有这个时间
[14:52] 没有这样的用途的时候
[14:53] 你就继续累积
[14:54] 但是其他周遭的那些大波动的
[14:57] 你可能报酬率已经几百趴的
[14:58] 你爱什么时候卖
[15:00] 就什么时候卖吧
[15:01] 对
[15:01] 因为那些东西
[15:02] 占不了你资产多大的
[15:04] 那个是赚股市的经验值
[15:06] 和让你开心
[15:07] 在这个多头时期
[15:08] 我没有错过标股
[15:10] 就这样子
[15:10] 所以怎么又扯到这个上面来
[15:12] 好
[15:13] 要讲的是
[15:14] 以明翰刚刚的观点是
[15:16] 大型股在涨
[15:17] 很好
[15:17] 很健康
[15:18] 但中小型股
[15:19] 现在也不要慌
[15:20] 因为这个多头没有结束的情况下
[15:22] 除非你是追在非常高位阶
[15:25] 你必须有停损的机制
[15:27] 或是你害怕获利一回头
[15:28] 你就没赚了
[15:29] 那你抱不住
[15:30] 你当然现在可以去做调节
[15:32] 可是你是正常的
[15:33] 你之前就买的比较早的朋友
[15:35] 没有必要因为今天的一个回档
[15:37] 就开始紧张
[15:37] 对啊
[15:38] 因为确实整个这个架构而言
[15:41] 其实并没有太大的改变
[15:43] 因为如果刚刚提到
[15:45] 拉回的空间不大
[15:46] 就很容易怎么样
[15:47] 又很容易追高杀低
[15:48] 就是常常講就是進場的時候
[15:51] 你自己應該要有一個策略所在
[15:54] 就是你的停順點停力點
[15:56] 那這個要先設好
[15:58] 尤其是也許啦
[16:00] 現在因為多頭的時間點
[16:01] 你的停力還可以放寬一點
[16:03] 但是停順點
[16:05] 你可能原本就有一定的這個
[16:07] 設好的一個位階來講
[16:09] 真的遇到就是執行
[16:11] 哪怕就是簡單而言
[16:13] 哪怕就是賠小錢
[16:14] 也不要到最後就翻船
[16:16] 我覺得這還是蠻重要的一個觀念
[16:20] 但是我也認同
[16:21] 就是這幾年我自己的感受也是
[16:24] 尤其是因為畢竟現在只是一個多頭行情
[16:28] 所以多頭行情的結論就是
[16:30] 常常應該這樣講
[16:32] 因為有些投資人可能平常做短
[16:35] 是沒有太大的感受
[16:36] 因為畢竟因為多頭容易賺錢
[16:39] 就算進去當沖好像也都可以賺到錢
[16:42] 可是我還是覺得結論而言
[16:44] 當你如果有做短線跟長線分開
[16:48] 你還是會覺得
[16:49] 真的還是長線比較好賺
[16:51] 就是我們不是講的
[16:53] 不是報酬率
[16:54] 是你賺的總金額
[16:56] 對 總金額
[16:57] 對 還是無論如何
[16:58] 非常認同
[16:59] 其實短線賺的錢
[17:01] 沒辦法跟長線賺的錢去做對比
[17:04] 因為真的這個資產落差很大
[17:07] 所以應該這樣講
[17:08] 剛剛我跟其他人在聊天的時候
[17:11] 我也說
[17:11] 以前我在做法人的時候
[17:14] 都要跟大家讲两件事情
[17:16] 就是第一个就是人要投资
[17:18] 就是不要放弃
[17:20] 就是不要永远都靠卖自己的人力
[17:23] 在换钱
[17:24] 就是像我们上班族
[17:25] 就是卖一个小时多少钱
[17:27] 每个人的价格不同
[17:29] 但无论如何都在卖自己的时间
[17:31] 这是我自己的感受
[17:32] 但是你后来一定要投资
[17:34] 但是因为今年的股市太热
[17:36] 所以现在不用教人家投资
[17:39] 每个人都想来投资
[17:40] 可是我要跟大家讲一个概念
[17:43] 就是说投资是一个
[17:44] 简单来讲长久
[17:47] 简单而言
[17:48] 就是当你进了这个投资圈之后
[17:51] 我会觉得应该说
[17:53] 一直到你生命结束的那天之前
[17:56] 其实应该都会再持续投资
[17:58] 所以短线来讲
[17:59] 不用对于这个所谓的
[18:02] 投资不要看得这么短
[18:04] 也不要说
[18:05] 最近大家都赚了钱
[18:07] 我没赚钱
[18:08] 我很紧张
[18:08] 然后把这个视野放得很小
[18:11] 因為我常會覺得當你的投資時間點壓得很窄
[18:16] 其實老實講就連幾乎都是在賭運氣
[18:20] 因為你任何的分析其實都沒什麼太大的作用
[18:24] 幾乎就是在賭運氣
[18:26] 那老實講就跟進賭場沒有太大的差別
[18:29] 那你就是有點
[18:30] 這樣的情況下你的資產其實是很難累積的
[18:33] 你必須要有一些分析的架構
[18:37] 代表著你的勝率是高過五成的
[18:40] 那長期而言你的資產才有辦法累積
[18:43] 所以我剛剛提到
[18:44] 我們以前就要給大家觀念
[18:46] 就是兩個
[18:46] 一個就是人要投資
[18:48] 第二個就是投資是一個很長的一件事情
[18:51] 但是我剛剛提到
[18:53] 因為現在熱
[18:53] 所以第一件事情不用講了
[18:55] 所以要跟大家講
[18:56] 真的時間走不是
[18:57] 投資不是今年明年
[18:59] 在AI的這個架構上不是
[19:01] 只是現在有AI的架構
[19:04] 可以讓大家投資相對變得容易
[19:07] 比較容易賺錢
[19:08] 而且這個時間點更要把握這個時間點
[19:12] 但是無論如何記得就是投資是一個很長期的東西
[19:16] 就算miss掉了也不用緊張
[19:18] 因為過去就過去了
[19:20] 那放眼未來該有的節奏把握就對了
[19:24] 所以應該說每天就是當下就從現在的角度往後看
[19:29] 那你可以看到剛剛提到比較好的現象就是
[19:31] 現在的整個架構從基本面到computax
[19:35] 各样的这个得到的讯息
[19:37] 其实都是支撑指数持续往上
[19:40] 但是我常常讲
[19:41] 就是要公平一点
[19:42] 其实老AI或者是
[19:45] 其实这两周来讲
[19:47] 也是台积电相对是比较弱势
[19:49] 一直到
[19:49] 到昨天也是
[19:50] 对对对
[19:51] 然后一直都是比较弱势的
[19:53] 甚至到昨天的ADR都大涨了
[19:56] 今天都还上不去
[19:57] 还是压抑
[19:57] 所以比较有可能的
[19:59] 就我个人感受就是
[20:01] 可能中小型股的投资人
[20:04] 稍微要有一點點耐心了
[20:06] 因為如果合理的推論來講
[20:09] 我覺得照理講
[20:10] 不只老AI要補漲
[20:11] 甚至台積電也要補漲的機率
[20:14] 因為這禮拜有股東會台積電
[20:15] 大家也在期待
[20:16] 能好好地跟股東溝通
[20:18] 是
[20:18] 那簡單來講
[20:20] 就台積電而言
[20:21] 我個人覺得有點像老AI一樣
[20:23] 就是它的整個架構都是非常好
[20:26] 包含computing
[20:27] 每個人講到台積電
[20:29] 任何的大佬講到台積電
[20:30] 都是要跟他敬禮的
[20:32] 那股價就是一直不反應
[20:34] 甚至ADR這麼強
[20:36] 台灣都不反應
[20:37] 我只能說最後就是得還他公道
[20:39] 所以我覺得這時間點也就在這幾天
[20:42] 所以變成這幾天的現象
[20:44] 就是會至今一直會被
[20:47] 這種所謂的大型股給吸走
[20:49] 所以中小型股
[20:51] 前一段時間也漲很多了
[20:53] 現在至今又吸到大型股
[20:55] 中小型股自然壓力就會比較沉重
[20:57] 尤其我覺得壓力來自哪
[20:59] 來自於一些比較沒有信心的
[21:01] 第一嘛
[21:03] 就是这个赚很多的人随便卖
[21:05] 另外一个是追在高点
[21:07] 他必须得听说
[21:08] 另外一种就是听到谣言
[21:10] 因为你叠了谣言就来了
[21:12] 然后叠了就会告诉你
[21:13] 你这个人个股其实没那么好了
[21:15] 然后就开始陆续下车
[21:17] 这几种人
[21:18] 你给他一点信心
[21:19] 应该给他一点时间下车之后
[21:22] 不断重申
[21:23] 这个基本面不会一两天转变的
[21:27] 所以两天前能大涨
[21:29] 这几天拉回
[21:30] 纯粹就是筹码面跟技术面的问题
[21:32] 所以大家不用紧张
[21:34] 我等一下会抓时间
[21:36] 请这个明翰哥从CPU
[21:38] 记忆体被动元件机器人
[21:41] 里面来帮大家看看
[21:42] 哪几个产业他觉得比较好聊
[21:44] 这个因为这里面除了记忆体
[21:47] 今天是颇有成
[21:48] 但也有点开高走低
[21:49] 像涨停锁不住的问题
[21:50] 那其他三个说实话
[21:52] 今天的震荡大
[21:53] 但被动又相反过来
[21:54] 被动一开盘超级弱
[21:56] 很多档被打到跌停
[21:57] 尾盘全部拉上来
[21:59] 那因为大小模都出了国剧的新报告
[22:02] 目标价都拉到一千块
[22:05] 大家还记得前一阵子
[22:06] 布鲁这个外资捕手来的时候
[22:08] 我们聊到说
[22:09] 为什么大家给国剧最高给到六百五
[22:11] 国剧都已经到价了
[22:13] 没人要调
[22:14] 那国剧涨到八百多
[22:16] 大家也才调到一千零几块
[22:18] 真的大家对国剧真的是一种
[22:20] 很奇妙的心情
[22:21] 不过那一个国剧的想法
[22:23] 我们在布鲁那一节
[22:25] 我们有跟大家分享过
[22:26] 还有一个就是
[22:27] 6月17号会有联准会的利率决策会议
[22:30] 我个人觉得这件事情
[22:32] 是在长得这么开心的过程中
[22:34] 不管长大股长小股大小股接棒
[22:37] 到那一天
[22:38] 如果利率决策会议上的投票
[22:40] 点证图出来是一个比较不乐观的
[22:42] 可能真的会在短线上会有点压力
[22:44] 因为现在看起来都万里无云
[22:45] 一直涨一直涨
[22:46] 为什么我说在请明翰讲产业之前
[22:50] 我要先聊这一段
[22:51] 我怕我忘记
[22:52] 像我昨天吃了一个饭
[22:54] 跟谁呢
[22:55] 跟这个富邦证券的董事长陈明潜陈董
[22:57] 还有富光投过的董事长陈一光光哥他们也有讲到明汉哥就跟我说要挖明汉哥挖不过去因为明汉哥现在不想要回体制内了有一点
[23:09] 对就在聊说挖不过去
[23:11] 好大家就当然就台股今年的状况
[23:13] 就聊说像台股其实还原全息
[23:16] 其实已经是十万点的位置了
[23:18] 因为我们过去的配股配息是很厉害的
[23:20] 那到底能不能达到实质的十万点
[23:23] 哇我们已经讲到这么样的一个远的目标去了
[23:26] 好大家聊得很高兴的同时
[23:28] 我要讲的是一件事
[23:29] 是餐厅有一个非常资深的
[23:31] 应该是我挂了蛮高阶的一个人员
[23:34] 他就来我们这个包厢嘛
[23:36] 他看到我非常非常开心
[23:37] 他就拉着我一直讲话
[23:39] 但我就会觉得不好意思啊
[23:40] 因为主角是陈董嘛
[23:42] 那这个一直跟我讲话
[23:44] 我会觉得有点喧宾夺主这样子
[23:46] 然后他就一直跟我讲说
[23:48] 他有看我们的节目
[23:49] 听我们的podcast
[23:50] 是听我们podcast
[23:51] 他就把他手机拿出来哦
[23:52] 因为我本来以为podcast是说实话
[23:54] 是比较年轻的人在听
[23:56] 但因为这个是一个姐姐这样子
[23:58] 他就说我每天都听
[23:59] 已经听到就是赚了
[24:01] 就是还不错啦
[24:02] 没有说很多赚不少钱
[24:04] 然后打开他的股票库存给我
[24:06] 告诉我他最近因为下错单
[24:08] 从下三张便买了三十几张
[24:11] 但他还是有钱可以交割
[24:13] 很厉害
[24:14] 那党就是老AI
[24:15] 而且那一党最近也很强
[24:17] 所以他就很高兴
[24:18] 整个人很高兴
[24:19] 他就抓着我在聊
[24:20] 那我就暗示说
[24:21] 不要你去跟陈董聊
[24:23] 大家都是那么厉害的人
[24:24] 在现场这样
[24:25] 但是后来我意识到一件事情
[24:27] 就是不管我
[24:28] 或是像敏翰
[24:29] 我们有机会
[24:31] 直接面对到受众
[24:32] 就是我们有听众
[24:34] 有观众
[24:34] 所以他非常开心
[24:36] 就是从我们的嘴巴里面
[24:37] 从我们的频道里面
[24:38] 得到了投资的讯息
[24:40] 他可能很难
[24:41] 从这么高的职位的长官里面
[24:43] 得到讯息
[24:44] 即使看来已经是常客跟熟客
[24:46] 所以那时候我突然觉得
[24:47] 我们使命感变得好重
[24:49] 你知道吗
[24:50] 因为我们放送
[24:51] 因为他讲了一句话
[24:51] 他说
[24:52] 他说赵华小姐
[24:53] 我跟你讲
[24:53] 我们做餐饮真的好辛苦
[24:55] 我们做餐饮的那个收入
[24:57] 真的好辛苦
[24:57] 然后越来越辛苦
[24:59] 所以我们一定要投资
[25:00] 我们一定要
[25:01] 幸好我们有投资
[25:03] 幸好我们有买股票
[25:04] 所以这一波我们才能
[25:06] 从薪水以外赚到这些钱
[25:08] 我听到这句
[25:09] 我突然真的觉得
[25:10] 我整个使命感是点燃
[25:12] 你知道吗
[25:13] 对
[25:13] 好
