[00:00] 欢迎收听赵华业股货载第1089集
[05:34] 虽然我们看到种种过热的现象
[05:36] 但基本面是真的是台股最大的底气
[05:39] 所以你今天看到的是
[05:40] 这些所谓的有基本面的股票冲上去
[05:43] 那当然就代表说
[05:45] 整个台股结构
[05:45] 我觉得认为没有太大的问题
[05:47] 所以目前的问题只在于说
[05:50] 大家现在的心态
[05:52] 是真的稍微有一点点不健康
[05:54] 因为我最近
[05:55] 当然我们自己有一些粉丝
[05:57] 会在这时间点面去留言说
[05:59] 那为什么这股票
[06:01] 你看好的
[06:02] 为什么今天跌了
[06:03] 然后我们大家看一下
[06:04] 这股票今天跌了0.2%
[06:06] 他就觉得这股票不能够跌
[06:08] 对
[06:08] 因为我刚刚有讲
[06:10] 今天大家都在计较
[06:11] 我的股票有没有涨
[06:12] 对
[06:13] 所以我觉得这个当然就是
[06:15] 好像大家都把这个台股
[06:17] 现在要赚钱
[06:18] 要赚快钱当作是一个
[06:20] 很重要的观察指标
[06:22] 所以我认为说
[06:23] 其实现在
[06:23] 当然行情没有太大问题
[06:25] 但问题是
[06:26] 大家都给自己的绩效
[06:28] 太大的压力
[06:29] 这句话很好
[06:30] 对
[06:31] 就是大家会觉得
[06:31] 这句话很棒
[06:33] 就是大家会觉得说
[06:34] 我有赚钱
[06:35] 但别人赚的比我更多
[06:36] 所以你心情很闷
[06:37] 那如果说
[06:39] 你有赚钱
[06:40] 别人赚的比你更多
[06:41] 然后你觉得OK
[06:42] 但是你又觉得说
[06:43] 那好像比较起来的话
[06:45] 我股票如果是跌的话
[06:46] 我也不开心
[06:47] 那甚至说有些人到现在
[06:49] 可能持股部位不够
[06:50] 要想要等到回档
[06:52] 又等不到回档
[06:52] 找不到上市的机会
[06:53] 他也不开心
[06:54] 所以台股明明今天涨1800点
[06:56] 但我认识的很多人
[06:58] 今天都不是很开心
[06:59] 对嘛
[06:59] 我刚才也讲今天
[07:00] 其实我感受到
[07:01] 大家并没有开心感
[07:03] 而是焦虑感特别重
[07:04] 对
[07:04] 所以我觉得这个当然就是
[07:06] 会跟大家讲
[07:06] 在情绪上面来讲
[07:08] 这个时间点是真的
[07:09] 你可能还是要去控制
[07:11] 你的资金水位
[07:13] 因为我们会跟大家讲
[07:14] 现在已经有点类似所谓股票全民运动
[07:17] 然后大家的心态就是说
[07:18] 我今天买股票明天就是要大涨
[07:20] 你看大盘你看这个0050
[07:22] 台湾50挣2
[07:24] 甚至说很多主动式的ETF
[07:26] 每天的涨幅可能都比大盘来得更多
[07:28] 所以我觉得这时间点
[07:30] 但在心态上面还是要提醒大家
[07:33] 就是说这个时间点
[07:34] 其实你可以陆陆续续开始说一些
[07:36] 落袋为安
[07:37] 但你不要把股票卖光
[07:39] 那我觉得最少你卖在相对高档
[07:42] 趋利的新高的时候
[07:43] 你把一些获利实现了
[07:45] 你心态就会稳定一点
[07:46] 那你卖掉卖非股票
[07:48] 也不用太过于担心
[07:49] 因为我觉得台股就是一个
[07:51] 多方轮动的格局
[07:53] 当过热的时候就会出现反转
[07:56] 那当大家悲观的时候
[07:57] 就容易出现上涨
[07:58] 所以我们会跟大家讲
[07:59] 就是说其实你可以看到
[08:01] 四月份的时候
[08:02] 大家应该都还很悲观
[08:03] 四月刚开始的时候
[08:05] 对对不对
[08:05] 因为觉得这个
[08:07] 哪有可能每一战争
[08:08] 就已经没有事情了
[08:09] 然后三月
[08:10] 只有测到季限根本就不够
[08:12] 根本就不够
[08:13] 很多人觉得
[08:14] 因为美股毕竟有打到年限
[08:16] 对因为那时候很多人担心
[08:17] 清明变盘
[08:18] 之后台股会
[08:19] 就跟重演对等关税的惨案
[08:21] 对
[08:22] 然后结果清明变盘之后
[08:23] 台股直接飙了9000点
[08:25] 对
[08:25] 这次清明变盘是往上变
[08:27] 对所以我说
[08:27] 这个时间点
[08:28] 我们刚刚跟大家提到了
[08:29] 你看整个台股结构
[08:31] 我认为没有问题
[08:32] 然后看美股的状况
[08:33] 上个礼拜五
[08:35] 美股在除了道琼指数以外
[08:37] 纳达克标普跟费贷指数
[08:39] 都创下历史的新高
[08:40] 而且刚刚跟大家提到
[08:41] 这一波美股跟台股的状况一样
[08:43] 都是由财报好的股票带动上去的
[08:46] 不是那一种所谓的过度投机的一个氛围
[08:49] 带动美股的创高
[08:51] 所以整体上来看
[08:52] 我觉得以现在台股的架构
[08:54] 应该是说
[08:55] 这个时间点
[08:57] 可能大家就还是要冷静下来
[08:59] 去看待你手上的持股
[09:01] 因为它是一个盘式轮动的格局
[09:03] 所以刚刚提到很多心态是
[09:05] 你看到盘面上
[09:06] 早知道我上个礼拜就重压联发科就好了
[09:10] 早知道我上个礼拜就重压西光子就好了
[09:14] 早知道我上礼拜就去压很多
[09:16] 可能今天盘面上
[09:17] 很多ICC股票飙升上去
[09:19] 我觉得这种早知道的心态
[09:21] 其实是不太好的啦
[09:22] 也就是说大家其实你现在
[09:25] 在这种所谓的
[09:26] 大家都轮得到行情当中
[09:28] 有些时候真的是
[09:29] 你看好的产业
[09:30] 你抱得住的产业
[09:32] 你逢回敢加码股票
[09:34] 那个是真的能够帮你赚更多的钱
[09:36] 那你羡慕别人股票
[09:37] 可能一根涨停两根涨停
[09:38] 说真的啦
[09:39] 你敢买买的不多
[09:41] 所以我觉得这个不是
[09:42] 大家能够赚大钱
[09:43] 可以让你开心的时候
[09:45] 但不一定对你的资产
[09:47] 有很大的帮助
[09:48] 其实你说
[09:49] 有没有东西可以勇敢切入
[09:50] 其实我们虽然一边
[09:52] 是一个碎念的频道
[09:54] 但另外一方面
[09:55] 我们对产业都非常肯定
[09:57] 这个我想有听我们的朋友都知道
[09:59] 在我们肯定的同时
[10:01] 能不能去勇敢做介入
[10:03] 那就跟随着每一个人
[10:05] 不同的个性
[10:06] 不同的资金状况
[10:07] 不同的风险承受度
[10:09] 这个是非常实在的一件事
[10:10] 我们从来不会说
[10:12] 我们对产业
[10:13] 其实已经觉得很悲观了
[10:14] 西光子涨到这边
[10:15] 真的已经离谱了
[10:16] 大家千万不要碰
[10:17] 我们都不是这样讲
[10:18] 因为有一段时间
[10:20] 其实上礼拜
[10:20] 我看我还蛮认真的
[10:21] 我自己的节目摘要
[10:23] 都是我自己在录完音之后
[10:24] 打上去的
[10:25] 有时候真的好感
[10:26] 因为我要去录理财达人秀了
[10:28] 但是刚好上礼拜
[10:29] 我就挺勤劳的
[10:30] 我就看我每一天
[10:31] 都有做节目摘要
[10:32] 放在上面
[10:33] 我印象最深的
[10:34] 就是西光子打回月线
[10:35] 然后有提醒大家
[10:37] 西光子打回月线
[10:38] 其实差不多
[10:38] 你勇敢一点的人
[10:40] 不要去管那个本益比了
[10:41] 因为你没有办法
[10:42] 用本益比去买矽光纸的
[10:43] 就应该做介入
[10:44] 那有没有介入呢
[10:45] 我想可能百分之九十九人
[10:47] 还是会很害怕
[10:47] 但有介入的人呢
[10:49] 可能今天您的股票
[10:50] 要划星光或什么
[10:51] 就直接送你一根涨停板
[10:53] 然后他还有分盘交易的问题
[10:55] 那这边也有跟大家分享说
[10:56] 其实现在分盘交易
[10:58] 真的是在APP里面
[10:59] 按一个键就可以捐钱
[11:00] 只是那个心里面
[11:01] 心里面会有一个
[11:03] 那个
[11:03] 觉得好麻烦哦
[11:06] 就是我还要
[11:07] 这个好像要下定决心
[11:09] 非买到不可
[11:10] 但现在确实的
[11:11] 以多头的态势来说
[11:12] 就是如此
[11:13] 那低轨卫星
[11:13] 也有跟大家分享
[11:14] 我们本来就不会因为
[11:16] 这个AI上太空
[11:17] 马上今天低轨卫星
[11:19] 他们的获利就翻倍
[11:20] 从来就不是
[11:21] 它就是个题材
[11:22] 但是低轨卫星
[11:23] 会不会颗粒越设越多
[11:24] 会
[11:25] 所以他们的基本面会好转
[11:26] 那题材的光环拿掉之后
[11:29] 什么时候会再回来
[11:30] 其实市场很现实的
[11:31] 市场会觉得
[11:32] 现在你低估了
[11:33] 资金那么热
[11:34] 你还是今年要
[11:35] SpaceX IPO
[11:36] 哈蒂鬼卫星还是不错
[11:38] 今天生达科就滑通
[11:39] 就涨停板
[11:40] 所以其实对于所有的产业
[11:43] 只要在势头上沾到半导体
[11:45] 沾到这个CPU
[11:47] 沾到这个Ethic
[11:49] 其实也是半导体
[11:50] 其实这些东西都是半导体里面的一环
[11:52] 所以台湾很厉害
[11:53] 台湾有台积电联电
[11:54] 我们的半导体还有什么问题呢
[11:56] 没有什么问题
[11:57] 这个讲一个老历史
[11:59] 对不对
[11:59] 台积电是直向发展
[12:01] 就台积电
[12:02] 它一直深化它的奈米技术
[12:04] 本来台积电跟联电
[12:05] 在早期刚开始的时候
[12:06] 大家不觉得两边有分别那么多
[12:08] 可是后来台电选择的
[12:09] 就是一个技术导向
[12:11] 就是我就是生化奈米技术
[12:13] 或者是我自己一条龙
[12:14] 可以做的事情
[12:15] 我就自己做这样子
[12:17] 可是联电就横向发展
[12:18] 联电就这个曹董
[12:20] 想法是说
[12:22] 我就开支散业嘛
[12:23] 我投资非常非常多的IC设计公司
[12:26] 对不对
[12:26] 或者其他的
[12:27] 只要跟我的经验有关的
[12:28] 我就横向发展
[12:29] 那当然张忠谋也很有钱
[12:32] 曹也是爷爷
[12:34] 也很有钱
[12:36] 策略不一樣
[12:38] 但是它都讓台灣的半導體
[12:40] 得到一個非常好的發展基地
[12:43] 不管你今天橫向或直向
[12:45] 我們在奈米競爭上有台積電我們在IC設計或是相關半導體的族群裡面有聯電的開支散业我觉得这些都是非常非常重要的所以它才能打造我们台湾在AI里面
[12:59] 依赖半导体王国这件事情
[13:01] 我觉得可能很多人刚进来的时候
[13:03] 这两年才来参与股市
[13:05] 他没有办法像我们以前看产业的时候
[13:08] 有这么深的一个感受
[13:10] 所以常常会跟大家讲
[13:11] 为什么我们觉得这一波
[13:13] 在三月的时候还是这么有信心
[13:14] 就是这个底气
[13:16] 这个不是这两年培养出来的底气
[13:18] 它是过去30年
[13:20] 40年培养出来的底气
[13:22] 在现在大幅的
[13:24] 让台湾站在主场
[13:25] 我觉得这个是一个很重要的事情
[13:27] 但是你说光靠产业的基本面
[13:30] 可以这么厉害吗
[13:31] 当然不是
[13:31] 它里面还包含了
[13:33] 就题材猎人
[13:34] 他知道的题材的光环
[13:36] 资金的热炒
[13:37] 所以这个东西就像啤酒的泡沫一样
[13:40] 有泡沫很好喝
[13:41] 但泡沫有没有有一天会消掉
[13:42] 当然有可能
[13:43] 不是说这个是产业的泡沫
[13:45] 是说资金它有一点泡沫化
[13:47] 这个是不能够否认的
[13:48] 但顺势而为的情况下
[13:50] 如果您真的很相信
[13:52] 这些产业的热潮
[13:54] 我们是绝对不看淡的
[13:55] 可是是不是每个人都能勇敢买
[13:58] 真的不是
[13:58] 所以不要用后照进去
[14:00] 羡慕那些当时敢买的人
[14:02] 因为他们也承担着
[14:04] 可能会失败
[14:05] 或是泡沫提早发生
[14:07] 资金先退潮人才人的问题
[14:09] 他们有先承担了这个风险
[14:11] 才有今天的成果
[14:12] 怎么开始碎念起来
[14:13] 我刚刚是要碎念吗
[14:14] 我刚是要碎念吗
[14:17] 怎么突然忘记我刚要讲什么了
[14:19] 所以我们赶快回来
[14:20] 就是说
[14:21] 我要讲的是我们产业很棒
[14:23] 只要是我们点名过的那些产业
[14:26] 都没有什么问题
[14:27] 对因为我相信
[14:28] 大家还是心里面比较急
[14:30] 就希望说能够听到多一点
[14:32] 产业个股的一个消息
[14:33] 所以我们要跟大家讲
[14:35] 就是碎念大概可能后面还会再念
[14:37] 没有但是我要讲的是
[14:38] 我们一直都认为
[14:40] 这一波产业没有问题
[14:41] 对
[14:41] 所以还是跟大家讲
[14:43] 我们讲大盘的部分
[14:44] 刚刚跟大家说一些正面的消息
[14:47] 那现在可能大家
[14:48] 还是要跟大家讲一下
[14:49] 就是说你说五月份
[14:51] 整个五月份
[14:52] 大家会担心第一件事情
[14:53] 美股会不会有
[14:53] sell in make or wait这件事情
[14:55] 对那历史统计来讲
[14:57] 本来五月份美股也相对比较淡
[14:59] 所以如果以现在的情况
[15:01] 我们会跟大家讲
[15:02] 现在美股在上礼拜创高
[15:04] 是因为财报的关系
[15:05] 是因为资金的回笼
[15:07] 大家对于这个油价
[15:08] 对于地缘战争风险
[15:10] 有一点淡化的迹象
[15:11] 然后对于这个联准会主席
[15:13] 新人人选华许接任
[15:15] 有这样的一个期待性
[15:16] 但我觉得这个都已经
[15:17] 反映在股价上面了
[15:19] 所以要跟大家讲的是
[15:20] 第一个美股后续的状况是
[15:22] 陆续的一些重要级财报
[15:23] 都已经公布完毕了
[15:25] 所以美股后面就走资金盘
[15:27] 就是说这些所谓的
[15:28] 前一阵子被嘎空手的
[15:30] 对冲基金啊
[15:31] 或说现在美股的散户
[15:32] 开始加速的回流
[15:33] 那这资金能够推升
[15:35] 美股走多远
[15:36] 那这一点我觉得
[15:37] 当然美股这一半
[15:38] 还是有一些相关重点财报
[15:39] 可以观察
[15:40] 像AMD啊
[15:41] 像安某啊
[15:42] 像克希仁啊
[15:44] 像这个流明光学啊
[15:45] 所以细光子跟IC设计
[15:48] 跟所谓的CPU相关的概念股
[15:50] 我觉得都会是这个礼拜
[15:52] 大家观察美股财报
[15:53] 人们续航的一个关键重点
[15:55] 那第二件事情
[15:56] 当然大家也注意到
[15:57] 5月1号就开始报税了嘛
[15:59] 所以最近这段时间
[16:00] 我觉得大家可能是
[16:01] 除了看你手上的股票
[16:03] 很多被处置会公布财报以外
[16:05] 你可能还要去关注一下
[16:07] 大股东他们的一个
[16:08] 转让持股的情况
[16:10] 因为报税季到了嘛
[16:11] 所以相对来看有些大股东可能会说
[16:14] 我因为要报税
[16:15] 所以高档开始卖股票
[16:17] 所以这也是大家可能在五月份
[16:19] 大家要关注的
[16:20] 除了你自己要报税
[16:21] 要不要去获利了结
[16:23] 去报税的问题以外
[16:24] 你要关注这些涨很多的公司
[16:27] 如果在高档什么董娘卖股
[16:29] 然后创办人卖股
[16:31] 那可能都会造成股价的波动
[16:33] 所以刚刚跟大家讲说
[16:34] 虽然现在是一片乐观
[16:36] 但还是有种种的考验在后面会发生
[16:39] 那当然大家会说
[16:41] 这一波台股因为这个520
[16:43] 就值点击的关系
[16:45] 所以有没有机会一路涨到5月20号
[16:48] 那5月20号之后又马上是挥打财报
[16:51] 所以我觉得这个也代表说
[16:52] 台股虽然说5月份我们认为说
[16:54] 会有过热风险
[16:56] 但会不会出现反转性的大跌
[16:59] 以目前来看
[17:00] 没有看到这样的迹象
[17:01] 所以你只要关注的是
[17:03] 控好你的资金水位
[17:05] 那手上股票
[17:06] 如果没有强势股票的话
[17:08] 可能要适度布局一些
[17:09] 那如果说在等待的股票的话
[17:12] 只要他基本面或未来成长率没有太大问题的话
[17:14] 我觉得你可以耐心的去等待他的转强
[17:17] 像刚刚赵华说提到的
[17:19] 低轨卫星华通上个礼拜大家失望了
[17:22] 那今天华通涨停板因为投信买回来了
[17:25] 所以现在很多主流强势的股票
[17:29] 如果来到低档
[17:30] 然后投信开始换股又把它买回来的话
[17:32] 我觉得反而有一些补涨的空间
[17:34] 那反过来有一些强势创高的股票
[17:38] 如果在高檔投信不买了
[17:40] 开始到货
[17:41] 那他高檔就有补贴的风险
[17:43] 所以你可以根据这样的现象
[17:45] 你手上股票在低檔
[17:47] 你觉得很失望
[17:48] 但投信开始在买
[17:49] 你就续报一阵子
[17:50] 你手上股票如果在高檔
[17:51] 看到投信卖的话
[17:52] 你也可以跟着做一些货币了结的动作
[17:55] 那甚至说你本来看好西光子
[17:57] 他最近投信在卖
[17:57] 也许他卖到低檔
[17:59] 开始卖不下去了
[18:00] 你就可以趁低去捡投信到处来筹码
[18:04] 我觉得都会有机会
[18:05] 所以跟大家讲的是
[18:07] 五月份你说要像今天这么疯狂
[18:09] 一天涨1800点
[18:10] 我认为机会可能没那么高
[18:12] 但是在操作上面
[18:14] 你只要把握好节奏的话
[18:16] 其实五月份都还是大有可为的
[18:18] 那刚刚提到的嘛
[18:20] 你要看整个趋势方向
[18:21] 所以你可以看
[18:23] 比方说四月份美股涨什么股票
[18:25] 我觉得这个就可以点出来
[18:27] 因为今天盘面上台股
[18:28] 应该叫百花齐放
[18:29] 大概什么样的股票都是大涨的
[18:32] 都有代表
[18:33] 对所以你如果没有把握
[18:36] 对产业了解不是那么深
[18:38] 那你又觉得盘面上
[18:40] 可能热点轮动很快的话
[18:41] 我会建议大家尽量去寻找
[18:43] 国际上的指标股可以参考的
[18:45] 那我觉得那种族群的动能
[18:47] 跟它的一个趋势延续性
[18:49] 就会变得比较强
[18:49] 所以我们大概可以看一下
[18:51] 四月份美股里面
[18:53] 哪一些股票特别好
[18:54] 第一个我觉得像在
[18:55] 所谓的CPU相关的
[18:57] 英特尔啊
[18:58] 然后AMD啊
[18:59] 安摩这三档
[19:00] 都是收汇到所谓CPU的题材
[19:02] 在整个四月份美股表现里面
[19:05] 安摩跟AMD我记得涨了70几%
[19:08] 然后英特尔涨了110%
[19:10] 所以这个当然对台湾相关的IC设计
[19:12] 或CPU相关的股票
[19:14] 我觉得都会有一些带动的作用
[19:16] 所以你看到今天为什么联发科上来之后
[19:19] 那台湾很多IC这些股票开始加速的比价
[19:22] 我们大致上看一下联发科创意是
[19:25] 4月份涨一倍的股票
[19:27] 对
[19:27] 就4月就涨一倍了
[19:29] 然后股王信华今天是17545块
[19:33] 可能要有2万块的股票了
[19:34] 一天涨了1070块
[19:38] 这真的是很难想象
[19:39] 然后所以整个ICC股票
[19:42] 半岛也相关的
[19:43] 我觉得都还是盘面上
[19:44] 可以关注的主流
[19:45] 那联发科又跳空掌心板
[19:47] 你可以看到今天盘面上
[19:48] 也有很多发哥集团的股票
[19:51] 是
[19:51] 达发
[19:52] 九阳
[19:53] 对这些我觉得都开始往上动起来
[19:56] 所以只要联发科不转弱
[19:58] 那我觉得其实整个ICC股票
[20:00] 都是大家可以在五月份
[20:02] 持续留意的一个标的
[20:03] 因为发哥的法术会
[20:04] 虽然说看到
[20:05] 第一季平平
[20:07] 第二季下修
[20:08] 但他讲出了一个关键字
[20:09] 对
[20:10] Esic的部分
[20:11] Esic他今年的营收
[20:12] 会比原本预估的来得多
[20:14] 这就是他的迎面
[20:15] 对
[20:16] 所以法人都上调
[20:17] 他的目标平等
[20:18] 五千的四千的都有
[20:20] 对
[20:21] 这也代表了市场的气氛
[20:22] 就是这样子
[20:23] 我们有跟大家
[20:24] 因为那天刚好
[20:25] 发哥法说的时候
[20:26] 我们在录Parkhead
[20:27] 可是就来不及
[20:28] 因为我们Parkhead录完
[20:29] 他才有全部的法说内容
[20:31] 当时就有在空中
[20:32] 跟大家分享说
[20:33] 如果你看到他
[20:34] 目前结出来第一季的成绩
[20:35] 当然就没有成长
[20:36] 可是没有成长不怎样
[20:38] 他本来就预估今年
[20:39] 因为手机市场实在是
[20:40] 没有以前那么好了
[20:42] 所以不会成长的
[20:44] 但要密切注意
[20:45] 发哥在Ethic上面的动态
[20:47] 会不会今年就有营收
[20:48] 就他比我们想象中来得好
[20:50] 不但有营收
[20:51] 还比原本的预收提前
[20:52] 对
[20:53] 所以这件事情
[20:53] 就让市场给了他
[20:55] 非常大的激励
[20:56] 高盛直接就说
[20:57] 发哥五千
[20:57] 五千
[20:59] 对
[20:59] 所以今天看到联发科
[21:01] 是跳空掌印版
[21:02] 而且这个波段以来
[21:03] 从1400块上来
[21:04] 联发科我记得好像连到今天
[21:06] 应该是第四个
[21:07] 还是第五个的涨停板
[21:08] 是很难看到台股
[21:10] 市值这么大的股票
[21:11] 能够连续跳空
[21:13] 那当然一部分也代表
[21:14] 它筹码是被锁得很漂亮
[21:17] 那大家也会说
[21:18] 这个跟姚杰有关
[21:19] 对因为981A又开始在前坡
[21:23] 是大局布局联发科
[21:25] 那今天看起来
[21:26] 也是市场的一个大赢家
[21:27] 所以我觉得联发科上去之后
[21:29] 最少对于台股
[21:30] 整个ICC族群来讲
[21:32] 也是大家五月份可以留意的标的
[21:34] 所以你可以看到像什么威慎集团
[21:36] 这种比较没有获利的公司
[21:40] 其实股价也慢慢上来
[21:41] 你要找有获利的
[21:42] 其实像在刚刚提到的联电集团
[21:45] 有蛮多所谓的IC设计的公司
[21:47] 其实也在现阶段看起来
[21:48] 也都有一些比价效应
[21:50] 更好的就比方说类似新唐这种的
[21:52] 有跟信华比价的
[21:54] 或说最近MCU受惠到德州仪器
[21:56] 这些所谓的美股的大厂
[21:59] 他们涨价寒所带动的
[22:01] 我觉得都是在排面上
[22:02] 你可以留下标的
[22:03] 因为蛮多IC设计公司
[22:05] 其实整体上来看
[22:06] 以前大家觉得
[22:07] 台股IC设计的本益比都偏高
[22:09] 但现在跟所谓的细光子
[22:12] 跟这个相关的
[22:13] 可能半导体的设备
[22:15] 才要比较起来
[22:16] 他们本益比
[22:16] 我觉得反而合理很多
[22:18] 没错
[22:18] 对 所以我觉得
[22:19] 这个也会是资金选择的标的
[22:21] 那另外一块
[22:22] 大家可以看的是
[22:23] 在四月份表现好
[22:24] 但在美股里面
[22:25] 是细光子族群
[22:26] 对
[22:27] AOI在上个礼拜
[22:28] 我是涨了十几个百分点
[22:30] 又创下历史的新高
[22:31] 所以科西伦啊
[22:33] 然后Romanton啊
[22:34] 这些相关的指标股
[22:35] 在4月份很多
[22:36] 它会缴出可能是
[22:38] 40%到一倍以上的报酬率
[22:40] 所以你看到
[22:41] 刚刚赵华提到
[22:42] 上礼拜西光子
[22:43] 愁云残雾的时候
[22:44] 如果大家有看着美股
[22:46] 去做台股的话
[22:47] 你可能就会比较有信心
[22:49] 去承接台股的西光子的拉回
