[00:00] 欢迎收听造华与古惑仔第1116集
[07:53] 所以变成说它已经把这个陌生低都跌破了
[07:57] 所以在这种情况之下
[07:59] 可能会有人觉得那不错啊
[08:01] 这个拉回幅度很深啊很好
[08:02] 可是换另外角度来讲
[08:04] 就是说你拉回幅度深
[08:06] 就代表说上面
[08:07] 可能会有比较多的
[08:09] 这个套牢筹码
[08:10] 冤魂
[08:11] 对套牢筹码
[08:12] 不要讲冤魂
[08:13] 公主
[08:14] 公主
[08:16] 为什么
[08:16] 公主都在那个高塔上
[08:19] 要等那个王子来救他
[08:21] 现在有新代名词就对了
[08:23] 不要说是套牢
[08:24] 是我现在当公主了
[08:25] 对当公主
[08:26] 那个这个参法公主
[08:28] OK
[08:29] 确实要注意这件事
[08:31] 我们都想说碟身
[08:31] 可以捡得比较便宜
[08:33] 可是碟身代表上面的人
[08:35] 想要解套的心
[08:36] 就很强
[08:37] 一上去就有压力
[08:38] 对
[08:38] 所以因为一个是回撤到
[08:41] 这个陌生段的低点
[08:43] 一个是回撤0.618
[08:45] 那至少呢
[08:46] 我个人认为短时间之内
[08:48] 你要再突破这个前波高
[08:51] 然后要创下这个历史新高
[08:54] 的几率是比较小
[08:56] 就这样
[08:56] 我的看法就这样
[08:58] 就是他要短时间之内
[09:00] 要去创历史新高
[09:02] 几率比较小
[09:03] 那就代表说
[09:04] 他接下来可能
[09:05] 要进行这个所谓的横盘整理
[09:08] 或者是往下做修正的机会
[09:10] 稍微高一点点
[09:12] 那就因为这样子
[09:13] 我就把一些手中的一些持股
[09:15] 找个机会去做点减码
[09:18] 还记得上礼拜
[09:19] 其实维泰有一些金句
[09:21] 后来我看到网友们还广为流传
[09:23] 我自己印象最深的
[09:25] 我们上礼拜讨论一件事情
[09:26] 就是如果您买强势股
[09:28] 要记得停利
[09:29] 您买弱势股
[09:30] 要记得停损
[09:32] 这件事情我听了
[09:33] 我当下是非常有感觉的
[09:35] 因为维泰叫黄金右下角
[09:37] 所以我们常常觉得
[09:39] 它都已经跌到这边了
[09:40] 就凹啊继续凹啊
[09:42] 其实我们之前有讲过
[09:43] 很多的股票它真的很好
[09:45] 可是有时候你等的时间一长
[09:47] 它不但让你的资金效率变差
[09:48] 而且它背后可能有一些
[09:50] 其实它并不是真的黄金右下角的原因
[09:54] 所以如果发现搞错了
[09:56] 搞错了还是继续往右下角的时候
[09:58] 要设一个你可以承担的风险
[10:00] 或是你可以承受的亏损范围
[10:02] 那同样的这一波上来
[10:03] 我们常常讲我们不预设高点
[10:05] 我们也不预设这档股票
[10:06] 可能会涨到哪里
[10:07] 但是很多人都已经抱了一段了
[10:10] 其实一直在问我说
[10:12] 到底哪里可以停利
[10:13] 我也跟大家分享
[10:14] 我自己有一些停利的方式
[10:16] 如果角度很陡
[10:17] 就是延短的均线
[10:19] 例如说三日线五日线
[10:21] 我有遇过
[10:22] 也有朋友跟我说
[10:23] 可是最近的跌幅
[10:25] 常常是本来还在五日线上
[10:26] 突然之间五日线就大破
[10:28] 然后破到快十日线
[10:29] 好 这边一定要跟大家讲
[10:31] 破了就是破了
[10:32] 就是不管是小破 大破 微破
[10:35] 微破你可能还舍不得走
[10:36] 破一点点而已
[10:37] 这是新的不让理论
[10:39] 因为我真的收到很多
[10:42] 很奇妙的事情
[10:43] 就是说
[10:44] 照我听你讲的
[10:45] 我决定守五日线
[10:46] 可是像什么突然一天
[10:48] 他就跌停或是跌8%
[10:50] 不但破五日线
[10:51] 甚至接近十日线
[10:52] 好痛
[10:53] 吐太多了
[10:54] 我不想停利了
[10:55] 吐太多
[10:56] 不是说赔钱
[10:57] 吐太多了
[10:58] 我不想停利了
[10:58] 或者是他今天只是微微破
[11:01] 是不是再给他一点机会
[11:02] 如果要守所谓的技术形态
[11:04] 我觉得大家还是遵守下纪律啦
[11:06] 吐太多了
[11:07] 就要止吐啊
[11:09] 我懂那个心情
[11:12] 但是我会觉得我自己至少愿赌服输
[11:14] 例如说好微微破我也不想要吐嘛
[11:17] 对不对
[11:17] 微微破而已啊
[11:18] 隔天大破
[11:19] 好啦好啦好啦
[11:20] 微微破上去小确幸
[11:23] 我懂那心情
[11:25] 但是你要做这样的决定
[11:28] 你就要承担后面带来的效应嘛
[11:30] 对不对
[11:30] 好这是第一个
[11:31] 那或者是定期的一个停利很多人會覺得定期停利聽起來很不切實際會覺得为什么赚20%或是50%我可能没有一个标准没有关系像我的话ETF
[11:42] 我很喜欢设一个
[11:43] 把20%的部分赎回这件事情
[11:46] 就至少你把那个20%入贷
[11:48] 或是你不想赎回那么多
[11:49] 但至少稍微变个线
[11:51] 那维泰上礼拜教大家的是
[11:53] 假如你的获利已经拉开了
[11:55] 你就把你的成本拿回来
[11:57] 对不对
[11:57] 5万块一张的
[11:59] 你已经赚到8万块了
[12:00] 你先把五万块拿回来
[12:02] 三万块是现赚的嘛
[12:04] 你就看它会涨到哪里去
[12:05] 我觉得这也是一个很随缘的
[12:07] 或者是说其实很有道理
[12:10] 克服人性的一个方式
[12:11] 我必须说曾经有一个问题是问我说
[12:14] 赵华到底有没有人能够买在最低
[12:18] 卖在最高
[12:19] 其实我很惊讶
[12:20] 我很惊讶有人会想要问这个问题
[12:23] 但会有人问这个问题
[12:25] 显然就是很点出
[12:26] 大家都很希望自己是那样的人
[12:28] 就是我可以买在最低
[12:31] 我也可以卖在最高
[12:32] 我不要每一次的动作
[12:34] 我都害怕我买完还有更低
[12:36] 我卖完还有更高
[12:37] 其实我可以理解
[12:39] 但是我就回答他说
[12:39] 真的不可能
[12:40] 就算是现在盘面上
[12:42] 所有的少年股神都不可能
[12:44] 我们只能赚到自己最适合
[12:46] 跟认知里的那段钱
[12:48] 所以上礼拜我觉得在
[12:49] 韦泰有提醒大家的情况下
[12:51] 可能大家也可以去思考
[12:53] 到底怎么样做停利的话
[12:54] 那这一波比较能够想的
[12:56] 就是什么时候再来减
[12:57] 比较不是很慌乱的想说
[13:00] 忽然之间我的股票就跌停了
[13:02] 或者是跌了很重
[13:03] 我该怎么处理
[13:04] 好
[13:06] 我们先来分享一下
[13:07] 我刚刚想到的金句
[13:09] 是不是
[13:09] 好你说吧
[13:12] 刚讲到那个微破跟大破
[13:15] 那个事情
[13:15] 我给你什么灵感
[13:17] 对我要跟大家分享一下
[13:18] 这个其实我要很感谢赵华
[13:20] 问这个问题
[13:21] 因为其实很多东西
[13:23] 它在我的脑袋里面
[13:24] 它其实已经是自然而然
[13:26] 就像我的呼吸一样存在
[13:28] 我其实不会把它当作一个
[13:29] 很重要的事情来讲
[13:31] 不过因为你讲
[13:31] 我就跟大家分享
[13:33] 好
[13:33] 微破大支撑
[13:35] 它会反弹
[13:37] 你已经写下金句了
[13:40] 微破大支撑会反弹
[13:41] 大破小支撑要做停利
[13:42] 这操作的一个美感
[13:46] 好
[13:46] 帮大家再讲详细一点
[13:48] 大家可以把手上的股票
[13:50] 拿出来看一下
[13:51] 什么叫微破大支撑
[13:53] 就是说你今天
[13:54] 假设它今天是小跌
[13:56] 小跌然后破了颈线
[13:59] 破了颈线
[14:01] 那破月线算不算呢
[14:02] 我觉得如果说是月线跟季线来比较的话
[14:06] 我觉得季线比较算
[14:07] 季线大家说是什么
[14:09] 因为月线比较卡在中间
[14:11] 但如果它是那种
[14:13] 相对的比较是属于高档的这种
[14:19] 就是乖离过大之后的回撤那种
[14:22] 你跌破月线
[14:23] 其實我覺得它會有這個反彈
[14:25] 就像禮拜一
[14:26] 就像禮拜一
[14:28] 它就是破月線
[14:30] 破月線之後禮拜二一個大反彈
[14:32] 對 它反彈
[14:33] OK 好
[14:33] 所以這個微破大支撐
[14:35] 基本上會受反彈
[14:36] 那這件事情呢
[14:38] 對於投資人來講就是
[14:40] 你當下你覺得不想要
[14:42] 不想要賣嘛
[14:43] 那如果它是微破大支撐
[14:45] 我覺得你可以等一兩天
[14:46] 好
[14:47] 等一兩天
[14:48] 就像昨天
[14:49] 所以為什麼我當天
[14:50] 你問我為什麼要賣
[14:52] 我说我没卖
[14:53] 我当你没卖
[14:54] 但是我拉上来
[14:55] 我从昨天跟今天我都出
[14:58] 是
[14:58] 我都出
[14:59] 昨天有人觉得是人道走廊的概念
[15:01] 昨天也会有人这样想
[15:03] OK
[15:03] 好
[15:04] 那大破小支撑
[15:06] 就是他如果长黑跌破五日线跟十日线
[15:09] 我就会走
[15:10] 因为他一定出问题
[15:11] 是
[15:12] 他一定出事
[15:12] 但出什么事
[15:13] maybe我不知道
[15:14] 因为总是有人比我们早知道
[15:17] OK
[15:18] 那这是我个人的操作原则
[15:20] 是
[15:20] 对
[15:21] 大概这样
[15:21] 因为我常常请维泰救火
[15:23] 他在那边讲
[15:24] 因为我常常会发生
[15:26] 什么样的突发事件呢
[15:27] 我们救过谁呢
[15:29] 我在节目上也数过
[15:30] 例如说像中顶
[15:31] 那时候发生子公司
[15:33] 有应收账款
[15:33] 整个收不来
[15:34] 那个款项是巨大的
[15:35] 那中顶就连吃叠挺嘛
[15:37] 那个时候请维泰来解
[15:39] 其实这事情不好解
[15:40] 因为我们谁也没把握
[15:42] 他到底最后能不能收回来
[15:44] 然后而且也曝露出一个问题
[15:47] 但是他也成为
[15:48] 中顶最近在转型上面
[15:49] 我觉得很好的一个事情是
[15:51] 当时你会发现
[15:52] 原来中顶接了很多工程的利润
[15:54] 其实并不是很好
[15:55] 就是有很多基础建设
[15:57] 公标案
[15:58] 甚至到东南亚国家接的标案
[16:00] 它的利润都没有到非常好
[16:02] 所以这件事情就造成
[16:03] 当时盘面上一个很大的伤害
[16:05] 怎么变成讲古了
[16:06] 但是最近中顶的毛利率
[16:09] 就变得比较好
[16:10] 因为后来他就去接到了一些
[16:11] 也拜我们的半导体
[16:13] 就是蓬勃发展之次
[16:15] 也拜AI之次
[16:16] 就是有一些设备的
[16:18] 它可能是不见得要到
[16:19] 无尘室这么精密
[16:20] 或者是maybe
[16:21] 他有拿到一些认证
[16:22] 是可以做这么精密的
[16:23] 总之他有往这个部分
[16:24] 做布局
[16:25] 这个部分的毛利率
[16:26] 就明显是好的
[16:27] 所以当时
[16:28] 钟鼎在叠的时候
[16:29] 我们也有请
[16:30] 韦泰来解说
[16:31] 到底怎么办
[16:32] 但像钟鼎一开始
[16:33] 其实韦泰我记得
[16:34] 也是叫我们先
[16:35] 也是不要急着去接到
[16:36] 因为那个事情
[16:37] 看起来比较大
[16:38] 对
[16:38] 然后还有像光宝科
[16:40] 每一次开完法说
[16:41] 就会变法会
[16:42] 还不止
[16:43] 我还请你救过谁
[16:44] 有很多人都很奇妙
[16:46] 就是开完一个什么会
[16:47] 然后后面就
[16:48] 说完杀一根蝶艇
[16:49] 还有就是季报公布
[16:50] 发现去年第四季
[16:52] 认裂的一笔什么业外亏损
[16:54] 第一季有一个什么毛利不如预期
[16:56] 很容易在这个时候
[16:57] 就会出现一个短暂的急杀
[17:00] 甚至破支撑
[17:01] 但是会根据各种不同的状况
[17:03] 来为台帮我们做解读
[17:05] 不过今天教大家就是
[17:07] 如果虽然只是微破
[17:09] 但是一个大支撑破掉了
[17:10] 对那可能会有反弹吗
[17:12] 那就等一下
[17:13] 但如果是大破
[17:15] 就算是小支撑
[17:16] 可能我们也得要留意对不对
[17:17] 因为大破就是市场公司觉得今天有大问题
[17:21] 可是我觉得今天
[17:22] 为什么让我觉得体感真的比较不舒服
[17:24] 今天很多的股票
[17:25] 以形态来看真的是大破
[17:27] 就是说它大跌
[17:29] 对
[17:29] 它的那个黑K实在是太大了
[17:31] 因为开盘的时候还不错嘛
[17:33] 开盘我们一度拉到多少
[17:34] 我还记得我看到
[17:36] 拉到只有跌八九十点
[17:38] 我还想说
[17:39] 哇塞
[17:39] 我们台股哪里来的勇将
[17:41] 如此之有梦
[17:43] 该不会拉红吧
[17:45] 这也太扯了
[17:46] 而且当下我跟韦泰有一个想法
[17:48] 是可能类似
[17:48] 是我有在想说
[17:49] 我要不要卖东西啊
[17:51] 我觉得太奇怪了
[17:52] 就昨天大涨
[17:53] 然后融资大增
[17:55] 然后今天开盘还那么强
[17:56] 所以我开盘确实
[17:57] 为什么我发文写说
[17:58] 我没有想要捡东西
[18:00] 但是因为我也不是会随便卖东西的人
[18:02] 那我中间又有做停利的规划嘛
[18:05] 所以我就在看了半天
[18:06] 我今天确实什么都没有做
[18:08] 那我刚跟韦泰讲说
[18:09] 我今天只有在最后一盘
[18:11] 就杀到最低的时候
[18:12] 我打开了
[18:13] 看了一下昨天跟大家分享的
[18:15] 00402A怎么了
[18:16] 他昨天挂牌
[18:17] 他昨天挂牌
[18:18] 遇到台股刚好大涨
[18:20] 整个大溢价
[18:22] 整个大溢价
[18:23] 结果我到尾盘的时候
[18:24] 他完全没溢价
[18:25] 破发又没溢价
[18:26] 然后又便宜
[18:27] 因为一张是十块发行价
[18:29] 又破发
[18:29] 我就进去
[18:30] 就是捞个几张放着
[18:32] 当做一个种子
[18:34] 因为他投资在美股科技股
[18:36] 是我有兴趣的范围
[18:37] 就当个种子
[18:38] 我今天就只有做这件事情
[18:39] 从头到尾我也没有卖东西
[18:42] 我也没有买东西
[18:43] 厉害
[18:43] 为什么
[18:44] 为什么这样就厉害
[18:46] 你做了我不敢做的事
[18:47] 你说去捡那个402A
[18:49] 应该说我现在就是
[18:51] 不会想要去捡股票
[18:54] 对我可能会稍微再观望一下
[18:56] 是
[18:57] 你看我们礼拜一是汉为
[18:59] 礼拜二是明汉
[19:01] 礼拜三是韦泰
[19:02] 每一个人都呈现不一样的风格
[19:04] 因为明汉是
[19:05] 我就常常开玩笑
[19:06] 他完全是绝对性的乐观
[19:09] 我当然这样讲明汉不太公平
[19:11] 但我的意思是
[19:12] 他立足在基本面上面
[19:14] 目前他觉得基本面没有败向的情况下
[19:17] 回杀越杀越重
[19:19] 他就越觉得是买点
[19:20] 他唯一讨厌的就是乖离率拉高
[19:23] 所以像今天这样又修正了一次乖离率
[19:26] 我觉得他就又站在是一个比较快乐的方向
[19:29] 这样
[19:29] 可是韦泰讲的是一些在筹码面上的变化
[19:32] 例如说如果之前涨得那么高又是几涨
[19:35] 突然之间的击杀上面的套牢量
[19:37] 我们不容忽视
[19:39] 因为这几天的量是缩的
[19:41] 其实这几天的量缩
[19:42] 我跟每个达人做分享
[19:43] 大家都觉得这几天量缩是不好的
[19:45] 因为代表你没有杀完
[19:47] 你没有出现一个
[19:49] 大家都很恐慌啊
[19:50] 然后爆大量的时候
[19:52] 有人愿意承接啊
[19:53] 有人就不计代价的砍出啊
[19:55] 只有在礼拜一的开盘
[19:56] 有稍微出现一点这样的现象
[19:58] 但其实昨天到今天
[20:00] 即使今天下杀了
[20:01] 把量稍微杀出来
[20:02] 都没有
[20:03] 都没有造成这一波
[20:04] 真正的筹码清洗
[20:06] 以及真的是什么
[20:08] 有人断头啦
[20:09] 有人觉得超级乐观
[20:11] 我现在一定要剪
[20:12] 因为都没有
[20:12] 所以其实市场的观望气氛非常的重
[20:15] 但是我必须讲
[20:17] 今天台积电的营收创新高
[20:19] 我觉得啦
[20:20] 个人好不好
[20:21] 个人揣测
[20:21] 跟台积电本人无关
[20:24] 我觉得他是有要发挥一个
[20:26] 稳盘效应的
[20:27] 对
[20:28] 因为
[20:28] 总之就是有很多的消息来源
[20:32] 都是提醒说
[20:33] 今天要创新高
[20:34] 有可能差一咪咪
[20:35] 但是后来没有嘛
[20:37] 那台积电前一阵子
[20:38] 大家知道
[20:38] 虽然股价曾经也创过新高
[20:40] 可是比起一些标股来说
[20:42] 他的涨幅相对是落后的
[20:43] 因此如果今天台积电
[20:45] 能够在营收出来之后
[20:47] 市场觉得没有那么差
[20:48] 还是真的创新高
[20:49] 还是很厉害
[20:50] 他能够稳住
[20:51] 我觉得对盘
[20:52] 也有一些所谓的稳定效果
[20:54] 那今天的话
[20:55] 还有一个有趣的事情是
[20:57] 起来的叫营建股
[20:58] 对
[20:59] 营建股是因为
[21:00] 今天这个杨金荣去
[21:02] 立议院质询
[21:03] 我们央行总裁
[21:04] 那刚刚韦太太问我说
[21:06] 你们记者都知道吗
[21:07] 其实跑立议院的记者会知道
[21:08] 那杨金荣又是央行总裁
[21:10] 这个绝对是一个大的官员
[21:12] 又跟财经有关的去
[21:13] 那他就讲了一句话
[21:14] 他说房市的信用管制就到此
[21:17] 不会再更严重
[21:18] 也不会更紧缩了
[21:20] 就是到这样子
[21:21] 也没说开放
[21:22] 也没有说什么要宽松了什么的
[21:25] 但市场非常开心
[21:26] 就先涨银建股
[21:28] 是好也是不好
[21:29] 因为银建股就是非常低位阶
[21:31] 可是不好的是
[21:32] 今天盘面上所有的热门股
[21:35] 几乎都熄火
[21:35] 被动元件撑到12点
[21:38] 后来不行了
[21:39] 国巨也打开了
[21:40] 很多涨停都打开了
[21:42] 甚至国巨后来还翻黑了
[21:44] 所以今天盘面上
[21:45] 以热门的AI股来说
[21:47] 形成一个没有主流的状况
[21:49] 而是由银建股接棒
[21:50] 这个也是我觉得今天盘面上
[21:52] 喜忧参半
[21:53] 台积电不错
[21:55] 营收结出来是好的
[21:56] 可是所有的AI都熄火了
[21:58] 其实我
[21:59] 我们上次有聊过银建股
[22:01] 对不对
[22:01] 我记得说那时候我是说
[22:03] 我觉得银建股可能最坏时间
[22:05] 就差不多这边
[22:06] 最坏时间过了
[22:07] 对
[22:07] 因为其实我们看到就是
[22:10] 第一个就是股价面
[22:12] 也修正很长一段时间
[22:14] 然后呢
[22:15] 这些所谓的
[22:17] 不同区域的这个买气
[22:19] 包括像是这个
[22:21] 一转动数的一个数字
[22:23] 也已经修正一段时间
[22:25] 就很冷到极致
[22:26] 对
[22:27] 所以其实我
[22:28] 走上还有银剑股
[22:30] 那银剑股
[22:31] 我那股票
[22:33] 今天涨零盘
[22:34] 谁
[22:34] 今天很多了
[22:35] 对啊
[22:37] 但他们的
[22:38] 整个的线型的
[22:39] 架构都漂亮
[22:40] 我以贯德
[22:41] 贯德其实就是一个
[22:43] 很大的一个圆壶底
[22:45] 我今天第二次听到
[22:48] 有人跟我讲贯德
[22:49] 真的贯德
[22:50] 我觉得他的整个现行架构不错
[22:52] 而且如果没有记错的话
[22:55] 我在我的家庄股的频道
[22:58] 我有提过贯德
[22:59] 他是股价低于净值
[23:00] 另外一档
[23:03] 其实我觉得最近有一些动静
[23:06] 是永信建
[23:08] 高雄的建商對 永信健之前是那個高股息ETF他們的最爱坏也长得真的是很不像话对 可是后来因为配息没那么好
[23:20] 然后就掉下来
[23:21] 但是现在我发现
[23:23] 最近投信很多在买的这些的一个标的
[23:26] 什么合作 联强 富邦美
[23:30] 还有很多
[23:32] 就是一些都是属于这种
[23:34] 高值利率股的一个公司
[23:36] 所以我其实有
[23:37] 我觉得maybe可能
[23:39] 接下来可能一些高股息的一个公司
[23:42] ETF
[23:43] 他可能会去挑选一些
[23:45] 就是一些在低位界
[23:47] 然后配息还不错的
[23:49] 那maybe这些所谓的营建股
[23:50] 他有可能被选中
[23:51] 因为现在进入到六七八月了
[23:54] 就传统的储全息的望月来了
[23:57] 所以高股息
[23:58] 其实最近的表现是好的
[23:59] 高股息是赢主动市跟市执行的
[24:03] 这个我们在上礼拜
[24:04] 有跟大家分享过
[24:05] 这个蛮有趣的现象
[24:06] 一方面
[24:07] 我觉得市场的资金
[24:09] 也有提早在
[24:10] 进入高档的时候
[24:12] 做了一些防御的转移
[24:13] 这个是真的
[24:15] 因为你再怎么样
[24:16] 其实
[24:16] 我觉得这两年AI太热
