[00:00] 歡迎收聽《照華於股貨載地1170集》
[04:10] 好,我覺得這個在台股上面就是一個比較中長期去觀測股市會覺得感動的事情。
[04:16] 好,公司,前股王曾經非常喜歡的公司現在得到了這樣的評價。
[04:22] 那今天本來聯發科一開始很弱的,那慢慢的也被這個盤面帶動起來了,不然真的弱一陣子了,好多人為他喊冤喔。
[04:29] 然後像今天主額中在高度IP研發的創意也是在創下歷史新高漲停板。
[04:36] 所以今天有非常多的案例會讓大家覺得這個AI的火種真的重新開始燃燒。
[04:43] 當然這些有點叫黃金又上腳了。
[04:46] 所以我們來聽聽看維泰對整體態勢的想法。
[04:50] 因為上一波的修正維泰有提到這個來自于去槓桿跟利率的一些問題。
[04:55] 現在這些問題是不是可以稍微放緩一些了?
[04:59] 以及會不會反而是今天殺下去的航運船產有重新去佈局的機會?
[05:05] 好的,其實講到大立光,我今天早上看到他漲停,我一來是替他高興,一來是替自己難過。
[05:12] 因為我有想到要去佈局他,因為他的整個的一個發展上,其實跟我們過去的一個分享有很雷同的地方。
[05:22] 是的。
[05:23] 就是說可能他最壞的時間已經過去,然後他在…
[05:26] 那沒錯,你很早就講這事。
[05:27] 對,我有想過這個事情,對。
[05:29] 我對大力光一直都覺得這次會有很不錯的表現,但只是沒有想到是這麼快。
[05:38] 我們認為他自己公司都講,光通訊相關的業務可能要在年底或明年,最快是明年才會有。
[05:50] 但沒有想到市場上面的反應是如此的迅速。
[05:55] 所以剛剛看到這個大立光股價窗戶下的例子新高,我個人其實也是蠻開心的,至少證明我們的眼光是對的。
[06:05] 沒有錯,因為那時候很多人報大力光報到覺得了無生趣,會問。
[06:10] 我就說,以我來說,就是以前跟公司算是真的蠻密集接觸的,那時候我舉個例子,當然現在怎麼樣我不確定,因為後來不好意思我就沒有在線上一直跑了。
[06:20] 那時候大力光的法說會都是人山來海急報的,急報有一個原因,下午我記得一點,不是兩點就一點半啦,開法說,真的大家都是等拿到手上的那張紙。
[06:35] 你才知道他這一季或是這個月或是他要講的一些財務數據是什麼。
[06:40] 不管你是內資、你是外資、你是記者,都在那一刻瘋狂打電話回去說我們拿到數字了。
[06:47] 所以那時候你會覺得比較公平,不像有的公司就會提早劇透給跟他熟的,給誰給誰給誰這樣子。
[06:53] 所以那時候我就覺得這個公司一直給我非常深刻的印象,那後來沒有跑了嗎,那他們也順利像接班了嗎,接班也很順利,可是手機市場就一直沒有辦法讓大家很有興趣。
[07:03] 所以今天看到真的是蠻開心啦。
[07:06] 那人家問我說那要不要爆大立光?
[07:09] 我那時候只能說好公司,可是我不知道它什麼時候才能起來。
[07:13] 我只能告訴你當公司都去實施庫藏股,那個是防線。
[07:16] 但防線是防線啊,上去的空間由投信決定,投信這一波壓對了。
[07:21] 投信是重壓大立光到目前為止沒有手軟過。
[07:25] 對,因為另外一個我沒有那麼急著進場的原因就是因為這個外資其實是一直在做調節的。
[07:32] 外資從6月份開始,股價佔上4000塊錢之後,外資一直在調節。
[07:41] 所以這讓我對於大力光的掌握沒有辦法這麼準確。
[07:52] 不過沒關係,有大力光的朋友,恭喜你們重新參與大力光充滿榮耀的一刻。
[08:01] 大力光的主權
[08:31] 這就是好轉的。我覺得是。
[08:33] 這個好轉主要的改變在於投資人的信心開始慢慢慢慢地回復。
[08:42] 這個從哪邊可以看得出來呢?
[08:45] 從大家在討論有沒有第二隻腳的這個問題的熱度可以看得出來。
[08:52] 好,算不算第二隻腳呢?好,別吵了。
[08:56] 因為我跟你講,我在Parquet可以很坦白跟大家聊。
[09:00] 哇頭痛喔做那個理財達人秀啊
[09:02] 因為呢我們就分成兩組人了嘛
[09:04] 很簡單啦一組人不打腳派嘛
[09:06] 一組人當然就打腳派嘛
[09:08] 大家都要技術型態的人喜歡要打腳
[09:10] 要打腳就是可以醞釀下一波多頭的開始
[09:13] 這想法沒有錯不是我們看壞啊一定要修啊不是這種想法喔
[09:17] 是希望型態打完整之後再攻就會過前高喔
[09:21] 好但也有人覺得啊現在基本也沒有那麼強
[09:24] 怎麼會打腳勒
[09:25] 這個就算是這個微微的修到月線也會直連
[09:28] 到月線止跌,你也可以說有打角嘛。
[09:32] 到月線止跌,你也可以說這不算什麼嘛,就幾乎沒有什麼回檔這樣子。
[09:37] 好,兩派都贏,但是後來我在達人秀開場的時候,我都會很尷尬想,哇,我不管,我今天不要再講角的事情了。
[09:43] 不管哪一種角,它現在就是有觸月線上去了,那但是接下來怎麼走才是最重要的。
[09:51] 我來幫這個趙華回答。
[09:53] 幫我解套。
[09:54] 對,解套一下。
[09:55] 首先我們要知道為什麼要打角。
[09:57] 為什麼要打腳?
[09:59] 因為打腳的目的其實基本上是希望Troma得到更進一步的一個換手或者是沉澱
[10:06] 沒錯
[10:07] 所以目的大家要先知道
[10:09] 沒錯
[10:10] 那所以其實以目前台北股市
[10:12] 但一開始在反彈力點618的時候我們有講說這邊即便是有回測
[10:19] 即便是有回測也不太會跌破7月30號的低點
[10:23] 對 不容易跌深
[10:24] 對齁,這是我們在很早就知道的事情,我有講,但是我不敢說會不會一定不會回測,因為這個自己很難講。
[10:33] 但後來呢,這整個盤式的發展上就變成了一種以盤代疊的一種模式。
[10:39] 那所以呢,這個市場上面後來自己決定要用時間換取空間,因為打角就是在用空間去消化這些沒有信心的籌碼。
[10:52] 然後現在他們市場決定要用時間的方式,所以用這個量縮,然後橫盤的方式去達到這個籌碼的沉澱。
[11:02] 所以其實一開始去猜會不會打腳,那時候趙華問我,其實我也…
[11:07] 我還問你啊,我那麼壞啊,因為你黃金右下角,只好問你。
[11:12] 所以當時我沒有馬上的回答,是因為我也不太確定。
[11:18] 對,因為在我們的認知裡面,這個打腳它的目的是什麼?必須要很清楚。
[11:23] 是。
[11:23] 那如果說透過這一兩個禮拜的一個觀察,的確用量說用時間換取空間的方式去達到這個籌碼的沉澱跟換手,似乎從今天的一個盤勢上面有看到一些效果。
[11:38] 嗯。
[11:39] 好,那這個只是告訴我們大概確定幾乎啦,幾乎這個7月30號低點大概不會不容易再來了。
[11:47] 明天的考驗才是真正的開始。
[11:50] 為什麼?
[11:51] 大家不願意殺低,但是追價的意願如何?
[11:56] 因為今天有很多的股票都是在中盤過往上拉高的,大大家願不願意做第二天?到底是不是隔日沖在做?因為大家憋壞了嘛,憋壞總是要稍微舒展一下金股,那明天是不是能夠再持續往上再做拉抬,才是真正說行情是否要從此回復多頭格局的一個重要觀察。
[12:21] 如果沒有的話,我會覺得盤式的結構或者是個股的操作上,大架構還是會是一個區間操作,區間的一個操作。
[12:33] 然後個股的操作也是屬於就是可能這個禮拜買,然後下禮拜可能就逢高做調節的一種區間操作模式。
[12:42] 我們常常會聽到說再多等一天,或者是剛剛講的維泰說的打腳的好處跟壞處嘛,壞處自然是打下去如果不小心這個腳打得深了,可能就會又破壞了起工的這個節奏,又要混很久。
[12:59] 那優點自然是剛剛提到的,如果你又用所謂的空間消化了一些籌碼,然後讓它加速沉澱,可能接下來就像朱老師講的,其實朱老師講的打腳也是很好的道理喔。
[13:10] 打腳不能輕易破前低,右腳比左腳高一些,再清洗一下就功了,但如果破前低洗下去了,那就代表市場的信心可能面臨再一次的潰散。
[13:24] 那個是不一樣的事情。
[13:26] 那我覺得我的優點就是我身邊這麼多的達人朋友,
[13:29] 不管是打腳派也好,不打腳派也好,都有一套完整的理由,
[13:34] 而且我都聽得進去,我都覺得蠻好的,
[13:37] 不是說覺得這也好那也好,左擁右抱,
[13:41] 是確實啊,有一句話好像廢話,
[13:45] 就是有可能這樣,也有可能那樣,聽起來是廢話,
[13:48] 但股票市場就是如此,
[13:50] 例如以我來說,我最堅定的信仰就是,
[13:53] 我會不斷的觀察產業的基本面、傑出台財報等等的,這個就是一個底氣。
[13:58] 這個底氣在的同時,只要有跌深,我左側加碼,我不會害怕。
[14:04] 那如果今天沒有左側加碼的機會,我手上也不是零持股,它就上去,我也不會遺憾,我會覺得沒有關係啊,那我就看一下我手上的股票怎麼跑。
[14:14] 這就是包容力比較大的情況下可以做的投資想法嘛。
[14:19] 所以我們還是有一些觀點的,就是說我對我接下來的前景,我對明年的AI或是明年整體科技甚至傳產也會跟上來,我都覺得十分能接受而且十分的相信。
[14:30] 在這樣的前景下我來做對策,那每一個達人有每一個達人的對策,例如說可能進入型態就會覺得我一定要通通型態完成,就算追得比別人高我也覺得勝率高。
[14:40] 很多賭性價值派就是像剛剛維泰獎大立光,沒有人要送暖給他兩千塊錢,可憐可憐的,可是明明就是好公司,那就送暖,送暖、蹲點,我願意花一點耐心蹲點,我也沒有問題。
[14:54] 我覺得像這樣子只要知道自己的投資社會在哪裡就好,那為什麼就知道明天很重要?
[14:59] 當然明天我們知道匯達財報能不能引爆第二天大家的信心,讓這個信心是確定,這個事情很重要。
[15:06] 我們往往看到說,今天大漲了,對不對?那大漲了就好像錯過了什麼?其實不是。有時候大漲連續兩天,不是說只有隔日沖沖一天,那就代表市場的信心有比隔日沖還要多的人願意接受,那它的行情就會比較延續。
[15:24] 所以韋太才會講,今天看起來因為是五盤過後,很多股票在拉,隔日沖的味道說實話很濃啦,而且很多中小型股。
[15:32] 9點半之後搞不好就開始陸續到出來,大家可以觀察一下。
[15:35] 但是如果到出來有人接呢?到出來之後又再拉一波呢?那可能不一樣了,那可能就是市場真的叫做資金動能回來了,我們又可以重新檢視。
[15:44] 好處當然就是創新高的公司有,剛剛數了一堆嘛,大立光創新高啦,聯亞已經逼近前高囉,創一創新高囉,大家自己去打開來看,今天還蠻多公司已經創歷史新高了,玉京光啊什麼的。
[15:56] 可是還有很多是在一個半山腰上面的,怎麼樣你也不會買到最貴的,那它就可能是一個不錯的選擇了。
[16:04] 對,尤其是今天我很感動看到IC設計漲很多,今天很多IC設計除了剛剛那個趙華所提到的這個3443這個創意之外,
[16:15] 對,那其他的這個IC設計公司其實陸陸續續都有在做發動。
[16:21] 那本來嘛,其實進入到這個第四季,然後過去的經驗都告訴我們就是…
[16:28] 連建設都創新高了,突然默默的一句。
[16:31] 三大主動是ETF全部都加持。
[16:34] 連建設,大家想想看建設當初腰斬說兩片變一片,股價就是100變50,好不好?
[16:39] 就5000變2500,結果現在創新高,這就是市場。
[16:43] 對,這就是市場。
[16:46] 對,我看到很多的這種IC設計在最近都有看到這種跌升,然後出現這個走高的情況。
[16:54] 所以這個行情,我個人的看法是就算明天沒有說真的很漂亮的延伸出去,但是我有從今天的盤面的觀察到一個點,就是大家有在開始為年底的行情去做準備跟熱身。
[17:10] 是的,是的。
[17:10] 我覺得這是一個非常重要的觀察點
[17:15] 所以接下來可能之前比較觀望的投資朋友
[17:20] 接下來的操作可以稍微稍微的放手
[17:26] 進展做布局
[17:27] 之前像以加權指數來講
[17:32] 日K線的KD指標
[17:34] 在我們上個禮拜來的時候
[17:37] 它其實還在大概60附近
[17:40] 但是到今天為止,今天大盤的KD指標的部分其實都已經又重新勾上去了。
[17:52] 所以在這種情況之下,我個人會覺得說,在這種情況就代表說至少市場上面沒有非常非常的一個悲觀。
[18:03] 在這種情況之下,我覺得一些之前已經回檔的,或許現在的漲幅沒有很多的,例如說我常常幫大家追蹤的像BBU相關的族群,他們也都是回到相對低檔。
[18:20] Busdata 和Busdata 產業前景,尤其是在Vera Rubin之後,每一代基本上這種所謂的一個電源相關的這個800V或者是正負400V,基本上對他們來講都是,我覺得都是一個重新升級或者是呢,他的一個這個訂單有可能會重新Locate的一個機會。
[18:45] 實際上是有超級多的資訊,請大家去看看!
[18:52] 最後一家其實是被動元件的。
[18:56] 其實我們在這個市場中其實是在多一家也沒有完全完全是被動元件。
[19:02] 今天我們要來講講原來這家的有什麼特色呢?
[19:06] 是的. 我們有一個很特別的原因是因為我們有一個很誇張的主持人的人就在這裡,
[19:13] 其實有時候我都會在不經意間想到這件事耶
[19:15] 喔真的嗎
[19:16] 真的我不知道為什麼
[19:17] 就不是說維泰今天要來上節目
[19:18] 是有時候我會腦海中閃過
[19:20] 欸最近是不是應該多捐點錢啦
[19:22] 或是有沒有什麼要幫忙的
[19:23] 就會想到維泰都會去這種銀髮、高靈、偏鄉啊
[19:29] 去做演講
[19:30] 就會閃過耶
[19:30] 是
[19:31] 對
[19:32] 我很多伯伯阿姨都在關心國巨
[19:38] 不是你要勸他們投資要穩健
[19:41] 對
[19:42] 可是我覺得你跟他們講ETF他們當然會有在聽
[19:47] 可是你知道這種就是伯伯阿姨啊
[19:51] 他們從以前接觸到台北股市
[19:53] 可能印象中就是聯電、中鋼
[19:57] 可能還有國巨或者是華邦電之類的
[20:01] 然後剛好呢在前陣子
[20:02] 這一種就是他們年輕時代的這個股票又來了
[20:07] 他又很熟悉這個東西我知道
[20:10] 然後他們就買進去
[20:11] 這幾個股市的股市是否會有更多的股市?
[20:41] 這就是他們的時候大家再開始擔心就好。
[21:11] 因為第一次會捲起 AI 旋風就從輝達開始嘛。
[21:16] 但是後來大家陸續超車對不對,就零組件厲害了,PCB先來了一波,記憶體再來一波,漲啊漲啊漲啊漲啊,終於說,欸,被動元件也終於要漲了。
[21:27] 只是搭到這個比較尾班車,它就漲得很急,好像生怕沒搭上就沒有下一班車一樣。
[21:33] 好,那搭上去之後呢,阿波信的市場出現了修正,可是你會發現第一梯次的這些人相對之下抗跌力還是比較強,例如神山這種世界地位的抗跌力強嘛,對不對?
[21:45] 那本來他的本益比什麼相對沒有那麼高的,他也可能就相對沒有跌的那麼多,然後但是有一些比較靈活的可能就先復甦,例如說光通訊他先跌,他本來都還沒有營收嘛,所以漲的時候沒理由,跌的時候你也沒下線,那就先跌了。
[22:01] 跌了之後他復甦了,所以他會有一個順序,他會有一個先漲的人可能已經準備跌了,那後漲的人呢,這一次因為他漲的時候他已經在漲價題材裡面是慢的,他就跌得特別兇,所以現在的順序呢我們可以來看到,盤面上台積電還是非常厲害,我們還要講台積電如果衝就可怕了,台積電如果衝這個指數就驚人了,可是大家就快輪流數,像今天大家就會數PCB在這個Vargin裡面的規格全面提升,
[22:30] 那光中訊有講了嗎?因為他是最早先跌的,但是最近光中訊的好消息陸續傳出來之後,他們也算是蠻強悍的,尤其是像大力光這種好公司的加入。
[22:40] 然後IC設計漲了。
[22:42] 好,就是真的社會長大提倡,還有一個東西很重要,其實記憶體。
[22:46] 因為記憶體也是這一波裡面零組件漲最多的,然後我的說漲最多還不見得是股價,是報價漲最多的。
[22:56] 所以如果記憶體它在明年有得到市場的共識支撐,就它明年還能漲的話,漲到題材就會延續。
[23:02] 那最弱的,也就是今年本來它的漲幅就沒有,我是說那個產品的漲價哦,漲幅沒有那麼多的。
[23:09] 它現在如果就是也能漲國巨啊、華新科啊,它也能夠漲回一個正常的強勢反彈的話,那這個盤才需要擔心。
[23:18] 請不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[23:48] 現時股市的股市是在下降,但股市的股市是在下降。等到他們都開始大漲了,你看到國巨連續好幾天大漲,或者是華新科好幾天大漲,信商店好幾天大漲,這個時候要看,要看什麼?
[24:14] 要看這一波先反彈上來的光通訊,它有沒有休息,如果說最後一棒起來了,然後第一棒掉下去,
[24:29] 大概就是輪完一輪
[24:31] 光訊看聯亞啦 真的太強了
[24:33] 大家就要稍微手中的蛇齒骨就要再一次的去做台陸流牆
[24:41] 否則目前看起來比較高的機率是大家都在輪動
[24:47] 所以我覺得這部分大家可以先放在心上
[24:53] 輪動其實我個人的心比較大
[24:56] 我覺得它不會只有電子股在動
[24:59] 其實像這一次看到的航運就是一個很大的很重要的例子
[25:04] 除了航運之外其實今天的塑化股也有在動
[25:11] 尤其是我們先講國橋
[25:14] 國橋它轉機
[25:16] 它要切入半導體的相關的氣體
[25:20] 然後這個題材並不是第一次聽到
[25:25] 但是從今天國僑的股價表現一開盤就一架鎖死
[25:32] 代表著市場上面對於這樣子的一個題材他們都還是認同的
[25:38] 那從國僑今天的一個大漲
[25:42] 然後其他的這些相關的我們看到一些其他的數化
[25:47] 包括像是台劇、亞劇、台達化、還有像是華夏等等
[25:54] 一開始有出現就是上漲,雖然說沒有像國僑一樣漲平板,但他們也是有出現上漲,所以這一塊我覺得也是有機會。
[26:04] 換句話說我要說的事情是,這個輪漲跟輪動不會只有局限在電子股上面,然後傳產股其實也有。
[26:15] 因為前陣子這個傳產股在輪談的時候,我剛好沒來。
[26:21] 哪有,你有來啊。
[26:22] 我說這個榮成啊、造紙啊這一類的股票在動
[26:27] 沒關係啊航海王你都有搭到啊
[26:29] 是是是
[26:30] 對啊
[26:30] 觸化你也有啊
[26:31] 對
[26:32] 像是榮成啊、像是這個振隆啊這一些
[26:35] 欸它的股價以振隆來講從16塊漲到26塊
[26:39] 欸確實欸
[26:40] 紙業
[26:41] 我覺得紙業好難喔
[26:43] 它難在它漲到你不知不覺
[26:47] 你不會注意到它
[26:49] 紙業
[26:50] 以前大家講說紫江的大廠這個華紙,而且華紙還種了好幾萬棵的樹,可以賣探犬。
[26:57] 對,對,對。
[26:58] 事情都變得如此的好聽,可是獲利還是十分的難看。
[27:02] 然後所以坊間那時候就講說,當行情漲到華紙就結束了,不過一切都變了。
[27:08] 因為行情不管漲到什麼,現在看起來都不會結束。
[27:11] 對,不管漲到光碟片也好,漲到華紙也好,漲到一些沒有獲利的十幾塊股票也好,看來都沒有結束。
[27:17] 所以後來久而久之就會覺得我也沒把它當做什麼結束不結束的指標,就忘記了。
[27:23] 然後紙頁呢,像這個振龍是工業用紙嘛,然後做紙箱,這個現在應該不需要紙箱了吧,前一陣子股災的時候我倒是覺得振龍應該大漲一下。
[27:33] 這個好笑。
[27:34] 隨便拿一個紙箱出來大家都說,趙花去哪裡跟你領?我想說振龍要發了,振龍做紙箱。
[27:41] 他們還會做一個產品很有趣叫衛生紙
[27:44] 衛生紙不是家家戶戶都會囤衛生紙嗎?
[27:47] 可是衛生紙不賺錢耶
[27:49] 這就是以前我對紙業的印象
[27:52] 就是好厲害喔
[27:54] 探泉幾萬棵的樹
[27:56] 像大安森林公園一樣不賺錢
[27:58] 紙箱很缺啊
[28:00] 包材現在很貴啊
[28:02] 然後現在貨運那麼的發達
[28:03] 快遞什麼的不賺錢
[28:05] 衛生紙家家戶戶都好像永遠怕沒有辦法擦屁股一樣
[28:09] 都在囤衛生紙
[28:11] 這就是我覺得花子花子的職業到底發生什麼事
[28:15] 這個碳權這個東西其實它有一些評價的這些方法
[28:21] 所以其實我說實話它並不像大家想的
[28:25] 我今天只要種了樹我就可以賣錢
[28:28] 對我今天種了樹
[28:29] 我這個種出去的這個樹
[28:32] 它到底可不可以幫忙這個二氧化碳消化多少
[28:35] 這個是有國際級的專業評鑑機構去評鑑的
[28:40] 平建完之後才可以按照你的這個等級去例如說給價格
[28:47] 這個其實說實話也會有一點點困難
[28:50] 我覺得這個大家想的太簡單了
[28:53] 但是我必須說振隆是一家有在賺錢的公司
[28:56] 只是賺不多
[28:57] 但是現在看來有賺的多一些了
[28:59] 講到重點
[29:00] 它是一個有賺錢的公司
[29:02] 因為華子沒賺錢但振隆有賺錢
[29:04] 你看振隆從我們就講過去這四季
[29:07] 這是一大部份,因為有很多人會被估計的,所以我們要注意,如果有很多人有問題,請請大家去問問。
[29:15] 有很多人會問我們,有很多人會問我們,有很多人會問我們,有很多人會問我們,我們都會給你們提供中文字幕。
[29:23] 因為我們都會順便給大家看看,有很多人會問你,你會給我們提供中文字幕。
[29:31] 那後面可能也要看一下例如說是有業外還是本業真的變好了,像以前我們還會去盯所謂紙漿保駕,後來也懶得盯了。
[29:40] 但總之,我非常相信韋泰講的這件事,我覺得從現在開始到2027年啦,電子的展望我覺得會有在來一波之外,傳產真的已經悶太久,而獲利有好轉的,一定要看的啦,一定要看的,股價低於淨值,至少回到淨值。
[29:59] 這件事情我覺得在明年也要一併做一下平反對不對?
[30:03] 好!就交給我了!
[30:04] 就交給你了!沒問題!我煩死你我跟你講!
[30:08] 對不對!像鄭榮剛剛EPS這樣看,我的QRQ很高耶!
[30:12] 對啊!所以我剛看一下他的本業有啦!
[30:16] 他的YY Revenue基本上都是正成長,他其實不算是,應該不是所謂的業外,應該不是業外。
[30:24] 當然我側面了解他們基本上在東南亞的發展包括像是這個紙箱紙廠這些產線都陸陸續續在開出來
[30:36] 這其實很有趣你知道嗎?
[30:38] 我覺得大立光難能可貴是說他其實很老實
[30:45] 他有接到訂單有看到展望才會去買土地才會去擴廠
[30:51] 其實大多數的傳產都是這樣
[30:57] 所以當他看到
[30:58] 一旦看到訂單
[31:00] 看到市場
[31:01] 他才會去怎麼蓋廠房
[31:04] 然後設產線的
[31:05] 所以其實像這些
[31:07] 我想像另外一家公司
[31:09] 趙華應該了解
[31:11] 宏泉
[31:11] 是
[31:12] 對不對
[31:13] 宏泉最近的股價也是走強的
[31:15] 對
[31:16] 他這家公司也是
[31:17] 我真的接到新的訂單
[31:20] 我才開始設產線什麼的
[31:22] 所以其實我覺得
[31:23] 越式傳產股對這件事情
[31:26] 它的這個對我們來講啦
[31:28] 可信度
[31:29] 然後還有對未來這個股價的展望
[31:31] 都是會有正面加分的一個評價
[31:35] 因為講到紅泉啊
[31:37] 很久以前
[31:39] 就是怎麼現在變講股頻道了
[31:42] 但大家聽我講就知道以前看公司多有趣
[31:45] 你看我下出一些有趣的結論
[31:48] 那時候參觀他們的工廠,他不只做瓶蓋嗎?後來又有做瓶身。
[31:53] 現在當然也不一定一樣,我必須還是強調,那就是以前我還在跑線,後來到電視台以後真的就沒有機會像以前那樣跑,以前還跑去大陸看廠啊什麼的。
[32:02] 然後呢一進去就真的說實話,濃濃的塑膠味。
[32:06] 為什麼說當時,因為我不確定等一下就說,是不是指他們工廠沒有合規,這樣就壞事了,不是啦,不是。
[32:15] 然後當然到時候就要大量的引進所謂的移工,因為即使是這個多年前,可能本土的作業員都不喜歡那個環境。
[32:24] 能夠進台積電當然就進台積電那種電子可能好一點點,因為它那個都塑膠瓶生瓶蓋嘛,然後我們就參觀,一定是符合標準的來源,它大廠啦,但是我一邊走一邊就恨不得我口袋裡面有沒有裝個什麼雙層口罩可以把嘴巴給密閉上,因為實在是一直聞到那個自己內心會覺得不安的那個塑膠味道。
[32:43] 我會覺得好辛苦好辛苦
[32:45] 但是呢他確實也很厲害
[32:47] 例如說大家都知道跟可口可樂
[32:49] 世界一級的飲料大廠
[32:51] 是非常緊密結合的
[32:53] 人家在哪邊設廠
[32:55] 他就跑去那個人的旁邊一起設廠
[32:57] 所以你要填充什麼我就在你旁邊幫你做填充
[32:59] 我就跟著你走
[33:01] 我確定有這個單我確定有這個客戶我就跟著你走
[33:03] 你要換人的話我就纏在你家家門口
[33:05] 看你怎麼換人
[33:07] 所以那時候我覺得真的好了不起
[33:09] 從瓶蓋到瓶身到最後做填充
[33:11] 然後幫你做飲料,他還有一些飲料配方,所以我覺得這個是競爭力,你說後面的人要超越不容易,可是他的傳產他不是AI,有時候光環就會退去,例如說他可能有一段時間客戶接的比較多,產能步的比較高,他的成長性高的時候股價上去了,後來不可能年年過年嘛,有一兩年客戶沒有那麼多或產線已經蓋好了,就是這些還沒有擴新的,那所以股價就可能就順勢就掉下來,本一比平價怎麼通通都掉下來。
[33:39] 後來接到後來還會有它的一些營運的利基跟方式的
[33:45] 所以它的不可取代性跟護成合就在那裡
[33:48] 就等著它的時機
[33:50] 那當然這幾年因為AI是從很少變成滲透率很高
[33:54] 又是我們台灣最熟悉的所謂的科技股系島
[33:58] 從這個半導體出發
[34:00] 所以我們都很熟悉
[34:01] 可是其實有一段時間我們台灣非常流行
[34:03] 叫做隱形冠軍
[34:05] 這件事情還是很值得大家留意的喔
[34:08] 世界第一的傳產公司,明年或是從現在開始,是不是就應該有一個合理的評價慢慢的浮現上來呢?
[34:18] 洪泉其實是已經動了。
[34:20] 對,補充他的EPS,他去年第四季是賺1.5單季,然後今年第一季是賺2.25,今年第二季單季4.3。
[34:32] 是,厲害喔。
[34:34] 今年上半年大概就已經賺了6.5多
[34:37] 所以今年他要賺一個股本
[34:40] 我覺得以目前的這個單季能夠賺到4塊錢的水準去估
[34:45] 基本上我覺得是很有機會的
[34:48] 然後但他我剛看了一下
[34:50] 他其實也是本業
[34:51] 他的revenue有在做增長
[34:53] 然後而且他我覺得很壓抑的是他的毛利率
[34:57] 他毛利現在可以從20%跳到27%
[35:01] 銀行利益率從13%跳到18%,稅後存益率從9.85%跳到15.1%。
[35:10] 哇!三綠三生耶!
[35:13] 對啊!三綠三生耶!
[35:15] 像這種公司我覺得100塊錢左右,其實我覺得怪不得
[35:20] 我也是有看到法輪流在買喔!
[35:22] 有部分法輪流在做買進喔!
