[00:00] 歡迎收聽趙懷股貨載地1165集
[10:44] 對,然後跑到18、20倍,大家就說快喔快喔,趕快賣喔,超漲了。
[10:49] 結果現在反而剛好掉下來,這兩年硬體股,硬體股本益比都偏高。
[10:56] 然後呢,我先看嘛,像我們常常在追蹤的聯詠,本益比才18倍。
[11:02] 現時市場上漲4.38%對銳裕來說,銳裕算相對高,其實銳裕跟聯詠比,聯詠真的是低,因為他在面板產業
[11:20] 但我覺得他們兩個都有在想要切入這個ASIC,兩個都有,試圖要去做一個轉型
[11:28] 剛好最近ASIC有一些亂流,但是他們竟然在亂流當中沒有受到這麼大的影響,今天還能夠相對抗跌。
[11:38] 我覺得其實就是相較於其他的電子股來講,他們的本益比其實都算是相對偏低。
[11:44] 所以在今天這些所謂低本益比的IC設計股,就成為了一點至今避風港的味道。
[11:51] 還有像翔碩,翔碩今天漲了最多,翔碩漲7.35%。
[11:57] 我沒有留意到翔碩突然漲起來
[11:59] 對
[12:00] 他的本益比是15.5倍
[12:02] 對 這個都是本益比在一字頭的一個個股
[12:05] 是
[12:06] 好 舉這麼多例子不是叫大家說
[12:09] 趕快去買這些低本益比
[12:11] 我是覺得說
[12:12] 從這個牌面上面來看就是
[12:15] 市場的資金他還在尋找
[12:18] 就是可以投資的標的
[12:20] 那有這樣子的一個表現
[12:23] 就代表說這個市場他還沒有結束
[12:26] OK,所以不管會不會打這個所謂第二次腳跟不會回撤打腳,我覺得基本上從盤面的架構來看,它是還沒有結束的,它是還沒有結束的,甚至呢,包括像是我們之前跟大家分享過的普瑞,今天也是漲了3%,那麼本益比18.5倍,這本益比是用過去四季來看,你看它最近的股價其實也都在又回到這個600塊錢附近的一個位置區,也都算相對的這個低檔跟低位階。
[12:56] 換句話說,比較像是所謂的進可攻退可守。畢竟我們說進入到第四季,這些個股都還有他們一些傳統旺季的一個需求存在。
[13:09] 所以我覺得這部分大家不妨也就是可以去換個角度去看這些在過去比較沒有漲到的電子股。
[13:17] 好,韋泰的意思是,就長期來說,對不對,利率環境跟AI或是高科技公司的發展會形成一個阻礙跟負向,這個事情是會發生的。
[13:29] 歷史上我們看到了,就是絕對高利率環境對於企業舉債的不利的一些問題,但這一次的情況當然是比較特別,有跟大家聊到,當你看到很多公司的年增率不是10%、20%是100%、200%的時候,
[13:44] 他當然能夠抵抗這個利率環境的上漲,而且大家會對於說,你都已經可以從這個市場上賺那麼多錢了,你再舉債我也願意捧場。
[13:53] 他目前是一個正向循環,這是一個大方向,他不太容易在這一次的回檔就真正變成巨大的問題。
[14:02] 但他未來兩三年,因為我們也知道你投資到後來,你接下來就是要回收嘛,對不對?
[14:07] 那你在回收的時候,那台灣的廠商可能就不會像現在領到那麼多訂單了,因為變成是那些投資的大廠要回收,那時候可能我們的投資邏輯要再做一些調整,可能後年,可能大後年,明年看起來還是一個大家撒錢我們領錢的狀態,那個時候我們會就整體環境來跟大家聊,或者是那個時候也許我們就得付出一些代價,這個東西我們容後再說。
[14:31] 所以既然是那麼後面的事情,它就不會反映在現階段,它就變成一個老亂了。
[14:37] 老亂歸老亂,你不會因為這件事明天好像科技巨頭們全部都倒債了,不會這樣,不會這樣,或第三季我們才不就完了,也不會。
[14:46] 所以回到至少以今年為止,到今天的盤面上好了,第一本一筆的公司還是很多。
[14:53] 而且這些第一本一筆的公司,當初為什麼A設計那麼夯?
[14:56] 是因為在科技的領先的創新中,A設計它永遠都有一席之地。
[15:01] 你要做任何新產品,你中間就是有各種IC,規格要提升,功能要提升,消耗要降低,設計要更厲害,算力要更強,本來就是IC設計能夠在各領域非常厲害的。
[15:14] 但是呢,之前比較厲害的一些東西,常常圍繞在消費品上面,你說當初面板也夯過啊,從什麼電視到手機,有的沒有的,它都是在比較消費型的。
[15:25] 所以進入到 AI 時代的規格的時候,能夠跟上的就剩下一些比較大的大廠,但其他的可能就不一定了。
[15:34] 例如我們的股王,他就是做伺服器的管理 IC 嘛,對不對?BMC,他就變成股王了,他還是 IC 設計喔,所以這個並沒有凋零。
[15:43] 聯發科 TPU 晶片的設計,所以他並沒有凋零。
[15:47] 剛剛講到聯詠、瑞玉也是一樣,可是有很多的小廠,他可能還在做一些語音 IC 啊,對不對?
[15:54] 對,那種也是手機的玩具的啦,面板類的啦,只是單純在那個部分的啦,他可能就會面臨到市場,他要再度的提升自己,而可能他們的技術人員都會被大廠吸走,因為他是一個高研發腦力的地方,就導致好多家公司反而達到低本益比。
[16:13] 但是剛剛維泰其實有數了幾家像翔碩、普瑞這樣的公司,他們其實獲利能力還是很好,他們是絕對還有能力繼續在下一個世代裡面做努力的,只是股價不正,就短線上你比較沒有辦法跟AI高度關聯你就會不正,可是不代表未來幾年他們跟不上或是就是不好的公司。
[16:34] 這些在短線上的盤面上反而可以找到相當多屬於合理本益比對應起明年的發展即使明年不會是一個100%的發展但如果有個15、20%的發展現在也相對便宜這個就是股票不太難找只是它也許不是爆噴式的那一種方向然後還有短線上不太會因為科技巨頭的舉債我們就再出現一次大的崩盤我想這個是可以定調的
[17:04] 這就是我們今天講的4.91%
[17:06] 但並不是它今天漲多少的重點
[17:08] 而是它今天創破段新高
[17:10] 所以它這個就是很標準
[17:12] 從原本的所謂消費性產品
[17:14] 然後跨出到AI相關的這個領域
[17:18] 它算是最好的一個範圍、模範
[17:24] 所以像類似這樣子的標的大家可以從
[17:26] 假設你今天還要再做電子國的話
[17:28] 我覺得可以從這個角度去做一個思考
[17:32] 這個思考,這樣子才會我覺得是比較有所謂的方向。
[17:40] 那如果非電子股的部分,剛剛我們還在跟趙華聊天。
[17:45] 今天四位好像漲停版。
[17:48] 對對對,四位好像漲停就算了,那個本家,同樣的本家的惠陽,創下破綻新高呢,看起來有要挑戰100塊錢的感覺。
[17:59] 這幾個股市的成績如何?
[18:29] 本期內容為全球首領選中心的投資,以下是股價和原則上的評價。
[18:59] 在這個四月初的高價在60塊錢,所以其實沒有差多少。
[19:04] OK,但是我覺得在現階段在這種至今在尋找什麼低位階的一個標的的時候,
[19:12] 這種所謂黃金右下角的標的就特別的會被市場上面所關注。
[19:19] 那剛才趙華還跟我聊到說他有在做一些資產配置上面的調整。
[19:23] 但是我覺得大家有沒有有點聽反了?
[19:25] 因為從上禮拜四講到現在,就是我今天還是買東西,我簡單來說好了,因為我怕大家有甜甜聽,因為我剛剛跟韋泰有再一次把我的plan講給韋泰聽,還有就是講到IC設計嘛,那00947叫台新IC設計,所以我的計畫裡面也有這一家ETF,但這家ETF它的配型並沒有很固定哦,並沒有很固定,所以就是私心上面因為我喜歡IC設計,所以我覺得它會來幫我配這樣,那另外我們可能配的比較多的是像00881,
[19:55] 這就是國泰的科技龍頭這一檔。
[20:25] 我會有一個朋友在討論我買的資本利得,他會問我,趙華你會把這一檔換掉嗎?你不是不喜歡配息嗎?我說沒有啦,因為他配的是資本利得,他不是造成我課稅上的憂慮的啦。那我就睜一隻眼,閉一隻眼。加上我後來也有意會到一件事情,就是資本利得在多頭市場這樣配給你,當然一方面他配給你的時候,你會覺得減緩了我在市場衝刺,所以很多人喜歡買完全訴求我不配息的,像9816,就好多人喜歡說他就是訴求不配嘛,那你就是利滾利會上去。
[20:55] 但是當今天市場有比較大波動的時候,你會覺得早知道應該做個停利的時候,其實不妨把這類型的商品當作他幫你做了一個定期停利。
[21:05] 那停利完你要不要自己再投入,你就自己決定,對不對?
[21:09] 我覺得這也不錯,所以用這個角度來想的話,那買這類型的商品有自動停利的效果,那就是一個考量啦。
[21:18] 不過昨天也特別跟大家聊到,買這類型的商品一定要記得哦,因為就正因為他配的不是股息。
[21:24] 所以當今天市場不好的時候,大家變成到處都是價值股的時候,他就會回到說,我也沒有資本利得配給你,那可能也不一定他是買的股票是有很多股息的那一種嘛,所以他可能會變成帳面減損,又沒有辦法配息給你,這就是一體兩面的缺點。
[21:41] 可是高股息,這次有很多的高股息是配資本利得喔!
[21:46] 是因為台股已經到了平均殖利率只有2.5%左右的水準
[21:52] 所以當這些高股息年化報酬可以給你10%以上的時候,你就要理解一件事
[21:57] 高股息也在這一波配資本利得
[22:01] 因為我有跑表出來,什麼0056、00878這一波都是配資本利得居多
[22:07] 但是未來,如果今天我們剛剛講的長線的那個問題發生了,台股的估值、美股的估值需要勢必經過一次的再修正,而台股的殖利率跑上來,高股息他一定要找的就是股息好的,所以到時他配出來的就又會變成可能百分之七八十、一百都是股息,那就有稅的問題。
[22:27] 我覺得這些都是好細膩的思考,所以我才會說我有把我的標的在前面幾天都有跟大家聊了,我這兩天也都如實的開始在買了,因為今天盤中跌到六七百點嘛,所以我就買了。
[22:39] 這個計畫要做一段時間,因為預計我要佈的這個規模以月領息來說至少15萬啦,所以他可能要花一段時間去把它佈建起來,而這個風險我自己也要理解能不能承擔。
[22:55] 所以各位在聽我講的時候,如果您也是想要用息來cover房貸,我必須講喔,雖然現在大家覺得美國公債很爛啊什麼的,可是債息是最穩定的,債息除非那家公司倒了,他不會付給你,要不然他說幾%就是幾%,所以這個息是不會變的,只是你帳面上可能會因為有沒有升息預期啊,大家市場現在覺得不信任啊,可能帳面會有一點點來來回回,可是股票的息或是說用資本利得配的息,它的波動其實就不會變。
[23:25] 下跌了搞不好不配給你啦,下跌了那就可能10%變成0,那你怎麼辦呢?這些都要思考進來。
[23:34] 所以我剛好跟韋泰講了我整個的計畫跟想法,就比較難在空中很囉唆的大篇幅跟大家聊,就是也奉勸或者是說希望能夠跟趙華類似說,我也有需求,我也是想用洗衣服防彈,一定要搞清楚各種商品的特性,不能只看到好的那一面而忽略壞的。
[23:54] 同樣的,也不要一直覺得買債券的人很糟啊,這東西跟股票比就很爛,不是喔,完全不是你也要去看它好的那一個部分。
[24:02] 好,就這樣,然後韋泰忽然就問我說,欸你大學念什麼的?
[24:06] 我說我念傳播學系的啊,我是世新的啊,只是後來去這個又念了一眼憋而已啊。
[24:13] 我說幹嘛問這個,我是不是覺得文組人不會理財?
[24:16] 我聽了完剛剛這個趙華的分享,我是很感動啊。
[24:20] 為什麼,他突然跟我說很感動。
[24:21] 對我很感動,因為就是造華的這個布局或者是投資理財的這一些的一個行為其實就可以說是教科書的等級
[24:32] 太可怕了
[24:33] 真的真的,就是你在教科書看到我在什麼樣的環境我應該做什麼樣的調整,然後慢慢去做個調整,然後調整我們的這個所謂的資產配置
[24:42] 那個其實在我們來看這樣子已經做到算是我個人來講是很佩服的
[24:50] 雖然說我也不是說這個百分之百學商的或是半路出家的嘛
[24:56] 我是念碩士才轉商
[24:59] 但我也覺得哇能夠有像趙阿江按部就班
[25:04] 然後這樣做到這個資產配置
[25:07] 我覺得是蠻讓我佩服的
[25:09] 那當然我最近我也是在做類似這樣子一個動作
[25:12] 那我們在上一集我們跟大家講
[25:15] 其實我比較focus在一些KY的個股上面
[25:18] 對!
[25:19] 那KY個股蛋它也有避稅上面的優勢
[25:22] 所以這邊有些拉回例如說像中租KY像我就會長時間去做關注
[25:28] 哇!這一檔我覺得很多人可能也想問
[25:30] 因為當初他在大陸有所謂的壞帳的疑慮嘛
[25:33] 導致有非常多人就放棄它了對不對
[25:36] 加上這個也有一些人在網路上批評這類型的公司
[25:42] 可能會是放高利貸的公司
[25:44] 山島猴子就是這種公司造成的
[25:46] 所以對它有點影響
[25:48] 其實他的狀態是回溫的
[25:51] 但大家都不聊了
[25:53] 前三
[25:54] 那時候他現在公告他們的這個自結數
[25:58] 前面七個月份的自結數
[26:01] 剛剛看了一下
[26:03] 他前面七個月的自結數
[26:06] 稅後是6.91
[26:08] 6.91
[26:10] 那如果說從去年
[26:12] 從去年的財報數字來看
[26:14] 假設從去年第三季
[26:16] 第三季結完是8.41%
[26:20] 所以我個人覺得它並沒有出現衰退的情況
[26:25] 甚至在當時風頭最不好的時候
[26:29] 它其實EPS都沒有出現大幅度的下滑
[26:33] 所以我覺得像這種公司
[26:34] 反而就是有點像是已經經過考驗
[26:38] 所以我覺得像這種公司
[26:41] 這一波有拉回
[26:42] 我也是會特別去做關注
[26:44] 就是比較穩定配息的
[26:47] 那還有一個我也跟大家分享
[26:49] 我再看的是原版
[26:51] 原版對我來講它也是穩定配息的標的
[26:54] 對它雖然說不是KY
[26:56] 但是我最近發現到就是
[26:59] 我們現在的我不知道台北以外的是不是怎樣
[27:04] 但我覺得台北以我接觸到的環境
[27:06] 就是其實大家都還是比較喜歡到百貨公司
[27:10] 而且有大者很大的一個現象
[27:13] 因為在我們來講就是假設我們有家有小孩我們就會開車出門那一般的所謂的街邊店可能就沒有這麼適合
[27:24] 除非他真的非常有特色是是對所以未來在整個百貨公司的這個我們在講說產業產業的發展上來講我覺得他會是一個大蛇很大的一個結構
[27:37] 所以他們的獲利狀況我只能夠說他們應該會是穩定
[27:42] 不敢說會大幅度沉淡 但是應該會穩定
[27:45] 因為台灣的市場就這樣
[27:46] 既然是這樣情況下 他的一個配息狀況穩定
[27:50] 我大概跟大家分享一下 他2025年配1.25
[27:54] 2024配1.35 2023也是配1.6左右
[27:58] 所以基本上他都在一個固定的範圍區間去做波動
[28:03] 從股價來看,如果各位投資朋友手上有電腦,你可以看一下,其實現在它的整個的股價,從去年Q3、Q4到現在,它的股價波動大概就是一個箱形,大概就是在一個21塊、22塊錢到24塊、25塊的一個區間。
[28:26] 現在來到鄉行下源,如果你是喜歡穩定配息的股票,價差又不想賠到的話,類似這樣的標的可以特別做觀察。
[28:43] 當然下半年又是我們消費的旺季
[28:46] 不管是感恩節或者是聖誕節
[28:52] 情人節
[28:54] 雖然情人節的氣氛越來越淡了
[28:57] 對耶 為什麼啊
[28:59] 還是因為我們自己年紀大了
[29:02] 不然對不對
[29:04] 我好像不太care了
[29:06] 我吃完飯的時候才想
[29:07] 對啊 今天好像是情人節
[29:09] 我看一下好像真的是
[29:11] 結果也沒有什麼
[29:12] 連那種所謂的那種梗圖都沒有耶
[29:15] 以前都還會有收到
[29:17] 就是一早
[29:18] 對啊一早就 早安 情人節快樂啊
[29:21] 今年我都沒有看到
[29:23] 我今年好像也沒有收到耶
[29:24] 怎麼辦
[29:25] 現在我要來廣發給
[29:27] 已經邊緣人了
[29:27] 對 我現在要來廣發給各位達人
[29:30] 你們為什麼沒有跟我做情人節快樂 神經病
[29:35] 好啦 我想說其實下半年進入到就是所謂消費的旺季
[29:39] 像這種都是他們的傳統的旺季
[29:41] 所以我個人觀察就是下半年業績一定都會比上半年還要好
[29:47] 只不過好多少這個成長10%、15%還是20%
[29:52] 我覺得這些基本上都會成長
[29:54] 那現在的股價在相對比較低
[29:56] 那我覺得如果是想要做穩健型投資的這種投資朋友
[30:02] 這種標的我覺得是可以做參考
[30:04] 是不是很有趣
[30:06] 穩健型投資我還記得如果是去年下半年聊這一題
[30:09] 沒人想聽啊
[30:10] 就覺得幹嘛我為什麼要領股息價值股根本就沒有資金青睞
[30:15] 然後也有非常多人就會覺得我持有這些價值股看到別人的AI股
[30:20] 不管有沒有這個本益比都已經50倍都還是繼續飆
[30:24] 這種被剝奪感的心情非常嚴重
[30:26] 但是像我就是比較配置型的
[30:30] 我說實話因為我不喜歡股息還在再多的強調
[30:33] 所以價值股他們是以股息為主的我配的不多
[30:38] 可是大家還記得像富士哥
[30:40] 最近怎麼都沒有跟他聊到,他那時候也是,就說沒有承認嘛,2025年整個輸大盤,然後我就一直在中間不斷的像魔鬼一樣的試探他,說那你要不要改變投一些AI,他說他會投的也是跟AI有關的價值股,就剛剛我們聊到,例如說聯勇好了,聯勇其實不是現在才說有沒有AI,他是也在去年,他就有跟所謂的AMO,他們有進行一些合作,只是他沒有辦法像發哥或什麼可以那麼具體的講出來說,
[31:09] 已經在今年就會有什麼業績呈現,可是你說大家都不努力,不想要去牽這個線嗎?不可能,他們都是國際前十名的大廠,不可能不牽這個線,不做這個努力的,只是每一個人原本發展的方向或他研發的能力,或者是他原本的產品線要不要割捨,這些都是有中間很多很多的轉換的時機點。
[31:32] 所以不是不來,只是可能慢一些些。
[31:35] 那這樣的公司在它還具有價值的時候,它就叫做價值,可能未來叫成長股。
[31:42] 那後來富俊哥說他可能就會多找一下這類型的公司,所以在這樣的核心下去找嘛。
[31:48] 我們剛剛講的也是啊,因為聯詠我記得我也跟大家分享,我持有的比較屬於高血型的ICC公司就是聯詠。
[31:54] 因為那時候它才好像400吧,還多少,還300多,也都沒有漲哦,都不動哦。
[32:01] 我對我來說覺得,哇! 本益比十倍? Why?
[32:04] 對,多少配一點吧? 當保險也好啊!
[32:07] 當保險也好,又是我自己喜歡的產業。
[32:09] 所以,那時候我就持有聯用,一直到股災的時候它都沒有什麼跌。
[32:14] 也沒有什麼,很難跌回原本那個價錢,就一直持有了。
[32:17] 所以我覺得那個叫做一種,也是一種配置的想法。
[32:20] 你全部都在上面的時候,我覺得像富翁哥就很勇猛。
[32:23] 因為很多人還會說,哦你還出什麼書,你自己現在績效不出大盤嗎?
[32:27] 欸,我必須強調一件事情喔。
[32:29] 績效等於大盤,那個是在指你跟大盤同一個時間,例如說1月1號,你就是全數all in之後,你跟著大盤一起走,你就會跟大盤長一樣嘛。
[32:41] 可是這中間你會加碼啊,因為不然你只是丟了好5萬在裡面,難道你到年底就5萬5你就高興了嗎?不是嘛。
[32:50] 你中間一定會加碼嘛,你有賺到錢定期定額也好或什麼一定會加碼嘛,你才會變成到年底你可能有十幾萬二十萬嘛,到了下一個年底你可能有五十萬六十萬嘛,你要這樣累積嘛對不對,所以你的平均績效輸給大盤是正常的,就算你只買大盤,你也可能平均績效輸給大盤啊,因為你是分批,沒有辦法嘛,對啊,這就是一個很現實的事情,所以有時候算績效你不要說今年大盤漲七成,結果平均我只賺三成,
[33:20] 這幾個大盤的成多,你最後的績效是贏大盤啊,對不對?
[33:38] 這些都是要一些時間累計的,雖然聽起來是觀念,但它絕對就是這樣子。
[33:45] 還加重語氣,絕對。
[33:47] 昨天有人說,不要再講觀念,多講點產業。
[33:50] 對,我們其實也常常在講產業跟個股跟標的啊,但你怎麼做是一個很大重點啊。
[33:56] 還有就是不要因為這種錯誤的認知導致說你在投資上面走偏門啊好不好這樣才會是就不會到達終點我們要有一個方法是可以讓大家在這樣的過程中我們都知道好公司是哪些了嘛知道之後你要如何到達終點也不要因為短線上的挫折就覺得你到達不了終點或是說我都要學人家去買那種本比超高只會飆的就最後飆的都是別人賠的都是你和庫呢對不對
[34:21] 怎麼講到這句?今天情人節不要人陪
[34:26] 好,那我們聊那麼多其實也不是說自講觀念
[34:33] 因為其實我們剛剛講很多標的
[34:35] 對,我剛講很多標的
[34:37] 所以,我要怎麼講?其實我前陣子有一個很深的感觸
[34:44] 什麼感觸?
[34:45] 因為我們在選股嘛,我們在選股
[34:47] 因為我陪小朋友看棒球看比較多
[34:50] 我們看到有些那種很厲害的那種打擊強棒,他們其實並不是什麼球他們都會打,他們也只有鎖定,例如說我就只會打紅中直球,要像大谷、像別的那種什麼五號位會打、七號位會打、九號位會打,每個球他都會打的。
[35:12] 他不擅長的還能撈成全壘打。
[35:14] 對,那真的很厲害,他這種算是少數,真的是少數天才。
[35:18] 我會這麼想是因為其實我們投資也是這樣,我覺得我們選股也是這樣,並不是所有的行情我們都能夠在那個階段都能夠敲出全壘打,我甚至敲出了很大,有些球就是主審會覺得是好球,可是你就會打不到,就是那種感覺,所以我是想藉由這樣子的一個例子把我個人感受跟大家做鼓勵,就是有時候尤其這個行情現在,
[35:48] 我個人覺得不好做
[35:50] 而且如果你的我們說個股殘多能力不好的話
[35:55] 你很可能做越多賠越多
[35:57] 我必須要老實講
[35:59] 因為我曾經歷經過這樣的經驗
[36:01] 所以我會覺得像這種盤我基本上我就多看少做
[36:06] 那如果我要減我也是掛那種低低的價格去減
[36:10] 我不會說硬要去追高
[36:13] 因為這種行情一追高搞不好一不小心就掉下來
[36:16] 尤其是那種越強的股票
[36:19] 我們剛剛提到像是大量
[36:21] 哇那個前天強到你買不到
[36:25] 台語講什麼?
[36:26] 親到抓不住
[36:27] 對,不過他在股災的時候跌的也讓你嚇一跳
[36:30] 對,我覺得這就是當時的市場氣氛或當時的盤勢結構會有不一樣的地方
[36:38] 所以我們也應該要因時因地質疑
[36:42] 如果這個行情不適合你派出那種很勇猛的那種大將,你就去換上那種很會打安打的選手上去打就好,派那個DH上去打安打就好,不需要去回大棒,因為有時候這種行情我覺得不太容易回出大棒。
[37:02] 嗯,好,因為回檔也會在所謂的強勁基本面的支撐下回不生,會有這樣的情況。
[37:11] 然後呢,又會有聽到有很多比較大型的企業的狀況,像剛剛講到的,啊是不是有什麼泡沫啊什麼的,讓大家很愁愁不淺。
[37:20] 所以當今天的局勢它不算是,如果對各位來說不算是太明朗的話,我覺得確實光望居多。
[37:26] 不過對我來說,我會覺得,剛剛韋泰已經畫了一個我覺得很清楚的藍圖。
[37:31] 就是到了明後年,因為明年我覺得應該是一個非常好的年,即使有所謂的企業獲利的年增率也許會比今年沒有那麼亮眼,可能今年成長100%明年成長50%。
[37:45] 也有少數企業是今年下半年加溫,整個上半年也許成長十幾二十%下半年成長二三十%明年可能就會變成五六十%也有這樣子的,有時候他們在節奏上我們可以做一些分別。
