[00:00] 欢迎收听赵怀古货仔第1071集
[02:23] 大家可能没有过完廉价的感觉
[02:25] 因为是个来宾
[02:26] 廉价前陪伴我们
[02:28] 廉价后立刻接上来陪伴我们
[02:31] 就是我们的国家级基金操盘手
[02:33] 黄峰凯凯哥
[02:34] 早好 各位听众大家好
[02:36] 我们又见面了
[02:37] 对 马上
[02:38] 马上
[02:40] 那经过这四天的廉价
[02:42] 你观察国际局势
[02:43] 和今天台股的表现
[02:45] 那可不可以给大家一个总结
[02:47] 因为可能廉价前
[02:49] 这样持股或是比较胆怯的朋友
[02:51] 又会觉得
[02:52] 今天看起来就是一个
[02:53] 又是一个百花齐放
[02:55] 又是熱門股的當道的天下
[02:57] 其實應該講說
[02:59] 在節錢會降持股的
[03:00] 大部分手中都是比較不強的股票
[03:03] 所以如果你手中的股票是強的
[03:05] 就我們講
[03:05] 它月線還在向上
[03:07] 還在五日線上
[03:08] 基本上你就不用減
[03:09] 所以基本上如果你沒有減
[03:11] 基本上今天
[03:12] 當然它就是再一個加分
[03:14] 再一個加分
[03:15] 可是你仔細去看
[03:16] 這個大盤的量
[03:17] 只有五千六百多億
[03:18] 你不要忘記
[03:19] 我們還有兩天
[03:20] 人家是有開盤
[03:22] 我們是沒開盤的
[03:23] 你再把這個加上去
[03:24] 其實今天台股的量
[03:25] 其實真的少的非常的可以
[03:27] 基本上是非常少
[03:28] 所以基本上
[03:30] 子彈都花在該用的地方
[03:33] 就是那些大漲的
[03:34] 基本上就是子彈集中的地方
[03:36] 所以沒有子彈集中的地方
[03:37] 基本上就是怎麼樣
[03:37] 就會相對比較弱
[03:39] 那我們回頭來看
[03:40] 今天的大盤基本上
[03:42] 它已經有一點點來到壓力區了
[03:44] 因為我們之前大盤壓力
[03:45] 大概在334 39
[03:47] 就是我們這個放年假前的兩天
[03:50] 大概就頂到那個位置
[03:52] 可是今天櫃買更好笑
[03:53] 櫃買今天來到了大量低
[03:55] 你去看大量低的位置
[03:57] 在325.61
[03:58] 今天就碰到了
[03:59] 可是我們櫃買量也是縮下來的
[04:01] 也就是說我們目前不管是大盤或櫃買
[04:05] 其實都沒有強度關山的實力
[04:08] 目前沒有
[04:08] 所以就算它有一個什麼細距性的大變化
[04:13] 基本上也不太容易過高
[04:15] 就是說這個大量高也不容易一次過去
[04:18] 因為這個量能差太多
[04:20] 所以回顧台講
[04:23] 就是说明天不管川普打不打
[04:25] 基本上对台股而言
[04:27] 他就是维持目前这个架构
[04:28] 就是单兵持续作战
[04:31] 没有集体部队作战的一个条件
[04:33] 但是回过来看
[04:34] 在这两天
[04:35] 这两天人家有开盘
[04:37] 我们没开盘的情况之下
[04:38] 我们的友军
[04:39] 日本的越线已经勾起来了
[04:41] 韩国是差一点点
[04:43] 韩国越线还没有勾起来
[04:44] 这个有点奥妙
[04:45] 因为我们之前讲过
[04:46] 海外有点独强
[04:47] 可是还好
[04:49] 那时候韩国越线有勾上来陪我们
[04:51] 可是就那两天而已
[04:53] 基本上韩国月线就再度往下
[04:54] 台湾的大盘的月线也还是往下
[04:57] 现在只有台湾的贵买是五日线上
[05:00] 然后月线都是往上勾的
[05:03] 然后日本是月线往上勾的
[05:04] 所以回过头来还是那句话
[05:06] 就是不要看别人看自己
[05:08] 就是我们是强中强
[05:10] 就是你已经是在划山之巅了
[05:13] 你不用再回头去看其他人在哪里
[05:15] 因为没有意义了
[05:16] 所以回过来就是要专心去看你手中的个股
[05:20] 在这段期间其实还有一个很好笑的事情
[05:22] 就是很多的邮轮
[05:24] 我看那个资料
[05:25] 他写说昨天有五艘邮轮通过荷姆兹海峡
[05:27] 然后今天好像是两艘吧
[05:31] 然后有三艘
[05:33] 今天刚进入荷姆兹海峡
[05:35] 告诉你说荷姆兹海峡还是有船
[05:38] 然后华尔街还派了一个
[05:40] 华尔街还有一个投资机构派了一组人
[05:42] 去看一下荷姆兹海峡的真实状况
[05:44] 他们说其实好像没有想象那么严重
[05:48] 而且也确实有在交保护费
[05:51] 是
[05:51] 那还就有个曾经来讲过
[05:53] 说看起来水雷好像没那么严重
[05:55] 我说如果他可以开放五个国家
[05:57] 可以通过荷姆斯海峡
[05:58] 表示他水雷没有
[05:59] 不是到处都是水雷
[06:01] 表示水雷其实只是一个想象的
[06:04] 那目前看起来也是这样子
[06:05] 就是荷姆斯海峡
[06:07] 其实确实是有一些危险
[06:08] 但也没有到危险到让你很害怕
[06:11] 但是大家很害怕
[06:12] 所以大家到那个海域就会停下来
[06:15] 就不敢再乱动
[06:17] 所以告诉你
[06:20] 其实大家的邮轮还是有过的
[06:22] 所以我觉得目前看起来
[06:23] 邮价是没有过高的
[06:25] 但是它还在大量终止之上
[06:27] 就告诉你这个战事也没有结束
[06:29] 因为战事结束
[06:31] 应该邮价就会立刻崩下来了
[06:32] 可是它还在大量终止之上
[06:34] 不是在大量低
[06:35] 是在大量终止之上
[06:36] 也就是说它还在加温的阶段
[06:38] 加温的阶段
[06:39] 所以目前看起来
[06:41] 虽然战事没有告一个段落
[06:44] 可是邮价也没有停下来
[06:46] 所以我才会讲说
[06:47] 大家还是各做自己的股票
[06:49] 就是也不太管国际的状况怎么样
[06:52] 所以叶开尔照样问我说
[06:53] 那明天会怎么样
[06:54] 我说其实现在看起来
[06:56] 好像也没有人在管明天会怎么样
[06:57] 因为今天的情况
[06:59] 对因为这股票就没有在管你
[07:01] 川普要讲什么
[07:02] 所以很难去解释说
[07:04] 为什么国际局势是这样子的情况之下
[07:07] 我们的这个行情还可以这样走
[07:10] 但是你如果只去看美国股市
[07:13] 其实它也没有在破底了
[07:14] 它也慢慢在爬起来
[07:16] 也都站回五六線之上
[07:17] 所以很奧妙的就是
[07:19] 國際局勢就在這樣的情況之下
[07:21] 大家就已經開始鴨子划水就是不管你了反正我就是要走自己的路只是目前就是没有量没有量的情况下变成是大的指数行情没有但是小的个股行情有
[07:33] 再像今天大盘有个很奥妙的
[07:35] 就是连电跟世界先进都拉起来
[07:37] 他们是这个阶段
[07:39] 目前最落后的股票族群之一
[07:41] 因为他们大概是已经都往下了
[07:44] 今天才拉第一根红棒起来
[07:45] 就告诉你
[07:46] 一本这么弱的股票
[07:48] 其实今天都有资金进去点火
[07:51] 就告诉你其实大家
[07:52] 虽然是感觉对战争很害怕
[07:54] 可是手还是一直往里面伸
[07:57] 就是找位阶相对比较低的
[07:59] 没错
[07:59] 但是位阶比较高的
[08:01] 我觉得啦
[08:02] 也还是很强啊
[08:02] 细光的
[08:03] 对
[08:03] 但是我觉得大部分人
[08:04] 应该都不敢伸手进去
[08:05] 就好像我们在节前
[08:07] 跟大家讲说
[08:08] 什么联亚 坡洛威
[08:10] 都还是很好
[08:11] 中古靠很强
[08:11] 然后那时候赵老师就说
[08:12] 这太高了吧
[08:13] 我说那我们就看一下
[08:14] 落后一点的IET
[08:15] 那或者是
[08:16] 那时候在讲说
[08:17] 那个ABF的南电很高了
[08:19] 我们可以看一下真顶
[08:20] 果然其实这些股票
[08:22] 果然落后的被点名完之后
[08:23] 它就怎样
[08:24] 就跟上
[08:24] 就跟上
[08:25] 但你不要忘记
[08:26] 今天大牌开了一档很强的股票
[08:27] 叫台达电
[08:28] 所以我觉得台达电
[08:29] 基本上它不死
[08:30] 基本上大家还是充满了希望
[08:32] 就是不要管台积电
[08:33] 先管台达电
[08:35] 毕竟台积电
[08:36] 还要一个礼拜之后
[08:37] 它才会开始发威
[08:38] 先看台达电
[08:39] 开法说
[08:39] 对
[08:40] 真的
[08:41] 因为其实我不是觉得
[08:43] 那些高的不会涨
[08:45] 就像联亚或是破洛威
[08:48] 我觉得这种强势的股票
[08:50] 因为它更加的被锁码
[08:51] 甚至被分盘交易的时候
[08:53] 更加更加的被锁码
[08:55] 那只是比较会担心投资人说
[08:57] 第一你买这样的股票
[08:58] 因为他们也会有发生
[08:59] 例如说集体有一天
[09:00] 突然中小型股不好
[09:02] 崩了崩一天
[09:03] 大家会觉得非常惊吓
[09:04] 然后如果又分盘交易
[09:06] 就出不了手
[09:07] 就会觉得非常之麻烦
[09:08] 甚至会不小心
[09:09] 砍在一个短线的低点都有可能
[09:12] 所以才会跟凯哥问说
[09:13] 那如果同族群还有没有相对
[09:16] 可能比较
[09:16] 也许它的位阶也不见得很低
[09:18] 坦白讲
[09:19] 可是因为它的价格比较低
[09:21] 所以大家入手起来的压力
[09:22] 没有那么大
[09:23] 或者是它没有被关
[09:24] 在外面跑来跑去的
[09:25] 压力没有那么大
[09:26] 但是呢
[09:27] 这边也是要跟大家呼吁
[09:29] 就是如果你喜欢追强势的
[09:31] 其实你就用动能
[09:32] 或技术形态去追
[09:33] 真的就是这样子
[09:34] 因为现在看起来
[09:35] 强的就是这些
[09:36] 那如果你喜欢用
[09:37] 所谓的左侧价值去捡的话
[09:38] 你就要先务必了解说
[09:40] 它是不是真的有纸叠啊
[09:42] 然后它是不是
[09:43] 至少有古锡保护
[09:44] 或是至少说
[09:44] 它有一些冤枉
[09:46] 什么冤枉
[09:46] 例如说最近在密集的
[09:47] 解去年的年报
[09:48] 或者解所谓的
[09:50] 三元营收也开始解了嘛
[09:51] 那一二元营收自然也出来了
[09:53] 明明一切都很好
[09:54] 可是可能市场比较没有青睐到它
[09:56] 我觉得像这样子的
[09:58] 可能也是一个可以关注的方式
[10:00] 大家用的方式都不一样
[10:02] 但是现在这个盘
[10:03] 以凯哥在我们的廉价前
[10:06] 同样来做个印证
[10:07] 那天就有讲到说
[10:08] 其实盘就没有死掉
[10:10] 因为大家就各顾各的
[10:11] 各个主力大户
[10:13] 顾着自己手上的热门股票
[10:15] 在今天还是发威
[10:16] 可是是不是就此一帆风顺
[10:19] 真的都不要理川普了
[10:20] 真的都不用管油价了
[10:21] 事情也没那么简单
[10:23] 这就是现在这个盘
[10:24] 比较讨人厌的地方
[10:25] 因为明天川普的
[10:27] 跟伊朗的进度
[10:29] 还是一个需要关注的重点
[10:31] 以及如果油价
[10:32] 像现在布兰特原油
[10:33] 已经到了110几块
[10:34] 很凶
[10:35] 他是不是会压抑到市场
[10:37] 会的
[10:38] 不可能说你油价这么高
[10:39] 你市场就真的就此不管了
[10:41] 开开心心
[10:42] 我觉得那是不可能的
[10:44] 所以现在的盘就会变成是
[10:45] 你要锁定在你自己
[10:47] 有信心的族群产业里面
[10:50] 不要被洗掉
[10:51] 或者是当它有大跌的时候
[10:53] 你要有信念
[10:54] 我觉得是这样
[10:55] 或者是像赵华常跟大家分享的
[10:57] 我常会在大跌破月线
[10:59] 当天大跌幅度超过
[11:02] 两三个百分点的时候
[11:03] 去买我觉得操盘人蛮厉害的
[11:05] 主动式基金
[11:06] 或者最保险的是买0050
[11:09] 或者是最近0050的正二
[11:11] 不是分拆了吗
[11:12] 这个就见仁见智
[11:14] 但是以长期过去十年的绩效回测的话
[11:17] 0050正二的绩效确实是非常好
[11:20] 当然也有人讲这十年是多头
[11:23] 不过也不要忘记
[11:24] 这十年我们也历经了
[11:25] COVID-19那时候的短线大崩跌
[11:28] 我们也历经过2022年的空头
[11:30] 并不是没有
[11:31] 所以毕竟也是有
[11:33] 这一次因为我们的位见
[11:34] 已经到三万点以上了
[11:36] 很厉害
[11:36] 其实我们高点三万五
[11:38] 现在三万三
[11:39] 其实就两千点
[11:41] 你说这一段时间大家吓得要死
[11:43] 可是事实上股市的位阶并不是太低
[11:46] 加上还是要很注意一件事情
[11:48] 就是美股虽然有转强
[11:50] 但并不强
[11:51] 我觉得这个还是蛮现实的一件事情
[11:53] 对 而且今天排名你可以注意到
[11:56] 包括公布字节单月获利不好的华通
[11:58] 其实今天还是大涨
[11:59] 并没有因为说这个利空
[12:01] 然后它就变成是走空
[12:03] 没有
[12:04] 它是利空不跌
[12:05] 强势股真的就是这样
[12:06] 然后再来就是
[12:07] 之前大家看得起来弱势的记忆体
[12:09] 其实今天好像也稍微回神一点
[12:11] 今天除了华邦电以外
[12:13] 基本上不管是南亚科 旺宏
[12:15] 利基电都收在军家线上
[12:18] 所以告诉你说
[12:19] 大家比较担心的记忆体都没有掉下来
[12:23] 所以这样这个盘要怎么下来
[12:25] 当然我们知道
[12:26] 其实我们现在看的大部分就是这个
[12:29] 两三千档股票里面的200多档
[12:32] 因为我们的目光就是看到这些强势股
[12:34] 那些很弱的当然就不用讲
[12:36] 所以你可以看到这几天
[12:37] 其实投信除了买那些强势股以外
[12:40] 他们也在买高股息的金融股
[12:42] 像今天盤中的像中信金
[12:45] 国泰金
[12:46] 富邦金
[12:46] 其实都有发威
[12:47] 所以就什么大盘指数可以撐在这里
[12:50] 是因为金融股有上来
[12:52] 做一点support的动作
[12:53] 你可以想
[12:54] 今天的大盘大概涨了五六百点
[12:55] 大概两三百点
[12:57] 两百多点是台建贡献的
[12:58] 剩下两百多点是什么
[13:00] 除了台大以外就是金融股
[13:01] 所以告诉你说
[13:03] 其实不是大家都不害怕
[13:05] 是有害怕的
[13:06] 但是只是那个还害怕的显现
[13:09] 其实是有一点点被遮盖住了
[13:12] 我被遮蓋住了
[13:13] 所以如果你一直看這些很強的股票
[13:15] 你就覺得
[13:15] 這個盤好像不是三萬五
[13:17] 三萬六
[13:18] 感覺好像已經快到四萬點的感覺
[13:19] 因為這個股票實在太強了
[13:22] 太強
[13:22] 而且有些股票根本就沒有回頭
[13:24] 根本就沒有在管理什麼美伊戰爭
[13:26] 它就一直在創新高
[13:28] 對不對
[13:28] 感覺這炮火射出去之後
[13:30] 還短空長多
[13:32] 搞不好還噴更快
[13:33] 所以很多人就想說
[13:35] 趕快打一打吧
[13:36] 因為短空長多
[13:37] 打完之後
[13:38] 就台股就活過來了
[13:39] 那我想說天啊
[13:41] 這些股票打完之後不是活過來是飛上去了
[13:44] 天啊已經太強了
[13:45] 所以你說你這邊拿捏上面
[13:48] 我是覺得你還是可以依照你的pattern去配這些股票
[13:52] 我是講你不能沒有股票
[13:54] 其實我們一直在兩三個兩三週以來
[13:57] 其實一直跟大家講到你不能沒有股票
[14:00] 對你沒有股票你就會變成是被嘎空手了
[14:04] 而且我還叫你不要去放空
[14:06] 因為我說這盤沒有到要去放空的地步
[14:09] 那但你說像今天要不要去放空一點
[14:11] 賭一下明天川普講什麼
[14:12] 但你要這樣做也OK
[14:14] 但是我的做法會是
[14:16] 把持股部位降一些下來
[14:18] 然後手上就抱有這些強勢股
[14:20] 所以Elon是大盤這樣跌
[14:23] 其實凱哥的內心其實很平安
[14:25] 就是因為感覺好像沒有什麼跌
[14:28] 好像都每天都在漲
[14:29] 所以你就說
[14:31] 那這樣的心法是不是也可以有
[14:33] 是可以有的
[14:34] 就是你不要一直看著那些強勢股
[14:36] 你都不買
[14:37] 然后等到你有一天去追的时候
[14:39] 可能就追在高点
[14:40] 不要追啦
[14:42] 我觉得这段时间一定会有震荡
[14:44] 我觉得课题并不是上涨的时候
[14:47] 要不要追
[14:48] 我觉得课题应该是
[14:49] 在重挫的时候要不要勇敢买就是涨上去的股票例如说我这边也会听到很多强势股林雅我也很心动可是我买不下手买不下手是自己的问题
[15:01] 就不用猜心了
[15:02] 买不下手的东西都不要猜心
[15:04] 但是你到底现在所有盘面上的强势族群
[15:07] 有没有一点呢
[15:08] 当然如果您是一个
[15:10] 例如说我有好朋友像傅旭哥这样子的
[15:13] 他对这些事情是毫不动心的
[15:14] 对不对
[15:15] 他就是股息概念股
[15:16] 因为我这个周末
[15:17] 还帮他写了一篇推荐序
[15:19] 他要出书了
[15:20] 所以我这个廉价
[15:22] 还有写这种东西
[15:23] 他一定是出高股息相关的书
[15:25] 他出的就是价值选股
[15:26] 跟他如何筹备退休
[15:28] 用他过去15年来
[15:29] 每年存股的绩效
[15:30] 来跟大家分享这样子
[15:32] 因为他有时候觉得
[15:33] 慢慢走比较快
[15:33] 我的先略
[15:35] 我交稿了
[15:37] 我到最后一天
[15:38] 我想说我还欠
[15:39] 傅旭哥推荐序
[15:40] 我在那边家里写稿
[15:41] 那如果您是会对
[15:44] 盘面上的涨跌
[15:45] 你是会有一种
[15:46] 我很formal
[15:47] 或是我错过
[15:48] 或是怎么样的
[15:49] 那一方面我会觉得
[15:51] 大家都用ETF布局
[15:52] 是最安稳的嘛
[15:53] 另外一方面本来就是
[15:54] 可以用一个部位来做个股
[15:55] 我也是啊
[15:56] 不然你会受不了
[15:57] 那么多的热门股
[15:58] 天天在涨
[15:59] 甚至今天很多党
[16:00] 还是创历史新高
[16:01] 历史新高
[16:03] 所以刚刚讲到的
[16:05] 这类型的
[16:06] 不管是低轨
[16:07] 不管是那个西光
[16:09] 不管是甚至散热也好啦
[16:12] 甚至探针也好啦
[16:13] 他们的火都没有灭掉
[16:15] 所以从里面找到一个
[16:17] 你觉得适合的
[16:19] 观察它
[16:20] 然后在它重挫的时候
[16:22] 要勇敢
[16:23] 因为追高
[16:24] 说实话
[16:24] 大家的心理压力
[16:25] 都会相当大
[16:26] 你说这些公司会不会
[16:27] 有一天真的会
[16:29] 跌得比较深
[16:29] 也是有可能
[16:30] 就像记忆体好了
[16:32] 因为毕竟记忆体
[16:33] 它是跟着报价走
[16:34] 当我们发现到
[16:35] 报价已经有点松动的时候
[16:36] 就会提醒大家
[16:37] 我这个一回
[16:38] 可能是两成三成
[16:39] 不是代表后面不会涨了
[16:41] 像今天它就有点止稳了
[16:43] 因为像昨天晚上
[16:44] 大家看美股的美光
[16:45] 他就稍微止稳了
[16:46] 可是这个止稳
[16:48] 他伴随的就是你后续
[16:49] 你还是会承受着这一种
[16:51] 如果报价没有涨呢
[16:52] 如果大家的库存
[16:53] 从高价库存变成平价库存
[16:55] 会有一点点这样的疑虑在的话
[16:58] 不妨去找
[16:59] 现在市场上追逐着
[17:00] 就是今年你确定
[17:02] 他的趋势是向上的
[17:04] 就像刚刚凯哥讲的华通
[17:05] 看到他二月字节
[17:06] 想说好像不怎么样
[17:09] 结果今天没事
[17:10] 但是我另外一档就有事了
[17:11] 我另外一档就结三月营收
[17:13] 要全训
[17:13] 三月营收大崩盘
[17:15] 不确定是不是跟我们的国防预算卡关之类
[17:18] 或入账时间有关系
[17:19] 因为全讯它毕竟也会有入账的问题
[17:22] 它今天就大跌
[17:23] 所以大家还是要关心一下
[17:25] 自己手上的股票
[17:26] 像这档股票我会讲出来是
[17:29] 因为大家都知道我很长期有全讯
[17:31] 可是我已经不理它了
[17:32] 为什么
[17:32] 因为它的状态就是怎么讲
[17:36] 反正军工最近就是卡在
[17:39] 我们的国防预算的问题上
[17:42] 它就不会涨
[17:42] 但是我买它是支持我们国家自由飞弹
[17:46] 但是它占的部位
[17:49] 显然就不可能太多了
[17:50] 因为长期以来它都是弱势股
[17:52] 现在跟大家分享的是
[17:53] 如果您手上有像这样子
[17:55] 可能长期它都没有表现的
[17:57] 比较弱势的
[17:58] 如果它占你的部位很小
[17:59] 你不想换
[18:00] 我觉得那没有关系
[18:01] 或是你有持有它的理由
[18:02] 但是如果你明明就看着
[18:04] 其他跟AI相关的股票在涨
[18:06] 然后你抱了满手
[18:08] 都是弱势股的话
[18:09] 我真的强烈建议要做一些调整
[18:12] 不然你会浪费非常多的资金成本
[18:15] 然后不是说
[18:17] 有时候有些肌肉传产不好
[18:19] 可是这个风真的两年吹不到
[18:21] 你真的那个心态上
[18:22] 和你财富的平衡上会出现问题
[18:25] 对我们刚才讲像华通
[18:27] 你看华通赚0.2
[18:28] 他股价多少钱
[18:29] 他现在股价已经很高了
[18:31] 可是你去想想看
[18:32] 我们之前有提过的乙胜
[18:33] 乙胜现在应该平均
[18:35] 因为我们没有精算
[18:36] 因为目前他还没结出来
[18:38] 但我觉得他大概约略
[18:40] 单约赚4毛
[18:41] 一个赚0.2个赚0.4
[18:43] 然后我们上礼拜讲说
[18:44] 以胜才刚爆大量
[18:46] 开始要往上
[18:47] 其他就典型的
[18:48] 属于落后补涨的概念
[18:49] 其实你就是追不到
[18:50] 那个很强的
[18:51] 但是你知道有个业绩
[18:52] 也还不错
[18:53] 然后股价才刚发动的
[18:55] 你就要什么
[18:55] 你就要开始去见部位
[18:57] 而不是说
[18:57] 等到有一天
[18:58] 以胜涨上去了
[18:59] 你又来跟赵华讲说
[19:00] 以胜涨上去了
[19:02] 赵华能不能再跟凯克
[19:03] 要一档新的
[19:04] 凯克那有那么多新的
[19:05] 可以给大家
[19:05] 没有办法
[19:06] 例如说我们之前有提过
[19:07] 新云在大涨的时候
[19:08] 你要去留意跟他做同样的东西的
[19:11] 红硕
[19:12] 我说红硕在大厦的时候
[19:13] 你要回头去看星云
[19:14] 因为他们做的都是
[19:15] 丝织成的半导体的设备
[19:17] 果不其然
[19:18] 那天那个威良也有在讲
[19:21] 我就说
[19:21] 这个也是我的菜
[19:23] 果然今天星云就涨上去了
[19:25] 就告诉你说
[19:26] 其实你就是在同族群里面去找
[19:28] 有很强的
[19:30] 但是也有相对比较弱一点的
[19:31] 可是你就看看数字有没有很差
[19:33] 没有
[19:33] 如果你仔细去看
[19:35] 星云其实今年在加油设了一个大厂
[19:37] 他过去以通路为主
[19:39] 他现在改以制造为主
[19:41] 所以他就会变成
[19:42] 业绩会有个大爆发
[19:43] 可是这个还是要有法人去察觉
[19:47] 你可以观察
[19:48] 像星云最近外资就一直蒙买
[19:50] 可是投信都还没有进场
[19:51] 那就表示说机会还有
[19:54] 因为是投信都还没进来
[19:56] 我们刚才讲也是外资蒙买
[19:58] 投信还没回来
[19:59] 这就是让你上车好机会
[20:00] 因为等到投信发现的时候
[20:02] 基本上市场大概都发现了
[20:04] 那也不用达人秀特别讲
[20:06] 所以我们基本上就是跟大家讲说
[20:08] 你总是要在相对来讲
[20:11] 比较有点混乱的时候
[20:12] 去找到那个标的
[20:13] 而不是说事情都很明朗了
[20:15] 大家都知道
[20:16] 那基本上那就没有什么好特别
[20:18] 就是说要去研究了
[20:19] 所以行情不是没有股票可以买
[20:22] 还是有的
[20:23] 而且我们也没叫你去追高
[20:24] 我们叫你是看高买低
[20:26] 不要去买高的
[20:28] 因为买高的老实讲
[20:29] 你最好是等它震荡压回再去买
[20:31] 例如说它破个五日线
[20:32] 然后再上上去的时候
[20:33] 你再去买
[20:34] 而不是说你就要闭着眼睛去追
[20:37] 闭着眼睛去追
[20:38] 有时候你一开盘就追
[20:39] 可能收盘
[20:40] 像今天有一档股票
[20:41] 开盘涨停
[20:42] 然后收盘快跌停
[20:43] 是谁啊
[20:44] 我没注意到
[20:45] 顶员吧
[20:45] 顶员
[20:45] 对不对
[20:46] 你涨很多了
[20:47] 对啊
[20:47] 但是你就说
[20:49] 你是闭着眼睛去买
[20:50] 其实这很危险
[20:51] 其实投资不能闭着眼睛
[20:53] 投资要张大眼睛
[20:54] 知道吗
[20:55] 因为地雷随时有
[20:57] 你要张大眼睛
[20:58] 对
[20:58] 不是因为之前是标股
[21:00] 那这边也有提到LED厂商
[21:02] 我个人会抱着比较
[21:04] 就是观望的态度
[21:06] 没有错
[21:07] 这个廉价
[21:09] 也有人想要告诉我说
[21:10] 这个LED
[21:11] 这个切近所谓细光的可能性
[21:14] 不是可不可能性
[21:16] 我觉得很多事情
[21:17] 不是可不可能性
[21:18] 就像当初
[21:19] 为什么我们会有那么多的厂商
[21:20] 去做LED
[21:21] 因为LED要取代照明
[21:23] 那后来有没有
[21:24] 当然是有
[21:25] 然后那Micro LED
[21:27] 如何切近所谓的
[21:28] 这个光通讯里面
[21:30] 有没有可能性
[21:31] 当然是有嘛
[21:32] 有没有人做到
[21:32] 当然有嘛
[21:33] 可是不是这些厂商
[21:34] 我不知道
[21:35] 我想大家可能要先厘清这件事情
[21:38] 并不是我不相信哦
[21:40] 是绝对我相信有这件事情
[21:42] 才会这么多人去做投入
[21:45] 可是台湾的厂商在早期的时候
[21:47] 第一LD的专利在哪里呢
[21:49] 在日本跟美国的手上
[21:51] 所以我们在发展累金的过程中
[21:53] 是困难重重
[21:54] 所以呢那上游累金厂
[21:56] 就像现在大家很关注的富彩
[21:58] 它就是台湾当时最大的累金厂啊
[22:00] 可是他也没有办法避免一直亏损的命运
[22:03] 那切件的MicroAD也不是今年的事
[22:06] 两年前就已经在说了
[22:08] 可是有没有让他们获利呢
[22:09] 没有啊
[22:10] 那现在又说跟光通讯有关
[22:12] 当然大家一定会想办法的
[22:14] 一定会想办法转的
[22:15] 例如说像翼光这家公司我觉得他就很努力转到是变成一家赚钱的公司也是很厉害风策相关的是比较容易赚钱的所以我才会说台股如果你都不会买台股的风策类股
[22:27] 我想相对是最安全的
[22:29] 那所以现在
[22:30] 不是说他们不会切进去
[22:32] 或是没有办法赚到钱
[22:34] 而是他们的股性
[22:35] 就会变得非常的
[22:36] 离开我们的常轨
[22:38] 所以大家在投资的时候
[22:40] 要评估风险
[22:41] 我觉得这是要提醒大家的
[22:42] 是啊
[22:43] 所以这个盘
[22:44] 其實反正再等也就是一兩天而已
[22:47] 因為明天川普應該就會做最後的決定
[22:50] 但是我剛剛講了
[22:52] 基本上這個盤
[22:53] 基本上不要太care
[22:55] 因為基本上你看櫃買已經來到大量低了
[22:59] 你接下來個股還繼續漲
[23:00] 基本上就是沒有在管你櫃買的位置了
[23:02] 他就是走自習的路了
[23:04] 所以我們剛剛講說
[23:05] 你可以從族群裡面去看高買低
[23:08] 去做一點布局
[23:09] 不要空手
[23:10] 因為空手其實壓力真的是非常大
[23:13] 真的非常大
[23:14] 好那这边的话呢
